"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-23.025850929940457,1e-10,5.185214475216493e-19,9.642802672672938e+17,8.875837806946012e+33,2.9586125993483637e+33,0.33333333299905804,12182.181219597021,7.306507845186104e+20,44658.30340904984
-22.992956857183398,1.0334410638805561e-10,5.537811302055056e-19,9.028837805345768e+17,7.78155695325276e+33,2.593852314972856e+33,0.33333333297632717,12182.181219597021,6.841296707526984e+20,43213.20776760947
-22.96006278442634,1.0680004325145757e-10,5.914384865282781e-19,8.453964566616909e+17,6.8221873736212e+33,2.274062455272551e+33,0.3333333329520506,12182.181219597021,6.405705931074206e+20,41814.873898415164
-22.92716871166928,1.1037155032027572e-10,6.316565593309246e-19,7.915693961573521e+17,5.981096179146605e+33,1.9936987239466388e+33,0.3333333329261232,12182.181219597021,5.997849563994845e+20,40461.78863979038
-22.894274638912226,1.1406249238513208e-10,6.746094784377414e-19,7.411695471577821e+17,5.243701110089598e+33,1.7479003677493772e+33,0.33333333289843275,12182.181219597021,5.6159617345012924e+20,39152.48779437596
-22.86138056615517,1.1787686347935873e-10,7.204832145759877e-19,6.939786963957286e+17,4.5972177187018226e+33,1.5324059040986527e+33,0.3333333328688593,12182.181219597021,5.258389005259775e+20,37885.55454469647
-22.82848649339811,1.2181879120101156e-10,7.694763845623672e-19,6.497925244152849e+17,4.030437721277486e+33,1.343479238426496e+33,0.33333333283727484,12182.181219597021,4.923583214599721e+20,36659.617919997065
-22.795592420641054,1.2589254117941672e-10,8.218011112425335e-19,6.084197209419296e+17,3.533534676651325e+33,1.1778448903450747e+33,0.33333333280354266,12182.181219597021,4.61009477352899e+20,35473.35131269192
-22.762698347883994,1.3010252169108314e-10,8.776839419068493e-19,5.696811565776571e+17,3.097893622130658e+33,1.0326312056240461e+33,0.3333333327675167,12182.181219597021,4.316566389533456e+20,34325.47104281884
-22.729804275126938,1.344532884299761e-10,9.373668291588097e-19,5.334091072349323e+17,2.715961713206659e+33,9.053205694276513e+32,0.3333333327290409,12182.181219597021,4.04172718998722e+20,33214.734968946555
-22.696910202369878,1.3894954943731376e-10,1.0011081784829352e-18,4.994465279515506e+17,2.3811172775390702e+33,7.937057576429536e+32,0.33333333268794874,12182.181219597021,3.78438721972996e+20,32139.941144031676
-22.664016129612822,1.4359617019622146e-10,1.0691839670477306e-18,4.676463729422797e+17,2.0875550129625207e+33,6.958516695486158e+32,0.33333333264406234,12182.181219597021,3.5434322889878766e+20,31099.926514770632
