"N","a","t","H_A","rho_f","P_obs_f","w_f","m_eff","sigma","kF_over_m"
-23.025850929940457,1e-10,5.196843433883449e-19,9.621225006318203e+17,4.719110187889347e+33,1.573036727524317e+33,0.33333333295781087,11025.63353824241,4.821850407915896e+20,42134.36102359635
-22.992956857183398,1.0334410638805561e-10,5.550231034940013e-19,9.008634006096911e+17,4.137302358899915e+33,1.3791007846406728e+33,0.3333333329322752,11025.633538242575,4.514839375725788e+20,40770.93749824669
-22.96006278442634,1.0680004325145757e-10,5.927649145372323e-19,8.43504715926775e+17,3.627224228188492e+33,1.2090747411758473e+33,0.33333333290500305,11025.633538242746,4.227375978860688e+20,39451.63292152508
-22.92716871166928,1.1037155032027572e-10,6.330731850176069e-19,7.897981040533482e+17,3.1800324124951084e+33,1.0600108027103083e+33,0.3333333328758764,11025.633538242924,3.958215603913833e+20,38175.019650742484
-22.894274638912226,1.1406249238513208e-10,6.761224352829737e-19,7.395110346250098e+17,2.787973808170095e+33,9.293246013612608e+32,0.3333333328447691,11025.633538243106,3.7061928829987756e+20,36939.71624022294
-22.86138056615517,1.1787686347935873e-10,7.220990531399125e-19,6.924257826696063e+17,2.4442511732037515e+33,8.147503897925393e+32,0.3333333328115466,11025.633538243295,3.470216648124409e+20,35744.38594641692
-22.82848649339811,1.2181879120101156e-10,7.712021008460184e-19,6.48338485936195e+17,2.142905281326683e+33,7.14301759248054e+32,0.33333333277606486,11025.633538243492,3.2492652068289275e+20,34587.735281387635
-22.795592420641054,1.2589254117941672e-10,8.236441769780066e-19,6.070582622446168e+17,1.8787116050497724e+33,6.2623720056511784e+32,0.33333333273817034,11025.633538243694,3.042381918617907e+20,33468.51261310496
-22.762698347883994,1.3010252169108314e-10,8.79652336907216e-19,5.68406383034121e+17,1.647089736405507e+33,5.490299110882222e+32,0.333333332697699,11025.633538243903,2.8486710530540723e+20,32385.50681103241
-22.729804275126938,1.344532884299761e-10,9.394690758678392e-19,5.322154995328027e+17,1.4440239749898647e+33,4.813413240163347e+32,0.3333333326544756,11025.633538244118,2.6672939115657734e+20,31337.54593554147
-22.696910202369878,1.3894954943731376e-10,1.0033533788742136e-18,4.9832891819744403e+17,1.2659937065149399e+33,4.2199790125377545e+32,0.333333332608313,11025.633538244341,2.4974651961829733e+20,30323.495969735137
-22.664016129612822,1.4359617019622146e-10,1.0715818420329324e-18,4.665999222866746e+17,1.1099123648236045e+33,3.6997078741510526e+32,0.33333333255901126,11025.63353824457,2.3384496094786965e+20,29342.259592308263
-22.631122056855762,1.4839817889675653e-10,1.1444498701046614e-18,4.36891136630105e+17,9.730739191316695e+32,3.243579722391808e+32,0.33333333250635705,11025.633538244809,2.189558670994893e+20,28392.77499011687
-22.598227984098706,1.5336077187700115e-10,1.2222729555006646e-18,4.0907393284311206e+17,8.53105958730207e+32,2.8436865215659642e+32,0.3333333324501223,11025.633538245056,2.0501477363689862e+20,27474.014709171497
-22.565333911341646,1.5848931924611135e-10,1.3053880442516423e-18,3.830278724120699e+17,7.479285617629228e+32,2.4930951988214253e+32,0.3333333323900636,11025.633538245309,1.9196132062549914e+20,26584.98454281112
-22.53243983858459,1.6378937069540642e-10,1.3941549948630291e-18,3.586401852387843e+17,6.557182349737746e+32,2.1857274433067944e+32,0.33333333232592083,11025.633538245573,1.797389912954837e+20,25724.722455854673
-22.49954576582753,1.6926666150378758e-10,1.4889581363730725e-18,3.358052813864158e+17,5.748762992370191e+32,1.9162543246048717e+32,0.33333333225741635,11025.633538245844,1.682948673444934e+20,24892.29754356584
-22.466651693070474,1.7492711874398422e-10,1.5902079323595242e-18,3.14424293912926e+17,5.04001172759787e+32,1.6800039034079143e+32,0.33333333218425354,11025.633538246124,1.5757939982034826e+20,24086.80902430468
-22.433757620313415,1.8077686769634344e-10,1.698342758099492e-18,2.944046508126802e+17,4.4186407142244366e+32,1.472880232652178e+32,0.3333333321061156,11025.633538246415,1.4754619459185553e+20,23307.38526477594
