"N","a","t","phi","phidot","H","w_phi"
-7,0.0009118819655545162,0.000021987203992008155,0,0,22740.499436933344,-1
-6.99,0.0009210465316693785,0.00002243052300393352,2.6143455645046047e-13,0.0000011736214068566902,22375.73971458541,-0.9999999999994874
-6.98,0.000930303203204949,0.00002288106679074249,1.0523536887581823e-12,0.000002331683554844267,22017.02758173615,-0.9999999999979767
-6.97,0.0009396529058360961,0.000023338948991544695,2.3829798822725e-12,0.000003474947400880199,21664.258691690666,-0.9999999999955063
-6.96,0.0009490965745408727,0.00002380428506977105,4.2639707858773415e-12,0.000004604155213047352,21317.33057664603,-0.9999999999921113
-6.95,0.0009586351536940199,0.000024277192131297917,6.706380818314989e-12,0.000005720033210153301,20976.14261250131,-0.999999999987824
-6.94,0.0009682695971614017,0.00002475778915779405,9.721723419985038e-12,0.000006823290110930397,20640.595984346794,-0.9999999999826741
-6.93,0.0009780008683953946,0.000025246196973535195,1.3321970012000591e-11,0.000007914618383894835,20310.593652619133,-0.9999999999766886
-6.92,0.0009878299405312295,0.00002574253816195988,1.7519534763097878e-11,0.00000899469566277317,19986.04031990926,-0.9999999999698921
-6.91,0.000997757796484312,0.000026246937246154783,2.2327326596866827e-11,0.000010064183997750854,19666.842398410343,-0.9999999999623066
-6.9,0.0010077854290485105,0.000026759520689870502,2.7758757306598726e-11,0.000011123730702157516,19352.9079779931,-0.9999999999539522
-6.89,0.0010179138409954387,0.000027280416795931745,3.382772143277356e-11,0.000012173969756873367,19044.146794896296,-0.9999999999448466
-6.88,0.0010281440451747298,0.00002780975588373115,4.0548649964146316e-11,0.000013215521211201275,18740.47020102019,-0.9999999999350055
-6.87,0.0010384770646153282,0.000028347670305183966,4.793652315688607e-11,0.000014248991847109772,18441.791133811254,-0.9999999999244428
-6.86,0.0010489139326277882,0.000028894294294081524,5.6006836480277954e-11,0.00001527497672453272,18148.024086726407,-0.9999999999131702
-6.85,0.0010594556929076101,0.000029449764473200504,6.477574964492712e-11,0.000016294056832989016,17859.08508026555,-0.9999999999011979
-6.84,0.0010701033996396044,0.000030014218991944337,7.425985269051853e-11,0.00001730680460906506,17574.891633561096,-0.9999999998885343
-6.83,0.0010808581176033184,0.00003058779880268418,8.447653677763837e-11,0.000018313777549401204,17295.362736513678,-0.999999999875186
-6.82,0.0010917209222795108,0.00003117064625920816,9.544359991359388e-11,0.000019315526104472064,17020.41882246329,-0.999999999861158
-6.81,0.0011026928999577027,0.00003176290669726406,1.0717971766748677e-10,0.000020312586445956007,16749.98174138533,-0.9999999998464542
-6.8,0.0011137751478448032,0.000032364726826171274,1.1970397588986135e-10,0.000021305488527968547,16483.974733601306,-0.9999999998310762
-6.79,0.0011249687741748374,0.00003297625647275738,1.3303640518777393e-10,0.000022294748914112905,16222.322403994052,-0.9999999998150251
