"N","a","t","s","H","rho_Psi","w_Psi"
-7,0.0009118819655545162,0.000021987203999952962,1318815734.4832146,22740.499428716343,1.566,-1
-6.99,0.0009210465316693785,0.00002243052301367878,1279838839.102731,22375.739706234453,1.566,-1
-6.98,0.000930303203204949,0.00002288106680059839,1242013885.069153,22017.027573249157,1.566,-1
-6.97,0.0009396529058360961,0.000023338949023169914,1205306827.3705897,21664.258683065458,1.566,-1
-6.96,0.0009490965745408727,0.000023804285050115654,1169684627.1773117,21317.330567880446,1.566,-1
-6.95,0.0009586351536940199,0.000024277191891433666,1135115222.104574,20976.14260359317,1.566,-1
-6.94,0.0009682695971614017,0.000024757789110425478,1101567497.3543067,20640.595975293832,1.566,-1
-6.93,0.0009780008683953946,0.00002524619687873931,1069011257.7096951,20310.593643419063,1.566,-1
-6.92,0.0009878299405312295,0.00002574253791792386,1037417200.3574468,19986.040310559816,1.566,-1
-6.91,0.000997757796484312,0.000026246937265175223,1006756888.5132821,19666.842388909143,1.566,-1
-6.9,0.0010077854290485105,0.000026759520508421076,977002725.826908,19352.90796833777,1.566,-1
-6.89,0.0010179138409954387,0.00002728041658954534,948127931.5434406,19044.14678508444,1.566,-1
-6.88,0.0010281440451747298,0.000027809755917079766,920106516.3989176,18740.47019104933,1.566,-1
-6.87,0.0010384770646153282,0.00002834767006427056,892913259.2282068,18441.7911236789,1.566,-1
-6.86,0.0010489139326277882,0.000028894294245937025,866523684.2642546,18148.024076430032,1.566,-1
-6.85,0.0010594556929076101,0.000029449764432279496,840914039.1082436,17859.085069802608,1.566,-1
-6.84,0.0010701033996396044,0.00003001421879670874,816061273.3508304,17574.891622928957,1.566,-1
-6.83,0.0010808581176033184,0.000030587798752990464,791943017.8252217,17295.362725709692,1.566,-1
-6.82,0.0010917209222795108,0.000031170646217615776,768537564.473413,17020.418811484797,1.566,-1
-6.81,0.0011026928999577027,0.000031762906413830655,745823846.8074722,16749.98173022957,1.566,-1
-6.8,0.0011137751478448032,0.000032364726947176666,723781420.9482782,16483.974722265517,1.566,-1
-6.79,0.0011249687741748374,0.00003297625622604363,702390447.2246492,16222.322392475444,1.566,-1
-6.78,0.0011362748983197658,0.00003359764675355586,681631672.3163,15964.950685013326,1.566,-1
-6.77,0.0011476946509014264,0.00003422905240313241,661486411.9245536,15711.786858499252,1.566,-1
-6.76,0.0011592291739045914,0.000034870628123233015,641936533.9552118,15462.75946168969,1.566,-1
-6.75,0.0011708796207911744,0.00003552253446555881,622964442.1984454,15217.798309613803,1.566,-1
-6.74,0.0011826471566155727,0.000036184933294175894,604553060.4910192,14976.834460167052,1.566,-1
-6.73,0.0011945329581411752,0.00003685798649340434,586685817.3465906,14739.800191152599,1.566,-1
-6.72,0.0012065382139580404,0.000037541858955944334,569346631.0402548,14506.628977762008,1.566,-1
-6.71,0.0012186641246017523,0.000038236721724426565,552519895.1339056,14277.255470486836,1.566,-1
-6.7,0.001230911902673481,0.000038942746591524566,536190464.4293889,14051.615473452222,1.566,-1
-6.69,0.0012432827729612404,0.00003966010539776531,520343641.3368007,13829.645923164515,1.566,-1
-6.68,0.0012557779725623694,0.00004038897366305256,504965162.6456651,13611.28486766493,1.566,-1
-6.67,0.0012683987510072388,0.000041129533115524205,490041186.6870817,13396.471446081,1.566,-1
-6.66,0.0012811463703842113,0.000041881966079923864,475558280.87528914,13185.145868568114,1.566,-1
-6.65,0.001294022105465848,0.00004264645497642573,461503409.6174313,12977.24939663383,1.566,-1
-6.64,0.0013070272438363876,0.00004342318665181103,447863922.5806438,12772.724323837007,1.566,-1
-6.63,0.0013201630860205026,0.00004421235414306902,434627543.30590063,12571.513956854687,1.566,-1
-6.62,0.0013334309456133593,0.00004501415094729955,421782358.1583721,12373.562596909629,1.566,-1
-6.61,0.0013468321494119735,0.00004582877073203896,409316805.6043494,12178.815521551178,1.566,-1
-6.6,0.0013603680375478939,0.00004665641240924087,397219665.8050838,11987.218966782804,1.566,-1
-6.59,0.0013740399636212118,0.00004749728098615473,385480050.51817465,11798.720109529353,1.566,-1
-6.58,0.001387849294835929,0.000048351581811633476,374087393.2974159,11613.267050437613,1.566,-1
-6.57,0.0014017974121366744,0.00004921952051622729,363031439.9822814,11430.808797003434,1.566,-1
-6.56,0.0014158857103468033,0.0000501013088553097,352302239.4684883,11251.295247019125,1.566,-1
-6.55,0.0014301155983078744,0.00005099716450847581,341890134.75133145,11074.677172335045,1.566,-1
-6.54,0.0014444884990205433,0.000051907305396994555,331785754.23372716,10900.906202928958,1.566,-1
