a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399617067e-5,0.000000000000000e0,0.000000000000000e0,2.274049943262822e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.353461555914973e-9,7.650774075569398e-1,2.349225910895987e-1,6.174612935146071e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052474678191e-5,0.000000000000000e0,0.000000000000000e0,2.237573971021009e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.397948327315581e-9,7.668699805507172e-1,2.331300180513345e-1,6.165650069287452e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288107035019592e-5,0.000000000000000e0,0.000000000000000e0,2.201702757728958e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.443871515450243e-9,7.686530114092213e-1,2.313469871469072e-1,6.156734914076463e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895268333500e-5,0.000000000000000e0,0.000000000000000e0,2.166425868717167e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.491276780615867e-9,7.704264876822995e-1,2.295735108264239e-1,6.147867531762972e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428864803604e-5,0.000000000000000e0,0.000000000000000e0,2.131733057205348e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.540211216058221e-9,7.721903980031813e-1,2.278096004566075e-1,6.139047979179872e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719593805161e-5,0.000000000000000e0,0.000000000000000e0,2.097614260783408e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.590723392506769e-9,7.739447320787961e-1,2.260552663304805e-1,6.130276307791553e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779348179190e-5,0.000000000000000e0,0.000000000000000e0,2.064059597960368e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.642863404084153e-9,7.756894806799250e-1,2.243105176772117e-1,6.121552563743113e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524620190863943e-5,0.000000000000000e0,0.000000000000000e0,2.031059364779894e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.696682915632554e-9,7.774246356312116e-1,2.225753626721056e-1,6.112876787910289e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574254376455294e-5,0.000000000000000e0,0.000000000000000e0,1.998604031501079e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.752235211500533e-9,7.791501898010165e-1,2.208498084467485e-1,6.104249015950216e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624694352999472e-5,0.000000000000000e0,0.000000000000000e0,1.966684239343239e4,0.000000000000000e0,2.099748000000066e0,2.099748000000066e0,-2.099748000000066e0,-1.000000000000000e0,1.809575245835166e-9,7.808661370911419e-1,2.191338610992829e-1,6.095669278352791e-1
