a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720401104448e-5,0.000000000000000e0,0.000000000000000e0,2.274049941724483e4,0.000000000000000e0,2.720766858324750e0,2.720766858324750e0,-2.720766858324750e0,-1.000000000000000e0,-1.460452870820667e0,1.753759665603764e-9,5.105734970651615e-13
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052389332572e-5,2.647804296646711e-13,1.188307255118262e-6,2.237573969457603e4,7.060370662833485e-13,2.720766858324029e0,2.720766858324736e0,-2.720766858323323e0,-9.999999999994810e-1,-1.460447372080998e0,1.811403789371705e-9,5.346906508070619e-13
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106787983457e-5,1.065615250033428e-12,2.360857230833563e-6,2.201702756140086e4,2.786823432189560e-12,2.720766858321851e0,2.720766858324637e0,-2.720766858319064e0,-9.999999999979515e-1,-1.460441818078077e0,1.870909162711825e-9,5.599368849514218e-13
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895006361184e-5,2.412899315259545e-12,3.518421080347970e-6,2.166425867102431e4,6.189643449318489e-12,2.720766858318185e0,2.720766858324374e0,-2.720766858311995e0,-9.999999999954500e-1,-1.460436208256498e0,1.932334950354303e-9,5.863646331847509e-13
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428617293871e-5,4.317439569282366e-12,4.661753108372045e-6,2.131733055564344e4,1.086597102170821e-11,2.720766858313003e0,2.720766858323869e0,-2.720766858302137e0,-9.999999999920126e-1,-1.460430542055275e0,1.995742173785400e-9,6.140287468192989e-13
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719328269554e-5,6.790419042000380e-12,5.791589172371467e-6,2.097614259115720e4,1.677125257076521e-11,2.720766858306274e0,2.720766858323046e0,-2.720766858289503e0,-9.999999999876715e-1,-1.460424818907784e0,2.061193768953863e-9,6.429866055803454e-13
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779032849348e-5,9.843487792219551e-12,6.908647013460193e-6,2.064059596265580e4,2.386470177829622e-11,2.720766858297968e0,2.720766858321833e0,-2.720766858274103e0,-9.999999999824573e-1,-1.460419038241703e0,2.128754645758516e-9,6.732982334439608e-13
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619812256850e-5,1.348876680373783e-11,8.013627467783043e-6,2.031059363057578e4,3.210911259620344e-11,2.720766858288050e0,2.720766858320159e0,-2.720766858255941e0,-9.999999999763971e-1,-1.460413199478963e0,2.198491749371845e-9,7.050264197545251e-13
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253931586935e-5,1.773884325222231e-11,9.107215909261567e-6,1.998604029750806e4,4.147069080895350e-11,2.720766858276487e0,2.720766858317957e0,-2.720766858235016e0,-9.999999999695154e-1,-1.460407302035681e0,2.270474123455947e-9,7.382368458615879e-13
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693842923026e-5,2.260678861555879e-11,1.019008286081358e-5,1.966684237564567e4,5.191889435512331e-11,2.720766858263242e0,2.720766858315161e0,-2.720766858211323e0,-9.999999999618351e-1,-1.460401345322109e0,2.344772975329036e-9,7.729982175265771e-13
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952189993935e-5,2.810617964335865e-11,1.126288432258123e-5,1.935290795485927e4,6.342628163192301e-11,2.720766858248279e0,2.720766858311706e0,-2.720766858184853e0,-9.999999999533763e-1,-1.460395328742571e0,2.421461743142328e-9,8.093824033610640e-13
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041812741978e-5,3.425111981690661e-11,1.232626225752732e-5,1.904414677138748e4,7.596837062067124e-11,2.720766858231560e0,2.720766858307529e0,-2.720766858155592e0,-9.999999999441566e-1,-1.460389251695403e0,2.500616165129169e-9,8.474645795702714e-13
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975731483595e-5,4.105616804552574e-11,1.338084352931766e-5,1.874047017713056e4,8.952348677804119e-11,2.720766858213045e0,2.720766858302569e0,-2.720766858123522e0,-9.999999999341924e-1,-1.460383113572895e0,2.582314350989913e-9,8.873233812877396e-13
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767181114660e-5,4.853649849332748e-11,1.442724313235097e-5,1.844179110953483e4,1.040726721999842e-10,2.720766858192693e0,2.720766858296766e0,-2.720766858088620e0,-9.999999999234975e-1,-1.460376913761231e0,2.666636855478344e-9,9.290410608001542e-13
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.889429591520471e-5,5.670781161475246e-11,1.546606258957982e-5,1.814802406205715e4,1.195995460124002e-10,2.720766858170461e0,2.720766858290060e0,-2.720766858050861e0,-9.999999999120840e-1,-1.460370651640423e0,2.753666754257006e-9,9.727036529746503e-13
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.944976603676472e-5,6.558641129418224e-11,1.649789165609033e-5,1.785908505519728e4,1.360902145480475e-10,2.720766858146304e0,2.720766858282395e0,-2.720766858010214e0,-9.999999998999618e-1,-1.460364326584255e0,2.843489722091318e-9,1.018401148215234e-12
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,3.001422066977424e-5,7.518919829740784e-11,1.752330826923498e-5,1.757489160808759e4,1.535331663493196e-10,2.720766858120177e0,2.720766858273711e0,-2.720766857966644e0,-9.999999998871397e-1,-1.460357937960216e0,2.936194113454106e-9,1.066227673289525e-12
1.080858117603318e-3,9.241908124790585e2,-6.830000000000000e0,3.058780040947456e-5,8.553367688112040e-11,1.854287872961483e-5,1.729536271062861e4,1.719191757906010e-10,2.720766858092032e0,2.720766858263952e0,-2.720766857920113e0,-9.999999998736243e-1,-1.460351485129438e0,3.031871045614756e-9,1.116281680382647e-12
1.091720922279511e-3,9.149850100811499e2,-6.820000000000000e0,3.117064799542928e-5,9.663798082589397e-11,1.955715840755640e-5,1.702041879616022e4,1.912412224891270e-10,2.720766858061820e0,2.720766858253061e0,-2.720766857870579e0,-9.999999998594211e-1,-1.460344967446632e0,3.130614484289052e-9,1.168666144750978e-12
1.102692899957703e-3,9.058708069475719e2,-6.810000000000000e0,3.176290836449220e-5,1.085209033284166e-10,2.056669230690252e-5,1.674998171465771e4,2.114944162234017e-10,2.720766858029490e0,2.720766858240984e0,-2.720766857817996e0,-9.999999998445332e-1,-1.460338384260025e0,3.232521331928446e-9,1.223488771365528e-12
1.113775147844803e-3,8.968472916504176e2,-6.800000000000000e0,3.236472866720561e-5,1.212019073340857e-10,2.157201520434197e-5,1.648397470644252e4,2.326759199881805e-10,2.720766857994988e0,2.720766858227664e0,-2.720766857762312e0,-9.999999998289628e-1,-1.460331734911293e0,3.337691518729666e-9,1.280862210952138e-12
1.124968774174837e-3,8.879135618306368e2,-6.790000000000000e0,3.297625830548298e-5,1.347011471940725e-10,2.257365214979119e-5,1.622232237639737e4,2.547848856898861e-10,2.720766857958259e0,2.720766858213044e0,-2.720766857703474e0,-9.999999998127108e-1,-1.460325018735495e0,3.446228096448313e-9,1.340904285854258e-12
1.136274898319766e-3,8.790687241078031e2,-6.780000000000000e0,3.359764889855964e-5,1.490394498621321e-10,2.357211803333915e-5,1.596495066867623e4,2.778223742888363e-10,2.720766857919248e0,2.720766858197071e0,-2.720766857641426e0,-9.999999997957766e-1,-1.460318235061008e0,3.558237335102298e-9,1.403738226163082e-12
1.147694650901426e-3,8.703118939907722e2,-6.770000000000000e0,3.422905452682274e-5,1.642384596427561e-10,2.456792039945011e-5,1.571178684189906e4,3.017913563768584e-10,2.720766857877895e0,2.720766858179687e0,-2.720766857576104e0,-9.999999997781570e-1,-1.460311383209459e0,3.673828822653948e-9,1.469492916580094e-12
1.159229173904591e-3,8.616421957892370e2,-6.760000000000000e0,3.487063137300312e-5,1.803204247892786e-10,2.556155531259622e-5,1.546275944482231e4,3.266965549994581e-10,2.720766857834140e0,2.720766858160836e0,-2.720766857507444e0,-9.999999997598498e-1,-1.460304462495657e0,3.793115567762055e-9,1.538303154497913e-12
1.170879620791174e-3,8.530587625261516e2,-6.750000000000000e0,3.552253829080711e-5,1.973085423892827e-10,2.655351374103901e-5,1.521779829247508e4,3.525445459977737e-10,2.720766857787919e0,2.720766858140464e0,-2.720766857435374e0,-9.999999997408491e-1,-1.460297472227525e0,3.916214105698249e-9,1.610309919807431e-12
1.182647156615573e-3,8.445607358510367e2,-6.740000000000000e0,3.618493632650960e-5,2.152266662798204e-10,2.754427623979547e-5,1.497683444275277e4,3.793435767870805e-10,2.720766857739168e0,2.720766858118512e0,-2.720766857359825e0,-9.999999997211495e-1,-1.460290411706031e0,4.043244607524536e-9,1.685660656961954e-12
1.194532958141175e-3,8.361472659541433e2,-6.730000000000000e0,3.685798908389959e-5,2.340995371702456e-10,2.853431657417194e-5,1.473980017345844e4,4.071036111775318e-10,2.720766857687820e0,2.720766858094923e0,-2.720766857280716e0,-9.999999997007434e-1,-1.460283280225115e0,4.174330992632216e-9,1.764509569853187e-12
1.206538213958040e-3,8.278175114814696e2,-6.720000000000000e0,3.754186270870040e-5,2.539527739939239e-10,2.952410149861031e-5,1.450662895978363e4,4.358362846501216e-10,2.720766857633803e0,2.720766858069640e0,-2.720766857197967e0,-9.999999996796225e-1,-1.460276077071625e0,4.309601044745238e-9,1.847017930078868e-12
1.218664124601752e-3,8.195706394506283e2,-6.710000000000000e0,3.823672582614709e-5,2.748128310248556e-10,3.051409046998336e-5,1.427725545221982e4,4.655548586051645e-10,2.720766857577048e0,2.720766858042603e0,-2.720766857111494e0,-9.999999996577769e-1,-1.460268801525239e0,4.449186531494198e-9,1.933354399207955e-12
1.230911902673481e-3,8.114058251675432e2,-6.700000000000000e0,3.894274966574797e-5,2.967070909503273e-10,3.150473644938143e-5,1.405161545489206e4,4.962742093724913e-10,2.720766857517479e0,2.720766858013753e0,-2.720766857021205e0,-9.999999996351954e-1,-1.460261452858396e0,4.593223327670649e-9,2.023695365676799e-12
1.243282772961240e-3,8.033222521439820e2,-6.690000000000000e0,3.966010807658864e-5,3.196638604749722e-10,3.249648625603276e-5,1.382964590430666e4,5.280108094942629e-10,2.720766857455019e0,2.720766857983030e0,-2.720766856927008e0,-9.999999996118660e-1,-1.460254030336223e0,4.741851542274403e-9,2.118225296978028e-12
1.255777972562369e-3,7.953191120159054e2,-6.680000000000000e0,4.038897754079799e-5,3.437124014556440e-10,3.348978021369019e-5,1.361128484850475e4,5.607826893806376e-10,2.720766857389588e0,2.720766857950371e0,-2.720766856828806e0,-9.999999995877761e-1,-1.460246533216463e0,4.895215649470267e-9,2.217137107833968e-12
1.268398751007239e-3,7.873956044626324e2,-6.670000000000000e0,4.112953723782909e-5,3.688829588056696e-10,3.448505312461368e-5,1.339647142661379e4,5.946094445037140e-10,2.720766857321105e0,2.720766857915715e0,-2.720766856726496e0,-9.999999995629105e-1,-1.460238960749396e0,5.053464623574012e-9,2.320632545077449e-12
1.281146370384211e-3,7.795509371268042e2,-6.660000000000000e0,4.188196907878717e-5,3.952067945451384e-10,3.548273422049711e-5,1.318514584878913e4,6.295122138812182e-10,2.720766857249484e0,2.720766857878996e0,-2.720766856619972e0,-9.999999995372540e-1,-1.460231312177769e0,5.216752078191248e-9,2.428922589995623e-12
1.294022105465848e-3,7.717843255351499e2,-6.650000000000000e0,4.264645774593943e-5,4.227162212701896e-10,3.648324728203546e-5,1.297724937653821e4,6.655136661210740e-10,2.720766857174638e0,2.720766857840152e0,-2.720766856509124e0,-9.999999995107894e-1,-1.460223586736721e0,5.385236409636372e-9,2.542227878926261e-12
1.307027243836388e-3,7.640949930200377e2,-6.640000000000000e0,4.342319072120984e-5,4.514446115845792e-10,3.748701125298799e-5,1.277272430341982e4,7.026380063408242e-10,2.720766857096474e0,2.720766857799112e0,-2.720766856393836e0,-9.999999994835000e-1,-1.460215783653698e0,5.559080944762886e-9,2.660779142931763e-12
1.320163086020503e-3,7.564821706418094e2,-6.630000000000000e0,4.421235837739603e-5,4.814264834613335e-10,3.849444026302776e-5,1.257151393611096e4,7.409109655819065e-10,2.720766857014901e0,2.720766857755812e0,-2.720766856273990e0,-9.999999994553661e-1,-1.460207902148388e0,5.738454093340302e-9,2.784817667413257e-12
1.333430945613359e-3,7.489450971118824e2,-6.620000000000000e0,4.501415395559279e-5,5.126974671298797e-10,3.950594398394000e-5,1.237356257583430e4,7.803598050311027e-10,2.720766856929819e0,2.720766857710179e0,-2.720766856149460e0,-9.999999994263677e-1,-1.460199941432632e0,5.923529505117101e-9,2.914595772566120e-12
1.346832149411974e-3,7.414830187166231e2,-6.610000000000000e0,4.582877368112035e-5,5.452944188919418e-10,4.052192784385449e-5,1.217881550013911e4,8.210133180912749e-10,2.720766856841131e0,2.720766857662144e0,-2.720766856020117e0,-9.999999993964838e-1,-1.460191900710353e0,6.114486231713186e-9,3.050377315618617e-12
1.360368037547894e-3,7.340951892419727e2,-6.600000000000000e0,4.665641675535221e-5,5.792553927465953e-10,4.154279333850346e-5,1.198721894502874e4,8.629018391828035e-10,2.720766856748731e0,2.720766857611633e0,-2.720766855885829e0,-9.999999993656923e-1,-1.460183779177471e0,6.311508893490006e-9,3.192438215838156e-12
1.374039963621212e-3,7.267808698988284e2,-6.590000000000000e0,4.749728539531865e-5,6.146196691302130e-10,4.256893830170413e-5,1.179872008742802e4,9.060572540671466e-10,2.720766856652513e0,2.720766857558570e0,-2.720766855746455e0,-9.999999993339691e-1,-1.460175576021827e0,6.514787851550821e-9,3.341067003333692e-12
1.387849294835929e-3,7.195393292491600e2,-6.580000000000000e0,4.835158490139213e-5,6.514278220716820e-10,4.360075709889087e-5,1.161326702798363e4,9.505130097982412e-10,2.720766856552367e0,2.720766857502880e0,-2.720766855601854e0,-9.999999993012904e-1,-1.460167290423098e0,6.724519385028461e-9,3.496565392729460e-12
1.401797412136674e-3,7.123698431328683e2,-6.570000000000000e0,4.921952379352384e-5,6.897218993604676e-10,4.463864036150115e-5,1.143080877419132e4,9.963041066617198e-10,2.720766856448177e0,2.720766857444481e0,-2.720766855451873e0,-9.999999992676301e-1,-1.460158921552718e0,6.940905873822389e-9,3.659248882833305e-12
1.415885710346803e-3,7.052716945953658e2,-6.560000000000000e0,5.010131364059558e-5,7.295451246697533e-10,4.568297638359729e-5,1.125129522384334e4,1.043467165632154e-9,2.720766856339828e0,2.720766857383295e0,-2.720766855296361e0,-9.999999992329610e-1,-1.460150468573792e0,7.164155986952266e-9,3.829447383473821e-12
1.430115598307874e-3,6.982441738158852e2,-6.550000000000000e0,5.099716925366120e-5,7.709421645520584e-10,4.673415057528402e-5,1.107467714878996e4,1.092040414996660e-9,2.720766856227196e0,2.720766857319236e0,-2.720766855135155e0,-9.999999991972556e-1,-1.460141930641015e0,7.394484876699861e-9,4.007505870733101e-12
1.444488499020543e-3,6.912865780364916e2,-6.540000000000000e0,5.190730877212490e-5,8.139592356583942e-10,4.779254535248552e-5,1.090090617900885e4,1.142063695634693e-9,2.720766856110156e0,2.720766857252220e0,-2.720766854968093e0,-9.999999991604839e-1,-1.460133306900588e0,7.632114378717028e-9,4.193785071857507e-12
1.459005849786858e-3,6.843982114918092e2,-6.530000000000000e0,5.283195369578848e-5,8.586441207304747e-10,4.885854046758019e-5,1.072993478697639e4,1.193578488311085e-9,2.720766855988579e0,2.720766857182158e0,-2.720766854795001e0,-9.999999991226161e-1,-1.460124596490128e0,7.877273218282071e-9,4.388662181186147e-12
1.473669102353996e-3,6.775783853394423e2,-6.520000000000000e0,5.377132876635378e-5,9.050459390359327e-10,4.993251439408007e-5,1.056171627233506e4,1.246627996857507e-9,2.720766855862331e0,2.720766857108959e0,-2.720766854615702e0,-9.999999990836200e-1,-1.460115798538588e0,8.130197222893230e-9,4.592531608497562e-12
1.488479723059429e-3,6.708264175910939e2,-6.510000000000000e0,5.472566217467335e-5,9.532154481376727e-10,5.101484343057884e-5,1.039620474685109e4,1.301257125123236e-9,2.720766855731273e0,2.720766857032530e0,-2.720766854430015e0,-9.999999990434628e-1,-1.460106912166164e0,8.391129541393104e-9,4.805805761237713e-12
1.503439192977572e-3,6.641416330443619e2,-6.500000000000000e0,5.569518573437974e-5,1.003205304258433e-9,5.210590101120399e-5,1.023335511965659e4,1.357512460094695e-9,2.720766855595262e0,2.720766856952774e0,-2.720766854237750e0,-9.999999990021106e-1,-1.460097936484213e0,8.660320869824426e-9,5.028915862158817e-12
1.518549008067883e-3,6.575233632152207e2,-6.490000000000000e0,5.668013465386054e-5,1.055069632956098e-9,5.320605990255332e-5,1.007312308277088e4,1.415442405177046e-9,2.720766855454151e0,2.720766856869594e0,-2.720766854038709e0,-9.999999989595268e-1,-1.460088870595159e0,8.938029684222967e-9,5.262312803966686e-12
1.533810679324463e-3,6.509709462711725e2,-6.480000000000000e0,5.768074771430709e-5,1.108864293507654e-9,5.431569149006280e-5,9.915465096895392e3,1.475097171021840e-9,2.720766855307788e0,2.720766856782886e0,-2.720766853832691e0,-9.999999989156753e-1,-1.460079713592405e0,9.224522480560288e-9,5.506468042646782e-12
1.549225732927156e-3,6.444837269650616e2,-6.470000000000000e0,5.869726735762121e-5,1.164646992023006e-9,5.543516579113362e-5,9.760338377476892e3,1.536528803145236e-9,2.720766855156016e0,2.720766856692545e0,-2.720766853619488e0,-9.999999988705179e-1,-1.460070464560244e0,9.520074022055278e-9,5.761874531214085e-12
1.564795710394167e-3,6.380610565695528e2,-6.460000000000000e0,5.972993982873716e-5,1.222477496296416e-9,5.656485133829556e-5,9.607700881033774e3,1.599791203461738e-9,2.720766854998673e0,2.720766856598465e0,-2.720766853398882e0,-9.999999988240144e-1,-1.460061122573764e0,9.824967594079959e-9,6.029047695710285e-12
1.580522168736217e-3,6.317022928122535e2,-6.450000000000000e0,6.077901496235577e-5,1.282417204247381e-9,5.770511645716515e-5,9.457511291740257e3,1.664940232667496e-9,2.720766854835591e0,2.720766856500532e0,-2.720766853170651e0,-9.999999987761243e-1,-1.460051686698758e0,1.013949526689252e-8,6.308526455354361e-12
1.596406680612249e-3,6.254067998114887e2,-6.440000000000000e0,6.184474643406394e-5,1.344529554288020e-9,5.885632865581833e-5,9.309729008263612e3,1.732033711420851e-9,2.720766854666598e0,2.720766856398632e0,-2.720766852934565e0,-9.999999987268048e-1,-1.460042155991633e0,1.046395816643674e-8,6.600874288837618e-12
1.612450834486684e-3,6.191739480127129e2,-6.430000000000000e0,6.292739183540778e-5,1.408880134175552e-9,6.001885462240415e-5,9.164314130849423e3,1.801131455092642e-9,2.720766854491516e0,2.720766856292647e0,-2.720766852690384e0,-9.999999986760121e-1,-1.460032529499308e0,1.079866675345507e-8,6.906680348844413e-12
1.628656234788281e-3,6.130031141255517e2,-6.420000000000000e0,6.402721268219452e-5,1.475536640663706e-9,6.119306066601637e-5,9.021227448649937e3,1.872295336837380e-9,2.720766854310158e0,2.720766856182454e0,-2.720766852437863e0,-9.999999986237004e-1,-1.460022806259127e0,1.114394111117006e-8,7.226560626973482e-12
1.645024502070575e-3,6.068936810614740e2,-6.410000000000000e0,6.514447438671472e-5,1.544568765078005e-9,6.237931335715830e-5,8.880430427291029e3,1.945589367455274e-9,2.720766854122338e0,2.720766856067927e0,-2.720766852176749e0,-9.999999985698227e-1,-1.460012985298758e0,1.150011124179605e-8,7.561159171331936e-12
1.661557273173934e-3,6.008450378720822e2,-6.400000000000000e0,6.627944641334697e-5,1.616048455405005e-9,6.357797915371134e-5,8.741885196672938e3,2.021079716634876e-9,2.720766853927859e0,2.720766855948939e0,-2.720766851906779e0,-9.999999985143309e-1,-1.460003065636096e0,1.186751737215181e-8,7.911149359176943e-12
1.678256201389248e-3,5.948565796880164e2,-6.390000000000000e0,6.743240246008094e-5,1.690050243250834e-9,6.478942422809880e-5,8.605554539000341e3,2.098834745904278e-9,2.720766853726517e0,2.720766855825352e0,-2.720766851627682e0,-9.999999984571740e-1,-1.459993046279166e0,1.224651026865260e-8,8.277235227086557e-12
1.695122956623251e-3,5.889277076584686e2,-6.380000000000000e0,6.860362023918862e-5,1.766650715827953e-9,6.601401556716071e-5,8.471401877037311e3,2.178925125650669e-9,2.720766853518105e0,2.720766855697030e0,-2.720766851339180e0,-9.999999983983008e-1,-1.459982926226026e0,1.263745156196858e-8,8.660152861252530e-12
1.712159225565523e-3,5.830578288912948e2,-6.370000000000000e0,6.979338170311111e-5,1.845928935037570e-9,6.725212058462138e-5,8.339391262582691e3,2.261423861564227e-9,2.720766853302407e0,2.720766855563831e0,-2.720766851040983e0,-9.999999983376570e-1,-1.459972704464661e0,1.304071408164596e-8,9.060671850605372e-12
1.729366711857156e-3,5.772463563937266e2,-6.360000000000000e0,7.100197311850752e-5,1.927966536435118e-9,6.850410725704296e-5,8.209487365161773e3,2.346406355542223e-9,2.720766853079202e0,2.720766855425608e0,-2.720766850732796e0,-9.999999982751876e-1,-1.459962379972886e0,1.345668220099522e-8,9.479596805602459e-12
1.746747136261120e-3,5.714927090136708e2,-6.350000000000000e0,7.222968520758433e-5,2.012847974723200e-9,6.977034405416590e-5,8.081655460929951e3,2.433950454718342e-9,2.720766852848260e0,2.720766855282210e0,-2.720766850414309e0,-9.999999982108351e-1,-1.459951951718243e0,1.388575219256104e-8,9.917768945638549e-12
1.764302236834335e-3,5.657963113815958e2,-6.340000000000000e0,7.347681294706408e-5,2.100660016572390e-9,7.105120087585161e-5,7.955861421784375e3,2.524136572950308e-9,2.720766852609344e0,2.720766855133480e0,-2.720766850085207e0,-9.999999981445404e-1,-1.459941418657899e0,1.432833259449747e-8,1.037606775817003e-11
