a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,w_cpl,Omega_phi_test,Omega_DE_cpl
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720401104448e-5,0.000000000000000e0,0.000000000000000e0,2.274049941724483e4,0.000000000000000e0,1.000000000000000e1,1.000000000000000e1,-1.000000000000000e1,-1.000000000000000e0,-1.460452870820667e0,6.445828536310537e-9,5.105734970651615e-13
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052317816754e-5,1.945911687891073e-12,8.735063792835670e-6,2.237573969457603e4,3.815066973245434e-11,9.999999999961082e0,9.999999999999233e0,-9.999999999922931e0,-9.999999999923699e-1,-1.460447372080998e0,6.657695729530115e-9,5.346906508070619e-13
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106696517176e-5,7.832592849486141e-12,1.735431564339157e-5,2.201702756140086e4,1.505861357252328e-10,9.999999999843348e0,9.999999999993934e0,-9.999999999692763e0,-9.999999999698830e-1,-1.460441818078077e0,6.876403823379181e-9,5.599368849514218e-13
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894921050388e-5,1.773628981017308e-11,2.586342399218993e-5,2.166425867102431e4,3.344583502998928e-10,9.999999999645274e0,9.999999999979732e0,-9.999999999310816e0,-9.999999999331084e-1,-1.460436208256498e0,7.102170273936826e-9,5.863646331847509e-13
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428530843631e-5,3.173620979595429e-11,3.426791764252813e-5,2.131733055564344e4,5.871450897775453e-10,9.999999999365276e0,9.999999999952420e0,-9.999999998778131e0,-9.999999998825710e-1,-1.460430542055275e0,7.335219361666964e-9,6.140287468192989e-13
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719238109364e-5,4.991465854165755e-11,4.257320055121661e-5,2.097614259115720e4,9.062387025870552e-10,9.999999999001707e0,9.999999999907946e0,-9.999999998095468e0,-9.999999998187523e-1,-1.460424818907784e0,7.575782403514401e-9,6.429866055803454e-13
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778941924318e-5,7.235734569578706e-11,5.078454707732524e-5,2.064059596265580e4,1.289535110924532e-9,9.999999998552854e0,9.999999999842389e0,-9.999999997263318e0,-9.999999997420929e-1,-1.460419038241703e0,7.824097971547544e-9,6.732982334439608e-13
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619721870344e-5,9.915331766289379e-11,5.890711261867569e-5,2.031059363057578e4,1.735023958534671e-9,9.999999998016934e0,9.999999999751958e0,-9.999999996281909e0,-9.999999996529951e-1,-1.460413199478963e0,8.080412118349216e-9,7.050264197545251e-13
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253841741446e-5,1.303950781039743e-10,6.694593784813161e-5,1.998604029750806e4,2.240879297182950e-9,9.999999997392099e0,9.999999999632978e0,-9.999999995151219e0,-9.999999995518241e-1,-1.460407302035681e0,8.344978609362642e-9,7.382368458615879e-13
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693752882837e-5,1.661786927438052e-10,7.490595139718181e-5,1.966684237564567e4,2.805450777358482e-9,9.999999996676426e0,9.999999999481876e0,-9.999999993870976e0,-9.999999994389099e-1,-1.460401345322109e0,8.618059162406703e-9,7.729982175265771e-13
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952096725618e-5,2.066038820109517e-10,8.279197323550247e-5,1.935290795485927e4,3.427255416114079e-9,9.999999995867922e0,9.999999999295177e0,-9.999999992440667e0,-9.999999993145490e-1,-1.460395328742571e0,8.899923694580090e-9,8.093824033610640e-13
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041708416429e-5,2.517741516759084e-10,9.060871891338876e-5,1.904414677138748e4,4.104969971562747e-9,9.999999994964517e0,9.999999999069487e0,-9.999999990859546e0,-9.999999991790058e-1,-1.460389251695403e0,9.190850576781900e-9,8.474645795702714e-13
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975619803843e-5,3.017969087035915e-10,9.836080342214995e-5,1.874047017713056e4,4.837423824925413e-9,9.999999993964062e0,9.999999998801487e0,-9.999999989126637e0,-9.999999990325150e-1,-1.460383113572895e0,9.491126896082059e-9,8.873233812877396e-13
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767062178782e-5,3.567835701059883e-10,1.060527448148448e-4,1.844179110953483e4,5.623592341381300e-9,9.999999992864328e0,9.999999998487921e0,-9.999999987240736e0,-9.999999988752816e-1,-1.460376913761231e0,9.801048726183307e-9,9.290410608001542e-13
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.889429469163650e-5,4.168496778036191e-10,1.136889675455507e-4,1.814802406205715e4,6.462590670786645e-9,9.999999991663007e0,9.999999998125597e0,-9.999999985200416e0,-9.999999987074819e-1,-1.460370651640423e0,1.012092140622249e-8,9.727036529746503e-13
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.944976479773653e-5,4.821150208775188e-10,1.212738057771730e-4,1.785908505519728e4,7.353667983839743e-9,9.999999990357701e0,9.999999997711368e0,-9.999999983004033e0,-9.999999985292665e-1,-1.460364326584255e0,1.045105982816781e-8,1.018401148215234e-12
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,3.001421941565596e-5,5.527037631685944e-10,1.288115066484367e-4,1.757489160808759e4,8.296202122520121e-9,9.999999988945925e0,9.999999997242128e0,-9.999999980649722e0,-9.999999983407595e-1,-1.460357937960216e0,1.079178873307548e-8,1.066227673289525e-12
1.080858117603318e-3,9.241908124790585e2,-6.830000000000000e0,3.058779913913877e-5,6.287445786381570e-10,1.363062335604552e-4,1.729536271062861e4,9.289694653718678e-9,9.999999987425110e0,9.999999996714804e0,-9.999999978135415e0,-9.999999981420611e-1,-1.460351485129438e0,1.114344301647838e-8,1.116281680382647e-12
1.091720922279511e-3,9.149850100811499e2,-6.820000000000000e0,3.117064671228797e-5,7.103707868616184e-10,1.437620692644452e-4,1.702041879616022e4,1.033376627959757e-8,9.999999985792584e0,9.999999996126350e0,-9.999999975458818e0,-9.999999979332468e-1,-1.460344967446632e0,1.150636804318637e-8,1.168666144750978e-12
1.102692899957703e-3,9.058708069475719e2,-6.810000000000000e0,3.176290705989086e-5,7.977204829257246e-10,1.511830187580313e-4,1.674998171465771e4,1.142815258039562e-8,9.999999984045591e0,9.999999995473743e0,-9.999999972617438e0,-9.999999977143694e-1,-1.460338384260025e0,1.188091997178765e-8,1.223488771365528e-12
1.113775147844803e-3,8.968472916504176e2,-6.800000000000000e0,3.236472731121051e-5,8.909366399013270e-10,1.585730114536457e-4,1.648397470644252e4,1.257269998073902e-8,9.999999982181267e0,9.999999994753967e0,-9.999999969608567e0,-9.999999974854600e-1,-1.460331734911293e0,1.226746608914852e-8,1.280862210952138e-12
1.124968774174837e-3,8.879135618306368e2,-6.790000000000000e0,3.297625685524531e-5,9.901673499158626e-10,1.659359060648450e-4,1.622232237639737e4,1.376736246078053e-8,9.999999980196653e0,9.999999993964016e0,-9.999999966429291e0,-9.999999972465275e-1,-1.460325018735495e0,1.266638515521908e-8,1.340904285854258e-12
1.136274898319766e-3,8.790687241078031e2,-6.780000000000000e0,3.359764736057109e-5,1.095565919072912e-9,1.732754917172752e-4,1.596495066867623e4,1.501219801493174e-8,9.999999978088681e0,9.999999993100879e0,-9.999999963076483e0,-9.999999969975605e-1,-1.460318235061008e0,1.307806775846024e-8,1.403738226163082e-12
1.147694650901426e-3,8.703118939907722e2,-6.770000000000000e0,3.422905281514013e-5,1.207291042324683e-9,1.805954915626663e-4,1.571178684189906e4,1.630736578638053e-8,9.999999975854179e0,9.999999992161545e0,-9.999999959546813e0,-9.999999967385268e-1,-1.460311383209459e0,1.350291668221873e-8,1.469492916580094e-12
