a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399530292e-5,0.000000000000000e0,0.000000000000000e0,2.274049943352570e4,0.000000000000000e0,2.222203568164536e0,2.222203568164536e0,-2.222203568164536e0,-1.000000000000000e0,1.432394315265584e-9,7.650774074965501e-1,2.349225910710556e-1,6.174612933869366e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052414351211e-5,1.081393843667223e-13,4.852789722390143e-7,2.237573971112221e4,1.177478404486770e-13,2.222203568164415e0,2.222203568164533e0,-2.222203568164298e0,-9.999999999998941e-1,1.479475518403618e-9,7.668699804881964e-1,2.331300180323281e-1,6.165650067969508e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106821584136e-5,4.351864286736726e-13,9.641230199257405e-7,2.201702757821655e4,4.647665987753649e-13,2.222203568164052e0,2.222203568164517e0,-2.222203568163587e0,-9.999999999995816e-1,1.528076908912098e-9,7.686530113444965e-1,2.313469871274265e-1,6.156734912715980e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895040458029e-5,9.853883903812324e-13,1.436846802476581e-6,2.166425868811374e4,1.032264366893587e-12,2.222203568163441e0,2.222203568164473e0,-2.222203568162409e0,-9.999999999990712e-1,1.578246809958667e-9,7.704264876152954e-1,2.295735108064579e-1,6.147867530358595e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428653513065e-5,1.763163584355592e-12,1.903758520723332e-6,2.131733057301088e4,1.812148252613344e-12,2.222203568162576e0,2.222203568164389e0,-2.222203568160764e0,-9.999999999983689e-1,1.630035061228227e-9,7.721903979338203e-1,2.278096004361447e-1,6.139047977730197e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719367910556e-5,2.773078653060654e-12,2.365158680565307e-6,2.097614260880706e4,2.796987792126712e-12,2.222203568161455e0,2.222203568164252e0,-2.222203568158658e0,-9.999999999974828e-1,1.683493066054995e-9,7.739447320069975e-1,2.260552663095094e-1,6.130276306295150e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779073989464e-5,4.019887211511031e-12,2.821340607875560e-6,2.064059598059248e4,3.979981412823818e-12,2.222203568160069e0,2.222203568164049e0,-2.222203568156089e0,-9.999999999964181e-1,1.738673840009394e-9,7.756894806056058e-1,2.243105176557204e-1,6.121552562198498e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619853308197e-5,5.508539553155995e-12,3.272590499471414e-6,2.031059364880380e4,5.354924288615279e-12,2.222203568158415e0,2.222203568163770e0,-2.222203568153061e0,-9.999999999951806e-1,1.795632060984450e-9,7.774246355542860e-1,2.225753626500820e-1,6.112876786315928e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253971295578e-5,7.244177362572610e-12,3.719188343259197e-6,1.998604031603197e4,6.916180966317544e-12,2.222203568156487e0,2.222203568163403e0,-2.222203568149570e0,-9.999999999937753e-1,1.854424120827838e-9,7.791501897213959e-1,2.208498084241801e-1,6.104249014304537e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693881045646e-5,9.232139177408614e-12,4.161407801520690e-6,1.966684239447014e4,8.658657445278632e-12,2.222203568154278e0,2.222203568162937e0,-2.222203568145619e0,-9.999999999922070e-1,1.915108178567013e-9,7.808661370087349e-1,2.191338610761570e-1,6.095669276654163e-1
