a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720391974064e-5,0.000000000000000e0,0.000000000000000e0,2.274049951167679e4,0.000000000000000e0,1.288537261327531e1,1.288537261327531e1,-1.288537261327531e1,-1.000000000000000e0,8.305690180184179e-9,7.650774022379466e-1,2.349225894563631e-1,6.174612822696464e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052305919201e-5,2.507359110057539e-12,1.125545377440141e-5,2.237573979054729e4,6.334261983384350e-11,1.288537261321070e1,1.288537261327404e1,-1.288537261314735e1,-9.999999999901682e-1,8.578688948491239e-9,7.668699750440228e-1,2.331300163772883e-1,6.165649953206109e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106682876471e-5,1.009255395765544e-11,2.236167981177340e-5,2.201702765893566e4,2.500223620021370e-10,1.288537261301522e1,1.288537261326524e1,-1.288537261276520e1,-9.999999999611928e-1,8.860502471854080e-9,7.686530057084054e-1,2.313469854310920e-1,6.156734794247922e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894907063549e-5,2.285383169794552e-11,3.332598322097233e-5,2.166425877014723e4,5.553105788222646e-10,1.288537261268635e1,1.288537261324166e1,-1.288537261213104e1,-9.999999999138076e-1,9.151410950512048e-9,7.704264817807291e-1,2.295735090678600e-1,6.147867408068137e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428518064104e-5,4.089328092080970e-11,4.415548521030631e-5,2.131733065637943e4,9.748534370787896e-10,1.288537261222146e1,1.288537261319632e1,-1.288537261124661e1,-9.999999998486883e-1,9.451703378177168e-9,7.721903918940030e-1,2.278095986542936e-1,6.139047851495916e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719225992704e-5,6.431690794485323e-11,5.485715085222075e-5,2.097614269353163e4,1.504653499811652e-9,1.288537261161782e1,1.288537261312247e1,-1.288537261011317e1,-9.999999997664555e-1,9.761677815327736e-9,7.739447257549289e-1,2.260552644833932e-1,6.130276175991800e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778928918713e-5,9.323513216018282e-11,6.543777774788694e-5,2.064059606669439e4,2.141051378290924e-9,1.288537261087257e1,1.288537261301363e1,-1.288537260873152e1,-9.999999996676772e-1,1.008164167093761e-8,7.756894741340534e-1,2.243105157843050e-1,6.121552427696901e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619707650959e-5,1.277627245898990e-10,7.590400797521386e-5,2.031059373630468e4,2.880709213350664e-9,1.288537260998277e1,1.288537261286348e1,-1.288537260710206e1,-9.999999995528714e-1,1.041191199290040e-8,7.774246288557777e-1,2.225753607323104e-1,6.112876647482872e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253826601312e-5,1.680188846874201e-10,8.626233493533670e-5,1.998604040495378e4,3.720595214248106e-9,1.288537260894534e1,1.288537261266594e1,-1.288537260522475e1,-9.999999994225087e-1,1.075281576741601e-8,7.791501827882124e-1,2.208498064589720e-1,6.104248871002627e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693736826331e-5,2.141273822637578e-10,9.651910884118226e-5,1.966684248483517e4,4.657969185747994e-9,1.288537260775709e1,1.288537261241506e1,-1.288537260309912e1,-9.999999992770143e-1,1.110469022761459e-8,7.808661298329014e-1,2.191338590624084e-1,6.095669128741690e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952079777137e-5,2.662167172072976e-10,1.066805409448706e-4,1.935290806581990e4,5.690368908145109e-9,1.288537260641471e1,1.288537261210508e1,-1.288537260072434e1,-9.999999991167707e-1,1.146788317170194e-8,7.825724649144032e-1,2.174275236177135e-1,6.087137446070319e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041690676892e-5,3.244202683804909e-10,1.167527080435373e-4,1.904414688414698e4,6.815597417749727e-9,1.288537260491476e1,1.288537261173036e1,-1.288537259809917e1,-9.999999989421188e-1,1.184275329091838e-8,7.842691839697494e-1,2.157308041874972e-1,6.078653843296185e-1
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975602310322e-5,3.888764833758815e-10,1.267415585643676e-4,1.874047029171714e4,8.031711333662506e-9,1.288537260325368e1,1.288537261128539e1,-1.288537259522196e1,-9.999999987533598e-1,1.222967050761273e-8,7.859562839377808e-1,2.140437038325487e-1,6.070218335717683e-1
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767044809692e-5,4.597288684752702e-10,1.366529122216259e-4,1.844179122597710e4,9.337009209325703e-9,1.288537260142776e1,1.288537261076477e1,-1.288537259209075e1,-9.999999985507584e-1,1.262901632374262e-8,7.876337627483605e-1,2.123662246226232e-1,6.061830933677872e-1
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.889429451264747e-5,5.371262764913424e-10,1.464924692427010e-4,1.814802418038419e4,1.073002177241185e-8,1.288537259943317e1,1.288537261016319e1,-1.288537258870315e1,-9.999999983345423e-1,1.304118418011999e-8,7.893016193114862e-1,2.106983676473295e-1,6.053491642618889e-1
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.944976460578601e-5,6.212230538448597e-10,1.562658142890158e-4,1.785908517543857e4,1.220950235770458e-8,1.288537259726593e1,1.288537260947543e1,-1.288537258505643e1,-9.999999981049050e-1,1.346657982673322e-8,7.909598535062867e-1,2.090401330271335e-1,6.045200463136970e-1
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,3.001421920830586e-5,7.121792169580116e-10,1.659784208054974e-4,1.757489173027312e4,1.377441808654338e-8,1.288537259492193e1,1.288537260869634e1,-1.288537258114751e1,-9.999999978620070e-1,1.390562170448436e-8,7.926084661699272e-1,2.073915199244509e-1,6.036957391037927e-1
