a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198012114763305e-5,0.000000000000000e0,0.000000000000000e0,2.274782730457530e4,0.000000000000000e0,1.000000000000000e6,1.000000000000000e6,-1.000000000000000e6,-1.000000000000000e0,6.441676342195006e-4,7.645845704881548e-1,2.347712618776257e-1,6.164193794874835e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.242329501057396e-5,2.916805135414915e-7,1.309829233237786e0,2.238318699843148e4,8.578263101221427e-1,9.999991249588423e5,9.999999827851524e5,-9.999982671325322e5,-9.999982843473503e-1,6.653266072887138e-4,7.663597626196571e-1,2.329749107730541e-1,6.154894671877982e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.287368643885133e-5,1.174089784119011e-6,2.602276767800986e0,2.202459615809334e4,3.385922188118374e0,9.999964777368509e5,9.999998636590390e5,-9.999930918146627e5,-9.999932281547004e-1,6.871677643453887e-4,7.681248189468872e-1,2.311880132887672e-1,6.145632619779557e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333140873895899e-5,2.658616920937623e-6,3.878188695589747e0,2.167195046474195e4,7.520173779300053e0,9.999920241810442e5,9.999995443548235e5,-9.999845040072649e5,-9.999849596455882e-1,7.097126540068095e-4,7.698797074031130e-1,2.294105799428802e-1,6.136407370019250e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.379657694167755e-5,4.757111219691880e-6,5.138391034584592e0,2.132514747885830e4,1.320153121214966e1,9.999857287681759e5,9.999989302993881e5,-9.999725272369637e5,-9.999735969093322e-1,7.329834926262157e-4,7.716243963767451e-1,2.276426201306287e-1,6.127218638559195e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.426930782808067e-5,7.481895468204915e-6,6.383690381165462e0,2.098408660503753e4,2.037575144129222e1,9.999775545654980e5,9.999979303169394e5,-9.999571788140567e5,-9.999592484127744e-1,7.570031844585618e-4,7.733588546822175e-1,2.258841421333239e-1,6.118066125635964e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.474971995480769e-5,1.084577941359807e-5,7.614874561528985e0,2.064866905748242e4,2.899315729391063e1,9.999674631910926e5,9.999964563483865e5,-9.999384700337987e5,-9.999420134799282e-1,7.817953424121861e-4,7.750830515301268e-1,2.241351531274610e-1,6.108949515504993e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.523793368085121e-5,1.486207392336852e-5,8.832713246117205e0,2.031879782616308e4,3.900841164406717e1,9.999554147721807e5,9.999944231838248e5,-9.999164063605367e5,-9.999219827416240e-1,8.073843094007456e-4,7.767969564966393e-1,2.223956591939599e-1,6.099868476177444e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.573407119395518e-5,1.954460540314584e-5,1.003795855815767e1,1.999437764362914e4,5.038030600764538e1,9.999413679027192e5,9.999917482087269e5,-9.998909875967115e5,-9.998992385565222e-1,8.337951803124859e-4,7.785005394921368e-1,2.206656653275508e-1,6.090822659149155e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.623825653763819e-5,2.490773071132165e-5,1.123134566174843e1,1.967531495246215e4,6.307156268683769e1,9.999252795995743e5,9.999883511622611e5,-9.998622080368875e5,-9.998738554051885e-1,8.610538246125668e-4,7.801937707291086e-1,2.189451754462790e-1,6.081811699121498e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675061563866189e-5,3.096635258554220e-5,1.241359333089362e1,1.936151787335525e4,7.704864969240332e1,9.999071052572272e5,9.999841539069196e5,-9.998300566075348e5,-9.998459002587363e-1,8.891869095950265e-4,7.818766206892617e-1,2.172341924011433e-1,6.072835213713883e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.727127633472910e-5,3.773593548571583e-5,1.358540450533123e1,1.905289617380808e4,9.228160778673708e1,9.998867986013048e5,9.999790802090915e5,-9.997945169935180e5,-9.998154329233218e-1,9.182219243016331e-4,7.835490600898526e-1,2.155327179858458e-1,6.063892803167750e-1
