a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399615507e-5,3.000000000000000e-1,0.000000000000000e0,2.274049943264436e4,0.000000000000000e0,2.101950240044234e0,2.101950240044234e0,-2.101950240044234e0,-1.000000000000000e0,1.354881082083180e-9,7.650774075558537e-1,2.349225910892652e-1,6.174612935123112e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052490280554e-5,3.000000000000138e-1,6.182089123579163e-8,2.237573971022650e4,1.910911296593789e-15,2.101950240044232e0,2.101950240044234e0,-2.101950240044230e0,-9.999999999999983e-1,1.399414511725226e-9,7.668699805495929e-1,2.331300180509927e-1,6.165650069263751e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288107125340870e-5,3.000000000000555e-1,1.228225761903179e-7,2.201702757730625e4,7.542692611013221e-15,2.101950240044226e0,2.101950240044233e0,-2.101950240044218e0,-9.999999999999928e-1,1.445385864631841e-9,7.686530114080572e-1,2.313469871465569e-1,6.156734914051998e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895378239188e-5,3.000000000001256e-1,1.830439153922665e-7,2.166425868718861e4,1.675253748106561e-14,2.101950240044216e0,2.101950240044233e0,-2.101950240044199e0,-9.999999999999839e-1,1.492840848988979e-9,7.704264876810945e-1,2.295735108260648e-1,6.147867531737714e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428975805236e-5,3.000000000002247e-1,2.425245492131533e-7,2.131733057207070e4,2.940907848552160e-14,2.101950240044202e0,2.101950240044231e0,-2.101950240044173e0,-9.999999999999721e-1,1.541826607434351e-9,7.721903980019339e-1,2.278096004562395e-1,6.139047979153800e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719695891117e-5,3.000000000003534e-1,3.013029407811932e-7,2.097614260785158e4,4.539173106169760e-14,2.101950240044184e0,2.101950240044229e0,-2.101950240044138e0,-9.999999999999569e-1,1.592391761638964e-9,7.739447320775049e-1,2.260552663301033e-1,6.130276307764642e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779435803973e-5,3.000000000005122e-1,3.594165589497432e-7,2.064059597962147e4,6.459013142363711e-14,2.101950240044161e0,2.101950240044226e0,-2.101950240044097e0,-9.999999999999387e-1,1.644586458264755e-9,7.756894806785884e-1,2.243105176768252e-1,6.121552563715336e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524620262625839e-5,3.000000000007018e-1,4.169018923632792e-7,2.031059364781702e4,8.690359392804162e-14,2.101950240044134e0,2.101950240044221e0,-2.101950240044047e0,-9.999999999999172e-1,1.698462416340588e-9,7.774246356298281e-1,2.225753626717096e-1,6.112876787881614e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574254432243948e-5,3.000000000009229e-1,4.737946072563005e-7,1.998604031502916e4,1.122406649325760e-13,2.101950240044103e0,2.101950240044216e0,-2.101950240043991e0,-9.999999999998931e-1,1.754072976100269e-9,7.791501897995845e-1,2.208498084463426e-1,6.104249015920620e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624694414815103e-5,3.000000000011761e-1,5.301294902551595e-7,1.966684239345105e4,1.405186382190976e-13,2.101950240044067e0,2.101950240044208e0,-2.101950240043927e0,-9.999999999998664e-1,1.811473149327417e-9,7.808661370896599e-1,2.191338610988670e-1,6.095669278322238e-1
