a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720394086059e-5,2.000000000000000e-1,0.000000000000000e0,2.274049948983326e4,0.000000000000000e0,9.904974968406313e0,9.904974968406313e0,-9.904974968406313e0,-1.000000000000000e0,6.384576989519933e-9,7.650774037077470e-1,2.349225899076760e-1,6.174612853769728e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052300205928e-5,2.000000000048183e-1,2.163013619054784e-5,2.237573976834767e4,2.339313958108237e-10,9.904974968167689e0,9.904974968401621e0,-9.904974967933757e0,-9.999999999527648e-1,6.594430911340537e-9,7.668699765656907e-1,2.331300168398784e-1,6.165649985282928e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106678288830e-5,2.000000000193951e-1,4.297350430538335e-5,2.201702763637435e4,9.233610361424005e-10,9.904974967445773e0,9.904974968369133e0,-9.904974966522412e0,-9.999999998135561e-1,6.811060727914255e-9,7.686530072837151e-1,2.313469859052242e-1,6.156734827360206e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894900436503e-5,2.000000000439190e-1,6.404413522074407e-5,2.166425874721855e4,2.050825628086475e-9,9.904974966231229e0,9.904974968282055e0,-9.904974964180404e0,-9.999999995858999e-1,7.034681828913746e-9,7.704264834115133e-1,2.295735095538049e-1,6.147867442248802e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428505994765e-5,2.000000000785860e-1,8.485572002418716e-5,2.131733063307759e4,3.600246610411619e-9,9.904974964514350e0,9.904974968114598e0,-9.904974960914103e0,-9.999999992730426e-1,7.265516363545387e-9,7.721903935821557e-1,2.278095991523280e-1,6.139047886778899e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719212618312e-5,2.000000001236003e-1,1.054216261608735e-4,2.097614266985078e4,5.556859631201485e-9,9.904974962285026e0,9.904974967841886e0,-9.904974956728166e0,-9.999999988779659e-1,7.503793450629696e-9,7.739447275024067e-1,2.260552649937999e-1,6.130276212412098e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778916494217e-5,2.000000001791739e-1,1.257549199900496e-4,2.064059604262857e4,7.907149950851890e-9,9.904974959532749e0,9.904974967439900e0,-9.904974951625599e0,-9.999999984033981e-1,7.749749395166325e-9,7.756894759428777e-1,2.243105163073729e-1,6.121552465290629e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619696110106e-5,2.000000002455272e-1,1.458683719939796e-4,2.031059371184784e4,1.063879097408701e-8,9.904974956246610e0,9.904974966885401e0,-9.904974945607819e0,-9.999999978518288e-1,8.003627911582744e-9,7.774246307280370e-1,2.225753612683351e-1,6.112876686287259e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253815185301e-5,2.000000003228894e-1,1.657744617182133e-4,1.998604038009978e4,1.374058607898168e-8,9.904974952415257e0,9.904974966155843e0,-9.904974938674671e0,-9.999999972255184e-1,8.265680353872308e-9,7.791501847260643e-1,2.208498070082554e-1,6.104248911056074e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693725004954e-5,2.000000004114982e-1,1.854853930970075e-4,1.966684245957779e4,1.720241552617570e-8,9.904974948026913e0,9.904974965229329e0,-9.904974930824498e0,-9.999999965265101e-1,8.536165952833107e-9,7.808661318385750e-1,2.191338596252591e-1,6.095669170083806e-1
