a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
1.388794386496402e-11,7.200489933638586e10,-2.500000000000000e1,1.052219280444261e-20,2.000000000000000e-1,0.000000000000000e0,4.751861226006936e19,0.000000000000000e0,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.462192753926896e-39,4.959979705758865e-8,9.999999504002030e-1,9.999999752001014e-1
1.402752002126248e-11,7.128843861710435e10,-2.499000000000000e1,1.074310199796214e-20,2.000000000000000e-1,1.019809020968667e-20,4.657768070630712e19,5.200052196245358e-41,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.521865971474533e-39,5.009828328038519e-8,9.999999499017167e-1,9.999999749508584e-1
1.416849894125265e-11,7.057910680109213e10,-2.498000000000000e1,1.096401373176002e-20,2.000000000000000e-1,2.039612602009541e-20,4.565538084552172e19,2.080009783138066e-40,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.583974499189923e-39,5.060177937250479e-8,9.999999493982206e-1,9.999999746991106e-1
1.431089472294412e-11,6.987683295457597e10,-2.497000000000000e1,1.126398635557245e-20,2.000000000000000e-1,3.039884397360228e-20,4.475134374547420e19,4.620448574657079e-40,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.648617723964459e-39,5.111033568396245e-8,9.999999488896643e-1,9.999999744448318e-1
1.445472160603362e-11,6.918154684958652e10,-2.496000000000000e1,1.162292732775976e-20,2.000000000000000e-1,4.025588216777123e-20,4.386520777927460e19,8.102680245527409e-40,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.715899088745327e-39,5.162400307079616e-8,9.999999483759970e-1,9.999999741879986e-1
1.459999397332941e-11,6.849317895693336e10,-2.495000000000000e1,1.198186829994721e-20,2.000000000000000e-1,5.011292036194370e-20,4.299661848072396e19,1.255652393601255e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.785926258066456e-39,5.214283290015826e-8,9.999999478571671e-1,9.999999739285836e-1
1.474672635218919e-11,6.781166043925407e10,-2.494000000000000e1,1.234080927213453e-20,2.000000000000000e-1,5.996995855611267e-20,4.214522840252550e19,1.798197964610936e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.858811290334549e-39,5.266687705544721e-8,9.999999473331230e-1,9.999999736665615e-1
1.489493341597322e-11,6.713692314412847e10,-2.493000000000000e1,1.269975024432198e-20,2.000000000000000e-1,6.982699675028514e-20,4.131069697729864e19,2.437904737582165e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,1.934670817146624e-39,5.319618794149798e-8,9.999999468038121e-1,9.999999734019061e-1
1.504462998551128e-11,6.646889959726524e10,-2.492000000000000e1,1.305869121650930e-20,2.000000000000000e-1,7.968403494445411e-20,4.049269038134999e19,3.174772712514492e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,2.013626229925236e-39,5.373081848982499e-8,9.999999462691814e-1,9.999999731345905e-1
1.519583103058517e-11,6.580752299575256e10,-2.491000000000000e1,1.341763218869675e-20,2.000000000000000e-1,8.954107313862657e-20,3.969088140113696e19,4.008801889408436e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,2.095803874170856e-39,5.427082216391066e-8,9.999999457291778e-1,9.999999728645887e-1
1.534855167142537e-11,6.515272720137931e10,-2.490000000000000e1,1.377657316088420e-20,2.000000000000000e-1,9.939811133279904e-20,3.890494930238008e19,4.939992268263756e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,2.181335251641421e-39,5.481625296455416e-8,9.999999451837470e-1,9.999999725918733e-1
1.550280718022315e-11,6.450444673402067e10,-2.489000000000000e1,1.413551413307152e-20,2.000000000000000e-1,1.092551495269680e-19,3.813457970176409e19,5.968343849080069e-39,9.904974915589731e0,9.904974915589731e0,-9.904974915589731e0,-1.000000000000000e0,2.270357230783269e-39,5.536716543527377e-8,9.999999446328346e-1,9.999999723164172e-1
