lambda,w0_fit,wa_fit,dist_to_unite,w_a1,w_a03,w_min
0.5,-0.9627006622335794,-0.053198372747496725,0.5561789678374526,-0.9616197578175167,-0.9976323507654261,-1.0
0.6,-0.9459502924668907,-0.07684337681564567,0.5300088721633505,-0.9445800474662969,-0.9965077095869855,-1.0
0.7,-0.9258758335148589,-0.10497220683768048,0.49926084342496146,-0.9243153817573132,-0.9951063985489105,-1.0
0.8,-0.9023245087900006,-0.13767324742138634,0.46416994859277727,-0.9007544368464856,-0.9933839035259711,-1.0
0.9,-0.8751083389531299,-0.1750434463337015,0.42519068396656345,-0.8738078211680561,-0.9912807880731258,-1.0
1.0,-0.8439975847835512,-0.21718353073672964,0.3831938559820459,-0.8433638040266683,-0.988717176144412,-1.0
1.1,-0.808711956814657,-0.2641897737931809,0.33985665726189224,-0.8092823133290108,-0.985584385847515,-1.0
1.2,-0.7689086848597093,-0.31613979363728545,0.2984249102882519,-0.7713863261258658,-0.9817318985261977,-1.0
1.3,-0.7241660285121508,-0.3730677883805107,0.2649938950686415,-0.7294491779192211,-0.976946378434384,-1.0
1.4,-0.6739599247140758,-0.4349204593556463,0.24946992704996523,-0.6831751908096217,-0.9709165010122593,-1.0
1.5,-0.6176298405791291,-0.5014761060068667,0.26255664566738796,-0.6321687671222798,-0.9631710081759776,-1.0
1.6,-0.5543266735594362,-0.5721894994962102,0.3079317344613768,-0.5758822121252702,-0.9529627242301199,-1.0
1.7,-0.4829284976668769,-0.6458757514763116,0.3808446473956815,-0.513520907885349,-0.9390337720633629,-1.0
1.8,-0.4018922765530835,-0.720008126249259,0.4745332992472377,-0.4438527434399669,-0.9190885141607766,-1.0
1.9,-0.3089555091978908,-0.788945280858134,0.5834838806544009,-0.364765184902676,-0.8884243960938595,-1.0
2.0,-0.2003741921776262,-0.8384062478317201,0.7023275567469666,-0.2719641546657337,-0.8354576495798298,-1.0
