a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399380188e-5,3.000000000000000e-1,0.000000000000000e0,2.274049943507816e4,0.000000000000000e0,2.434025173668513e0,2.434025173668513e0,-2.434025173668513e0,-1.000000000000000e0,1.568930889792328e-9,7.650774073920890e-1,2.349225910389801e-1,6.174612931660937e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052402579753e-5,3.000000000001465e-1,6.576932496100225e-7,2.237573971269997e4,2.162802052912957e-13,2.434025173668293e0,2.434025173668509e0,-2.434025173668076e0,-9.999999999998223e-1,1.620499897805136e-9,7.668699803800489e-1,2.331300179994510e-1,6.165650065689758e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106794523872e-5,3.000000000005896e-1,1.306664877622815e-6,2.201702757982002e4,8.536865512065227e-13,2.434025173667626e0,2.434025173668479e0,-2.434025173666772e0,-9.999999999992987e-1,1.673733998242077e-9,7.686530112325367e-1,2.313469870937292e-1,6.156734910362629e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895014542978e-5,3.000000000013353e-1,1.947342352082826e-6,2.166425868974332e4,1.896071118107736e-12,2.434025173666503e0,2.434025173668399e0,-2.434025173664606e0,-9.999999999984419e-1,1.728686120460323e-9,7.704264874993929e-1,2.295735107719210e-1,6.147867527929314e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428628029915e-5,3.000000000023894e-1,2.580142781243417e-6,2.131733057466698e4,3.328568385801257e-12,2.434025173664915e0,2.434025173668243e0,-2.434025173661587e0,-9.999999999972651e-1,1.785410854889509e-9,7.721903978138405e-1,2.278096004007486e-1,6.139047975222578e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719341604281e-5,3.000000000037581e-1,3.205473520312271e-6,2.097614261049010e4,5.137530244711572e-12,2.434025173662854e0,2.434025173667992e0,-2.434025173657716e0,-9.999999999957785e-1,1.843964504656459e-9,7.739447318828014e-1,2.260552662732340e-1,6.130276303706697e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779047209910e-5,3.000000000054479e-1,3.823732072891118e-6,2.064059598230288e4,7.310463482628105e-12,2.434025173660309e0,2.434025173667620e0,-2.434025173652999e0,-9.999999999939930e-1,1.904405138803388e-9,7.756894804770497e-1,2.243105176185451e-1,6.121552559526648e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619826497183e-5,3.000000000074655e-1,4.435306292736934e-6,2.031059365054199e4,9.835970955195923e-12,2.434025173657271e0,2.434025173667107e0,-2.434025173647435e0,-9.999999999919178e-1,1.966792647148572e-9,7.774246354212214e-1,2.225753626119858e-1,6.112876783558041e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253944729725e-5,3.000000000098177e-1,5.040575621533267e-6,1.998604031779838e4,1.270370129819774e-11,2.434025173653729e0,2.434025173666433e0,-2.434025173641026e0,-9.999999999895617e-1,2.031188796839981e-9,7.791501895836696e-1,2.208498083851416e-1,6.104249011457876e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693854813802e-5,3.000000000125120e-1,5.639910932382004e-6,1.966684239626522e4,1.590429766260102e-11,2.434025173649672e0,2.434025173665576e0,-2.434025173633768e0,-9.999999999869318e-1,2.097657290653857e-9,7.808661368661883e-1,2.191338610361543e-1,6.095669273715911e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952199027984e-5,3.000000000155557e-1,6.233675224391768e-6,1.935290797581321e4,1.942935340159788e-11,2.434025173645088e0,2.434025173664518e0,-2.434025173625659e0,-9.999999999840352e-1,2.166263827091860e-9,7.825724721935944e-1,2.174275256401416e-1,6.087137595706746e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041814521388e-5,3.000000000189567e-1,6.822224023922438e-6,1.904414679268102e4,2.327137031629223e-11,2.434025173639967e0,2.434025173663239e0,-2.434025173616696e0,-9.999999999808784e-1,2.237076162331994e-9,7.842691915031861e-1,2.157308062597376e-1,6.078653997742538e-1
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975729933341e-5,3.000000000227231e-1,7.405904272539056e-6,1.874047019876904e4,2.742370904700612e-11,2.434025173634295e0,2.434025173661719e0,-2.434025173606872e0,-9.999999999774662e-1,2.310164174090221e-9,7.859562917340793e-1,2.140437059557566e-1,6.070218495126318e-1
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767181011353e-5,3.000000000268633e-1,7.985057131435395e-6,1.844179113152363e4,3.188056869614363e-11,2.434025173628061e0,2.434025173659942e0,-2.434025173596180e0,-9.999999999738041e-1,2.385599927451640e-9,7.876337708164213e-1,2.123662267979789e-1,6.061831098205896e-1
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.889429593199704e-5,3.000000000313859e-1,8.560014041736672e-6,1.814802408440177e4,3.663692019736449e-11,2.434025173621250e0,2.434025173657887e0,-2.434025173584613e0,-9.999999999698961e-1,2.463457742731375e-9,7.893016276605029e-1,2.106983698760393e-1,6.053491812428331e-1
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.944976611371995e-5,3.000000000363000e-1,9.131102766313276e-6,1.785908507790327e4,4.168851886448698e-11,2.434025173613851e0,2.434025173655539e0,-2.434025173572162e0,-9.999999999657453e-1,2.543814265427847e-9,7.909598621457559e-1,2.090401353104299e-1,6.045200638394941e-1
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,3.001422076291720e-5,3.000000000416149e-1,9.698641637292788e-6,1.757489163116063e4,4.703182480431466e-11,2.434025173605847e0,2.434025173652879e0,-2.434025173558815e0,-9.999999999613548e-1,2.626748538332340e-9,7.926084751096578e-1,2.073915222635936e-1,6.036957571916741e-1
1.080858117603318e-3,9.241908124790585e2,-6.830000000000000e0,3.058780050816236e-5,3.000000000473402e-1,1.026294467060184e-5,1.729536273407444e4,5.266401665591738e-11,2.434025173597225e0,2.434025173649889e0,-2.434025173544561e0,-9.999999999567267e-1,2.712342075861427e-9,7.942474683365376e-1,2.057525289511203e-1,6.028762604070470e-1
1.091720922279511e-3,9.149850100811499e2,-6.820000000000000e0,3.117064807758978e-5,3.000000000534861e-1,1.082431880978266e-5,1.702041881998464e4,5.858293884790738e-11,2.434025173587970e0,2.434025173646553e0,-2.434025173529387e0,-9.999999999518634e-1,2.800678940680143e-9,7.958768445462954e-1,2.041231526530258e-1,6.020615721254949e-1
1.102692899957703e-3,9.058708069475719e2,-6.810000000000000e0,3.176290840224063e-5,3.000000000600629e-1,1.138306574923355e-5,1.674998173886665e4,6.478709292568701e-11,2.434025173578067e0,2.434025173642854e0,-2.434025173513279e0,-9.999999999467654e-1,2.891845822686416e-9,7.974966073830400e-1,2.025033897251142e-1,6.012516905247887e-1
1.113775147844803e-3,8.968472916504176e2,-6.800000000000000e0,3.236472863495308e-5,3.000000000670815e-1,1.193948169218341e-5,1.648397473104197e4,7.127561153899142e-11,2.434025173567498e0,2.434025173638773e0,-2.434025173496222e0,-9.999999999414341e-1,2.985932120429213e-9,7.991067614036440e-1,2.008932356104237e-1,6.004466133263135e-1
1.124968774174837e-3,8.879135618306368e2,-6.790000000000000e0,3.297625816449915e-5,3.000000000745529e-1,1.249385712527560e-5,1.622232240139346e4,7.804823293339997e-11,2.434025173556247e0,2.434025173634295e0,-2.434025173478199e0,-9.999999999358690e-1,3.083030025035067e-9,8.007073120662335e-1,1.992926848507365e-1,5.996463378008232e-1
1.136274898319766e-3,8.790687241078031e2,-6.780000000000000e0,3.359764866433509e-5,3.000000000824887e-1,1.304647761989447e-5,1.596495069407510e4,8.510528914320367e-11,2.434025173544297e0,2.434025173629402e0,-2.434025173459192e0,-9.999999999300704e-1,3.183234606719968e-9,8.022982657186010e-1,1.977017310981644e-1,5.988508607742302e-1
1.147694650901426e-3,8.703118939907722e2,-6.770000000000000e0,3.422905412423224e-5,3.000000000909008e-1,1.359762357049064e-5,1.571178686770704e4,9.244768338238125e-11,2.434025173531629e0,2.434025173624077e0,-2.434025173439181e0,-9.999999999240371e-1,3.286643903965912e-9,8.038796295865678e-1,1.961203671267884e-1,5.980601786334283e-1
1.159229173904591e-3,8.616421957892370e2,-6.760000000000000e0,3.487063087735532e-5,3.000000000998017e-1,1.414757048983757e-5,1.546275947104577e4,1.000768753824615e-10,2.434025173518225e0,2.434025173618302e0,-2.434025173418148e0,-9.999999999177684e-1,3.393359015443952e-9,8.054514117622785e-1,1.945485848443625e-1,5.972742873321433e-1
1.170879620791174e-3,8.530587625261516e2,-6.750000000000000e0,3.552253764746237e-5,3.000000001092040e-1,1.469658932008848e-5,1.521779831912049e4,1.079948688216694e-10,2.434025173504067e0,2.434025173612062e0,-2.434025173396072e0,-9.999999999112622e-1,3.503484194768018e-9,8.070136211924513e-1,1.929863753040646e-1,5.964931823968063e-1
1.182647156615573e-3,8.445607358510367e2,-6.740000000000000e0,3.618493558353780e-5,3.000000001191211e-1,1.524494651428301e-5,1.497683446982669e4,1.162041971116748e-10,2.434025173489133e0,2.434025173605337e0,-2.434025173372929e0,-9.999999999045167e-1,3.617126948166185e-9,8.085662676665787e-1,1.914337287162944e-1,5.957168589324568e-1
1.194532958141175e-3,8.361472659541433e2,-6.730000000000000e0,3.685798829012547e-5,3.000000001295667e-1,1.579290427619660e-5,1.473980020096758e4,1.247079127385545e-10,2.434025173473403e0,2.434025173598111e0,-2.434025173348696e0,-9.999999998975295e-1,3.734398135159133e-9,8.101093618050863e-1,1.898906344605155e-1,5.949453116286607e-1
1.206538213958040e-3,8.278175114814696e2,-6.720000000000000e0,3.754186187816153e-5,3.000000001405548e-1,1.634072083974671e-5,1.450662898773475e4,1.335095787812662e-10,2.434025173456857e0,2.434025173590367e0,-2.434025173323347e0,-9.999999998902972e-1,3.855412072337918e-9,8.116429150474532e-1,1.883570810971348e-1,5.941785347654491e-1
1.218664124601752e-3,8.195706394506283e2,-6.710000000000000e0,3.823672498840925e-5,3.000000001521003e-1,1.688865052099374e-5,1.427725548061979e4,1.426132582101311e-10,2.434025173439471e0,2.434025173582084e0,-2.434025173296857e0,-9.999999998828167e-1,3.980286640336004e-9,8.131669396403023e-1,1.868330563794111e-1,5.934165222192760e-1
1.230911902673481e-3,8.114058251675432e2,-6.700000000000000e0,3.894274883995957e-5,3.000000001642181e-1,1.743694398085199e-5,1.405161548374790e4,1.520235076956852e-10,2.434025173421223e0,2.434025173573247e0,-2.434025173269200e0,-9.999999998750845e-1,4.109143394093795e-9,8.146814486254640e-1,1.853185472653925e-1,5.926592674689810e-1
1.243282772961240e-3,8.033222521439820e2,-6.690000000000000e0,3.966010726379628e-5,3.000000001769240e-1,1.798584835651086e-5,1.382964593362544e4,1.617453705517022e-10,2.434025173402090e0,2.434025173563835e0,-2.434025173240344e0,-9.999999998670964e-1,4.242107676516448e-9,8.161864558280119e-1,1.838135399298805e-1,5.919067636017787e-1
1.255777972562369e-3,7.953191120159054e2,-6.680000000000000e0,4.038897674786927e-5,3.000000001902342e-1,1.853560724572513e-5,1.361128487829367e4,1.717843679838890e-10,2.434025173382046e0,2.434025173553831e0,-2.434025173210262e0,-9.999999998588475e-1,4.379308735628994e-9,8.176819758442860e-1,1.823180197764052e-1,5.911590033192393e-1
1.268398751007239e-3,7.873956044626324e2,-6.670000000000000e0,4.112953646227679e-5,3.000000002041653e-1,1.908646136497022e-5,1.339647145688015e4,1.821465037182505e-10,2.434025173361068e0,2.434025173543214e0,-2.434025173178922e0,-9.999999998503333e-1,4.520879845336177e-9,8.191680240298969e-1,1.808319714492233e-1,5.904159789432923e-1
1.281146370384211e-3,7.795509371268042e2,-6.660000000000000e0,4.188196830512257e-5,3.000000002187349e-1,1.963864845041131e-5,1.318514587954037e4,1.928382564794212e-10,2.434025173339128e0,2.434025173531966e0,-2.434025173146290e0,-9.999999998415479e-1,4.666958429897415e-9,8.206446164877247e-1,1.793553788453169e-1,5.896776824222207e-1
1.294022105465848e-3,7.717843255351499e2,-6.650000000000000e0,4.264645699320440e-5,3.000000002339605e-1,2.019240244410722e-5,1.297724940778189e4,2.038665582323936e-10,2.434025173316201e0,2.434025173520067e0,-2.434025173112334e0,-9.999999998324860e-1,4.817686192230839e-9,8.221117700559084e-1,1.778882251264055e-1,5.889441053366733e-1
1.307027243836388e-3,7.640949930200377e2,-6.640000000000000e0,4.342319000164406e-5,3.000000002498609e-1,2.074795563030865e-5,1.277272433516354e4,2.152388314186282e-10,2.434025173292257e0,2.434025173507496e0,-2.434025173077018e0,-9.999999998231416e-1,4.973209246163771e-9,8.235695022958368e-1,1.764304927309539e-1,5.882152389056630e-1
1.320163086020503e-3,7.564821706418094e2,-6.630000000000000e0,4.421235766728640e-5,3.000000002664550e-1,2.130553753980378e-5,1.257151396836252e4,2.269629649299940e-10,2.434025173267268e0,2.434025173494231e0,-2.434025173040305e0,-9.999999998135082e-1,5.133678252750501e-9,8.250178314801440e-1,1.749821633861777e-1,5.874910739925714e-1
1.333430945613359e-3,7.489450971118824e2,-6.620000000000000e0,4.501415327777576e-5,3.000000002837626e-1,2.186537456356761e-5,1.237356260860156e4,2.390473024025547e-10,2.434025173241205e0,2.434025173480253e0,-2.434025173002158e0,-9.999999998035785e-1,5.299248560782506e-9,8.264567765807058e-1,1.735432181200456e-1,5.867716011111503e-1
1.346832149411974e-3,7.414830187166231e2,-6.610000000000000e0,4.582877304579254e-5,3.000000003018041e-1,2.242769099481201e-5,1.217881553343009e4,2.515006616793858e-10,2.434025173214037e0,2.434025173465538e0,-2.434025172962537e0,-9.999999997933460e-1,5.470080351618877e-9,8.278863572566554e-1,1.721136372732643e-1,5.860568104315120e-1
1.360368037547894e-3,7.340951892419727e2,-6.600000000000000e0,4.665641613261183e-5,3.000000003206005e-1,2.299270941509258e-5,1.198721897885154e4,2.643323431234434e-10,2.434025173185733e0,2.434025173450065e0,-2.434025172921400e0,-9.999999997828021e-1,5.646338788470133e-9,8.293065938424053e-1,1.706934005112559e-1,5.853466917861201e-1
1.374039963621212e-3,7.267808698988284e2,-6.590000000000000e0,4.749728476651511e-5,3.000000003401736e-1,2.356065004395050e-5,1.179872012179092e4,2.775521152467523e-10,2.434025173156258e0,2.434025173433811e0,-2.434025172878706e0,-9.999999997719398e-1,5.828194170271165e-9,8.307175073356972e-1,1.692824868361088e-1,5.846412346757637e-1
1.387849294835929e-3,7.195393292491600e2,-6.580000000000000e0,4.835158431283114e-5,3.000000003605459e-1,2.413173082881361e-5,1.161326706289501e4,2.911702163971567e-10,2.434025173125580e0,2.434025173416750e0,-2.434025172834410e0,-9.999999997607500e-1,6.015822090284785e-9,8.321191193856646e-1,1.678808745985134e-1,5.839404282755236e-1
1.401797412136674e-3,7.123698431328683e2,-6.570000000000000e0,4.921952317357950e-5,3.000000003817405e-1,2.470616847089908e-5,1.143080880965966e4,3.051973802562239e-10,2.434025173093664e0,2.434025173398861e0,-2.434025172788466e0,-9.999999997492243e-1,6.209403599580013e-9,8.335114522809295e-1,1.664885415096669e-1,5.832442614407281e-1
1.415885710346803e-3,7.052716945953658e2,-6.560000000000000e0,5.010131294576889e-5,3.000000004037814e-1,2.528417786168055e-5,1.125129525987728e4,3.196448250705485e-10,2.434025173060473e0,2.434025173380118e0,-2.434025172740828e0,-9.999999997373530e-1,6.409125375534979e-9,8.348945289377256e-1,1.651054646531491e-1,5.825527227128862e-1
1.430115598307874e-3,6.982441738158852e2,-6.550000000000000e0,5.099716853815714e-5,3.000000004266934e-1,2.586597179773375e-5,1.107467718539826e4,3.345242485205789e-10,2.434025173025971e0,2.434025173360495e0,-2.434025172691446e0,-9.999999997251265e-1,6.615179895518287e-9,8.362683728880511e-1,1.637316204967690e-1,5.818658003256150e-1
1.444488499020543e-3,6.912865780364916e2,-6.540000000000000e0,5.190730803195017e-5,3.000000004505021e-1,2.645176220431627e-5,1.090090621620041e4,3.498478618568474e-10,2.434025172990118e0,2.434025173339966e0,-2.434025172640271e0,-9.999999997125357e-1,6.827765615907458e-9,8.376330082678660e-1,1.623669849043684e-1,5.811834822105360e-1
1.459005849786858e-3,6.843982114918092e2,-6.530000000000000e0,5.283195285110895e-5,3.000000004752338e-1,2.704175952666170e-5,1.072993482476023e4,3.656283791488993e-10,2.434025172952876e0,2.434025173318504e0,-2.434025172587247e0,-9.999999996995689e-1,7.047087156608036e-9,8.389884598053194e-1,1.610115331475935e-1,5.805057560031657e-1
1.473669102353996e-3,6.775783853394423e2,-6.520000000000000e0,5.377132783318716e-5,3.000000005009157e-1,2.763617287284286e-5,1.056171631072037e4,3.818790255288278e-10,2.434025172914202e0,2.434025173296081e0,-2.434025172532323e0,-9.999999996862161e-1,7.273355491241640e-9,8.403347528090288e-1,1.596652399176157e-1,5.798326090487746e-1
1.488479723059429e-3,6.708264175910939e2,-6.510000000000000e0,5.472566122537119e-5,3.000000005275761e-1,2.823521028776930e-5,1.039620478584717e4,3.986135499972766e-10,2.434025172874055e0,2.434025173272669e0,-2.434025172475442e0,-9.999999996724656e-1,7.506788143176941e-9,8.416719131563986e-1,1.583280793368133e-1,5.791640284082249e-1
1.503439192977572e-3,6.641416330443619e2,-6.500000000000000e0,5.569518471314683e-5,3.000000005552440e-1,2.883907893150990e-5,1.023335515927288e4,4.158462368089291e-10,2.434025172832391e0,2.434025173248237e0,-2.434025172416545e0,-9.999999996583059e-1,7.747609387582435e-9,8.429999672819903e-1,1.570000249704003e-1,5.785000008637857e-1
1.518549008067883e-3,6.575233632152207e2,-6.490000000000000e0,5.668013353490584e-5,3.000000005839493e-1,2.944798500739507e-5,1.007312312301696e4,4.335919104978824e-10,2.434025172789165e0,2.434025173222757e0,-2.434025172355573e0,-9.999999996437244e-1,7.996050459685163e-9,8.443189421659469e-1,1.556810498380026e-1,5.778405129249260e-1
1.533810679324463e-3,6.509709462711725e2,-6.480000000000000e0,5.768074655676001e-5,3.000000006137230e-1,3.006213380796593e-5,9.915465137781037e3,4.518659445440242e-10,2.434025172744330e0,2.434025173196196e0,-2.434025172292464e0,-9.999999996287088e-1,8.252349769425905e-9,8.456288653224682e-1,1.543711264251821e-1,5.771855508340664e-1
1.549225732927156e-3,6.444837269650616e2,-6.470000000000000e0,5.869726620057768e-5,3.000000006445971e-1,3.068173017966567e-5,9.760338419011972e3,4.706842834089034e-10,2.434025172697837e0,2.434025173168522e0,-2.434025172227153e0,-9.999999996132460e-1,8.516753122706538e-9,8.469297647883445e-1,1.530702266949025e-1,5.765351005723218e-1
