a,z,N,t,phi,phidot,H,KE,PE,rho_phi,P_phi,w_phi,Omega_phi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399592880e-5,5.000000000000000e-1,0.000000000000000e0,2.274049943287837e4,0.000000000000000e0,2.133880164541268e0,2.133880164541268e0,-2.133880164541268e0,-1.000000000000000e0,1.375462563875518e-9,7.650774075401072e-1,2.349225910844302e-1,6.174612934790211e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052439926853e-5,5.000000000000530e-1,2.379743951500895e-7,2.237573971046433e4,2.831590637352547e-14,2.133880164541239e0,2.133880164541267e0,-2.133880164541210e0,-9.999999999999734e-1,1.420672483862101e-9,7.668699805332907e-1,2.331300180460368e-1,6.165650068920099e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106881647771e-5,5.000000000002133e-1,4.727934254395996e-7,2.201702757754795e4,1.117668115694551e-13,2.133880164541151e0,2.133880164541263e0,-2.133880164541039e0,-9.999999999998951e-1,1.467342170057072e-9,7.686530113911805e-1,2.313469871414773e-1,6.156734913697253e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333895098904861e-5,5.000000000004832e-1,7.046104896378319e-7,2.166425868743425e4,2.482379710538327e-13,2.133880164541004e0,2.133880164541253e0,-2.133880164540756e0,-9.999999999997673e-1,1.515518024981995e-9,7.704264876636233e-1,2.295735108208587e-1,6.147867531371525e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428708009179e-5,5.000000000008645e-1,9.335768549491065e-7,2.131733057232034e4,4.357828720483325e-13,2.133880164540797e0,2.133880164541232e0,-2.133880164540361e0,-9.999999999995917e-1,1.565247907400402e-9,7.721903979838483e-1,2.278096004509038e-1,6.139047978775798e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719425689899e-5,5.000000000013599e-1,1.159840113374363e-6,2.097614260810528e4,6.726145442961278e-13,2.133880164540527e0,2.133880164541199e0,-2.133880164539854e0,-9.999999999993694e-1,1.616581177576548e-9,7.739447320587837e-1,2.260552663246352e-1,6.130276307374454e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475779139996452e-5,5.000000000019713e-1,1.383544686048555e-6,2.064059597987929e4,9.570979491465973e-13,2.133880164540193e0,2.133880164541150e0,-2.133880164539236e0,-9.999999999991031e-1,1.669568743931175e-9,7.756894806592100e-1,2.243105176712214e-1,6.121552563312576e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619924928824e-5,5.000000000027013e-1,1.604831132895542e-6,2.031059364807903e4,1.287741482555394e-12,2.133880164539796e0,2.133880164541084e0,-2.133880164538508e0,-9.999999999987930e-1,1.724263111137180e-9,7.774246356097699e-1,2.225753626659670e-1,6.112876787465886e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574254044984585e-5,5.000000000035525e-1,1.823836612799545e-6,1.998604031529542e4,1.663189995094058e-12,2.133880164539332e0,2.133880164540995e0,-2.133880164537669e0,-9.999999999984412e-1,1.780718429699499e-9,7.791501897788237e-1,2.208498084404580e-1,6.104249015491516e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693953737586e-5,5.000000000045274e-1,2.040695367619195e-6,1.966684239372164e4,2.082218791711220e-12,2.133880164538801e0,2.133880164540883e0,-2.133880164536718e0,-9.999999999980483e-1,1.838990547064765e-9,7.808661370681725e-1,2.191338610928370e-1,6.095669277879328e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952296279844e-5,5.000000000056287e-1,2.255538283597008e-6,1.935290797322836e4,2.543726474385868e-12,2.133880164538200e0,2.133880164540744e0,-2.133880164535657e0,-9.999999999976159e-1,1.899137060307732e-9,7.825724724026406e-1,2.174275256982223e-1,6.087137600004056e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041908206175e-5,5.000000000068593e-1,2.468493954829709e-6,1.904414679005427e4,3.046731202515410e-12,2.133880164537530e0,2.133880164540577e0,-2.133880164534483e0,-9.999999999971443e-1,1.961217370442905e-9,7.842691917195337e-1,2.157308063192489e-1,6.078654002177983e-1
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975822641383e-5,5.000000000082221e-1,2.679687941629561e-6,1.874047019609972e4,3.590363732257437e-12,2.133880164536788e0,2.133880164540378e0,-2.133880164533197e0,-9.999999999966348e-1,2.025292738411238e-9,7.859562919579758e-1,2.140437060167315e-1,6.070218499704263e-1
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767267918497e-5,5.000000000097200e-1,2.889243252886118e-6,1.844179112881108e4,4.173863287173980e-12,2.133880164535972e0,2.133880164540146e0,-2.133880164531798e0,-9.999999999960879e-1,2.091426342793522e-9,7.876337710481223e-1,2.123662268604515e-1,6.061831102930861e-1
