run,model,w0_fit,wa_fit,w0_plus_wa,w_a03,w_a1,w_min,class,omega_today,dist_to_unite
mass (dust),spinor-flrw,0,0,0,0,0,0,constant,0.699916011,1.049438421
lambda-mass v0=0.7 m=0.3,spinor-flrw,-0.7286269299,0.9850008809,0.2563739509,-0.05926951474,-0.699999989,-0.699999989,freezing,0.6999160033,1.590518916
power n=0.236,spinor-flrw,-0.3829781479,0.4970652425,0.1140870946,-0.04549895692,-0.3819999924,-0.3819999924,freezing,0.6999160068,1.196685856
power n=0.5,spinor-flrw,-0.2598173312,0.2629713584,0.003154027276,-0.0705636833,-0.2499999967,-0.2499999967,freezing,0.6999160082,1.051731984
power n=0.9,spinor-flrw,-0.05084249526,0.01275064657,-0.03809184869,-0.04106702615,-0.04999999987,-0.04999999987,freezing,0.6999160104,1.01578469
lorentz v0=1 m=1 s1=1.5,spinor-flrw,-1.051926426,-0.182630718,-1.234557144,-1.056998083,-0.842657359,-1.249204128,mixed,0.6999160017,0.4589662489
"expdamp (1.566, 0.839, 2.21) reference",spinor-flrw,-0.9782206019,-0.2445154894,-1.222736091,-1.000016813,-0.8608456434,-1.302098815,mixed,0.6999052282,0.374312579
expdamp s1=1.5,spinor-flrw,-1.080054896,0.03215721262,-1.047897684,-1.000000009,-0.9280905769,-1.216616577,mixed,0.6999160008,0.6690349685
expdamp s1=3.0,spinor-flrw,-0.8513150872,-0.569180731,-1.420495818,-1.000988188,-0.815067628,-1.38780008,mixed,0.699916002,0.03230518342
hilltop v0=1 mu=0.05 s*=1.5 (from N0=-0.5),spinor-flrw,-0.5264761358,-4.028512579,-4.554988715,nan,-0.9493670886,-3.405682864,thawing,0.699916,3.444793857
"Unite CPL (w0, wa)",reference,-0.861,-0.6,-1.461,-1.281,-0.861,nan,CPL line,0.699916,0
Unite constant w,reference,-0.764,0,-0.764,-0.764,-0.764,-0.764,constant,0.699916,0.6077902599
