run,a_cross_numeric,a_cross_analytic,abs_error,n_crossings,min_V
mass (dust),nan,nan,nan,0,2.099748109812547
lambda-mass v0=0.7 m=0.3,nan,nan,nan,0,2.099748032969373
power n=0.236,nan,nan,nan,0,2.09974806789654
power n=0.5,nan,nan,nan,0,2.099748082398911
power n=0.9,nan,nan,nan,0,2.099748104363529
lorentz v0=1 m=1 s1=1.5,0.8735804796864727,0.8735804647362989,1.4950173765626573e-08,1,1.240760183935013
"expdamp (1.566, 0.839, 2.21) reference",0.7677195193462832,0.7677195064595127,1.2886770539566328e-08,1,1.566
expdamp s1=1.5,0.8735804796880229,0.8735804647362989,1.4951723970035857e-08,1,1.646772956923354
expdamp s1=3.0,0.6933612858086352,0.6933612743506348,1.145800043733658e-08,1,1.517280932102653
hilltop v0=1 mu=0.05 s*=1.5 (from N0=-0.5),0.8735804647762783,0.8735804647362989,3.997935316135681e-11,1,1.181124759635604
