a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399995296e-5,1.318815734483215e9,2.274049942871634e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.009416747767823e-9,7.650774078201606e-1,2.349225911704226e-1,6.174612940710860e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052301336270e-5,1.279838839249493e9,2.237573970623445e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.042595150158050e-9,7.668699808232269e-1,2.331300181341780e-1,6.165650075031963e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106680040106e-5,1.242013885152441e9,2.201702757324916e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.076844837582841e-9,7.686530116913374e-1,2.313469872318177e-1,6.156734920006417e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894902322448e-5,1.205306827358819e9,2.166425868306545e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.112199863664424e-9,7.704264879743503e-1,2.295735109134499e-1,6.147867537884260e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428508388126e-5,1.169684626956675e9,2.131733056788045e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.148695350723717e-9,7.721903983055061e-1,2.278096005457985e-1,6.139047985498560e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719215197294e-5,1.135115221687011e9,2.097614260359317e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.186367522994570e-9,7.739447323917452e-1,2.260552664218873e-1,6.130276314313921e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778919203060e-5,1.101567496711188e9,2.064059597529383e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.225253740863236e-9,7.756894810038604e-1,2.243105177708859e-1,6.121552570475626e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619699033935e-5,1.069011256930850e9,2.031059364341906e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.265392536164548e-9,7.774246359665072e-1,2.225753627681002e-1,6.112876794859614e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253818265730e-5,1.037417199627382e9,1.998604031055979e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.306823648567332e-9,7.791501901480589e-1,2.208498085451175e-1,6.104249023123234e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693728250838e-5,1.006756887808130e9,1.966684238890914e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.349588063082470e-9,7.808661374503303e-1,2.191338612000816e-1,6.095669285756589e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952070912368e-5,9.770027251312850e8,1.935290796833780e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.393728048728124e-9,7.825724727981598e-1,2.174275258081121e-1,6.087137608134641e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041681642434e-5,9.481279308928417e8,1.904414678508441e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.439287198387646e-9,7.842691921288675e-1,2.157308064318453e-1,6.078654010569917e-1
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.780975592230335e-5,9.201065158393189e8,1.874047019104933e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.486310469896786e-9,7.859562923815923e-1,2.140437061320973e-1,6.070218508365828e-1
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.834767033836882e-5,8.929132587676896e8,1.844179112367890e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.534844228398067e-9,7.876337714865052e-1,2.123662269786507e-1,6.061831111870593e-1
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.889429440019904e-5,8.665236838852419e8,1.814802407643006e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.584936290001041e-9,7.893016283539214e-1,2.106983700611423e-1,6.053491826531667e-1
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.944976449792678e-5,8.409140388008612e8,1.785908506980258e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.636635966788737e-9,7.909598628632976e-1,2.090401355000666e-1,6.045200652950797e-1
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,3.001421910728674e-5,8.160612731160021e8,1.757489162292895e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.689994113211421e-9,7.926084758521372e-1,2.073915224578685e-1,6.036957586939431e-1
1.080858117603318e-3,9.241908124790585e2,-6.830000000000000e0,3.058779882119416e-5,7.919430176617800e8,1.729536272570971e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.745063173910503e-9,7.942474691047965e-1,2.057525291501404e-1,6.028762619574755e-1
1.091720922279511e-3,9.149850100811499e2,-6.820000000000000e0,3.117064638181251e-5,7.685375643746709e8,1.702041881148480e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.801897233016251e-9,7.958768453412025e-1,2.041231528569003e-1,6.020615737256043e-1
1.102692899957703e-3,9.058708069475719e2,-6.810000000000000e0,3.176290671308169e-5,7.458238467664461e8,1.674998173022957e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.860552064964701e-9,7.974966082054934e-1,2.025033899339547e-1,6.012516921761495e-1
1.113775147844803e-3,8.968472916504176e2,-6.800000000000000e0,3.236472695372777e-5,7.237814209601564e8,1.648397472226552e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.921085186880359e-9,7.991067622545706e-1,2.008932358243442e-1,6.004466150305443e-1
1.124968774174837e-3,8.879135618306368e2,-6.790000000000000e0,3.297625649078610e-5,7.023904472894688e8,1.622232239247544e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.983555912572743e-9,8.007073129465905e-1,1.992926850698536e-1,5.996463395595930e-1
1.136274898319766e-3,8.790687241078031e2,-6.780000000000000e0,3.359764699362494e-5,6.816316724333733e8,1.596495068501332e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.048025408196300e-9,8.022982666293773e-1,1.977017313225972e-1,5.988508625892606e-1
1.147694650901426e-3,8.703118939907722e2,-6.770000000000000e0,3.422905244849095e-5,6.614864120903671e8,1.571178685849925e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.114556749624697e-9,8.038796305287847e-1,1.961203673566586e-1,5.980601805064940e-1
1.159229173904591e-3,8.616421957892370e2,-6.760000000000000e0,3.487062919357719e-5,6.419365341666251e8,1.546275946168969e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.183214981592160e-9,8.054514127369908e-1,1.945485850797943e-1,5.972742892650751e-1
1.170879620791174e-3,8.530587625261516e2,-6.750000000000000e0,3.552253595461569e-5,6.229644424526401e8,1.521779830961380e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.254067178656069e-9,8.070136222007479e-1,1.929863755451851e-1,5.964931843914922e-1
1.182647156615573e-3,8.445607358510367e2,-6.740000000000000e0,3.618493388101209e-5,6.045530607850096e8,1.497683446016705e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.327182508036577e-9,8.085662687095844e-1,1.914337289632333e-1,5.957168609908432e-1
1.194532958141175e-3,8.361472659541433e2,-6.730000000000000e0,3.685798658252780e-5,5.866858176771044e8,1.473980019115260e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.402632294390990e-9,8.101093628839623e-1,1.898906347134054e-1,5.949453137527543e-1
1.206538213958040e-3,8.278175114814696e2,-6.720000000000000e0,3.754186016651631e-5,5.693466314038792e8,1.450662897776201e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.480490086582180e-9,8.116429161633989e-1,1.883570813561110e-1,5.941785369573205e-1
1.218664124601752e-3,8.195706394506283e2,-6.710000000000000e0,3.823672327572255e-5,5.525198955271226e8,1.427725547048684e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.560831726502118e-9,8.131669407945561e-1,1.868330566446122e-1,5.934165244810585e-1
1.230911902673481e-3,8.114058251675432e2,-6.700000000000000e0,3.894274712665798e-5,5.361904648504989e8,1.405161547345222e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.643735420013732e-9,8.146814498193048e-1,1.853185475369598e-1,5.926592698028770e-1
1.243282772961240e-3,8.033222521439820e2,-6.690000000000000e0,3.966010554855172e-5,5.203436417864643e8,1.382964592316451e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.729281810075926e-9,8.161864570627598e-1,1.838135402079584e-1,5.919067660100565e-1
1.255777972562369e-3,7.953191120159054e2,-6.680000000000000e0,4.038897502288441e-5,5.049651631219152e8,1.361128486766493e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.817554052118699e-9,8.176819771213047e-1,1.823180200611413e-1,5.911590058042393e-1
1.268398751007239e-3,7.873956044626324e2,-6.670000000000000e0,4.112953472353913e-5,4.900411871879713e8,1.339647144608098e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,2.908637891737461e-9,8.191680253505940e-1,1.808319717407682e-1,5.904159815074275e-1
1.281146370384211e-3,7.795509371268042e2,-6.660000000000000e0,4.188196655754605e-5,4.755582813988559e8,1.318514586856811e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.002621744777571e-9,8.206446178535536e-1,1.793553791438247e-1,5.896776850679801e-1
1.294022105465848e-3,7.717843255351499e2,-6.650000000000000e0,4.264645520644690e-5,4.615034101616549e8,1.297724939663385e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.099596779882447e-9,8.221117714683700e-1,1.778882254320333e-1,5.889441080666216e-1
1.307027243836388e-3,7.640949930200377e2,-6.640000000000000e0,4.342318816828561e-5,4.478639231434129e8,1.277272432383699e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.199657003580694e-9,8.235695037564804e-1,1.764304930438626e-1,5.882152417224460e-1
1.320163086020503e-3,7.564821706418094e2,-6.630000000000000e0,4.421235580023410e-5,4.346275438849925e8,1.257151395685469e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.302899347990081e-9,8.250178329905693e-1,1.749821637065314e-1,5.874910768989170e-1
1.333430945613359e-3,7.489450971118824e2,-6.620000000000000e0,4.501415136186379e-5,4.217823587514198e8,1.237356259690963e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.409423761218826e-9,8.264567781425644e-1,1.735432184480118e-1,5.867716041098703e-1
1.346832149411974e-3,7.414830187166231e2,-6.610000000000000e0,4.582877105907238e-5,4.093168062093890e8,1.217881552155119e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.519333300546421e-9,8.278863588716523e-1,1.721136376090145e-1,5.860568135255078e-1
1.360368037547894e-3,7.340951892419727e2,-6.600000000000000e0,4.665641408868024e-5,3.972196664235016e8,1.198721896678279e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.632734228469661e-9,8.293065955123008e-1,1.706934008549649e-1,5.853466949783808e-1
1.374039963621212e-3,7.267808698988284e2,-6.590000000000000e0,4.749728268367636e-5,3.854800511487452e8,1.179872010952935e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.749736111701240e-9,8.307175090623087e-1,1.692824871879554e-1,5.846412379693737e-1
1.387849294835929e-3,7.195393292491600e2,-6.580000000000000e0,4.835158215918700e-5,3.740873939389130e8,1.161326705043763e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.870451923211896e-9,8.321191211708682e-1,1.678808749586800e-1,5.839404316736627e-1
1.401797412136674e-3,7.123698431328683e2,-6.570000000000000e0,4.921952095911580e-5,3.630314406334583e8,1.143080879700343e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,3.994998147408876e-9,8.335114541266618e-1,1.664885418783400e-1,5.832442649466729e-1
1.415885710346803e-3,7.052716945953658e2,-6.560000000000000e0,5.010131070349550e-5,3.523022401280543e8,1.125129524701912e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.123494888547124e-9,8.348945308459861e-1,1.651054650305191e-1,5.825527263300170e-1
1.430115598307874e-3,6.982441738158852e2,-6.550000000000000e0,5.099716623655576e-5,3.418901354179325e8,1.107467717233504e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.256065982472189e-9,8.362683748609036e-1,1.637316208830305e-1,5.818658040574167e-1
1.444488499020543e-3,6.912865780364916e2,-6.540000000000000e0,5.190730567551914e-5,3.317857549059204e8,1.090090620292896e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.392839111796886e-9,8.376330103074409e-1,1.623669852997201e-1,5.811834860606013e-1
1.459005849786858e-3,6.843982114918092e2,-6.530000000000000e0,5.283195046013468e-5,3.219800039673747e8,1.072993481127731e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.533945924616973e-9,8.389884619138159e-1,1.610115335522383e-1,5.805057599752006e-1
1.473669102353996e-3,6.775783853394423e2,-6.520000000000000e0,5.377132540296145e-5,3.124640567644031e8,1.056171629702270e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.679522156874113e-9,8.403347549887171e-1,1.596652403317607e-1,5.798326131465970e-1
1.488479723059429e-3,6.708264175910939e2,-6.510000000000000e0,5.472565874042269e-5,3.032293483050821e8,1.039620477193144e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.829707758478038e-9,8.416719154096221e-1,1.583280797606703e-1,5.791640326357739e-1
1.503439192977572e-3,6.641416330443619e2,-6.500000000000000e0,5.569518218459874e-5,2.942675667267080e8,1.023335514513569e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,4.984647023303020e-9,8.429999696111675e-1,1.570000254041855e-1,5.785000052251228e-1
1.518549008067883e-3,6.575233632152207e2,-6.490000000000000e0,5.668013097584618e-5,2.855706458206884e8,1.007312310865490e4,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,5.144488723177115e-9,8.443189445735746e-1,1.556810502819367e-1,5.778405174242351e-1
1.533810679324463e-3,6.509709462711725e2,-6.480000000000000e0,5.768074393619095e-5,2.771307577711281e8,9.915465123190610e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,5.309386245986756e-9,8.456288678111231e-1,1.543711268794907e-1,5.771855554756660e-1
1.549225732927156e-3,6.444837269650616e2,-6.470000000000000e0,5.869726352353239e-5,2.689403061090371e8,9.760338404189652e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,5.479497738022620e-9,8.469297673606865e-1,1.530702271598159e-1,5.765351053606618e-1
1.564795710394167e-3,6.380610565695528e2,-6.460000000000000e0,5.972993588666766e-5,2.609919188749977e8,9.607700908170516e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,5.654986250696459e-9,8.482216717703271e-1,1.517783225746867e-1,5.758891528048642e-1
1.580522168736217e-3,6.317022928122535e2,-6.450000000000000e0,6.077901092114978e-5,2.532784419838986e8,9.457511319307541e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,5.836019891763112e-9,8.495046100879560e-1,1.504953840760241e-1,5.752476832839821e-1
1.596406680612249e-3,6.254067998114887e2,-6.440000000000000e0,6.184474232598992e-5,2.457929327857775e8,9.309729036268080e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,6.022771981185408e-9,8.507786118500534e-1,1.492213821271745e-1,5.746106820294292e-1
1.612450834486684e-3,6.191739480127129e2,-6.430000000000000e0,6.292738766121764e-5,2.385286538169694e8,9.164314159297812e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,6.215421211784022e-9,8.520437070704616e-1,1.479562867141172e-1,5.739781340339265e-1
1.628656234788281e-3,6.130031141255517e2,-6.420000000000000e0,6.402720840632117e-5,2.314790667375831e8,9.021227477549095e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,6.414151814819138e-9,8.532999262292467e-1,1.467000673566013e-1,5.733500240570728e-1
1.645024502070575e-3,6.068936810614740e2,-6.410000000000000e0,6.514447001954694e-5,2.246378264431755e8,8.880430456647922e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,6.619153730654555e-9,8.545473002616333e-1,1.454526931192129e-1,5.727263366308757e-1
1.661557273173934e-3,6.008450378720822e2,-6.400000000000000e0,6.627944199811785e-5,2.179987753550486e8,8.741885226494625e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,6.830622784660088e-9,8.557858605470111e-1,1.442141326223661e-1,5.721070560652490e-1
1.678256201389248e-3,5.948565796880164e2,-6.390000000000000e0,6.743239793936305e-5,2.115559378790610e8,8.605554569293970e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,7.048760868512433e-9,8.570156388980223e-1,1.429843540532166e-1,5.714921664534667e-1
1.695122956623251e-3,5.889277076584686e2,-6.380000000000000e0,6.860361560276341e-5,2.053035150265568e8,8.471401907810174e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,7.273776127059695e-9,8.582366675497287e-1,1.417633251764952e-1,5.708816516775834e-1
1.712159225565523e-3,5.830578288912948e2,-6.370000000000000e0,6.979337697293964e-5,1.992358791948812e8,8.339391293842156e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,7.505883150920422e-9,8.594489791488515e-1,1.405510133452652e-1,5.702754954138076e-1
1.729366711857156e-3,5.772463563937266e2,-6.360000000000000e0,7.100196832359274e-5,1.933475691021596e8,8.209487396915349e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,7.745303174991726e-9,8.606526067431067e-1,1.393473855115899e-1,5.696736811378398e-1
1.746747136261120e-3,5.714927090136708e2,-6.350000000000000e0,7.222968028241218e-5,1.876332848717741e8,8.081655493185232e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,7.992264283048352e-9,8.618475837706124e-1,1.381524082371231e-1,5.690761921301655e-1
1.764302236834335e-3,5.657963113815958e2,-6.340000000000000e0,7.347680789696551e-5,1.820878832621191e8,7.955861454549100e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,8.247001618618088e-9,8.630339440493926e-1,1.369660477036058e-1,5.684830114813006e-1
1.782033769101492e-3,5.601565938529907e2,-6.330000000000000e0,7.474365070159184e-5,1.767063730381183e8,7.832071737961366e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,8.509757602326765e-9,8.642117217669611e-1,1.357882697232812e-1,5.678941220970042e-1
1.799943506230591e-3,5.545729924514030e2,-6.320000000000000e0,7.603051278529482e-5,1.714839104779083e8,7.710253374949089e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,8.780782155909680e-9,8.653809514700012e-1,1.346190397492167e-1,5.673095067034353e-1
1.818033239210271e-3,5.490449488120395e2,-6.310000000000000e0,7.733770286065815e-5,1.664157950118626e8,7.590373961323494e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,9.060332933094088e-9,8.665416680541330e-1,1.334583228855340e-1,5.667291478522678e-1
1.836304777028907e-3,5.435719101259290e2,-6.300000000000000e0,7.866553433383090e-5,1.614974649939461e8,7.472401647083710e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,9.348675557562972e-9,8.676939067537751e-1,1.323060838975494e-1,5.661530279257614e-1
1.854759946855503e-3,5.381533290846430e2,-6.290000000000000e0,8.001432537554869e-5,1.567244935951303e8,7.356305126509154e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,9.646083868216493e-9,8.688377031320972e-1,1.311622872218189e-1,5.655811291417834e-1
1.873400594222423e-3,5.327886638255613e2,-6.280000000000000e0,8.138439899323634e-5,1.520925848189454e8,7.242053628436728e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,9.952840171954792e-9,8.699730930710722e-1,1.300268969760877e-1,5.650134335587833e-1
1.892228583209940e-3,5.274773778776872e2,-6.270000000000000e0,8.277608310420029e-5,1.475975696347948e8,7.129616906719504e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.026923550421166e-8,8.711001127616228e-1,1.288998769691416e-1,5.644499230807176e-1
1.911245796632638e-3,5.222189401080007e2,-6.260000000000000e0,8.418971060992826e-5,1.432354022255471e8,7.018965230863128e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.059556989747683e-8,8.722187986938645e-1,1.277811907105654e-1,5.638905794619273e-1
1.930454136227709e-3,5.170128246683420e2,-6.250000000000000e0,8.562561947151390e-5,1.390021563460248e8,6.910069376836627e3,-0.000000000000000e0,1.566000000000000e0,1.566000000000000e0,-1.566000000000000e0,-1.000000000000000e0,1.093215265805105e-8,8.733291876474493e-1,1.266708014203979e-1,5.633353843119697e-1
