a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720399938058e-5,1.318815734483215e9,2.274049942930833e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.061481610729903e-9,7.650774077803271e-1,2.349225911581914e-1,6.174612939868731e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052301277857e-5,1.279838839249495e9,2.237573970683609e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.096371327080071e-9,7.668699807819875e-1,2.331300181216411e-1,6.165650074162639e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106679980450e-5,1.242013885152452e9,2.201702757386060e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.132387584441538e-9,7.686530116486443e-1,2.313469872189681e-1,6.156734919109028e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894902261493e-5,1.205306827358835e9,2.166425868368685e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.169566192893580e-9,7.704264879301539e-1,2.295735109002801e-1,6.147867536957916e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428508325804e-5,1.169684626956699e9,2.131733056851196e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.207944086336735e-9,7.721903982597549e-1,2.278096005323011e-1,6.139047984542347e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719215133540e-5,1.135115221687040e9,2.097614260423495e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.247559357420214e-9,7.739447323443861e-1,2.260552664080545e-1,6.130276313326883e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778919137812e-5,1.101567496711215e9,2.064059597594605e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.288451293547406e-9,7.756894809548388e-1,2.243105177567101e-1,6.121552569456783e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619698967118e-5,1.069011256930876e9,2.031059364408188e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.330660413992611e-9,7.774246359157664e-1,2.225753627535733e-1,6.112876793807960e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253818197267e-5,1.037417199627407e9,1.998604031123336e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.374228508163176e-9,7.791501900955404e-1,2.208498085302312e-1,6.104249022037731e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693728180648e-5,1.006756887808155e9,1.966684238959365e4,-0.000000000000000e0,1.646772956923354e0,1.646772956923354e0,-1.646772956923354e0,-1.000000000000000e0,1.419198675042193e-9,7.808661373959738e-1,2.191338611848276e-1,6.095669284636163e-1
