a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
6.065306597126334e-1,6.487212707001282e-1,-5.000000000000000e-1,3.791759084117610e-1,4.481689070338065e0,1.318649178146180e0,-2.841411593953735e0,1.181124759635604e0,1.181124759635604e0,-4.022536353589340e0,-3.405682863536243e0,2.264206235212448e-1,7.732224245664130e-1,3.569519123421918e-4,-6.564967802600709e-1
6.069640506621979e-1,6.475440331416658e-1,-4.992857142857143e-1,3.797176548729678e-1,4.472095733158911e0,1.318324705158067e0,-2.826206936822737e0,1.187197195247540e0,1.187197195247540e0,-4.013404132070276e0,-3.380570766285757e0,2.276967467910699e-1,7.719471444736323e-1,3.561087352979185e-4,-6.544393943027424e-1
6.073977512873117e-1,6.463676361669297e-1,-4.985714285714286e-1,3.802595350678770e-1,4.462522931115108e0,1.317998380931138e0,-2.811073838707344e0,1.193237126182765e0,1.193237126182765e0,-4.004310964890109e0,-3.355838397100612e0,2.289685053765749e-1,7.706762260324042e-1,3.552685910208456e-4,-6.523943188086616e-1
6.078317618092505e-1,6.451920791757171e-1,-4.978571428571428e-1,3.808015498225895e-1,4.452970620257638e0,1.317670218432035e0,-2.796011979604571e0,1.199244705434023e0,1.199244705434023e0,-3.995256685038595e0,-3.331477443206769e0,2.302359274104098e-1,7.694096411283670e-1,3.544314612232297e-4,-6.503614824447452e-1
6.082660824494482e-1,6.440173615682541e-1,-4.971428571428572e-1,3.813436999576968e-1,4.443438756721938e0,1.317340230557519e0,-2.781021040894668e0,1.205220085315910e0,1.205220085315910e0,-3.986241126210578e0,-3.307479832752466e0,2.314990407972366e-1,7.681473618749972e-1,3.535973277662974e-4,-6.483408144437172e-1
6.087007134294973e-1,6.428434827451948e-1,-4.964285714285714e-1,3.818859862894360e-1,4.433927296743125e0,1.317008430133689e0,-2.766100705359448e0,1.211163417458133e0,1.211163417458133e0,-3.977264122817581e0,-3.283837726179560e0,2.327578732145779e-1,7.668893606127627e-1,3.527661726594058e-4,-6.463322446046948e-1
6.091356549711480e-1,6.416704421076214e-1,-4.957142857142857e-1,3.824284096302678e-1,4.424436196644933e0,1.316674829917286e0,-2.751250657159178e0,1.217074852815307e0,1.217074852815307e0,-3.968325509974485e0,-3.260543507899332e0,2.340124521160832e-1,7.656356099058585e-1,3.519379780580971e-4,-6.443357032830185e-1
6.095709072963093e-1,6.404982390570442e-1,-4.950000000000000e-1,3.829709707888450e-1,4.414965412839172e0,1.316339442596154e0,-2.736470581826154e0,1.222954541670080e0,1.222954541670080e0,-3.959425123496233e0,-3.237589778348753e0,2.352628047337828e-1,7.643860825399547e-1,3.511127262626223e-4,-6.423511213844990e-1
6.100064706270488e-1,6.393268729953996e-1,-4.942857142857143e-1,3.835136705695789e-1,4.405514901835687e0,1.316002280788873e0,-2.721760166274637e0,1.228802633629746e0,1.228802633629746e0,-3.950562799904383e0,-3.214969346407456e0,2.365089580793598e-1,7.631407515209233e-1,3.502903997169233e-4,-6.403784303640030e-1
6.104423451855927e-1,6.381563433250526e-1,-4.935714285714285e-1,3.840565097726825e-1,4.396084620241628e0,1.315663357045241e0,-2.707119098793997e0,1.234619277629567e0,1.234619277629567e0,-3.941738376423564e0,-3.192675222107001e0,2.377509389463881e-1,7.618995900726047e-1,3.494709810071745e-4,-6.384175622197079e-1
6.108785311943259e-1,6.369866494487937e-1,-4.928571428571429e-1,3.845994891944010e-1,4.386674524756665e0,1.315322683847063e0,-2.692547069035614e0,1.240404621938554e0,1.240404621938554e0,-3.932951690974169e0,-3.170700609634615e0,2.389887739129054e-1,7.606625716342345e-1,3.486544528601760e-4,-6.364684494857875e-1
6.113150288757924e-1,6.358177907698406e-1,-4.921428571428572e-1,3.851426096271460e-1,4.377284572170412e0,1.314980273608761e0,-2.678043768003333e0,1.246158814163828e0,1.246158814163828e0,-3.924202582167161e0,-3.149038900631858e0,2.402224893437541e-1,7.594296698581040e-1,3.478407981418590e-4,-6.345310252260846e-1
