a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,1.774379540227223e-5,1.318815734483215e9,2.817886414177043e4,8.307542102548982e8,8.307542117247218e8,8.307542117247218e8,-1.469823598861694e0,-1.769264068585130e-9,3.487420616212548e-1,4.982627358200670e-1,1.529952025586781e-1,5.764976003538138e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,1.810148298787501e-5,1.279838839249608e9,2.773819806102709e4,8.062017129110059e8,8.062017143808295e8,8.062017143808295e8,-1.469823598861694e0,-1.823146189572356e-9,3.492737707960554e-1,4.990224114310781e-1,1.517038177728665e-1,5.758519079312674e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,1.846485184343928e-5,1.242013885152559e9,2.730459888482683e4,7.823748513963946e8,7.823748528662182e8,7.823748528662182e8,-1.469823598861694e0,-1.878669331212279e-9,3.498017889753341e-1,4.997768136386113e-1,1.504213973860546e-1,5.752106977072844e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,1.883398984110900e-5,1.205306827358899e9,2.687794940593567e4,7.592521800399578e8,7.592521815097814e8,7.592521815097814e8,-1.469823598861694e0,-1.935883231496405e-9,3.503261283621182e-1,5.005259598113571e-1,1.491479118265248e-1,5.745739548959770e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,1.920898618896576e-5,1.169684626956698e9,2.645813444134976e4,7.368128868249216e8,7.368128882947452e8,7.368128882947452e8,-1.469823598861694e0,-1.994839737839982e-9,3.508468013088969e-1,5.012698676343826e-1,1.478833310567205e-1,5.739416644785353e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,1.958993145229175e-5,1.135115221686949e9,2.604504079752785e4,7.150367749520186e8,7.150367764218422e8,7.150367764218422e8,-1.469823598861694e0,-2.055591585836680e-9,3.513638203995786e-1,5.020085550360188e-1,1.466276245644026e-1,5.733138111988105e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,1.997691757459253e-5,1.101567496711167e9,2.563855723303643e4,6.939042444252836e8,6.939042458951072e8,6.939042458951072e8,-1.469823598861694e0,-2.118193731526219e-9,3.518771983738330e-1,5.027420402361559e-1,1.453807613900110e-1,5.726903795769898e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.037003789818717e-5,1.069011256930849e9,2.523857442463500e4,6.733962746154112e8,6.733962760852348e8,6.733962760852348e8,-1.469823598861694e0,-2.182702352193644e-9,3.523869481868022e-1,5.034703416901218e-1,1.441427101230761e-1,5.720713539078044e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.076938718547922e-5,1.037417199627369e9,2.484498493200547e4,6.534944070249507e8,6.534944084947743e8,6.534944084947743e8,-1.469823598861694e0,-2.249175512503143e-9,3.528930829696568e-1,5.041934781092081e-1,1.429134389211352e-1,5.714567182699903e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.117506164070871e-5,1.006756887808116e9,2.445768316264372e4,6.341807284983946e8,6.341807299682182e8,6.341807299682182e8,-1.469823598861694e0,-2.317673053475744e-9,3.533956159611651e-1,5.049114685042775e-1,1.416929155345574e-1,5.708464565386953e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.158715893137767e-5,9.770027251313159e8,2.407656534075815e4,6.154378554267091e8,6.154378568965327e8,6.154378568965327e8,-1.469823598861694e0,-2.388256703511615e-9,3.538945606144368e-1,5.056243320930046e-1,1.404811072925587e-1,5.702405523784932e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.200577821052046e-5,9.481279308929318e8,2.370152947392719e4,5.972489179909714e8,5.972489194607950e8,5.972489194607950e8,-1.469823598861694e0,-2.460989967367766e-9,3.543899305578665e-1,5.063320883204014e-1,1.392779811217321e-1,5.696389892526406e-1
1.028144045174730e-3,9.716263597918843e2,-6.880000000000000e0,2.243102013917371e-5,9.201065158394196e8,2.333247532071187e4,5.795975449262369e8,5.795975463960605e8,5.795975463960605e8,-1.469823598861694e0,-2.535938237180346e-9,3.548817395717870e-1,5.070347568674318e-1,1.380835035607812e-1,5.690417504304535e-1
1.038477064615328e-3,9.619485658120136e2,-6.870000000000000e0,2.286298690921876e-5,8.929132587677320e8,2.296930435917566e4,5.624678487813083e8,5.624678502511319e8,5.624678502511319e8,-1.469823598861694e0,-2.613169125531556e-9,3.553700015806818e-1,5.077323576476375e-1,1.368976407716807e-1,5.684488189928774e-1
1.048913932627788e-3,9.523670674911842e2,-6.860000000000000e0,2.330178226660124e-5,8.665236838852144e8,2.261191975630746e4,5.458444116571833e8,5.458444131270069e8,5.458444131270069e8,-1.469823598861694e0,-2.692751910338131e-9,3.558547306630352e-1,5.084249107899628e-1,1.357203585470021e-1,5.678601778361583e-1
1.059455692907610e-3,9.428809066715780e2,-6.850000000000000e0,2.374751153481155e-5,8.409140388007904e8,2.226022633786042e4,5.297122713431646e8,5.297122728129882e8,5.297122728129882e8,-1.469823598861694e0,-2.774758423029766e-9,3.563359410532425e-1,5.091124366277925e-1,1.345516223189651e-1,5.672758096763633e-1
1.070103399639604e-3,9.334891347292100e2,-6.840000000000000e0,2.420028163873062e-5,8.160612731158960e8,2.191413055852080e4,5.140569078307669e8,5.140569093005905e8,5.140569093005905e8,-1.469823598861694e0,-2.859262382415295e-9,3.568136471302175e-1,5.097949556985638e-1,1.333913971712188e-1,5.666956970552737e-1
1.080858117603318e-3,9.241908124790585e2,-6.830000000000000e0,2.466020112887388e-5,7.919430176616248e8,2.157354047268798e4,4.988642302346883e8,4.988642317045119e8,4.988642317045119e8,-1.469823598861694e0,-2.946339949794208e-9,3.572878634087626e-1,5.104724887413333e-1,1.322396478499041e-1,5.661198223459152e-1
1.091720922279511e-3,9.149850100811499e2,-6.820000000000000e0,2.512738020600414e-5,7.685375643744571e8,2.123836570591769e4,4.841205641160412e8,4.841205655858648e8,4.841205655858648e8,-1.469823598861694e0,-3.036069284867438e-9,3.577586045377140e-1,5.111450566890867e-1,1.310963387731993e-1,5.655481677573300e-1
1.102692899957703e-3,9.058708069475719e2,-6.810000000000000e0,2.560193074610364e-5,7.458238467661746e8,2.090851742689863e4,4.698126391798744e8,4.698126406496980e8,4.698126406496980e8,-1.469823598861694e0,-3.128531433915782e-9,3.582258852983450e-1,5.118126806609072e-1,1.299614340407478e-1,5.649807153392927e-1
1.113775147844803e-3,8.968472916504176e2,-6.800000000000000e0,2.608396632572051e-5,7.237814209598234e8,2.058390831989844e4,4.559275773292641e8,4.559275787990877e8,4.559275787990877e8,-1.469823598861694e0,-3.223809330599181e-9,3.586897205996644e-1,5.124753819566850e-1,1.288348974436505e-1,5.644174469873042e-1
1.124968774174837e-3,8.879135618306368e2,-6.790000000000000e0,2.657360224770640e-5,7.023904472891834e8,2.026445255773785e4,4.424528810743704e8,4.424528825441940e8,4.424528825441940e8,-1.469823598861694e0,-3.321989017202043e-9,3.591501254746338e-1,5.131331820511940e-1,1.277166924741722e-1,5.638583444474472e-1
