a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720400225770e-5,1.318815734483215e9,2.274049942633264e4,-2.116831287416249e-9,1.240760183935013e0,1.240760183935013e0,-1.240760186051844e0,-1.000000001706076e0,7.997727393933937e-10,7.650774079805546e-1,2.349225912196727e-1,6.174612944101772e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052301571457e-5,1.279838839249503e9,2.237573970381189e4,-2.181298397482583e-9,1.240760183999480e0,1.240760183999480e0,-1.240760186180779e0,-1.000000001758034e0,8.260603771565642e-10,7.668699809892809e-1,2.331300181846587e-1,6.165650078532390e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106680280238e-5,1.242013885152461e9,2.201702757078713e4,-2.247728823698471e-9,1.240760184065911e0,1.240760184065911e0,-1.240760186313639e0,-1.000000001811574e0,8.531968066337988e-10,7.686530118632452e-1,2.313469872835580e-1,6.156734923619833e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894902567781e-5,1.205306827358841e9,2.166425868056333e4,-2.316182357656029e-9,1.240760184134364e0,1.240760184134364e0,-1.240760186450546e0,-1.000000001866745e0,8.812090089101193e-10,7.704264881523119e-1,2.295735109664793e-1,6.147867541614267e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428508638915e-5,1.169684626956702e9,2.131733056533760e4,-2.386720612336687e-9,1.240760184204902e0,1.240760184204902e0,-1.240760186591623e0,-1.000000001923596e0,9.101248118130893e-10,7.721903984897280e-1,2.278096006001472e-1,6.139047989348865e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719215453811e-5,1.135115221687040e9,2.097614260100896e4,-2.459407076703447e-9,1.240760184277589e0,1.240760184277589e0,-1.240760186736996e0,-1.000000001982178e0,9.399729162288517e-10,7.739447325824410e-1,2.260552664775861e-1,6.130276318288337e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778919465601e-5,1.101567496711212e9,2.064059597266762e4,-2.534307173573755e-9,1.240760184352489e0,1.240760184352489e0,-1.240760186886796e0,-1.000000002042544e0,9.707829232304621e-10,7.756894812012508e-1,2.243105178279664e-1,6.121552574578091e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619699302798e-5,1.069011256930869e9,2.031059364075018e4,-2.611488317818008e-9,1.240760184429670e0,1.240760184429670e0,-1.240760187041158e0,-1.000000002104749e0,1.002585362043469e-9,7.774246361708200e-1,2.225753628265947e-1,6.112876799094196e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253818541225e-5,1.037417199627398e9,1.998604030784756e4,-2.691019977395390e-9,1.240760184509202e0,1.240760184509202e0,-1.240760187200222e0,-1.000000002168848e0,1.035411718874504e-9,7.791501903595296e-1,2.208498086050588e-1,6.104249027494124e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693728533296e-5,1.006756887808142e9,1.966684238615290e4,-2.772973736657391e-9,1.240760184591155e0,1.240760184591155e0,-1.240760187364129e0,-1.000000002234899e0,1.069294466629362e-9,7.808661376692022e-1,2.191338612615035e-1,6.095669290268102e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,2.675952071202129e-5,9.770027251312952e8,1.935290796553684e4,-2.857423359505720e-9,1.240760184675605e0,1.240760184675605e0,-1.240760187533029e0,-1.000000002302962e0,1.104267095547917e-9,7.825724730246840e-1,2.174275258710489e-1,6.087137612791234e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,2.728041681939859e-5,9.481279308928506e8,1.904414678223804e4,-2.944444856151384e-9,1.240760184762627e0,1.240760184762627e0,-1.240760187707072e0,-1.000000002373097e0,1.140364144784009e-9,7.842691923633036e-1,2.157308064963323e-1,6.078654015376197e-1
