a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,1.317528523931243e-5,1.318815734483215e9,3.794984252091176e4,2.769180700849661e9,2.769180700849661e9,2.769180700849661e9,0.000000000000000e0,0.000000000000000e0,6.409292404448311e-1,2.747169262217885e-1,8.435383333338019e-2,5.421769166666899e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,1.344083312151162e-5,1.279838839249731e9,3.736915048394159e4,2.687339043036944e9,2.687339043036944e9,2.687339043036944e9,0.000000000000000e0,0.000000000000000e0,6.414676465037723e-1,2.749476993368177e-1,8.358465415941002e-2,5.417923270797051e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,1.371050692363399e-5,1.242013885152681e9,3.679748487437337e4,2.607916171321571e9,2.607916171321571e9,2.607916171321571e9,0.000000000000000e0,0.000000000000000e0,6.420015871463877e-1,2.751765585169704e-1,8.282185433664195e-2,5.414109271683210e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,1.398436970834294e-5,1.205306827358971e9,3.623470211196110e4,2.530840600133345e9,2.530840600133345e9,2.530840600133345e9,0.000000000000000e0,0.000000000000000e0,6.425310913596131e-1,2.754035161501410e-1,8.206539249024601e-2,5.410326962451235e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,1.426248549350157e-5,1.169684626956697e9,3.568066097172688e4,2.456042956083071e9,2.456042956083071e9,2.456042956083071e9,0.000000000000000e0,0.000000000000000e0,6.430561880437928e-1,2.756285846437626e-1,8.131522731244460e-2,5.406576136562222e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,1.454491926738406e-5,1.135115221686849e9,3.513522254812753e4,2.383455916506518e9,2.383455916506518e9,2.383455916506518e9,0.000000000000000e0,0.000000000000000e0,6.435769060970170e-1,2.758517763562436e-1,8.057131754673935e-2,5.402856587733695e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,1.483173700370322e-5,1.101567496711111e9,3.459825021184409e4,2.313014148084161e9,2.313014148084161e9,2.313014148084161e9,0.000000000000000e0,0.000000000000000e0,6.440932743404068e-1,2.760731036509328e-1,7.983362200866045e-2,5.399168110043300e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,1.512300567632440e-5,1.069011256930816e9,3.406960957410700e4,2.244654248717967e9,2.244654248717967e9,2.244654248717967e9,0.000000000000000e0,0.000000000000000e0,6.446053215797447e-1,2.762925788449194e-1,7.910209957533584e-2,5.395510497876681e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,1.541879327446153e-5,1.037417199627322e9,3.354916844673915e4,2.178314690083071e9,2.178314690083071e9,2.178314690083071e9,0.000000000000000e0,0.000000000000000e0,6.451130765674252e-1,2.765102142349004e-1,7.837670919767448e-2,5.391883545988374e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,1.571916881824252e-5,1.006756887808066e9,3.303679680167652e4,2.113935761661210e9,2.113935761661210e9,2.113935761661210e9,0.000000000000000e0,0.000000000000000e0,6.456165679355724e-1,2.767260221460073e-1,7.765740991842036e-2,5.388287049592102e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,1.602420237400603e-5,9.770027251313196e8,3.253236673947909e4,2.051459518089038e9,2.051459518089038e9,2.051459518089038e9,0.000000000000000e0,0.000000000000000e0,6.461158243048553e-1,2.769400148438669e-1,7.694416085127782e-2,5.384720804256391e-1
