a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,1.598284098823334e-5,1.318815734483215e9,3.128354967481082e4,1.384590385614293e9,1.384590499532723e9,1.384590499532723e9,-1.139184300899506e2,-8.227590042597654e-8,4.715937506641853e-1,4.042716839258973e-1,1.241345654099175e-1,5.620672245037579e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,1.630500719477900e-5,1.279838839249651e9,3.079875998700703e4,1.343669556459589e9,1.343669669574325e9,1.343669669574325e9,-1.131147360801697e2,-8.418344077387729e-8,4.721769652084026e-1,4.047716409907026e-1,1.230513938008947e-1,5.615256372762252e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,1.663224358973850e-5,1.242013885152610e9,3.032164650646880e4,1.303958120355402e9,1.303958232672114e9,1.303958232672114e9,-1.123167121410370e2,-8.613520685596399e-8,4.727557994413805e-1,4.052678430925850e-1,1.219763574660345e-1,5.609881176516391e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,1.696462818154241e-5,1.205306827358926e9,2.985208399947534e4,1.265420334516546e9,1.265420446040864e9,1.265420446040864e9,-1.115243179798126e2,-8.813222385217756e-8,4.733302739433796e-1,4.057603078195019e-1,1.209094182371187e-1,5.604546465450853e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,1.730224016253930e-5,1.169684626956691e9,2.938994935370928e4,1.228021512248405e9,1.228021622985920e9,1.228021622985920e9,-1.107375144958496e2,-9.017554125634319e-8,4.739004093676814e-1,4.062490529053903e-1,1.198505377269284e-1,5.599252047621257e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,1.764515992784516e-5,1.135115221686901e9,2.893512154336520e4,1.191727992218860e9,1.191728102175122e9,1.191728102175122e9,-1.099562618732452e2,-9.226623232105879e-8,4.744662265306142e-1,4.067340961531240e-1,1.187996773162618e-1,5.593997729923146e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,1.799346909397300e-5,1.101567496711133e9,2.848748159003935e4,1.156507107768024e9,1.156507216948545e9,1.156507216948545e9,-1.091805207729340e2,-9.440539516791802e-8,4.750277463289599e-1,4.072154554904582e-1,1.177567981805818e-1,5.588783318225179e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,1.834725051707679e-5,1.069011256930823e9,2.804691252844961e4,1.122327157846975e9,1.122327266257227e9,1.122327266257227e9,-1.084102528095245e2,-9.659415400875559e-8,4.755849898055264e-1,4.076931489117027e-1,1.167218612827709e-1,5.583608617332907e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,1.870658831179637e-5,1.037417199627337e9,2.761329936980040e4,1.089157378293277e9,1.089157485938696e9,1.089157485938696e9,-1.076454188823700e2,-9.883365836849123e-8,4.761379781062893e-1,4.081671945032337e-1,1.156948273904769e-1,5.578473431075512e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,1.907156787054184e-5,1.006756887808081e9,2.718652906507386e4,1.056967913847756e9,1.056968020733737e9,1.056968020733737e9,-1.068859809637070e2,-1.011250849725087e-7,4.766867324059881e-1,4.086376104941396e-1,1.146756570998723e-1,5.573377562424564e-1
1.007785429048510e-3,9.912747156050261e2,-6.900000000000000e0,1.944227588247029e-5,9.770027251313015e8,2.676649047402030e4,1.025729791828700e9,1.025729897960600e9,1.025729897960600e9,-1.061319006681442e2,-1.034696374135891e-7,4.772312740251062e-1,4.091044151578965e-1,1.136643108169973e-1,5.568320813400787e-1
1.017913840995439e-3,9.814014172182584e2,-6.890000000000000e0,1.981880035322561e-5,9.481279308929435e8,2.635307433048289e4,9.954148958712056e8,9.954150012543460e8,9.954150012543460e8,-1.053831404447556e2,-1.058685475952004e-7,4.777716243874738e-1,4.095676268378921e-1,1.126607487746341e-1,5.563302985158352e-1
