a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,1.598273761837691e-5,1.318815734483215e9,3.128375200410606e4,1.384609413775858e9,1.384628477126885e9,1.384628477126885e9,-1.906335102748871e4,-1.376784555739974e-5,4.716005856319530e-1,4.042664546464697e-1,1.241329597215773e-1,5.620567404747472e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,1.630490172427577e-5,1.279838839249668e9,3.079896243504149e4,1.343688301053113e9,1.343707080587820e9,1.343707080587820e9,-1.877953470683098e4,-1.397591407992227e-5,4.721839041684386e-1,4.047663197105474e-1,1.230497761210140e-1,5.615149892579958e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,1.663213595068384e-5,1.242013885152617e9,3.032184907216840e4,1.303976585604578e9,1.303995085548437e9,1.303995085548437e9,-1.849994385957718e4,-1.418712697964786e-5,4.727628439480228e-1,4.052624283113327e-1,1.219747277406445e-1,5.609773031505749e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,1.696451830387290e-5,1.205306827358932e9,2.985228668177206e4,1.265438524582209e9,1.265456749097786e9,1.265456749097786e9,-1.822451557731628e4,-1.440153177123538e-5,4.733374255742380e-1,4.057547980136502e-1,1.209077764121119e-1,5.604436630300969e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,1.730212797396554e-5,1.169684626956697e9,2.939015215154094e4,1.228039431229422e9,1.228057384417309e9,1.228057384417309e9,-1.795318788695335e4,-1.461917668899027e-5,4.739076697239781e-1,4.062434465279632e-1,1.198488837480587e-1,5.599140496640926e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,1.764504535378187e-5,1.135115221686906e9,2.893532445567544e4,1.191745644153059e9,1.191763330052799e9,1.191763330052799e9,-1.768589973998070e4,-1.484011069474711e-5,4.744735972375398e-1,4.067283916333181e-1,1.187980111291421e-1,5.593884437035139e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,1.799335205746709e-5,1.101567496711139e9,2.848768461577767e4,1.156524496633105e9,1.156541919224099e9,1.156541919224099e9,-1.742259099459648e4,-1.506438349097028e-5,4.750352290360341e-1,4.072096512332843e-1,1.177551197306816e-1,5.588668256960478e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,1.834713093873319e-5,1.069011256930829e9,2.804711566657134e4,1.122344287561404e9,1.122361450763810e9,1.122361450763810e9,-1.716320240616798e4,-1.529204552996877e-5,4.755925861869626e-1,4.076872432976224e-1,1.167201705154149e-1,5.583491760824846e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,1.870646610970154e-5,1.037417199627344e9,2.761350261926669e4,1.089174252717170e9,1.089191160392782e9,1.089191160392782e9,-1.690767561221123e4,-1.552314802677479e-5,4.761456898613658e-1,4.081611858877917e-1,1.156931242508425e-1,5.578354752053820e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,1.907144296018493e-5,1.006756887808088e9,2.718673242485166e4,1.056984536783745e9,1.057001192736862e9,1.057001192736862e9,-1.665595311689377e4,-1.575774297257748e-5,4.766945612594255e-1,4.086314972075870e-1,1.146739415329874e-1,5.573257033209347e-1
