x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
0.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,5.000000000000000e-1,5.000000000000000e-1,-5.000000000000000e-1,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.000000000000000e-2,9.987502604322663e-1,-4.997916927351492e-2,1.248958680635329e-3,4.987510413567599e-1,5.000000000373952e-1,-4.975020826761246e-1,-9.950041652778323e-1,-9.975020826389162e-1,7.479039609847860e-11
1.000000000000000e-1,9.950041653099788e-1,-9.983341665115991e-2,4.983355540122047e-3,4.950166444921038e-1,5.000000000322259e-1,-4.900332889519818e-1,-9.800665778407965e-1,-9.925187270991154e-1,6.445177724856421e-11
1.500000000000000e-1,9.887710779441005e-1,-1.494381324768101e-1,1.116587771907833e-2,4.888341222893692e-1,5.000000000084475e-1,-4.776682445702908e-1,-9.553364891244414e-1,-9.842463292269499e-1,1.689492989953578e-11
2.000000000000000e-1,9.800665777961078e-1,-1.986693307933208e-1,1.973475149893297e-2,4.802652484564872e-1,4.999999999554201e-1,-4.605304969575542e-1,-9.210609939972301e-1,-9.727344323104214e-1,-8.915979066159707e-11
2.500000000000000e-1,9.689124216127293e-1,-2.474039592410874e-1,3.060435952408283e-2,4.693956403777216e-1,4.999999999018044e-1,-4.387912808536388e-1,-8.775825618796271e-1,-9.580519014360228e-1,-1.963911255842277e-10
3.000000000000000e-1,9.553364889777041e-1,-2.955202066380989e-1,4.366609626571232e-2,4.563339035861235e-1,4.999999998518358e-1,-4.126678073204111e-1,-8.253356148853926e-1,-9.402864325937706e-1,-2.963284062573734e-10
3.500000000000000e-1,9.393727126401439e-1,-3.428978074125922e-1,5.878945316418158e-2,4.412105466264511e-1,4.999999997906327e-1,-3.824210934622696e-1,-7.648421872448051e-1,-9.195439280896747e-1,-4.187346025474881e-10
4.000000000000000e-1,9.210609937527202e-1,-3.894183422459408e-1,7.582332263878834e-2,4.241766771063742e-1,4.999999997451626e-1,-3.483533544675859e-1,-6.967067092902657e-1,-8.959477431119073e-1,-5.096748578736765e-10
4.500000000000000e-1,9.004471020492422e-1,-4.349655340190658e-1,9.459750789224557e-2,4.054024917944392e-1,4.999999996866847e-1,-3.108049839021936e-1,-6.216099681939069e-1,-8.696378092930382e-1,-6.266305252466964e-10
5.000000000000000e-1,8.775825615410726e-1,-4.794255384798110e-1,1.149244234733283e-1,3.850755761604953e-1,4.999999996338236e-1,-2.701511526871669e-1,-5.403023057700258e-1,-8.407696420619311e-1,-7.323528450342565e-10
