x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
0.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,2.500000000000000e-1,2.500000000000000e-1,-2.500000000000000e-1,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.000000000000000e-2,9.987507808307745e-1,-4.993757029163630e-2,1.246880463316058e-3,2.487531197047153e-1,2.500000001680314e-1,-2.475062392413993e-1,-9.900249563001761e-1,-9.950124781500880e-1,6.721254663943910e-10
1.000000000000000e-1,9.950124628418497e-1,-9.950224140588113e-2,4.950348022397122e-3,2.450496522192888e-1,2.500000002416859e-1,-2.400993041968917e-1,-9.603972158591086e-1,-9.851117821148653e-1,9.667437961269343e-10
1.500000000000000e-1,9.888128571080868e-1,-1.483294377966037e-1,1.100081105852826e-2,2.389991891778138e-1,2.500000002363421e-1,-2.279983781192856e-1,-9.119935116149724e-1,-9.688063093222570e-1,9.453684501892212e-10
2.000000000000000e-1,9.801976278834266e-1,-1.960708961996911e-1,1.922189816827502e-2,2.307781020556204e-1,2.500000002238955e-1,-2.115562038873454e-1,-8.462248147915181e-1,-9.463820227925041e-1,8.955818309175356e-10
2.500000000000000e-1,9.692292900834043e-1,-2.424020047502768e-1,2.937936595347660e-2,2.206206342574312e-1,2.500000002109078e-1,-1.912412683039546e-1,-7.649650725704700e-1,-9.182246069702020e-1,8.436311649262507e-10
3.000000000000000e-1,9.559858620081130e-1,-2.870282201987383e-1,4.119259959522770e-2,2.088074006119333e-1,2.500000002071611e-1,-1.676148010167056e-1,-6.704592035112504e-1,-8.848058621486451e-1,8.286442643168357e-10
3.500000000000000e-1,9.405592248271432e-1,-3.296903467049222e-1,5.434786235520590e-2,1.956521378537794e-1,2.500000002089853e-1,-1.413042754985735e-1,-5.652171015218056e-1,-8.466676179154855e-1,8.359413161684870e-10
4.000000000000000e-1,9.230532498472557e-1,-3.701685274346770e-1,6.851236935157860e-2,1.814876308611757e-1,2.500000002127543e-1,-1.129752615095971e-1,-4.519010456538129e-1,-8.044040498745260e-1,8.510172566644769e-10
4.500000000000000e-1,9.035817601253534e-1,-4.082848722347961e-1,8.334826844789191e-2,1.666517317697057e-1,2.500000002175977e-1,-8.330346332181383e-2,-3.332138529972291e-1,-7.586433164801921e-1,8.703906484441859e-10
5.000000000000000e-1,8.822663950424779e-1,-4.439047163485876e-1,9.852569859826002e-2,1.514743016258550e-1,2.500000002241150e-1,-5.294860302759496e-2,-2.117944119205146e-1,-7.100293980780601e-1,8.964600173300141e-10
