x4,phi,phidot,KE,PE,rho,P,w,w_avg,rho_drift
0.000000000000000e0,1.000000000000000e0,0.000000000000000e0,0.000000000000000e0,2.500000000000000e-1,2.500000000000000e-1,-2.500000000000000e-1,-1.000000000000000e0,-1.000000000000000e0,0.000000000000000e0
5.000000000000000e-2,9.987507806670427e-1,-4.993757024466459e-2,1.246880460970405e-3,2.487531195415964e-1,2.500000000025668e-1,-2.475062390806260e-1,-9.900249563123391e-1,-9.950124781561696e-1,1.026712048712852e-11
1.000000000000000e-1,9.950124626113246e-1,-9.950224128221939e-2,4.950348010092503e-3,2.450496519921957e-1,2.500000000022882e-1,-2.400993039821032e-1,-9.603972159196226e-1,-9.851117821360752e-1,9.152900659614716e-12
1.500000000000000e-1,9.888128568885161e-1,-1.483294376478142e-1,1.100081103645840e-2,2.389991889655301e-1,2.500000000019885e-1,-2.279983779290717e-1,-9.119935117090329e-1,-9.688063093621595e-1,7.954081837624472e-12
2.000000000000000e-1,9.801976276801786e-1,-1.960708960425529e-1,1.922189813746479e-2,2.307781018642093e-1,2.500000000016741e-1,-2.115562037267445e-1,-8.462248149013114e-1,-9.463820228479126e-1,6.696421195329094e-12
2.500000000000000e-1,9.692292898955340e-1,-2.424020045926220e-1,2.937936591526076e-2,2.206206340863755e-1,2.500000000016362e-1,-1.912412681711147e-1,-7.649650726794522e-1,-9.182246070364064e-1,6.544986774770223e-12
3.000000000000000e-1,9.559858618296050e-1,-2.870282200261882e-1,4.119259954570094e-2,2.088074004559738e-1,2.500000000016747e-1,-1.676148009102728e-1,-6.704592036365999e-1,-8.848058622233431e-1,6.698863685983270e-12
3.500000000000000e-1,9.405592246548594e-1,-3.296903465111693e-1,5.434786229132744e-2,1.956521377104277e-1,2.500000000017552e-1,-1.413042754191003e-1,-5.652171016724330e-1,-8.466676179992250e-1,7.020828363124565e-12
4.000000000000000e-1,9.230532496810463e-1,-3.701685272181034e-1,6.851236927140987e-2,1.814876307304576e-1,2.500000000018675e-1,-1.129752614590477e-1,-4.519010458328153e-1,-8.044040499683999e-1,7.469802554282978e-12
4.500000000000000e-1,9.035817599666787e-1,-4.082848719935058e-1,8.334826834937673e-2,1.666517316526453e-1,2.500000000020220e-1,-8.330346330326854e-2,-3.332138532103792e-1,-7.586433165854217e-1,8.087974734394265e-12
5.000000000000000e-1,8.822663948925176e-1,-4.439047160806594e-1,9.852569847932542e-2,1.514743015228696e-1,2.500000000021950e-1,-5.294860304354414e-2,-2.117944121723170e-1,-7.100293981960144e-1,8.779865723340663e-12
5.500000000000000e-1,8.592344448857430e-1,-4.769365704589498e-1,1.137342461205724e-1,1.362657538816715e-1,2.500000000022439e-1,-2.253150776109912e-2,-9.012603104358756e-2,-6.592049275970996e-1,8.975487020279616e-12
6.000000000000000e-1,8.346167190165522e-1,-5.073308799587283e-1,1.286923108798488e-1,1.213076891224024e-1,2.500000000022512e-1,7.384621757446350e-3,2.953848702951941e-2,-6.067956646312609e-1,9.004796908129720e-12
6.500000000000000e-1,8.085455012545525e-1,-5.350777480449989e-1,1.431540982264536e-1,1.068459017757674e-1,2.500000000022210e-1,3.630819645068627e-2,1.452327858014548e-1,-5.533971030122802e-1,8.884004643050503e-12
7.000000000000000e-1,7.811526424550910e-1,-5.602038156930935e-1,1.569141575585508e-1,9.308584244360106e-2,2.500000000021518e-1,6.382831511494970e-2,2.553132604576012e-1,-4.995635225735797e-1,8.607337065313914e-12
7.500000000000000e-1,7.525678253588259e-1,-5.827684960806550e-1,1.698095600120542e-1,8.019043998999691e-2,2.500000000020511e-1,8.961912002205726e-2,3.584764800852880e-1,-4.457996297172447e-1,8.204326107374982e-12
8.000000000000000e-1,7.229170297203827e-1,-6.028597680333027e-1,1.817199499565837e-1,6.828005004534388e-2,2.500000000019276e-1,1.134398999112399e-1,4.537595996414608e-1,-3.925547753684560e-1,7.710498906021712e-12
8.500000000000000e-1,6.923212147413379e-1,-6.205897212557362e-1,1.925658010641362e-1,5.743419893765576e-2,2.500000000017920e-1,1.351316021264804e-1,5.405264085020474e-1,-3.402196118719731e-1,7.167821891584936e-12
9.000000000000000e-1,6.608952267642966e-1,-6.360900278408521e-1,2.023052617592880e-1,4.769473824250294e-2,2.500000000017910e-1,1.546105235167851e-1,6.184420940627098e-1,-2.891249528078424e-1,7.163825088696285e-12
