x4,phi_mid,KE_mid,PE_mid,G0_mid,rho_mid,P_mid,w_mid,E_sheet,P_sheet,w_sheet,KE_frac,PE_frac,G0_frac,E_drift
0.000000000000000e0,1.000000000000000e0,0.000000000000000e0,5.000000000000000e-1,3.865093245079135e-1,8.865093245079134e-1,-8.865093245079134e-1,-1.000000000000000e0,2.055257745158315e-1,-2.055257745158315e-1,-1.000000000000000e0,0.000000000000000e0,7.152861863721833e-1,2.847138136278168e-1,0.000000000000000e0
1.000000000000000e-1,9.904931169537080e-1,1.787462923710058e-1,4.905383073663360e-1,7.462800288622580e-2,7.439126026235676e-1,-3.864200178815559e-1,-5.194427631939057e-1,2.055257745166811e-1,-1.312046852987896e-1,-6.383855533805108e-1,1.808072233097446e-1,7.074335972356320e-1,1.117591794546234e-1,4.133582365284383e-12
2.000000000000000e-1,9.459776907633510e-1,5.477681258829699e-2,4.474368957109811e-1,9.244032416499657e-3,5.114577407157778e-1,-4.019041155391838e-1,-7.858012178615672e-1,2.055257745239667e-1,-1.279047906990101e-1,-6.223296858764299e-1,1.888351570617850e-1,6.867339061575619e-1,1.244309367806530e-1,3.958211536314593e-11
3.000000000000000e-1,9.207842973038027e-1,1.298708106652212e-2,4.239218610806289e-1,2.263719242009171e-2,4.595461345672427e-1,-4.335719724341985e-1,-9.434786625775793e-1,2.055257745253135e-1,-1.145869521047205e-1,-5.575308127137477e-1,2.212345936431261e-1,6.524796138097523e-1,1.262857925471217e-1,4.613509574369346e-11
4.000000000000000e-1,9.275836572924546e-1,5.585247268158444e-3,4.302057206380229e-1,8.882065752244818e-2,5.246116254286296e-1,-5.134411308923127e-1,-9.787071159027592e-1,2.055257745246322e-1,-7.847852907103223e-2,-3.818427603669077e-1,3.090786198165461e-1,6.061897523610854e-1,8.473162782236832e-2,4.282019183676766e-11
5.000000000000000e-1,8.873914645993451e-1,2.981570833394215e-3,3.937318057218854e-1,4.783889473977194e-1,8.751023239529990e-1,-8.691391822862106e-1,-9.931857778186991e-1,2.055257745259174e-1,-1.006273885598986e-1,-4.896095820196467e-1,2.551952089901766e-1,5.510122981132042e-1,1.937924928966192e-1,4.907363404527132e-11
6.000000000000000e-1,8.184725466947815e-1,4.824290871166605e-1,3.349486548465206e-1,4.386640705124420e-2,8.612441490144254e-1,1.036140252188957e-1,1.203073778062441e-1,2.055257744445568e-1,-4.402422572033528e-2,-2.142029428635549e-1,3.928985285682225e-1,4.867903996981391e-1,1.203110717336384e-1,-3.467920395294755e-10
7.000000000000000e-1,7.335673388553969e-1,3.288843960214992e-1,2.690605203176944e-1,4.454004904002390e-3,6.023989212431959e-1,5.536987079980237e-2,9.191562077424249e-2,2.055257744255660e-1,-6.295272267078998e-2,-3.063008658974263e-1,3.468495670512869e-1,4.185935036117150e-1,2.345569293369981e-1,-4.391931263114657e-10
8.000000000000000e-1,6.650194623045493e-1,1.274371124261917e-1,2.211254426219160e-1,6.767855691177313e-2,4.162411119598808e-1,-1.613668871074974e-1,-3.876764751749238e-1,2.055257744308600e-1,3.434025137236233e-3,1.670848898025419e-2,5.083542444901271e-1,3.472468781897812e-1,1.443988773200917e-1,-4.134351749840448e-10
9.000000000000000e-1,6.274144106199866e-1,6.313585685027622e-1,1.968244213268126e-1,1.362498197120219e-1,9.644328095415966e-1,2.982843274639277e-1,3.092847158587490e-1,2.055257744340042e-1,7.353616828007552e-2,3.577953591591429e-1,6.788976795795714e-1,2.761769155229236e-1,4.492540489750493e-2,-3.981366347716175e-10
1.000000000000000e0,5.683168313265280e-1,2.653367001798824e-1,1.614920103845126e-1,6.286464323936442e-2,4.896933538037594e-1,4.098004655600532e-2,8.368511893757034e-2,2.055257744328114e-1,4.955146023054836e-2,2.410960881538840e-1,6.205480440769420e-1,2.093144024172643e-1,1.701375535057937e-1,-4.039404366551480e-10
1.100000000000000e0,4.499834529211285e-1,6.316968127138083e-1,1.012425539514107e-1,4.165095476625858e-6,7.329435317606956e-1,5.304500936669210e-1,7.237257314934757e-1,2.055257744254482e-1,1.036003932002473e-1,5.040749438354604e-1,7.520374719177302e-1,1.470914618302570e-1,1.008710662520128e-1,-4.397663344590796e-10
1.200000000000000e0,3.354870448799281e-1,6.718719571651843e-1,5.627577864113346e-2,4.188053859648790e-3,7.323357896659666e-1,6.114081246644021e-1,8.348740199400577e-1,2.055257744180851e-1,8.815853412010122e-2,4.289415007422241e-1,7.144707503711121e-1,9.451617167369561e-2,1.910130779551923e-1,-4.755923432853137e-10
1.300000000000000e0,2.451217106689294e-1,1.368817804689371e-1,3.004232652063117e-2,2.957312088318065e-1,4.626553158213749e-1,-1.888917548835006e-1,-4.082774982238164e-1,2.055257744107239e-1,1.157121492953881e-1,5.630055384885606e-1,7.815027692442803e-1,5.160843755877807e-2,1.668887931969417e-1,-5.114083601043262e-10
1.400000000000000e0,1.671659058175614e-1,3.662206553437812e-1,1.397222003390290e-2,1.575727031893621e-1,5.377655785670462e-1,1.946757321205161e-1,3.620085402997671e-1,2.055257744075928e-1,1.400561700331247e-1,6.814530704814147e-1,8.407265352407074e-1,2.090537301783631e-2,1.383680917414562e-1,-5.266429514705351e-10
1.500000000000000e0,9.605788676294118e-2,9.426361775146853e-1,4.613558804681015e-3,3.344624380903596e-3,9.505943607002699e-1,9.346779943291007e-1,9.832564056455750e-1,2.055257743459588e-1,1.324061325262864e-1,6.442312792526395e-1,8.221156396263197e-1,4.336110122479685e-3,1.735482502512006e-1,-8.265276241203878e-10
