x4,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi,phi
NaN,5.000000000000000e-2,5.283333333333334e-2,5.566666666666667e-2,5.850000000000000e-2,6.133333333333334e-2,6.416666666666666e-2,6.700000000000000e-2,6.983333333333333e-2,7.266666666666667e-2,7.550000000000000e-2,7.833333333333334e-2,8.116666666666666e-2,8.399999999999999e-2,8.683333333333333e-2,8.966666666666667e-2,9.250000000000000e-2,9.533333333333333e-2,9.816666666666667e-2,1.010000000000000e-1,1.038333333333333e-1,1.066666666666667e-1,1.095000000000000e-1,1.123333333333333e-1,1.151666666666667e-1,1.180000000000000e-1,1.208333333333333e-1,1.236666666666667e-1,1.265000000000000e-1,1.293333333333333e-1,1.321666666666667e-1,1.350000000000000e-1,1.378333333333333e-1,1.406666666666667e-1,1.435000000000000e-1,1.463333333333333e-1,1.491666666666667e-1,1.520000000000000e-1,1.548333333333333e-1,1.576666666666667e-1,1.605000000000000e-1,1.633333333333333e-1,1.661666666666667e-1,1.690000000000000e-1,1.718333333333333e-1,1.746666666666667e-1,1.775000000000000e-1,1.803333333333333e-1,1.831666666666666e-1,1.860000000000000e-1,1.888333333333333e-1,1.916666666666667e-1,1.945000000000000e-1,1.973333333333333e-1,2.001666666666667e-1,2.030000000000000e-1,2.058333333333333e-1,2.086666666666667e-1,2.115000000000000e-1,2.143333333333333e-1,2.171666666666667e-1,2.200000000000000e-1
0.000000000000000e0,1.050000000000000e0,1.049931476737729e0,1.049726094768414e0,1.049384417029757e0,1.048907380036690e0,1.048296291314453e0,1.047552825814758e0,1.046679021324860e0,1.045677272882130e0,1.044550326209418e0,1.043301270189222e0,1.041933528397271e0,1.040450849718747e0,1.038857298072849e0,1.037157241273870e0,1.035355339059327e0,1.033456530317943e0,1.031466019552492e0,1.029389262614624e0,1.027231951750751e0,1.025000000000000e0,1.022699524986977e0,1.020336832153790e0,1.017918397477265e0,1.015450849718747e0,1.012940952255126e0,1.010395584540888e0,1.007821723252011e0,1.005226423163383e0,1.002616797812147e0,1.000000000000000e0,9.973832021878528e-1,9.947735768366174e-1,9.921782767479884e-1,9.896044154591120e-1,9.870590477448740e-1,9.845491502812527e-1,9.820816025227350e-1,9.796631678462100e-1,9.773004750130226e-1,9.750000000000000e-1,9.727680482492487e-1,9.706107373853764e-1,9.685339804475082e-1,9.665434696820571e-1,9.646446609406726e-1,9.628427587261302e-1,9.611427019271515e-1,9.595491502812526e-1,9.580664716027288e-1,9.566987298107781e-1,9.554496737905815e-1,9.543227271178699e-1,9.533209786751399e-1,9.524471741852423e-1,9.517037086855465e-1,9.510926199633097e-1,9.506155829702431e-1,9.502739052315863e-1,9.500685232622713e-1,9.500000000000000e-1
1.000000000000000e-1,9.800470148849755e-1,9.800473121838786e-1,9.800597053672510e-1,9.800683572046511e-1,9.800943274820904e-1,9.801416885754094e-1,9.801709474522895e-1,9.802244504437214e-1,9.802963984066312e-1,9.803838359087336e-1,9.804814157330857e-1,9.806019393982868e-1,9.807432909112070e-1,9.809093977859741e-1,9.811047444990917e-1,9.813199060192910e-1,9.815750872356559e-1,9.818651219529294e-1,9.821860600142389e-1,9.825542104830662e-1,9.829681634981106e-1,9.834240397978594e-1,9.839403125168583e-1,9.845092565145345e-1,9.851393246672647e-1,9.858389990171226e-1,9.866052237203787e-1,9.874509124584763e-1,9.883762988040347e-1,9.893868966556919e-1,9.904931169537080e-1,9.916865961284818e-1,9.929964393307131e-1,9.943822515217949e-1,9.959127569083388e-1,9.975001440499943e-1,9.992028780891525e-1,1.001047688895481e0,1.002780741411378e0,1.004615967105629e0,1.006622344805983e0,1.007994595640108e0,1.007880218109949e0,1.006164190546107e0,1.003269649416127e0,9.996852453468504e-1,9.957566324849133e-1,9.916901921758262e-1,9.876068486328627e-1,9.835816415986902e-1,9.796658631695967e-1,9.759002873411400e-1,9.723238363278675e-1,9.689765262186759e-1,9.658948491983321e-1,9.631061791519807e-1,9.606361645590340e-1,9.585251986622770e-1,9.568269406534878e-1,9.556000191353703e-1,9.549275925520071e-1
2.000000000000000e-1,9.426137208386011e-1,9.426147410948906e-1,9.426181529797523e-1,9.426171187555640e-1,9.426311990141140e-1,9.426399684282653e-1,9.426472779226157e-1,9.426743135906831e-1,9.426947414714713e-1,9.427162772023173e-1,9.427504680887127e-1,9.427854048088165e-1,9.428276909867964e-1,9.428889078732378e-1,9.429405559819736e-1,9.430186190472336e-1,9.430902345029175e-1,9.431770739332908e-1,9.432868560532607e-1,9.434026829569581e-1,9.435316527372756e-1,9.436688326064281e-1,9.438354816202255e-1,9.440183187433223e-1,9.442216609394137e-1,9.444342723704011e-1,9.446823808343197e-1,9.449663408723855e-1,9.452659266764712e-1,9.455919304913554e-1,9.459776907633510e-1,9.464013075785572e-1,9.468474163381834e-1,9.473743356293657e-1,9.479676019565988e-1,9.485872107142187e-1,9.493232954623051e-1,9.501396764965210e-1,9.510007125626123e-1,9.520422070471186e-1,9.531321371977138e-1,9.543771066693812e-1,9.558101897631114e-1,9.573140053982470e-1,9.591644639606043e-1,9.610443572918080e-1,9.634031798013363e-1,9.657850321615680e-1,9.688156798808539e-1,9.718376329931057e-1,9.757668681677208e-1,9.797001983664326e-1,9.845500072578017e-1,9.902312207182058e-1,9.955631468802029e-1,1.003006329361638e0,1.011791825953003e0,1.017553093351513e0,1.018811461501792e0,1.017527331689759e0,1.016133943261030e0
3.000000000000000e-1,9.152778537320898e-1,9.152876550200827e-1,9.152844279045966e-1,9.152972635362496e-1,9.153103723772638e-1,9.153221489296494e-1,9.153420274608243e-1,9.153823790554655e-1,9.154087536069552e-1,9.154491466034163e-1,9.155017562073210e-1,9.155588753589967e-1,9.156299417786632e-1,9.156987807337285e-1,9.158055197389792e-1,9.159121962782355e-1,9.160515764853009e-1,9.161992590666391e-1,9.163542944904248e-1,9.165331414261118e-1,9.167212054825613e-1,9.169669061233060e-1,9.172538885391540e-1,9.175673345079755e-1,9.178819860555886e-1,9.182194838249553e-1,9.186290440512793e-1,9.191200307380901e-1,9.196445192355810e-1,9.201897261651043e-1,9.207842973038027e-1,9.214563027559775e-1,9.222535557066142e-1,9.231132587776116e-1,9.240018905755871e-1,9.249910149489761e-1,9.261658891299193e-1,9.274754581495934e-1,9.288370085610576e-1,9.303568023145019e-1,9.321718049024458e-1,9.341666989225079e-1,9.362677107612067e-1,9.387311663275163e-1,9.415971350314470e-1,9.446113016184579e-1,9.480390125417093e-1,9.520918890889792e-1,9.563320026727082e-1,9.610786034906023e-1,9.664700547057236e-1,9.716574803182479e-1,9.770580406243117e-1,9.815828723561895e-1,9.840613167241721e-1,9.844287691132945e-1,9.808186021074523e-1,9.766144590810988e-1,9.723868364060271e-1,9.727054250627460e-1,9.710678521040831e-1
4.000000000000000e-1,9.100606702227033e-1,9.100547781301686e-1,9.100674086727847e-1,9.100821848572525e-1,9.101083983212293e-1,9.101573970747943e-1,9.102234485059802e-1,9.103295494755979e-1,9.104552327607007e-1,9.106499461820482e-1,9.108797990172415e-1,9.111464236808625e-1,9.114618983313236e-1,9.118033143627959e-1,9.121725435215868e-1,9.125804194648366e-1,9.130247022531010e-1,9.135453917420984e-1,9.141729266090425e-1,9.149017390592222e-1,9.157465993547572e-1,9.166628427326804e-1,9.176270614043672e-1,9.186301829551664e-1,9.196805174226107e-1,9.208299646734593e-1,9.221079142320098e-1,9.234910564705096e-1,9.248952448567840e-1,9.262712042177590e-1,9.275836572924546e-1,9.287800684947354e-1,9.298186670842737e-1,9.306352795075739e-1,9.312043557625221e-1,9.314121843924095e-1,9.309097474151895e-1,9.297643114481267e-1,9.280031312747267e-1,9.257334882998728e-1,9.230312591841691e-1,9.198948657557017e-1,9.165546373160324e-1,9.135014504606908e-1,9.111456776357679e-1,9.093932513888188e-1,9.077930947420533e-1,9.061081583906119e-1,9.043552155867909e-1,9.022735661388128e-1,8.996015642396239e-1,8.971029128804944e-1,8.958341820501958e-1,8.950094385519038e-1,8.931024579433380e-1,8.910133304501010e-1,8.901101627850994e-1,8.891989693695870e-1,8.879804051327411e-1,8.874425215383449e-1,8.870615623570324e-1
5.000000000000000e-1,9.115891539815275e-1,9.115980689492781e-1,9.116140714797601e-1,9.116412308958590e-1,9.116973861593343e-1,9.117534142345199e-1,9.118401568326209e-1,9.119485448206708e-1,9.120775406498591e-1,9.122350097905452e-1,9.123894718987456e-1,9.125676688356588e-1,9.127215269540925e-1,9.128612747021719e-1,9.129391130303917e-1,9.129311596517832e-1,9.127842459602012e-1,9.124638099954024e-1,9.119364064668476e-1,9.111721808784627e-1,9.101611263381826e-1,9.089136243346574e-1,9.074159414140792e-1,9.056952251478370e-1,9.037311034782234e-1,9.015271500377429e-1,8.990642933695054e-1,8.963329119031375e-1,8.933806495797525e-1,8.903586336195760e-1,8.873914645993451e-1,8.845361168980499e-1,8.817872788823110e-1,8.790189631520883e-1,8.760370809986975e-1,8.728128483867511e-1,8.694854772771391e-1,8.660860551996257e-1,8.627222974067019e-1,8.596171497071928e-1,8.569039138216515e-1,8.546029266108225e-1,8.520717570525377e-1,8.495865593691174e-1,8.469516642767988e-1,8.444489749445233e-1,8.422987102977080e-1,8.404659483789775e-1,8.387640517022616e-1,8.370384169550122e-1,8.353624629551222e-1,8.339179427178877e-1,8.327371395620548e-1,8.316825453527916e-1,8.306924979177530e-1,8.298606306852017e-1,8.292195570658899e-1,8.286919372433472e-1,8.282710413102158e-1,8.279700288558787e-1,8.277825025226914e-1
6.000000000000000e-1,8.134919693512592e-1,8.134888548284244e-1,8.134689642764777e-1,8.134484735896382e-1,8.133973939092448e-1,8.133493079864580e-1,8.132844752222997e-1,8.132157550098541e-1,8.131421030293217e-1,8.130836394865957e-1,8.130438147188694e-1,8.130636275442817e-1,8.131127869143865e-1,8.132329217469668e-1,8.134184751033495e-1,8.136545165283015e-1,8.139447748593739e-1,8.142687804411962e-1,8.146079011175102e-1,8.149467023449499e-1,8.152347880089149e-1,8.154543587392843e-1,8.155851945530095e-1,8.156622964948775e-1,8.157153486751864e-1,8.158114004223340e-1,8.160134678902012e-1,8.163834828293797e-1,8.169235235502513e-1,8.176274710616422e-1,8.184725466947815e-1,8.193906086650116e-1,8.202820126185753e-1,8.210954065805419e-1,8.219411629084244e-1,8.227439955367492e-1,8.234494853309410e-1,8.240371442533168e-1,8.245892513820268e-1,8.251931158698277e-1,8.261729547716808e-1,8.278635644207739e-1,8.300045553883547e-1,8.322697891429144e-1,8.345384264673840e-1,8.364757179403591e-1,8.378402404472952e-1,8.374327947352941e-1,8.358855904855016e-1,8.326590968425207e-1,8.280973922459817e-1,8.225848174308835e-1,8.165053672574454e-1,8.102777206735357e-1,8.042320199774819e-1,7.986248721330361e-1,7.936383109719257e-1,7.894022091656893e-1,7.860178611168280e-1,7.835844368436160e-1,7.822631451104358e-1
7.000000000000000e-1,7.318511403022674e-1,7.318486073580717e-1,7.318547854513133e-1,7.318483341575878e-1,7.318518726176212e-1,7.318568133559474e-1,7.318646280394644e-1,7.318585638439495e-1,7.318578588862306e-1,7.318606775868236e-1,7.318601459423882e-1,7.318536655965391e-1,7.318726168691009e-1,7.318970675896888e-1,7.319345099618674e-1,7.319865110567760e-1,7.320270461093334e-1,7.320653677254566e-1,7.321166566689139e-1,7.321693103525660e-1,7.322491360019782e-1,7.323324012849691e-1,7.324300080537826e-1,7.325106013665550e-1,7.325818792100927e-1,7.326396825881253e-1,7.327416465080819e-1,7.329122810472919e-1,7.331251561943082e-1,7.333389551868671e-1,7.335673388553969e-1,7.339007730211243e-1,7.343068246427706e-1,7.346800048762385e-1,7.349942947725262e-1,7.352992095871219e-1,7.356856485019837e-1,7.361557614521992e-1,7.367954721971398e-1,7.375914051246475e-1,7.386635998520864e-1,7.397693206387863e-1,7.406521982429938e-1,7.414548191644688e-1,7.425054903141296e-1,7.439968406649068e-1,7.462500569425591e-1,7.489150934325088e-1,7.510014615224461e-1,7.530739828252774e-1,7.558247336155686e-1,7.597906831206738e-1,7.643801341872690e-1,7.702892614253302e-1,7.760312486236967e-1,7.819290452014660e-1,7.893607798805123e-1,8.000057114416650e-1,8.136459376575829e-1,8.271426121136616e-1,8.358762264725537e-1
8.000000000000000e-1,6.557584787920355e-1,6.557574132066382e-1,6.557546573459299e-1,6.557534626585406e-1,6.557611718799192e-1,6.557683619558138e-1,6.557889655479808e-1,6.558219100302359e-1,6.558895702393939e-1,6.559616310109816e-1,6.560705598582963e-1,6.561864037651330e-1,6.563279925270842e-1,6.564688400318630e-1,6.566235803322695e-1,6.567817772627933e-1,6.569659591707360e-1,6.571745651055761e-1,6.574247111084126e-1,6.577579575644551e-1,6.581446453559160e-1,6.585804469456119e-1,6.590314096103166e-1,6.594904784208714e-1,6.599957852499091e-1,6.605922984812005e-1,6.612995094818064e-1,6.621105997154014e-1,6.630063538679802e-1,6.639798530412667e-1,6.650194623045493e-1,6.661698611392343e-1,6.675403655349129e-1,6.690718160908222e-1,6.707441027604698e-1,6.725938118831116e-1,6.746581736652043e-1,6.768933856170836e-1,6.794653969680227e-1,6.824089868058014e-1,6.855193958478412e-1,6.889080112021509e-1,6.927336336953366e-1,6.968939849383419e-1,7.012124135715679e-1,7.056627813481061e-1,7.103687566211985e-1,7.149238264556350e-1,7.187725705481095e-1,7.218388901101715e-1,7.236128127774082e-1,7.235713040156933e-1,7.223518944010464e-1,7.193310229547702e-1,7.152161534310371e-1,7.124598090054856e-1,7.120138513413617e-1,7.113385571382399e-1,7.109667686205324e-1,7.101524765092913e-1,7.082399141864364e-1
