a,z,N,t,s,H,K_Psi,U_Psi,rho_Psi,P_Psi,w_Psi,Omega_Psi,Omega_m,Omega_r,q_dec
9.118819655545162e-4,1.095633158428459e3,-7.000000000000000e0,2.198720400029820e-5,1.318815734483215e9,2.274049942835928e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,9.780132720187028e-10,7.650774078441868e-1,2.349225911778000e-1,6.174612941218802e-1
9.210465316693785e-4,1.084721476185921e3,-6.990000000000000e0,2.243052301371483e-5,1.279838839249509e9,2.237573970587157e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.010159477195928e-9,7.668699808481009e-1,2.331300181417397e-1,6.165650075556306e-1
9.303032032049490e-4,1.073918366995772e3,-6.980000000000000e0,2.288106680076064e-5,1.242013885152454e9,2.201702757288036e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.043343639177752e-9,7.686530117170882e-1,2.313469872395681e-1,6.156734920547682e-1
9.396529058360961e-4,1.063222750538091e3,-6.970000000000000e0,2.333894902359186e-5,1.205306827358832e9,2.166425868269065e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.077598752160659e-9,7.704264880010080e-1,2.295735109213934e-1,6.147867538442990e-1
9.490965745408727e-4,1.052633557242320e3,-6.960000000000000e0,2.380428508425682e-5,1.169684626956688e9,2.131733056749954e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.112958845792050e-9,7.721903983331015e-1,2.278096005539397e-1,6.139047986075319e-1
9.586351536940199e-4,1.042149728180303e3,-6.950000000000000e0,2.427719215235708e-5,1.135115221687024e9,2.097614260320607e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.149459017351185e-9,7.739447324203104e-1,2.260552664302306e-1,6.130276314909269e-1
9.682695971614017e-4,1.031770214960399e3,-6.940000000000000e0,2.475778919242378e-5,1.101567496711199e9,2.064059597490044e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.187135464923434e-9,7.756894810334284e-1,2.243105177794363e-1,6.121552571090154e-1
9.780008683953946e-4,1.021493979622635e3,-6.930000000000000e0,2.524619699074201e-5,1.069011256930859e9,2.031059364301928e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.226025521598383e-9,7.774246359971122e-1,2.225753627768624e-1,6.112876795493933e-1
9.878299405312295e-4,1.011319994534915e3,-6.920000000000000e0,2.574253818306990e-5,1.037417199627390e9,1.998604031015351e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.266167690723272e-9,7.791501901797361e-1,2.208498085540964e-1,6.104249023777970e-1
9.977577964843120e-4,1.001247242290252e3,-6.910000000000000e0,2.624693728293142e-5,1.006756887808136e9,1.966684238849627e4,-0.000000000000000e0,1.517280932102653e0,1.517280932102653e0,-1.517280932102653e0,-1.000000000000000e0,1.307601682244163e-9,7.808661374831162e-1,2.191338612092823e-1,6.095669286432388e-1
