potential,A,n,w_classical,w_quantum,sigma_over_n,x_kF_over_m,n_roots,rho_over_A
mass,10000,0.001,0,7.596333119e-11,0.9999999999,1.948888545e-05,1,0.001
mass,10000,0.001187459175,0,8.518238451e-11,0.9999999999,2.063763365e-05,1,0.001187459175
mass,10000,0.001410059293,0,9.552027956e-11,0.9999999999,2.185409339e-05,1,0.001410059293
mass,10000,0.001674387845,0,1.071128011e-10,0.9999999998,2.314225584e-05,1,0.001674387846
mass,10000,0.00198826721,0,1.201122129e-10,0.9999999998,2.450634744e-05,1,0.00198826721
mass,10000,0.002360986142,0,1.346892578e-10,0.9999999998,2.595084372e-05,1,0.002360986142
mass,10000,0.002803574657,0,1.510354005e-10,0.9999999998,2.748048404e-05,1,0.002803574657
mass,10000,0.00332913045,0,1.69365342e-10,0.9999999997,2.910028712e-05,1,0.003329130451
mass,10000,0.003953206499,0,1.899198397e-10,0.9999999997,3.081556748e-05,1,0.0039532065
mass,10000,0.004694271329,0,2.129688701e-10,0.9999999997,3.263195292e-05,1,0.00469427133
mass,10000,0.005574255561,0,2.388151743e-10,0.9999999996,3.455540294e-05,1,0.005574255563
mass,10000,0.006619200912,0,2.677982348e-10,0.9999999996,3.659222835e-05,1,0.006619200914
mass,10000,0.007860030856,0,3.002987343e-10,0.9999999995,3.87491119e-05,1,0.00786003086
mass,10000,0.009333465758,0,3.367435557e-10,0.9999999995,4.103313028e-05,1,0.009333465763
mass,10000,0.01108310955,0,3.776113895e-10,0.9999999994,4.345177729e-05,1,0.01108310956
mass,10000,0.01316074013,0,4.234390208e-10,0.9999999994,4.601298846e-05,1,0.01316074014
mass,10000,0.01562784162,0,4.7482838e-10,0.9999999993,4.872516704e-05,1,0.01562784163
mass,10000,0.01855742392,0,5.324544487e-10,0.9999999992,5.159721163e-05,1,0.01855742394
mass,10000,0.02203618331,0,5.97074126e-10,0.9999999991,5.463854533e-05,1,0.02203618333
mass,10000,0.02616706806,0,6.695361694e-10,0.999999999,5.785914668e-05,1,0.02616706809
mass,10000,0.03107232506,0,7.507923431e-10,0.9999999989,6.126958238e-05,1,0.03107232509
mass,10000,0.03689711749,0,8.419099194e-10,0.9999999987,6.488104198e-05,1,0.03689711754
mass,10000,0.04381382071,0,9.440856968e-10,0.9999999986,6.87053746e-05,1,0.04381382077
mass,10000,0.05202712341,0,1.058661719e-09,0.9999999984,7.275512776e-05,1,0.05202712349
mass,10000,0.06178008506,0,1.187142904e-09,0.9999999982,7.704358861e-05,1,0.06178008517
mass,10000,0.07336132885,0,1.331216809e-09,0.999999998,8.158482746e-05,1,0.073361329
mass,10000,0.08711358306,0,1.492775794e-09,0.9999999978,8.639374401e-05,1,0.08711358326
mass,10000,0.1034438235,0,1.673941882e-09,0.9999999975,9.148611619e-05,1,0.1034438238
mass,10000,0.1228353174,0,1.877094629e-09,0.9999999972,9.687865194e-05,1,0.1228353177
mass,10000,0.1458619246,0,2.104902376e-09,0.9999999968,0.000102589044,1,0.1458619251
mass,10000,0.1732050808,0,2.360357302e-09,0.9999999965,0.0001086360281,1,0.1732050814
mass,10000,0.2056739624,0,2.646814719e-09,0.999999996,0.0001150394441,1,0.2056739632
mass,10000,0.2442294337,0,2.968037148e-09,0.9999999955,0.0001218203016,1,0.2442294348
mass,10000,0.290012482,0,3.328243737e-09,0.999999995,0.0001290008483,1,0.2900124834
mass,10000,0.3443779827,0,3.732165678e-09,0.9999999944,0.0001366046435,1,0.3443779846
mass,10000,0.4089347953,0,4.185108346e-09,0.9999999937,0.0001446566349,1,0.4089347979
mass,10000,0.4855933748,0,4.693020991e-09,0.999999993,0.000153183241,1,0.4855933782
mass,10000,0.5766223084,0,5.262574871e-09,0.9999999921,0.0001622124373,1,0.576622313
mass,10000,0.6847154509,0,5.901250883e-09,0.9999999911,0.0001717738484,1,0.6847154569
mass,10000,0.8130716446,0,6.617437819e-09,0.9999999901,0.000181898845,1,0.8130716527
mass,10000,0.9654893846,0,7.42054255e-09,0.9999999889,0.000192620647,1,0.9654893954
mass,10000,1.146479228,0,8.321113582e-09,0.9999999875,0.0002039744323,1,1.146479243
mass,10000,1.361397279,0,9.33097961e-09,0.999999986,0.0002159974525,1,1.361397298
