# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=mass a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=8.32826320880170196e-2 potential=mass m0=1.21821812195970178e4
# spec: Mass { m0: 12182.181219597018 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.07750508737902e-23,1.00000000000000e0,1.00000000000000e0,9.84735596312514e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,9.20960546728879e43,4.92431913638403e34,4.87436474236517e42,1.62478824745499e42,-0.00000000000000e0,7.80373149464282e31,1.71223823395097e25,1.21821812195970e4,6.83643024075551e6,3.33333333333319e-1,4.87436474236517e42,3.33333333333319e-1,0.00000000000000e0,3.33333398344519e-1,9.49733487608631e-1,5.07816627336233e-10,5.02665118835524e-2,9.99999999746091e-1,1.00000000000000e0,3.33333333333326e-1,3.94263800923049e-1,-2.46216999759025e34,1.00000000000000e0,4.87436379170045e42,3.33333398344519e-1,3.33333333333319e-1,3.33333333333319e-1,0.00000000000000e0,4.87436379170045e42,4.92433999518049e34,0.00000000000000e0,3.00000000000000e1,2.05092907222665e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.36599627945986e-23,1.00000000000000e0,1.00000000000000e0,9.31793415357231e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,8.24595624002324e43,4.53258744026058e34,4.36433444475098e42,1.45477814825026e42,-0.00000000000000e0,7.18294131232069e31,1.62018344607571e25,1.21821812195970e4,6.65011853723981e6,3.33333333333318e-1,4.36433444475098e42,3.33333333333318e-1,0.00000000000000e0,3.33333400165891e-1,9.49733487595119e-1,5.22043769353835e-10,5.02665118828373e-2,9.99999999738977e-1,1.00000000000000e0,3.33333333333326e-1,3.94263800923050e-1,-2.26630358881446e34,1.00000000000000e0,4.36433356971206e42,3.33333400165891e-1,3.33333333333318e-1,3.33333333333318e-1,0.00000000000000e0,4.36433356971205e42,4.53260717762893e34,0.00000000000000e0,3.00000000000000e1,1.99503556117194e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.67087882250410e-23,1.00000000000000e0,1.00000000000000e0,8.81697556333415e21,0.00000000000000e0,0.00000000000000e0,-1.69859194049353e-16,7.38313867558069e43,4.17201816832173e34,3.90767128690451e42,1.30255709563478e42,-0.00000000000000e0,6.61153525485378e31,1.53307778490651e25,1.21821812195970e4,6.46888434488777e6,3.33333333333317e-1,3.90767128690451e42,3.33333333333317e-1,0.00000000000000e0,3.33333402038292e-1,9.49733487581228e-1,5.36669503223276e-10,5.02665118821022e-2,9.99999999731664e-1,1.00000000000000e0,3.33333333333325e-1,3.94263800923050e-1,-2.08601842227656e34,1.00000000000000e0,3.90767048147530e42,3.33333402038289e-1,3.33333333333317e-1,3.33333333333317e-1,0.00000000000000e0,3.90767048147531e42,4.17203684455313e34,0.00000000000000e0,3.00000000000000e1,1.94066530346633e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,5.99308403223938e-23,1.00000000000000e0,1.00000000000000e0,8.34294992894357e21,0.00000000000000e0,0.00000000000000e0,-1.89709491128498e-16,6.61060222928141e43,3.84013233637814e34,3.49879118564413e42,1.16626372854798e42,-0.00000000000000e0,6.08558479396114e31,1.45065517134286e25,1.21821812195970e4,6.29258928742384e6,3.33333333333316e-1,3.49879118564413e42,3.33333333333316e-1,0.00000000000000e0,3.33333403963151e-1,9.49733487566949e-1,5.51704996012667e-10,5.02665118813465e-2,9.99999999724146e-1,1.00000000000000e0,3.33333333333325e-1,3.94263800923051e-1,-1.92007500426116e34,1.00000000000000e0,3.49879044428713e42,3.33333403963151e-1,3.33333333333316e-1,3.33333333333316e-1,0.00000000000000e0,3.49879044428716e42,3.84015000852233e34,0.00000000000000e0,3.00000000000000e1,1.88777678622715e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.33359613944550e-23,1.00000000000000e0,1.00000000000000e0,7.89440925824150e21,0.00000000000000e0,0.00000000000000e0,2.11879558393297e-16,5.91890031516214e43,3.53464816449478e34,3.13269434964123e42,1.04423144988035e42,-0.00000000000000e0,5.60147391746912e31,1.37266383145204e25,1.21821812195970e4,6.12109875971020e6,3.33333333333316e-1,3.13269434964123e42,3.33333333333316e-1,0.00000000000000e0,3.33333405941937e-1,9.49733487552269e-1,5.67161727650061e-10,5.02665118805696e-2,9.99999999716418e-1,1.00000000000000e0,3.33333333333324e-1,3.94263800923051e-1,-1.76733244326716e34,1.00000000000000e0,3.13269366725951e42,3.33333405941936e-1,3.33333333333316e-1,3.33333333333316e-1,0.00000000000000e0,3.13269366725952e42,3.53466488653432e34,0.00000000000000e0,3.00000000000000e1,1.83632962791306e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.69345529643794e-23,1.00000000000000e0,1.00000000000000e0,7.46998340723765e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,5.29957479299661e43,3.25346538930736e34,2.80490414190509e42,9.34968047301642e41,-0.00000000000000e0,5.15587426852104e31,1.29886552738265e25,1.21821812195970e4,5.95428182497274e6,3.33333333333315e-1,2.80490414190509e42,3.33333333333315e-1,0.00000000000000e0,3.33333407976161e-1,9.49733487537177e-1,5.83051499688563e-10,5.02665118797710e-2,9.99999999708473e-1,1.00000000000000e0,3.33333333333324e-1,3.94263800923052e-1,-1.62674060616130e34,1.00000000000000e0,2.80490351380715e42,3.33333407976162e-1,3.33333333333315e-1,3.33333333333315e-1,0.00000000000000e0,2.80490351380714e42,3.25348121232259e34,0.00000000000000e0,3.00000000000000e1,1.78628454749182e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.07376075439608e-23,1.00000000000000e0,1.00000000000000e0,7.06837589477185e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.74505254204393e43,2.99465082430169e34,2.51141233940592e42,8.37137446468590e41,-0.00000000000000e0,4.74572226247337e31,1.22903482962641e25,1.21821812195970e4,5.79201111482786e6,3.33333333333313e-1,2.51141233940592e42,3.33333333333313e-1,0.00000000000000e0,3.33333410067377e-1,9.49733487521664e-1,5.99386444317130e-10,5.02665118789499e-2,9.99999999700305e-1,1.00000000000000e0,3.33333333333323e-1,3.94263800923053e-1,-1.49733289831336e34,1.00000000000000e0,2.51141176127347e42,3.33333410067381e-1,3.33333333333313e-1,3.33333333333313e-1,0.00000000000000e0,2.51141176127343e42,2.99466579662671e34,0.00000000000000e0,3.00000000000000e1,1.73760333444836e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.47567422121311e-23,1.00000000000000e0,1.00000000000000e0,6.68835994219150e21,0.00000000000000e0,0.00000000000000e0,-1.47590724083098e-16,4.24855285682770e43,2.75642506877882e34,2.24863012047056e42,7.49543373490140e41,-0.00000000000000e0,4.36819802415313e31,1.16295842840536e25,1.21821812195970e4,5.63416273203414e6,3.33333333333312e-1,2.24863012047056e42,3.33333333333312e-1,0.00000000000000e0,3.33333412217180e-1,9.49733487505715e-1,6.16179033623744e-10,5.02665118781059e-2,9.99999999691909e-1,1.00000000000000e0,3.33333333333323e-1,3.94263800923053e-1,-1.37821961807457e34,1.00000000000000e0,2.24862958832877e42,3.33333412217187e-1,3.33333333333312e-1,3.33333333333312e-1,0.00000000000000e0,2.24862958832876e42,2.75643923614915e34,0.00000000000000e0,3.00000000000000e1,1.69024881961024e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,7.90042341013132e-23,1.00000000000000e0,1.00000000000000e0,6.32877472594657e21,0.00000000000000e0,0.00000000000000e0,-1.64838655438889e-16,3.80400453257857e43,2.53715027412714e34,2.01334418062287e42,6.71114726874246e41,-0.00000000000000e0,4.02070600066478e31,1.10043448208067e25,1.21821812195970e4,5.48061615589385e6,3.33333333333311e-1,2.01334418062287e42,3.33333333333311e-1,0.00000000000000e0,3.33333414427214e-1,9.49733487489320e-1,6.33442089118091e-10,5.02665118772382e-2,9.99999999683278e-1,1.00000000000000e0,3.33333333333322e-1,3.94263800923054e-1,-1.26858183990971e34,1.00000000000000e0,2.01334369081318e42,3.33333414427221e-1,3.33333333333311e-1,3.33333333333311e-1,0.00000000000000e0,2.01334369081318e42,2.53716367981942e34,0.00000000000000e0,3.00000000000000e1,1.64418484676815e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.34930579000129e-23,1.00000000000000e0,1.00000000000000e0,5.98852183165638e21,0.00000000000000e0,0.00000000000000e0,1.84102236069992e-16,3.40597162646179e43,2.33531888329378e34,1.80267744025403e42,6.00892480084635e41,-0.00000000000000e0,3.70085711645729e31,1.04127200059302e25,1.21821812195970e4,5.33125415023291e6,3.33333333333310e-1,1.80267744025403e42,3.33333333333310e-1,0.00000000000000e0,3.33333416699164e-1,9.49733487472465e-1,6.51188791521128e-10,5.02665118763462e-2,9.99999999674403e-1,1.00000000000000e0,3.33333333333322e-1,3.94263800923055e-1,-1.16766578412899e34,1.00000000000000e0,1.80267698940891e42,3.33333416699161e-1,3.33333333333310e-1,3.33333333333310e-1,0.00000000000000e0,1.80267698940891e42,2.33533156825799e34,0.00000000000000e0,3.00000000000000e1,1.59937624506987e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
