kF,lam_chi0,n_roots,m_ground,rho_ground,m_min_root,m_max_root
0.2,0.1621138938,1,0.0582790005,0.0001731739155,0.0582790005,0.0582790005
0.225,0.2051753969,1,0.06113265678,0.0002744979473,0.06113265678,0.06113265678
0.25,0.2533029591,1,0.06465821143,0.0004152844574,0.06465821143,0.06465821143
0.275,0.3064965805,1,0.0690255285,0.0006048115036,0.0690255285,0.0690255285
0.3,0.3647562611,1,0.07447018869,0.0008534184647,0.07447018869,0.07447018869
0.325,0.4280820009,1,0.08132187634,0.00117256739,0.08132187634,0.08132187634
0.35,0.4964737998,1,0.09004471647,0.001574946006,0.09004471647,0.09004471647
0.375,0.569931658,1,0.101290239,0.002074643831,0.101290239,0.101290239
0.4,0.6484555753,1,0.1159541205,0.002687455121,0.1159541205,0.1159541205
0.425,0.7320455518,1,0.1352029654,0.003431391098,0.1352029654,0.1352029654
0.45,0.8207015875,1,0.1603981655,0.004327497463,0.1603981655,0.1603981655
0.475,0.9144236824,1,0.1928412406,0.005401013546,0.1928412406,0.1928412406
0.5,1.013211836,1,0.2334026595,0.00668272472,0.2334026595,0.2334026595
0.525,1.11706605,1,0.2823070207,0.008210165979,0.2823070207,0.2823070207
0.55,1.225986322,1,0.3392698916,0.0100284116,0.3392698916,0.3392698916
0.575,1.339972654,1,0.4038242839,0.01219051797,0.4038242839,0.4038242839
0.6,1.459025044,1,0.475567944,0.01475788007,0.475567944,0.475567944
0.625,1.583143494,3,-0.09982464971,0.01528211013,-0.3549665812,0.5542543306
0.65,1.712328004,3,-0.0760598305,0.01793244245,-0.4667273112,0.6397881067
0.675,1.846578572,3,-0.0620106769,0.02089541965,-0.5749272503,0.7321899192
0.7,1.985895199,3,-0.05236070226,0.0242002321,-0.6851859189,0.8315611516
0.725,2.130277886,3,-0.04522148534,0.02787473218,-0.79968772,0.9380571005
0.75,2.279726632,3,-0.03969129654,0.03194690419,-0.9196243019,1.051868508
0.775,2.434241437,3,-0.03526871634,0.0364453085,-1.045781868,1.173209347
0.8,2.593822301,3,-0.03164706698,0.04139925927,-1.178747562,1.302308852
0.825,2.758469225,3,-0.02862600066,0.04683890782,-1.318998566,1.439406321
0.85,2.928182207,3,-0.02606810715,0.05279528618,-1.466946076,1.584747711
0.875,3.102961249,3,-0.02387553201,0.0593003316,-1.622959158,1.738583384
0.9,3.28280635,3,-0.02197646465,0.06638690121,-1.787378655,1.901166612
0.925,3.46771751,3,-0.0203168922,0.07408878122,-1.960525761,2.072752561
