x,rel_err_stable_sigma,rel_err_stable_eps,rel_err_stable_P,rel_err_closed_sigma,rel_err_closed_eps,rel_err_closed_P
1.0000000000e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4815418377e+00,2.4077091883e-01,4.1359030628e+16
1.1220184543e-08,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,1.0000000000e+00,1.2160145863e-01,2.3257892092e+16
1.2589254118e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,3.7814145563e-01,1.0000000000e+00
1.4125375446e-08,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,1.0000000000e+00,1.1951573006e-01,1.0000000000e+00
1.5848931925e-08,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.0000000000e+00,3.7666487288e-01,4.1359030628e+15
1.7782794100e-08,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,1.1742504899e-01,1.0321868876e-01,1.0000000000e+00
1.9952623150e-08,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,3.7518478403e-01,6.2777176042e-02,1.0000000000e+00
2.2387211386e-08,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,3.2700589450e-01,2.1642206996e-01,1.4709582517e+15
2.5118864315e-08,1.1102230246e-16,3.3306690739e-16,1.1102230246e-16,6.0551771136e-02,1.7735581269e-02,1.0000000000e+00
2.8183829313e-08,4.4408920985e-16,2.2204460493e-16,3.3306690739e-16,1.0846402212e-01,2.3823800934e-03,1.0000000000e+00
3.1622776602e-08,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,3.7221405472e-01,5.8321082080e-02,5.2315495440e+14
3.5481338923e-08,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,1.1109603364e-01,1.3569722359e-05,1.4709582517e+14
3.9810717055e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1340424694e-01,5.6085096325e-02,1.6543612251e+14
4.4668359215e-08,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.3608653113e-03,2.3608653113e-03,1.0000000000e+00
5.0118723363e-08,1.1102230246e-16,3.3306690739e-16,3.3306690739e-16,1.3269015119e-01,1.4420626349e-02,5.2315495440e+13
5.6234132519e-08,0.0000000000e+00,4.4408920985e-16,2.2204460493e-16,5.1078002657e-02,2.3168532147e-02,2.9419165034e+13
6.3095734448e-08,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16,2.7436383585e-02,7.6779915926e-03,1.0000000000e+00
7.0794578438e-08,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16,7.1266628207e-03,6.8612074963e-03,1.0000000000e+00
7.9432823472e-08,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.9875997634e-02,1.0070689987e-02,5.2315495440e+12
8.9125093813e-08,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,1.8524116011e-02,2.5075100742e-03,1.0000000000e+00
1.0000000000e-07,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,2.7235599638e-02,7.3832649364e-03,3.3087224502e+12
1.1220184543e-07,4.4408920985e-16,2.2204460493e-16,3.3306690739e-16,1.6193633664e-02,5.6528511671e-03,3.7212627347e+12
1.2589254118e-07,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,2.4925802423e-02,5.0263290026e-03,2.0926198176e+12
1.4125375446e-07,0.0000000000e+00,4.4408920985e-16,4.4408920985e-16,2.3013065722e-04,2.3013065721e-04,1.0000000000e+00
1.5848931925e-07,1.1102230246e-16,0.0000000000e+00,0.0000000000e+00,1.2637158636e-02,5.1571371102e-03,3.3087224502e+11
1.7782794100e-07,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,2.6051443495e-03,8.3999444744e-04,3.7212627347e+11
1.9952623150e-07,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,5.2941761727e-03,2.9565444500e-04,1.0000000000e+00
2.2387211386e-07,4.4408920985e-16,0.0000000000e+00,2.2204460493e-16,1.4471150487e-03,3.2222614404e-04,1.0000000000e+00
2.5118864315e-07,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,2.0781107878e-03,4.2708448923e-04,6.6174449005e+10
2.8183829313e-07,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,3.8250184305e-03,2.7793355967e-04,7.4425254695e+10
3.1622776602e-07,0.0000000000e+00,1.1102230246e-16,0.0000000000e+00,5.6477511389e-04,6.3010831329e-05,1.0000000000e+00
3.5481338923e-07,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,2.6802002031e-03,4.5800813585e-04,4.7070664053e+10
3.9810717055e-07,4.4408920985e-16,1.1102230246e-16,6.6613381478e-16,5.4979789576e-04,2.3515959444e-04,1.3234889802e+10
4.4668359215e-07,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,3.1209699612e-04,8.9350137278e-05,7.4425254684e+09
5.0118723363e-07,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,8.5905416739e-04,8.7102031162e-05,4.1852396342e+09
5.6234132519e-07,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,1.1685261380e-03,2.7542308153e-04,7.0605996091e+09
6.3095734448e-07,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,3.8343234002e-04,6.7298068391e-05,2.6469779592e+09
7.0794578438e-07,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,4.8273863158e-04,1.4702974428e-04,1.4885050929e+09
7.9432823472e-07,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,8.8814932957e-05,9.5937019913e-06,1.0000000000e+00
8.9125093813e-07,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,3.5279107315e-04,7.2369392483e-05,4.7070663954e+08
1.0000000000e-06,1.1102230246e-16,1.1102230246e-16,4.4408920985e-16,7.7605765998e-05,1.8035722067e-06,2.6469779502e+08
1.1220184543e-06,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.2786177523e-04,5.9209256041e-05,2.9770101777e+08
1.2589254118e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5045538138e-04,9.1259594971e-05,1.6740958441e+08
1.4125375446e-06,2.2204460493e-16,2.2204460493e-16,3.3306690739e-16,4.7266847085e-06,4.7266835113e-06,1.0000000000e+00
1.5848931925e-06,1.1102230246e-16,1.1102230246e-16,2.2204460493e-16,3.0829024004e-05,1.0882301443e-05,1.0000000000e+00
1.7782794100e-06,2.2204460493e-16,4.4408920985e-16,2.2204460493e-16,4.9641102223e-05,2.1398705687e-05,2.9770100877e+07
1.9952623150e-06,3.3306690739e-16,1.1102230246e-16,4.4408920985e-16,5.5725400865e-05,1.5737229431e-05,1.6740957541e+07
2.2387211386e-06,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,3.3326369291e-06,3.3326339217e-06,9.4141338108e+06
2.5118864315e-06,5.5511151231e-16,1.1102230246e-16,1.1102230246e-16,6.2116807894e-06,3.8090965331e-06,5.2939549204e+06
2.8183829313e-06,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,5.8332275813e-06,1.2609373943e-06,1.0000000000e+00
3.1622776602e-06,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.7810246299e-05,2.7433776126e-06,3.3481927082e+06
3.5481338923e-06,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,2.0680733204e-05,2.9032042186e-06,1.8828255622e+06
3.9810717055e-06,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.4102360968e-05,8.9997320186e-06,1.0587901841e+06
4.4668359215e-06,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,1.5305872227e-06,2.0333744918e-06,1.0000000000e+00
5.0118723363e-06,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,1.2058731063e-06,1.3171950191e-06,3.3482017082e+05
5.6234132519e-06,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,3.2250624586e-06,3.4733079324e-07,1.0000000000e+00
6.3095734448e-06,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,9.8694638906e-07,2.7761458454e-07,1.0000000000e+00
7.0794578438e-06,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,2.8987133461e-06,1.1082960170e-06,1.0000000000e+00
7.9432823472e-06,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,2.4479059401e-06,8.7135581195e-08,1.0000000000e+00
8.9125093813e-06,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,1.0300927331e-06,1.3279101296e-07,3.7655531244e+04
1.0000000000e-05,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,1.1683277961e-06,5.3299308589e-07,2.1176823682e+04
1.1220184543e-05,2.2204460493e-16,2.2204460493e-16,3.3306690739e-16,6.0620917774e-07,1.5639358941e-07,1.0000000000e+00
1.2589254118e-05,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,8.3633972880e-07,1.9965167275e-07,1.3391766833e+04
1.4125375446e-05,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,6.8295138700e-07,6.8591832214e-09,1.0000000000e+00
1.5848931925e-05,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,8.2907640331e-07,1.9093194603e-07,4.2341647367e+03
1.7782794100e-05,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,3.8626543686e-07,1.6051598606e-07,1.0000000000e+00
1.9952623150e-05,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,6.1744666380e-08,9.7969164781e-08,1.0000000000e+00
2.2387211386e-05,4.4408920985e-16,2.2204460493e-16,2.2204460493e-16,1.6212636389e-07,4.8587815105e-08,1.5072612500e+03
2.5118864315e-05,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,7.6018847206e-07,1.1923705534e-07,8.4603294745e+02
2.8183829313e-05,0.0000000000e+00,0.0000000000e+00,4.4408920985e-16,1.5765587225e-07,1.2127604920e-08,1.0000000000e+00
3.1622776602e-05,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,2.9280428171e-07,5.1134478873e-08,1.0000000000e+00
3.5481338923e-05,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,2.6915257800e-08,2.6159902466e-08,1.5162612504e+02
3.9810717055e-05,3.3306690739e-16,2.2204460493e-16,3.3306690739e-16,9.8763531353e-08,1.9167061827e-08,8.3703294773e+01
4.4668359215e-05,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,4.8576722422e-08,9.6436306718e-09,1.0000000000e+00
5.0118723363e-05,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,7.4785804105e-08,4.4457266757e-09,5.2571067379e+01
5.6234132519e-05,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,3.3916687681e-08,3.4400233773e-09,1.0000000000e+00
6.3095734448e-05,1.1102230246e-16,0.0000000000e+00,1.1102230246e-16,2.3500902668e-08,5.6569520179e-09,1.5940658969e+01
7.0794578438e-05,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,6.1156137487e-08,6.8689441912e-09,8.5264326178e+00
7.9432823472e-05,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,1.2355793166e-08,6.0012196323e-09,4.3571067451e+00
8.9125093813e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.1417453295e-08,1.3110652120e-08,1.1050090032e+01
1.0000000000e-04,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,7.7720665459e-09,1.4745265009e-09,1.0000000000e+00
1.1220184543e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.8941211063e-09,5.6539121163e-09,9.0528652872e-01
1.2589254118e-04,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,1.6550171011e-08,5.6824692729e-09,1.1428427054e+00
1.4125375446e-04,2.2204460493e-16,2.2204460493e-16,1.1102230246e-16,8.2026205828e-09,1.6248957735e-10,1.0000000000e+00
1.5848931925e-04,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,1.5827162914e-08,3.3090250540e-09,1.0000000000e+00
1.7782794100e-04,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,8.1407182106e-09,1.8091947940e-09,5.2422923334e-01
1.9952623150e-04,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,1.2639853608e-09,4.1074343926e-10,1.4286291052e-01
2.2387211386e-04,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,6.7019123584e-09,1.9959540687e-09,1.5649368505e-01
2.5118864315e-04,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,7.1569750126e-11,7.3187023109e-10,1.6439559610e-02
2.8183829313e-04,0.0000000000e+00,2.2204460493e-16,2.2204460493e-16,1.4884807831e-09,1.0213259127e-09,2.8854750071e-02
3.1622776602e-04,3.3306690739e-16,1.1102230246e-16,0.0000000000e+00,1.4935349624e-09,1.0653690152e-09,7.1361017840e-03
3.5481338923e-04,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,5.9065508040e-10,1.4744760968e-10,1.1892575752e-02
3.9810717055e-04,0.0000000000e+00,3.3306690739e-16,5.5511151231e-16,1.4306326124e-09,5.1171211712e-10,1.6439594239e-02
4.4668359215e-04,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,1.0885838897e-09,4.3728665133e-10,1.6297922953e-03
5.0118723363e-04,0.0000000000e+00,3.3306690739e-16,3.3306690739e-16,8.2869655582e-10,3.9909320293e-10,7.1361561652e-03
5.6234132519e-04,0.0000000000e+00,2.2204460493e-16,1.1102230246e-16,7.1560135595e-10,5.9597438096e-11,2.2524354968e-03
6.3095734448e-04,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,4.3721748444e-10,7.1301520244e-11,1.7664632408e-04
7.0794578438e-04,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,1.5070833470e-10,4.4078074524e-12,1.0545524590e-04
7.9432823472e-04,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,1.8621215681e-10,8.0516482370e-11,2.7919460127e-04
8.9125093813e-04,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,2.6133539777e-10,1.0679856999e-10,3.2425018471e-04
1.0000000000e-03,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.3368418312e-10,9.5854879589e-11,3.6523995616e-04
1.1220184543e-03,0.0000000000e+00,0.0000000000e+00,2.2204460493e-16,3.3417713041e-11,1.1532774735e-11,1.0518465382e-04
1.2589254118e-03,0.0000000000e+00,0.0000000000e+00,1.1102230246e-16,1.2272405314e-12,2.0068169349e-11,6.3319637468e-05
1.4125375446e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0231615555e-10,3.1681324231e-12,3.4619053118e-05
1.5848931925e-03,0.0000000000e+00,1.1102230246e-16,4.4408920985e-16,1.5070766857e-10,5.0416337771e-11,3.9439251020e-05
1.7782794100e-03,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,1.1238743269e-10,2.9783731037e-11,4.3535720131e-05
1.9952623150e-03,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,2.0872192863e-14,5.8654192614e-12,6.1071485000e-06
2.2387211386e-03,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,2.2785662246e-11,7.6939565830e-12,5.0186248437e-06
2.5118864315e-03,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,8.5358387025e-12,1.2108092307e-12,5.2851929797e-06
2.8183829313e-03,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,2.9127145140e-11,4.1220360458e-12,5.2466940497e-06
3.1622776602e-03,2.2204460493e-16,2.2204460493e-16,4.4408920985e-16,8.4442453030e-12,5.1890713948e-12,1.3996479222e-06
3.5481338923e-03,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,1.9960477715e-11,5.3007598311e-12,1.2738311517e-08
3.9810717055e-03,2.2204460493e-16,0.0000000000e+00,1.1102230246e-16,1.2783996084e-11,2.6489921368e-12,1.8433497839e-08
4.4668359215e-03,2.2204460493e-16,0.0000000000e+00,3.3306690739e-16,6.2753136021e-12,3.1424862712e-12,2.6168656331e-07
5.0118723363e-03,0.0000000000e+00,3.3306690739e-16,2.2204460493e-16,1.3454792835e-12,3.6437519668e-13,4.0082833941e-07
5.6234132519e-03,1.1102230246e-16,1.1102230246e-16,2.2204460493e-16,6.9548811155e-12,2.6476598691e-12,1.3060376081e-07
6.3095734448e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.2008397589e-12,1.0597078770e-12,3.3600421556e-07
7.0794578438e-03,4.4408920985e-16,2.2204460493e-16,4.4408920985e-16,6.0240701316e-13,6.1950444774e-13,6.0402286506e-08
7.9432823472e-03,0.0000000000e+00,1.1102230246e-16,5.5511151231e-16,1.3249401576e-12,1.1739498262e-12,3.9803451646e-09
8.9125093813e-03,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,4.4783066144e-12,9.9054098257e-13,5.3903745689e-08
1.0000000000e-02,2.2204460493e-16,2.2204460493e-16,3.3306690739e-16,4.3520742565e-13,1.1035616865e-13,5.4130352423e-09
1.1220184543e-02,0.0000000000e+00,0.0000000000e+00,3.3306690739e-16,1.3795631304e-12,5.0470738699e-13,2.3774240465e-08
1.2589254118e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.7531757136e-13,1.0136336215e-13,8.4126630107e-09
1.4125375446e-02,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,2.9376501232e-13,2.6645352591e-15,3.3102119934e-09
1.5848931925e-02,0.0000000000e+00,2.2204460493e-16,3.3306690739e-16,1.8340884367e-13,6.5059069243e-14,7.8619810662e-10
1.7782794100e-02,3.3306690739e-16,1.1102230246e-16,1.1102230246e-16,9.0105700679e-13,2.1826984664e-13,1.1597840466e-09
1.9952623150e-02,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,1.8984813721e-14,7.3274719625e-14,1.6698962213e-09
2.2387211386e-02,0.0000000000e+00,4.4408920985e-16,2.2204460493e-16,2.9354296771e-13,9.6478380840e-14,6.5452421261e-10
2.5118864315e-02,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,7.5828232582e-14,4.4741987892e-14,2.9895530496e-10
2.8183829313e-02,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,8.3488771452e-14,7.3052675020e-14,9.9932173647e-11
3.1622776602e-02,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,1.8962609261e-13,4.6851411639e-14,2.3833679474e-10
3.5481338923e-02,2.2204460493e-16,2.2204460493e-16,0.0000000000e+00,1.5765166950e-14,1.4432899320e-15,2.3027357798e-11
3.9810717055e-02,1.1102230246e-16,2.2204460493e-16,0.0000000000e+00,1.0336176359e-13,1.7541523789e-14,4.6598502834e-11
4.4668359215e-02,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,3.2751579226e-14,1.2878587086e-14,1.3672396548e-11
5.0118723363e-02,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,1.4122036873e-13,3.7303493627e-14,8.2589379780e-11
5.6234132519e-02,2.2204460493e-16,0.0000000000e+00,2.2204460493e-16,1.3766765505e-14,1.7763568394e-15,1.5847323453e-11
6.3095734448e-02,2.2204460493e-16,2.2204460493e-16,2.2204460493e-16,4.1633363423e-14,2.1538326678e-14,1.7113421791e-11
7.0794578438e-02,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,6.7279515292e-14,2.3314683517e-14,1.9513390903e-11
7.9432823472e-02,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,9.3258734069e-15,7.1054273576e-15,5.8220095411e-13
8.9125093813e-02,0.0000000000e+00,2.2204460493e-16,4.4408920985e-16,3.3861802251e-14,4.4408920985e-15,1.4515055824e-12
1.0000000000e-01,0.0000000000e+00,2.2204460493e-16,0.0000000000e+00,1.4321877018e-14,1.4432899320e-15,1.2541079286e-12
1.1220184543e-01,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,1.0547118734e-14,1.7763568394e-15,1.2723155862e-13
1.2589254118e-01,1.1102230246e-16,0.0000000000e+00,2.2204460493e-16,5.5511151231e-15,5.5511151231e-15,1.0891287872e-12
1.4125375446e-01,2.2204460493e-16,0.0000000000e+00,0.0000000000e+00,9.3258734069e-15,8.8817841970e-16,3.8846703632e-13
1.5848931925e-01,2.2204460493e-16,2.2204460493e-16,6.6613381478e-16,5.7731597281e-15,1.1102230246e-16,4.6518344732e-14
1.7782794100e-01,0.0000000000e+00,1.1102230246e-16,2.2204460493e-16,5.9952043330e-15,2.7755575616e-15,1.6009416015e-13
1.9952623150e-01,1.1102230246e-16,2.2204460493e-16,2.2204460493e-16,2.8865798640e-15,1.3322676296e-15,1.2867484855e-13
2.2387211386e-01,2.2204460493e-16,1.1102230246e-16,2.2204460493e-16,5.1070259133e-15,1.3322676296e-15,5.7509552676e-14
2.5118864315e-01,4.3298697960e-15,1.7763568394e-15,9.8809849192e-14,4.3298697960e-15,1.7763568394e-15,9.8809849192e-14
2.8183829313e-01,4.6629367034e-15,1.5543122345e-15,7.7937656329e-14,4.6629367034e-15,1.5543122345e-15,7.7937656329e-14
3.1622776602e-01,3.3306690739e-16,3.3306690739e-16,3.0420110875e-14,3.3306690739e-16,3.3306690739e-16,3.0420110875e-14
3.5481338923e-01,1.4432899320e-15,0.0000000000e+00,7.7715611724e-15,1.4432899320e-15,0.0000000000e+00,7.7715611724e-15
3.9810717055e-01,1.2212453271e-15,1.1102230246e-16,4.8849813084e-15,1.2212453271e-15,1.1102230246e-16,4.8849813084e-15
4.4668359215e-01,4.4408920985e-16,4.4408920985e-16,6.6613381478e-15,4.4408920985e-16,4.4408920985e-16,6.6613381478e-15
5.0118723363e-01,1.5543122345e-15,6.6613381478e-16,9.2148511044e-15,1.5543122345e-15,6.6613381478e-16,9.2148511044e-15
5.6234132519e-01,1.1102230246e-16,4.4408920985e-16,1.5543122345e-15,1.1102230246e-16,4.4408920985e-16,1.5543122345e-15
6.3095734448e-01,3.3306690739e-16,1.1102230246e-16,0.0000000000e+00,3.3306690739e-16,1.1102230246e-16,0.0000000000e+00
7.0794578438e-01,2.2204460493e-16,2.2204460493e-16,8.8817841970e-16,2.2204460493e-16,2.2204460493e-16,8.8817841970e-16
