curve,abscissa,value
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999999,-1.99948018477
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999998384,-1.99933921383
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.999999739,-1.99915998864
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999995783,-1.99893211384
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999993187,-1.99864236022
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999988993,-1.99827388669
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999982217,-1.99780524529
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.999997127,-1.99720910668
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999953584,-1.99645062428
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999925011,-1.99548532954
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999878847,-1.99425641538
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999804266,-1.99269121683
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999683772,-1.99069663055
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999489103,-1.98815312014
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9999174596,-1.98490681879
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9998666479,-1.98075904454
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9997845565,-1.97545225649
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9996519299,-1.96865105485
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9994376587,-1.95991619281
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9990914824,-1.948668613
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9985322007,-1.93413908004
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9976286263,-1.91529680208
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9961688132,-1.8907471522
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9938103418,-1.85858369357
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.99,-1.81617248147
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.99,-1.81617248147
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.98,-1.72900540237
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.97,-1.65793942675
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.96,-1.59528556003
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.95,-1.53805604025
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.94,-1.48471392671
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.93,-1.43434351509
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.92,-1.3863464453
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.91,-1.34030590797
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.9,-1.29591757078
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.89,-1.25295104698
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.88,-1.21122685569
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.87,-1.1706018763
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.86,-1.13095975461
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.85,-1.09220434283
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.84,-1.05425507625
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.83,-1.01704363012
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.82,-0.980511447806
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.81,-0.944607877614
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.8,-0.909288744353
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.79,-0.87451523752
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.78,-0.840253034285
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.77,-0.806471599253
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.76,-0.773143619272
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.75,-0.740244542689
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.74,-0.70775220037
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.73,-0.675646491369
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.72,-0.643909120254
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.71,-0.612523376046
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.7,-0.581473944977
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.69,-0.550746750938
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.68,-0.520328818762
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.67,-0.490208156455
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.66,-0.460373653271
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.65,-0.430814991077
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.64,-0.401522566955
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.63,-0.372487425349
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.62,-0.343701198338
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.61,-0.315156052893
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.6,-0.286844644129
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.59,-0.258760073742
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.58,-0.230895852955
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.57,-0.203245869366
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.56,-0.17580435723
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.55,-0.148565870736
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.54,-0.121525259923
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.53,-0.0946776489242
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.52,-0.068018416263
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.51,-0.0415431769836
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.5,-0.0152477663993
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.49,0.0108717747097
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.48,0.0368192136046
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.47,0.0625981379366
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.46,0.0882119670545
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.45,0.113663962375
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.44,0.138957236908
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.43,0.164094764017
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.42,0.189079385487
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.41,0.213913818968
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.4,0.238600664842
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.39,0.263142412573
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.38,0.287541446578
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.37,0.311800051671
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.36,0.335920418098
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.35,0.359904646215
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.34,0.383754750824
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.33,0.407472665201
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.32,0.431060244833
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.31,0.454519270895
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.3,0.477851453472
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.29,0.501058434559
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.28,0.524141790843
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.27,0.547103036277
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.26,0.569943624475
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.25,0.592664950925
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.24,0.615268355024
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.23,0.637755121968
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.22,0.660126484471
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.21,0.682383624347
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.2,0.704527673938
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.19,0.726559717411
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.18,0.748480791906
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.17,0.77029188855
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.16,0.791993953329
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.15,0.813587887821
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.14,0.835074549775
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.13,0.856454753538
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.12,0.877729270318
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.11,0.898898828265
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.1,0.919964112352
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.09,0.940925764036
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.08,0.961784380655
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.07,0.982540514521
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.06,1.00319467164
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.05,1.02374730996
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.04,1.04419883703
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.03,1.06454960681
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.02,1.08479991524
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",-0.01,1.10494999394
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0,1.125
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.01,1.14494999394
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.02,1.16479991524
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.03,1.18454960681
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.04,1.20419883703
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.05,1.22374730996
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.06,1.24319467164
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.07,1.26254051452
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.08,1.28178438065
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.09,1.30092576404
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.1,1.31996411235
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.11,1.33889882826
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.12,1.35772927032
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.13,1.37645475354
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.14,1.39507454978
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.15,1.41358788782
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.16,1.43199395333
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.17,1.45029188855
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.18,1.46848079191
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.19,1.48655971741
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.2,1.50452767394
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.21,1.52238362435
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.22,1.54012648447
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.23,1.55775512197
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.24,1.57526835502
"E_n(sigma)/n, W=2 sigma, kF=1.5; abscissa sigma/n",0.25,1.59266495092
