a_over_a_nr,w
1.0000000000e-03,3.333326666720673e-01
1.0592537252e-03,3.333325853277812e-01
1.1220184543e-03,3.333324940581632e-01
1.1885022274e-03,3.333323916521828e-01
1.2589254118e-03,3.333322767510518e-01
1.3335214322e-03,3.333321478301979e-01
1.4125375446e-03,3.333320031790401e-01
1.4962356561e-03,3.333318408782950e-01
1.5848931925e-03,3.333316587745173e-01
1.6788040181e-03,3.333314544515339e-01
1.7782794100e-03,3.333312251983948e-01
1.8836490895e-03,3.333309679734133e-01
1.9952623150e-03,3.333306793638242e-01
2.1134890398e-03,3.333303555405204e-01
2.2387211386e-03,3.333299922072696e-01
2.3713737057e-03,3.333295845437427e-01
2.5118864315e-03,3.333291271415923e-01
2.6607250598e-03,3.333286139327423e-01
2.8183829313e-03,3.333280381089352e-01
2.9853826189e-03,3.333273920314742e-01
3.1622776602e-03,3.333266671299676e-01
3.3496543916e-03,3.333258537887336e-01
3.5481338923e-03,3.333249412193702e-01
3.7583740429e-03,3.333239173177999e-01
3.9810717055e-03,3.333227685039087e-01
4.2169650343e-03,3.333214795416597e-01
4.4668359215e-03,3.333200333373105e-01
4.7315125896e-03,3.333184107130758e-01
5.0118723363e-03,3.333165901532555e-01
5.3088444423e-03,3.333145475194884e-01
5.6234132519e-03,3.333122557313889e-01
5.9566214353e-03,3.333096844083748e-01
6.3095734448e-03,3.333067994679892e-01
6.6834391757e-03,3.333035626754551e-01
7.0794578438e-03,3.332999311385741e-01
7.4989420933e-03,3.332958567413716e-01
7.9432823472e-03,3.332912855091081e-01
8.4139514165e-03,3.332861568963976e-01
8.9125093813e-03,3.332804029891897e-01
9.4406087629e-03,3.332739476102830e-01
1.0000000000e-02,3.332667053168190e-01
1.0592537252e-02,3.332585802768429e-01
1.1220184543e-02,3.332494650105164e-01
1.1885022274e-02,3.332392389798817e-01
1.2589254118e-02,3.332277670092116e-01
1.3335214322e-02,3.332148975159201e-01
1.4125375446e-02,3.332004605297057e-01
1.4962356561e-02,3.331842654750711e-01
1.5848931925e-02,3.331660986895653e-01
1.6788040181e-02,3.331457206470000e-01
1.7782794100e-02,3.331228628515075e-01
1.8836490895e-02,3.330972243645720e-01
1.9952623150e-02,3.330684679230979e-01
2.1134890398e-02,3.330362156021251e-01
2.2387211386e-02,3.330000439709657e-01
2.3713737057e-02,3.329594786863085e-01
2.5118864315e-02,3.329139884601923e-01
2.6607250598e-02,3.328629783347156e-01
2.8183829313e-02,3.328057821889244e-01
2.9853826189e-02,3.327416543965475e-01
3.1622776602e-02,3.326697605461670e-01
3.3496543916e-02,3.325891671281210e-01
3.5481338923e-02,3.324988300850228e-01
3.7583740429e-02,3.323975821154330e-01
3.9810717055e-02,3.322841186131103e-01
4.2169650343e-02,3.321569821177091e-01
4.4668359215e-02,3.320145451471118e-01
4.7315125896e-02,3.318549912772531e-01
5.0118723363e-02,3.316762943328869e-01
5.3088444423e-02,3.314761955529847e-01
5.6234132519e-02,3.312521785982241e-01
5.9566214353e-02,3.310014422764258e-01
6.3095734448e-02,3.307208708761604e-01
6.6834391757e-02,3.304070020206620e-01
7.0794578438e-02,3.300559919855669e-01
7.4989420933e-02,3.296635784670950e-01
7.9432823472e-02,3.292250408447192e-01
8.4139514165e-02,3.287351580571397e-01
8.9125093813e-02,3.281881643059134e-01
9.4406087629e-02,3.275777029211471e-01
1.0000000000e-01,3.268967788723830e-01
1.0592537252e-01,3.261377105894668e-01
1.1220184543e-01,3.252920819771704e-01
1.1885022274e-01,3.243506957677302e-01
1.2589254118e-01,3.233035296607254e-01
1.3335214322e-01,3.221396970521541e-01
1.4125375446e-01,3.208474145545214e-01
1.4962356561e-01,3.194139789547675e-01
1.5848931925e-01,3.178257567404034e-01
1.6788040181e-01,3.160681898343406e-01
1.7782794100e-01,3.141258216965704e-01
1.8836490895e-01,3.119823484481563e-01
1.9952623150e-01,3.096207001114247e-01
2.1134890398e-01,3.070231573889278e-01
2.2387211386e-01,3.041715095585040e-01
2.3713737057e-01,3.010472589648792e-01
2.5118864315e-01,2.976318771498380e-01
2.6607250598e-01,2.939071167847156e-01
2.8183829313e-01,2.898553821503912e-01
2.9853826189e-01,2.854601588589533e-01
3.1622776602e-01,2.807065007579371e-01
3.3496543916e-01,2.755815684733824e-01
3.5481338923e-01,2.700752098648543e-01
3.7583740429e-01,2.641805679017212e-01
3.9810717055e-01,2.578946963485652e-01
4.2169650343e-01,2.512191585112434e-01
4.4668359215e-01,2.441605796075322e-01
4.7315125896e-01,2.367311196552692e-01
5.0118723363e-01,2.289488317476350e-01
5.3088444423e-01,2.208378708376170e-01
5.6234132519e-01,2.124285212158839e-01
5.9566214353e-01,2.037570170734042e-01
6.3095734448e-01,1.948651399236777e-01
6.6834391757e-01,1.857995888649354e-01
7.0794578438e-01,1.766111339129239e-01
7.4989420933e-01,1.673535777588779e-01
7.9432823472e-01,1.580825658451124e-01
8.4139514165e-01,1.488542970289957e-01
8.9125093813e-01,1.397241958613138e-01
9.4406087629e-01,1.307456115152738e-01
1.0000000000e+00,1.219686070816407e-01
1.0592537252e+00,1.134388963572832e-01
1.1220184543e+00,1.051969741163590e-01
1.1885022274e+00,9.727747142898246e-02
1.2589254118e+00,8.970875149084942e-02
1.3335214322e+00,8.251274535452821e-02
1.4125375446e+00,7.570501246250412e-02
1.4962356561e+00,6.929499917521553e-02
1.5848931925e+00,6.328646029454887e-02
1.6788040181e+00,5.767800413520847e-02
1.7782794100e+00,5.246372077739181e-02
1.8836490895e+00,4.763385519275028e-02
1.9952623150e+00,4.317549122142916e-02
2.1134890398e+00,3.907321807659191e-02
2.2387211386e+00,3.530975739695710e-02
2.3713737057e+00,3.186653521328105e-02
2.5118864315e+00,2.872418905973470e-02
2.6607250598e+00,2.586300553390460e-02
2.8183829313e+00,2.326328773165621e-02
2.9853826189e+00,2.090565512210741e-02
3.1622776602e+00,1.877128063991426e-02
3.3496543916e+00,1.684207117027435e-02
3.5481338923e+00,1.510079832790787e-02
3.7583740429e+00,1.353118663266943e-02
3.9810717055e+00,1.211796600117295e-02
4.2169650343e+00,1.084689502810246e-02
4.4668359215e+00,9.704760924367953e-03
4.7315125896e+00,8.679361291149570e-03
5.0118723363e+00,7.759472198437266e-03
5.3088444423e+00,6.934806345355053e-03
5.6234132519e+00,6.195964434424456e-03
5.9566214353e+00,5.534382308698329e-03
6.3095734448e+00,4.942275886712835e-03
6.6834391757e+00,4.412585486803305e-03
7.0794578438e+00,3.938920756854694e-03
7.4989420933e+00,3.515507112887346e-03
7.9432823472e+00,3.137134333562391e-03
8.4139514165e+00,2.799107750755686e-03
8.9125093813e+00,2.497202311848063e-03
9.4406087629e+00,2.227619660742092e-03
1.0000000000e+01,1.986948285843952e-03
1.0592537252e+01,1.772126709018290e-03
1.1220184543e+01,1.580409635203391e-03
1.1885022274e+01,1.409336944007705e-03
1.2589254118e+01,1.256705378866624e-03
1.3335214322e+01,1.120542773451849e-03
1.4125375446e+01,9.990846467217700e-04
1.4962356561e+01,8.907529954312029e-04
1.5848931925e+01,7.941371145959318e-04
1.6788040181e+01,7.079762811483957e-04
1.7782794100e+01,6.311441428915865e-04
1.8836490895e+01,5.626346631323249e-04
1.9952623150e+01,5.015494804920573e-04
2.1134890398e+01,4.470865529280213e-04
2.2387211386e+01,3.985299646329355e-04
2.3713737057e+01,3.552407839846517e-04
2.5118864315e+01,3.166488699239973e-04
2.6607250598e+01,2.822455329361841e-04
2.8183829313e+01,2.515769651262284e-04
2.9853826189e+01,2.242383616700343e-04
3.1622776602e+01,1.998686631709867e-04
3.3496543916e+01,1.781458551554328e-04
3.5481338923e+01,1.587827671094798e-04
3.7583740429e+01,1.415233191130813e-04
3.9810717055e+01,1.261391692902078e-04
4.2169650343e+01,1.124267199941217e-04
4.4668359215e+01,1.002044449148243e-04
4.7315125896e+01,8.931050316248421e-05
5.0118723363e+01,7.960060987698707e-05
5.3088444423e+01,7.094613606979086e-05
5.6234132519e+01,6.323241324882536e-05
5.9566214353e+01,5.635722093771103e-05
6.3095734448e+01,5.022943750276529e-05
6.6834391757e+01,4.476783676910449e-05
7.0794578438e+01,3.990001476286991e-05
7.4989420933e+01,3.556143258064084e-05
7.9432823472e+01,3.169456287822732e-05
8.4139514165e+01,2.824812880642584e-05
8.9125093813e+01,2.517642541656902e-05
9.4406087629e+01,2.243871462802890e-05
1.0000000000e+02,1.999868580608852e-05
1.0592537252e+02,1.782397485341547e-05
1.1220184543e+02,1.588573548227249e-05
1.1885022274e+02,1.415825701703497e-05
1.2589254118e+02,1.261862368609726e-05
1.3335214322e+02,1.124641090649727e-05
1.4125375446e+02,1.002341455045786e-05
1.4962356561e+02,8.933409616725818e-06
1.5848931925e+02,7.961935116614407e-06
1.6788040181e+02,7.096102330003960e-06
1.7782794100e+02,6.324423894668535e-06
1.8836490895e+02,5.636661467159080e-06
1.9952623150e+02,5.023689938651782e-06
2.1134890398e+02,4.477376407844645e-06
2.2387211386e+02,3.990472308010308e-06
2.3713737057e+02,3.556517259230589e-06
2.5118864315e+02,3.169753371923190e-06
2.6607250598e+02,2.825048866056684e-06
2.8183829313e+02,2.517829993746700e-06
2.9853826189e+02,2.244020362856764e-06
3.1622776602e+02,1.999986857234665e-06
3.3496543916e+02,1.782491436589970e-06
3.5481338923e+02,1.588648176912330e-06
3.7583740429e+02,1.415884981768636e-06
3.9810717055e+02,1.261909456717775e-06
4.2169650343e+02,1.124678494260671e-06
4.4668359215e+02,1.002371165929648e-06
4.7315125896e+02,8.933645619653492e-07
5.0118723363e+02,7.962122581103053e-07
5.3088444423e+02,7.096251238835662e-07
5.6234132519e+02,6.324542177508649e-07
5.9566214353e+02,5.636755422806939e-07
6.3095734448e+02,5.023764570451455e-07
6.6834391757e+02,4.477435690114763e-07
7.0794578438e+02,3.990519397679372e-07
7.4989420933e+02,3.556554663946655e-07
7.9432823472e+02,3.169783083589424e-07
8.4139514165e+02,2.825072466903330e-07
8.9125093813e+02,2.517848740587683e-07
9.4406087629e+02,2.244035254017534e-07
1.0000000000e+03,1.999998685715204e-07
