x,w_KS
1.0000000000e-08,2.000000000000000e-17
1.1220184543e-08,2.517850823588332e-17
1.2589254118e-08,3.169786384922221e-17
1.4125375446e-08,3.990524629937765e-17
1.5848931925e-08,5.023772863019165e-17
1.7782794100e-08,6.324555320336758e-17
1.9952623150e-08,7.962143411069935e-17
2.2387211386e-08,1.002374467254543e-16
2.5118864315e-08,1.261914688960388e-16
2.8183829313e-08,1.588656469448564e-16
3.1622776602e-08,1.999999999999999e-16
3.5481338923e-08,2.517850823588330e-16
3.9810717055e-08,3.169786384922218e-16
4.4668359215e-08,3.990524629937760e-16
5.0118723363e-08,5.023772863019156e-16
5.6234132519e-08,6.324555320336746e-16
6.3095734448e-08,7.962143411069915e-16
7.0794578438e-08,1.002374467254539e-15
7.9432823472e-08,1.261914688960384e-15
8.9125093813e-08,1.588656469448556e-15
1.0000000000e-07,1.999999999999987e-15
1.1220184543e-07,2.517850823588312e-15
1.2589254118e-07,3.169786384922189e-15
1.4125375446e-07,3.990524629937714e-15
1.5848931925e-07,5.023772863019082e-15
1.7782794100e-07,6.324555320336626e-15
1.9952623150e-07,7.962143411069729e-15
2.2387211386e-07,1.002374467254510e-14
2.5118864315e-07,1.261914688960337e-14
2.8183829313e-07,1.588656469448481e-14
3.1622776602e-07,1.999999999999868e-14
3.5481338923e-07,2.517850823588124e-14
3.9810717055e-07,3.169786384921892e-14
4.4668359215e-07,3.990524629937243e-14
5.0118723363e-07,5.023772863018335e-14
5.6234132519e-07,6.324555320335444e-14
6.3095734448e-07,7.962143411067855e-14
7.0794578438e-07,1.002374467254213e-13
7.9432823472e-07,1.261914688959865e-13
8.9125093813e-07,1.588656469447735e-13
1.0000000000e-06,1.999999999998686e-13
1.1220184543e-06,2.517850823586259e-13
1.2589254118e-06,3.169786384918919e-13
1.4125375446e-06,3.990524629932533e-13
1.5848931925e-06,5.023772863010871e-13
1.7782794100e-06,6.324555320323617e-13
1.9952623150e-06,7.962143411049141e-13
2.2387211386e-06,1.002374467251241e-12
2.5118864315e-06,1.261914688955157e-12
2.8183829313e-06,1.588656469440272e-12
3.1622776602e-06,1.999999999986857e-12
3.5481338923e-06,2.517850823567513e-12
3.9810717055e-06,3.169786384889208e-12
4.4668359215e-06,3.990524629885443e-12
5.0118723363e-06,5.023772862936237e-12
5.6234132519e-06,6.324555320205331e-12
6.3095734448e-06,7.962143410861672e-12
7.0794578438e-06,1.002374467221530e-11
7.9432823472e-06,1.261914688908066e-11
8.9125093813e-06,1.588656469365639e-11
1.0000000000e-05,1.999999999868572e-11
1.1220184543e-05,2.517850823380042e-11
1.2589254118e-05,3.169786384592088e-11
1.4125375446e-05,3.990524629414540e-11
1.5848931925e-05,5.023772862189907e-11
1.7782794100e-05,6.324555319022473e-11
1.9952623150e-05,7.962143408986970e-11
2.2387211386e-05,1.002374466924409e-10
2.5118864315e-05,1.261914688437162e-10
2.8183829313e-05,1.588656468619306e-10
3.1622776602e-05,1.999999998685714e-10
3.5481338923e-05,2.517850821505340e-10
3.9810717055e-05,3.169786381620886e-10
4.4668359215e-05,3.990524624705500e-10
5.0118723363e-05,5.023772854726583e-10
5.6234132519e-05,6.324555307193902e-10
6.3095734448e-05,7.962143390239946e-10
7.0794578438e-05,1.002374463953206e-09
7.9432823472e-05,1.261914683728123e-09
8.9125093813e-05,1.588656461155982e-09
1.0000000000e-04,1.999999986857143e-09
1.1220184543e-04,2.517850802758308e-09
1.2589254118e-04,3.169786351908871e-09
1.4125375446e-04,3.990524577615109e-09
1.5848931925e-04,5.023772780093343e-09
1.7782794100e-04,6.324555188908190e-09
1.9952623150e-04,7.962143202769697e-09
2.2387211386e-04,1.002374434241184e-08
2.5118864315e-04,1.261914636637734e-08
2.8183829313e-04,1.588656386522747e-08
3.1622776602e-04,1.999999868571438e-08
3.5481338923e-04,2.517850615288102e-08
3.9810717055e-04,3.169786054788625e-08
4.4668359215e-04,3.990524106711272e-08
5.0118723363e-04,5.023772033761086e-08
5.6234132519e-04,6.324554006051337e-08
6.3095734448e-04,7.962141328068068e-08
7.0794578438e-04,1.002374137121017e-07
7.9432823472e-04,1.261914165734053e-07
8.9125093813e-04,1.588655640190800e-07
1.0000000000e-03,1.999998685715204e-07
1.1220184543e-03,2.517848740587693e-07
1.2589254118e-03,3.169783083589436e-07
1.4125375446e-03,3.990519397679388e-07
1.5848931925e-03,5.023764570451472e-07
1.7782794100e-03,6.324542177508649e-07
1.9952623150e-03,7.962122581103085e-07
2.2387211386e-03,1.002371165929652e-06
2.5118864315e-03,1.261909456717780e-06
2.8183829313e-03,1.588648176912336e-06
3.1622776602e-03,1.999986857234666e-06
3.5481338923e-03,2.517829993746710e-06
3.9810717055e-03,3.169753371923203e-06
4.4668359215e-03,3.990472308010322e-06
5.0118723363e-03,5.023689938651803e-06
5.6234132519e-03,6.324423894668535e-06
6.3095734448e-03,7.961935116614439e-06
7.0794578438e-03,1.002341455045790e-05
7.9432823472e-03,1.261862368609731e-05
8.9125093813e-03,1.588573548227256e-05
1.0000000000e-02,1.999868580608852e-05
1.1220184543e-02,2.517642541656912e-05
1.2589254118e-02,3.169456287822743e-05
1.4125375446e-02,3.990001476287007e-05
