name,dw,dH,dB,dG,drho,dP,dm,dt,friedmann,conservation
nb06_mass_m1_4d,1.219e-12,5.868e-13,0.000e+00,0.000e+00,1.384e-12,1.255e-12,9.799e-16,6.222e-10,1.197e-14,9.524e-12
nb06_mass_m30_4d,1.228e-12,1.241e-13,0.000e+00,0.000e+00,1.426e-12,1.242e-12,1.493e-15,1.450e-09,1.298e-14,9.475e-12
nb06_mass_m100_4d,1.236e-12,1.013e-13,0.000e+00,0.000e+00,1.374e-12,1.192e-12,1.075e-15,1.105e-09,1.300e-14,9.361e-12
nb06_mass_m1000_4d,1.244e-12,1.014e-13,0.000e+00,0.000e+00,1.367e-12,1.159e-12,1.003e-15,7.250e-10,1.300e-14,6.913e-12
nb06_mass_m2000_4d,1.202e-12,1.022e-13,0.000e+00,0.000e+00,1.430e-12,1.205e-12,1.433e-16,1.705e-09,1.165e-14,7.049e-12
nb06_lm_m30_4d,1.183e-12,1.027e-13,0.000e+00,0.000e+00,1.355e-12,1.139e-12,1.493e-15,1.074e-09,1.228e-14,9.463e-12
nb06_lm_m100_4d,1.191e-12,1.011e-13,0.000e+00,0.000e+00,1.414e-12,1.223e-12,1.075e-15,9.776e-10,1.311e-14,9.404e-12
nb06_lm_m1000_4d,1.200e-12,1.000e-13,0.000e+00,0.000e+00,1.398e-12,1.188e-12,1.003e-15,8.395e-10,1.334e-14,6.949e-12
nb06_lm_m2000_4d,1.233e-12,1.015e-13,0.000e+00,0.000e+00,1.379e-12,1.143e-12,1.433e-16,9.382e-10,1.248e-14,7.053e-12
nb06_fable4d_mass30eV,1.223e-12,1.034e-13,0.000e+00,0.000e+00,1.419e-12,1.170e-12,1.493e-15,1.155e-09,1.186e-14,9.448e-12
nb06_power_0.236_m30_4d,1.251e-12,1.019e-13,0.000e+00,0.000e+00,1.410e-12,1.226e-12,4.479e-15,2.840e-09,1.229e-14,9.465e-12
nb06_power_0.236_m100_4d,1.182e-12,1.006e-13,0.000e+00,0.000e+00,1.355e-12,1.138e-12,1.613e-15,1.236e-09,1.215e-14,9.419e-12
nb06_power_0.5_m30_4d,5.940e-15,1.021e-13,0.000e+00,0.000e+00,2.017e-13,6.740e-14,1.493e-15,1.854e-09,1.085e-14,8.542e-10
nb06_power_0.5_m100_4d,4.635e-15,1.017e-13,0.000e+00,0.000e+00,2.015e-13,6.764e-14,1.613e-15,6.532e-10,1.198e-14,1.604e-08
nb06_expdamp_m30_4d,6.273e-15,1.021e-13,0.000e+00,0.000e+00,2.017e-13,6.740e-14,1.045e-15,1.831e-09,1.085e-14,2.247e-09
nb06_expdamp_m100_4d,4.510e-15,1.017e-13,0.000e+00,0.000e+00,2.015e-13,6.764e-14,2.329e-15,3.091e-10,1.198e-14,2.853e-09
nb06_quadratic_m30_4d,6.495e-15,1.021e-13,0.000e+00,0.000e+00,2.017e-13,6.740e-14,2.240e-15,9.508e-10,1.085e-14,3.721e-09
nb06_quadratic_m100_4d,4.871e-15,1.017e-13,0.000e+00,0.000e+00,2.015e-13,6.764e-14,1.881e-15,9.184e-10,1.250e-14,1.669e-08
nb06_fable4d_power,1.202e-12,1.026e-13,0.000e+00,0.000e+00,1.361e-12,1.173e-12,1.523e-15,7.598e-10,1.025e-14,9.546e-12
nb06_power_0.236_m1_4d,1.242e-12,3.650e-13,0.000e+00,0.000e+00,1.383e-12,1.241e-12,1.715e-15,1.738e-09,9.941e-15,9.752e-12
nb06_power_0.5_m1_4d,8.771e-14,1.031e-13,0.000e+00,0.000e+00,2.026e-13,1.165e-13,1.750e-15,1.838e-09,1.079e-14,6.717e-11
nb06_expdamp_m1_4d,7.527e-14,1.031e-13,0.000e+00,0.000e+00,2.026e-13,9.556e-14,1.435e-15,5.456e-10,1.254e-14,5.259e-08
nb06_quadratic_m1_4d,9.570e-14,1.031e-13,0.000e+00,0.000e+00,2.026e-13,1.214e-13,1.540e-15,1.003e-09,1.165e-14,1.543e-10
nb06_mass_m1_8d,1.219e-12,2.500e-09,8.357e-10,3.343e-09,3.343e-09,1.931e-10,9.799e-16,6.005e-10,1.156e-08,1.869e-10
nb06_mass_m100_8d,1.236e-12,5.058e-09,1.773e-09,7.090e-09,7.090e-09,2.797e-11,1.075e-15,1.783e-09,2.118e-08,1.872e-10
nb06_lm_m30_8d,2.685e-09,7.078e-09,2.689e-09,1.076e-08,1.056e-08,6.508e-12,1.493e-15,2.856e-09,2.474e-08,1.869e-10
nb06_lm_m1000_8d,2.557e-10,2.364e-09,9.382e-10,3.753e-09,3.753e-09,1.106e-12,1.003e-15,1.178e-09,2.067e-08,1.866e-10
nb06_radiation_only_8d,0.000e+00,2.137e-11,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,8.481e-13,9.891e-16,0.000e+00
nb06_radiation_baryons_8d,0.000e+00,3.692e-09,1.502e-09,6.006e-09,0.000e+00,0.000e+00,0.000e+00,1.484e-09,1.044e-08,0.000e+00
scan_expdamp_xt0.1_m100,5.829e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.881e-15,2.301e-09,1.144e-14,3.585e-10
scan_expdamp_xt0.1_m1000,4.101e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.700e-14,1.003e-15,2.212e-12,1.163e-14,1.788e-08
scan_expdamp_xt0.2_m100,5.995e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.344e-15,5.893e-10,1.197e-14,1.005e-09
scan_expdamp_xt0.2_m1000,3.490e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.150e-15,4.689e-10,1.163e-14,2.347e-08
scan_expdamp_xt0.3_m100,6.606e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.613e-15,5.284e-10,1.144e-14,6.907e-10
scan_expdamp_xt0.3_m1000,3.664e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.293e-15,1.688e-09,1.206e-14,1.935e-09
scan_expdamp_xt0.4_m100,6.883e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.221e-15,1.154e-09,1.188e-14,4.541e-10
scan_expdamp_xt0.4_m1000,3.386e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.509e-15,2.061e-09,1.163e-14,2.392e-08
scan_expdamp_xt0.5_m100,6.217e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,2.150e-15,9.955e-10,1.144e-14,1.208e-09
scan_expdamp_xt0.5_m1000,3.747e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.437e-15,1.559e-09,1.163e-14,3.936e-08
scan_expdamp_xt0.6_m100,6.606e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.456e-15,1.484e-09,1.144e-14,1.801e-09
scan_expdamp_xt0.6_m1000,3.275e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.365e-15,2.006e-09,1.163e-14,4.095e-09
scan_expdamp_xt0.7_m100,6.495e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.075e-15,8.245e-10,1.144e-14,3.017e-09
scan_expdamp_xt0.7_m1000,3.997e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,1.147e-15,2.593e-09,1.163e-14,4.472e-08
scan_expdamp_xt0.8_m100,6.162e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,9.743e-16,3.671e-09,1.144e-14,2.734e-09
scan_expdamp_xt0.8_m1000,3.886e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,1.012e-15,8.706e-10,1.163e-14,1.134e-08
scan_expdamp_xt0.9_m100,6.273e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.075e-15,2.341e-09,1.144e-14,1.890e-09
scan_expdamp_xt0.9_m1000,3.664e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.867e-16,1.868e-09,1.254e-14,7.905e-08
scan_power_nu0.05_m100,1.087e-12,1.020e-13,0.000e+00,0.000e+00,1.418e-12,1.098e-12,1.254e-15,6.443e-10,1.119e-14,9.197e-12
scan_power_nu0.05_m1000,1.176e-12,1.007e-13,0.000e+00,0.000e+00,1.259e-12,1.108e-12,1.147e-15,1.117e-09,1.266e-14,6.771e-12
scan_power_nu0.15_m100,1.145e-12,9.947e-14,0.000e+00,0.000e+00,1.233e-12,1.092e-12,1.254e-15,4.246e-10,1.287e-14,9.392e-12
scan_power_nu0.15_m1000,1.232e-12,1.022e-13,0.000e+00,0.000e+00,1.370e-12,1.225e-12,1.433e-15,1.744e-10,1.027e-14,6.988e-12
scan_power_nu0.1_m100,1.130e-12,1.030e-13,0.000e+00,0.000e+00,1.291e-12,1.052e-12,1.344e-15,2.303e-10,1.061e-14,9.261e-12
scan_power_nu0.1_m1000,1.218e-12,1.005e-13,0.000e+00,0.000e+00,1.424e-12,1.198e-12,1.147e-15,1.622e-11,1.041e-14,6.782e-12
scan_power_nu0.25_m100,1.167e-12,1.008e-13,0.000e+00,0.000e+00,1.332e-12,1.081e-12,1.120e-15,2.957e-09,1.243e-14,9.433e-12
scan_power_nu0.25_m1000,1.252e-12,1.013e-13,0.000e+00,0.000e+00,1.361e-12,1.214e-12,1.003e-15,2.679e-09,1.106e-14,7.334e-12
scan_power_nu0.2_m100,1.097e-12,1.032e-13,0.000e+00,0.000e+00,1.404e-12,1.133e-12,1.254e-15,1.592e-09,1.124e-14,9.487e-12
scan_power_nu0.2_m1000,1.186e-12,1.016e-13,0.000e+00,0.000e+00,1.342e-12,1.147e-12,1.362e-15,3.703e-10,1.077e-14,6.800e-12
scan_power_nu0.35_m100,6.495e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.523e-15,1.418e-09,1.144e-14,1.372e-10
scan_power_nu0.35_m1000,3.803e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,1.613e-15,1.539e-10,1.163e-14,1.788e-09
scan_power_nu0.3_m100,6.217e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.075e-15,1.916e-09,1.144e-14,4.049e-09
scan_power_nu0.3_m1000,4.004e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.700e-14,1.433e-15,1.239e-09,1.163e-14,3.448e-08
scan_power_nu0.45_m100,6.606e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.971e-15,1.119e-09,1.144e-14,4.844e-11
scan_power_nu0.45_m1000,3.719e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.150e-15,4.426e-09,1.163e-14,4.338e-08
scan_power_nu0.4_m100,6.106e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.433e-15,4.438e-10,1.144e-14,5.994e-10
scan_power_nu0.4_m1000,3.608e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.150e-15,6.783e-10,1.163e-14,1.142e-07
scan_power_nu0.55_m100,5.884e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.792e-15,3.491e-10,1.194e-14,7.095e-10
scan_power_nu0.55_m1000,3.664e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,1.899e-15,8.958e-12,1.163e-14,3.426e-09
scan_power_nu0.5_m100,6.162e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.792e-15,6.979e-10,1.144e-14,1.716e-09
scan_power_nu0.5_m1000,3.997e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.365e-15,1.938e-09,1.168e-14,2.440e-08
scan_power_nu0.65_m100,5.940e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,2.262e-15,4.103e-09,1.144e-14,2.222e-09
scan_power_nu0.65_m1000,3.553e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.276e-15,2.157e-09,1.163e-14,7.523e-08
scan_power_nu0.6_m100,5.995e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,2.061e-15,1.830e-09,1.144e-14,1.470e-10
scan_power_nu0.6_m1000,3.664e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.276e-15,2.032e-09,1.163e-14,9.906e-08
scan_power_omega_dm0.265_nu=0.3_m100,6.217e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.075e-15,1.916e-09,1.144e-14,4.049e-09
scan_power_omega_dm0.265_nu=0.3_m1000,4.004e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.700e-14,1.433e-15,1.239e-09,1.163e-14,3.448e-08
scan_power_omega_dm0.265_nu=0.5_m100,6.162e-15,1.010e-13,0.000e+00,0.000e+00,2.009e-13,6.680e-14,1.792e-15,6.979e-10,1.144e-14,1.716e-09
scan_power_omega_dm0.265_nu=0.5_m1000,3.997e-15,1.002e-13,0.000e+00,0.000e+00,2.019e-13,6.633e-14,2.365e-15,1.938e-09,1.168e-14,2.440e-08
scan_power_omega_dm0.35_nu=0.3_m100,1.192e-12,1.020e-13,0.000e+00,0.000e+00,1.431e-12,1.195e-12,1.433e-15,1.006e-09,1.065e-14,9.365e-12
scan_power_omega_dm0.35_nu=0.3_m1000,1.079e-12,1.003e-13,0.000e+00,0.000e+00,1.326e-12,1.030e-12,1.362e-15,1.772e-09,1.216e-14,6.865e-12
scan_power_omega_dm0.35_nu=0.5_m100,6.883e-15,1.008e-13,0.000e+00,0.000e+00,1.996e-13,6.655e-14,1.075e-15,5.543e-10,1.119e-14,4.528e-10
scan_power_omega_dm0.35_nu=0.5_m1000,3.886e-15,1.002e-13,0.000e+00,0.000e+00,2.013e-13,6.691e-14,1.003e-15,5.879e-10,1.223e-14,1.235e-08
scan_power_omega_dm0.45_nu=0.3_m100,1.125e-12,1.041e-13,0.000e+00,0.000e+00,1.365e-12,1.113e-12,1.254e-15,8.909e-10,1.069e-14,9.265e-12
scan_power_omega_dm0.45_nu=0.3_m1000,1.212e-12,1.017e-13,0.000e+00,0.000e+00,1.316e-12,1.126e-12,1.290e-15,6.110e-10,1.219e-14,6.925e-12
scan_power_omega_dm0.45_nu=0.5_m100,1.499e-14,1.011e-13,0.000e+00,0.000e+00,2.009e-13,6.674e-14,1.310e-15,8.431e-10,1.061e-14,9.443e-12
scan_power_omega_dm0.45_nu=0.5_m1000,4.219e-15,1.020e-13,0.000e+00,0.000e+00,1.993e-13,6.732e-14,1.505e-15,3.595e-10,1.313e-14,1.652e-10
scan_power_omega_dm0.55_nu=0.3_m100,1.123e-12,1.009e-13,0.000e+00,0.000e+00,1.229e-12,1.068e-12,1.254e-15,1.429e-09,1.257e-14,9.338e-12
scan_power_omega_dm0.55_nu=0.3_m1000,1.210e-12,1.032e-13,0.000e+00,0.000e+00,1.368e-12,1.205e-12,1.290e-15,1.023e-09,8.895e-15,6.963e-12
scan_power_omega_dm0.55_nu=0.5_m100,1.230e-12,1.011e-13,0.000e+00,0.000e+00,1.383e-12,1.177e-12,1.792e-15,6.756e-10,1.033e-14,9.451e-12
scan_power_omega_dm0.55_nu=0.5_m1000,1.120e-12,9.999e-14,0.000e+00,0.000e+00,1.387e-12,1.147e-12,1.720e-15,6.754e-10,1.105e-14,6.798e-12
scan_power_omega_dm0.5_nu=0.5_m100,1.193e-12,1.027e-13,0.000e+00,0.000e+00,1.386e-12,1.139e-12,2.016e-15,6.255e-10,1.076e-14,9.429e-12
scan_power_omega_dm0.5_nu=0.5_m1000,1.081e-12,1.026e-13,0.000e+00,0.000e+00,1.359e-12,1.108e-12,1.505e-15,2.562e-09,1.119e-14,8.399e-12
