# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=expdamp a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=1.69044490080246329e-1 potential=expdamp v0=4.66656470890937425e-1 m0=1.16606844904306786e3 s1=1.44222925734166160e-3
# spec: ExpDamp { m_today: 406.0727073199006, xt: 0.4524886877828054, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,3.78143945766131e-23,1.00000000000000e0,1.00000000000000e0,1.32224779901470e22,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,9.20960546728879e43,4.92431913638403e34,8.27378694777899e43,2.75792898259300e43,-1.08533331876814e0,6.52592458064453e32,1.44222925734166e-3,2.49058869103116e-25,6.78733066961200e35,3.33333333333333e-1,8.27378694777899e43,3.33333333333333e-1,1.08533331876814e0,3.33333334400962e-1,5.26763070121202e-1,2.81656958677717e-10,4.73236929597141e-1,9.99999999859171e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-2.46215956819202e34,1.00000000000000e0,8.27378692127899e43,3.33333334400962e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786604692e-6,8.27378692127899e43,4.92431913638403e34,4.98117738206233e-25,6.13335652984208e-28,4.16291188826622e8,1.00000000000000e0,1.00000000000000e0,1.93531291310600e-28,3.44370127575427e8
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,3.99629142888635e-23,1.00000000000000e0,1.00000000000000e0,1.25116000396677e22,0.00000000000000e0,0.00000000000000e0,-1.68706813824617e-16,8.24595624002324e43,4.53258744026058e34,7.40805731070539e43,2.46935243690180e43,-1.08533331876814e0,6.00678448554773e32,1.44222925734166e-3,2.63209773693127e-25,6.24739560819150e35,3.33333333333333e-1,7.40805731070539e43,3.33333333333333e-1,1.08533331876814e0,3.33333334430873e-1,5.26763070117045e-1,2.89547943999142e-10,4.73236929593407e-1,9.99999999855226e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-2.26629372013029e34,1.00000000000000e0,7.40805728631347e43,3.33333334430874e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786608440e-6,7.40805728631347e43,4.53258744026058e34,5.26419547386253e-25,6.48183857098705e-28,4.04946098213908e8,1.00000000000000e0,1.00000000000000e0,2.04527257237772e-28,3.44370127575427e8
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,4.22335075396561e-23,1.00000000000000e0,1.00000000000000e0,1.18389409057274e22,0.00000000000000e0,0.00000000000000e0,-1.88422440009341e-16,7.38313867558069e43,4.17201816832173e34,6.63291349717774e43,2.21097116572591e43,-1.08533331876814e0,5.52894220733604e32,1.44222925734166e-3,2.78164697435060e-25,5.75041261213255e35,3.33333333333333e-1,6.63291349717774e43,3.33333333333333e-1,1.08533331876814e0,3.33333334461622e-1,5.26763070112772e-1,2.97660005517717e-10,4.73236929589568e-1,9.99999999851170e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-2.08600908416086e34,1.00000000000000e0,6.63291347472622e43,3.33333334461622e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786612293e-6,6.63291347472622e43,4.17201816832173e34,5.56329394870119e-25,6.85012049371552e-28,3.93910192816894e8,1.00000000000000e0,1.00000000000000e0,2.16147986560322e-28,3.44370127575427e8
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,4.46331102433490e-23,1.00000000000000e0,1.00000000000000e0,1.12024458362595e22,0.00000000000000e0,0.00000000000000e0,2.10442098301817e-16,6.61060222928141e43,3.84013233637814e34,5.93887703831125e43,1.97962567943708e43,-1.08533331876814e0,5.08911248699047e32,1.44222925734166e-3,2.93969322694491e-25,5.29296482624142e35,3.33333333333333e-1,5.93887703831125e43,3.33333333333333e-1,1.08533331876814e0,3.33333334493233e-1,5.26763070108379e-1,3.05999336970075e-10,4.73236929585621e-1,9.99999999847000e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.92006616818907e34,1.00000000000000e0,5.93887701764576e43,3.33333334493232e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786616254e-6,5.93887701764576e43,3.84013233637814e34,5.87938645388983e-25,7.23932727798190e-28,3.83175046480082e8,1.00000000000000e0,1.00000000000000e0,2.28428976778228e-28,3.44370127575427e8
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,4.71690523957593e-23,1.00000000000000e0,1.00000000000000e0,1.06001705485017e22,0.00000000000000e0,0.00000000000000e0,1.17517522688555e-16,5.91890031516214e43,3.53464816449478e34,5.31746124703540e43,1.77248708234513e43,-1.08533331876814e0,4.68427140925408e32,1.44222925734166e-3,3.10671927395219e-25,4.87190720761850e35,3.33333333333333e-1,5.31746124703540e43,3.33333333333333e-1,1.08533331876814e0,3.33333334525729e-1,5.26763070103863e-1,3.14572305618438e-10,4.73236929581564e-1,9.99999999842714e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.76732408224739e34,1.00000000000000e0,5.31746122801385e43,3.33333334525729e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786620325e-6,5.31746122801385e43,3.53464816449478e34,6.21343854790439e-25,7.65064782229934e-28,3.72732462684109e8,1.00000000000000e0,1.00000000000000e0,2.41407742270992e-28,3.44370127575427e8
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,4.98490804647694e-23,1.00000000000000e0,1.00000000000000e0,1.00302752898517e22,0.00000000000000e0,0.00000000000000e0,2.62502004119815e-16,5.29957479299661e43,3.25346538930736e34,4.76106744277094e43,1.58702248092365e43,-1.08533331876814e0,4.31163561262357e32,1.44222925734166e-3,3.28323532492421e-25,4.48434490287367e35,3.33333333333333e-1,4.76106744277094e43,3.33333333333333e-1,1.08533331876814e0,3.33333334559135e-1,5.26763070099221e-1,3.23385457112124e-10,4.73236929577393e-1,9.99999999838306e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.62673269465368e34,1.00000000000000e0,4.76106742526257e43,3.33333334559134e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786624511e-6,4.76106742526257e43,3.25346538930736e34,6.56647064984842e-25,8.08533857543325e-28,3.62574468287519e8,1.00000000000000e0,1.00000000000000e0,2.55123928891721e-28,3.44370127575427e8
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,5.26813810532731e-23,1.00000000000000e0,1.00000000000000e0,9.49101921802973e21,0.00000000000000e0,0.00000000000000e0,-1.46589420433754e-16,4.74505254204393e43,2.99465082430169e34,4.26289203466238e43,1.42096401155413e43,-1.08533331876814e0,3.96864315319507e32,1.44222925734166e-3,3.46978057824871e-25,4.12761334544356e35,3.33333333333333e-1,4.26289203466238e43,3.33333333333333e-1,1.08533331876814e0,3.33333334593478e-1,5.26763070094449e-1,3.32445520485330e-10,4.73236929573106e-1,9.99999999833778e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.49732541215085e34,1.00000000000000e0,4.26289201854681e43,3.33333334593478e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786628814e-6,4.26289201854681e43,2.99465082430169e34,6.93956115649742e-25,8.54472737443850e-28,3.52693307439093e8,1.00000000000000e0,1.00000000000000e0,7.40148683086134e-17,3.44370127575427e8
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,5.56746059065482e-23,1.00000000000000e0,1.00000000000000e0,8.98075508337850e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.24855285682770e43,2.75642506877882e34,3.81684332717875e43,1.27228110905958e43,-1.08533331876814e0,3.65293589079958e32,1.44222925734166e-3,3.66692486822271e-25,3.79925993617623e35,3.33333333333333e-1,3.81684332717875e43,3.33333333333333e-1,1.08533331876814e0,3.33333334628782e-1,5.26763070089542e-1,3.41759413294877e-10,4.73236929568698e-1,9.99999999829120e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027697e0,-1.37821253438941e34,1.00000000000000e0,3.81684331234518e43,3.33333334628782e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786633238e-6,3.81684331234518e43,2.75642506877882e34,7.33384973644542e-25,9.03021750076382e-28,3.43081435656094e8,1.00000000000000e0,1.00000000000000e0,2.84938539808544e-28,3.44370127575427e8
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,5.88378983404907e-23,1.00000000000000e0,1.00000000000000e0,8.49792419705815e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.80400453257857e43,2.53715027412714e34,3.41746703077892e43,1.13915567692631e43,-1.08533331876814e0,3.36234327632825e32,1.44222925734166e-3,3.87527040570876e-25,3.49702718123238e35,3.33333333333333e-1,3.41746703077892e43,3.33333333333333e-1,1.08533331876814e0,3.33333334665076e-1,5.26763070084499e-1,3.51334246901909e-10,4.73236929564167e-1,9.99999999824333e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.26857513706357e34,1.00000000000000e0,3.41746701712536e43,3.33333334665076e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786637785e-6,3.41746701712536e43,2.53715027412714e34,7.75054081141752e-25,9.54329196681483e-28,3.33731514063881e8,1.00000000000000e0,1.00000000000000e0,-3.70074341538708e-17,3.44370127575427e8
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,6.21809211714306e-23,1.00000000000000e0,1.00000000000000e0,8.04105166976554e21,0.00000000000000e0,0.00000000000000e0,2.04222048311226e-16,3.40597162646179e43,2.33531888329378e34,3.05987956678682e43,1.01995985559561e43,-1.08533331876814e0,3.09486742878348e32,1.44222925734166e-3,4.09545361769054e-25,3.21883717137453e35,3.33333333333333e-1,3.05987956678682e43,3.33333333333333e-1,1.08533331876814e0,3.33333334702386e-1,5.26763070079314e-1,3.61177331901601e-10,4.73236929559509e-1,9.99999999819411e-1,1.00000000000000e0,3.33333333333333e-1,6.69226630027696e0,-1.16765944164689e34,1.00000000000000e0,3.05987955421940e43,3.33333334702386e-1,3.33333333333333e-1,3.33333333333333e-1,9.49902786642460e-6,3.05987955421940e43,2.33531888329378e34,8.19090723538109e-25,1.00855180460680e-27,3.24636403792523e8,1.00000000000000e0,1.00000000000000e0,3.18237382988423e-28,3.44370127575427e8
