# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=lambda-mass a_start=1e-10 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=5.44035545088792719e-2 potential=lambda-mass v0=6.85664712581486535e-1 m0=1.21821812195970178e4
# spec: LambdaMass { m0: 12182.181219597018, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.30258509299405e1,1.00000000000000e-10,9.99999999900000e9,5.18521447538954e-19,1.00000000000000e0,1.00000000000000e0,9.64280267235113e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,9.20960546728884e35,4.92431913638404e28,8.87583780694604e33,2.95861259934837e33,-6.85664712581487e-1,2.17530830662837e25,7.30650784518611e20,1.21821812195970e4,4.46583034090499e4,3.33333332999058e-1,8.87583780694604e33,3.33333332999058e-1,6.85664712581487e-1,3.33343285408346e-1,9.90454356564558e-1,5.29589824349076e-8,9.54559047645944e-3,9.99999973515722e-1,1.00000000000000e0,3.33333333166196e-1,7.17923613661504e-2,-2.46260461420528e28,1.00000000000000e0,8.87557280694629e33,3.33343285408341e-1,3.33333332999058e-1,3.33333332999058e-1,0.00000000000000e0,8.87557280694604e33,4.92520922841056e28,0.00000000000000e0,3.00000000000000e1,1.33974910227150e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.29929568571834e1,1.03344106388055e-10,9.67641053609455e9,5.53781130209318e-19,1.00000000000000e0,1.00000000000000e0,9.02883780504448e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,8.07417519528914e35,4.46158373429992e28,7.78155695325283e33,2.59385231497288e33,-6.85664712581487e-1,1.97089585161763e25,6.84129670752701e20,1.21821812195970e4,4.32132077676096e4,3.33333332976327e-1,7.78155695325283e33,3.33333332976327e-1,6.85664712581487e-1,3.33343618215039e-1,9.90454354810136e-1,5.47299870526178e-8,9.54559045987651e-3,9.99999972629895e-1,1.00000000000000e0,3.33333333154830e-1,7.17923613685983e-2,-2.23120857673130e28,1.00000000000000e0,7.78131685514867e33,3.33343618215040e-1,3.33333332976327e-1,3.33333332976327e-1,0.00000000000000e0,7.78131685514854e33,4.46241715346260e28,0.00000000000000e0,3.00000000000000e1,1.29639623302829e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.29600627844263e1,1.06800043251458e-10,9.36329208723942e9,5.91438486512701e-19,1.00000000000000e0,1.00000000000000e0,8.45396456633478e17,0.00000000000000e0,0.00000000000000e0,-1.37656779201122e-16,7.07872941091505e35,4.04233130852407e28,6.82218737362121e33,2.27406245527255e33,-6.85664712581487e-1,1.78569191598603e25,6.40570593107421e20,1.21821812195970e4,4.18148738984152e4,3.33333332952051e-1,6.82218737362121e33,3.33333332952051e-1,6.85664712581487e-1,3.33343962151053e-1,9.90454352997034e-1,5.65602159422888e-8,9.54559044275018e-3,9.99999971714433e-1,1.00000000000000e0,3.33333333142692e-1,7.17923613712126e-2,-2.02155583161449e28,1.00000000000000e0,6.82196983739602e33,3.33343962151075e-1,3.33333332952051e-1,3.33333332952051e-1,0.00000000000000e0,6.82196983739598e33,4.04311166322898e28,0.00000000000000e0,3.00000000000000e1,1.25444621695246e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.29271687116693e1,1.10371550320276e-10,9.06030582145339e9,6.31656559305317e-19,1.00000000000000e0,1.00000000000000e0,7.91569396130938e17,0.00000000000000e0,0.00000000000000e0,-3.14029505993711e-16,6.20600976087193e35,3.66247578909065e28,5.98109617914666e33,1.99369872394666e33,-6.85664712581487e-1,1.61789148635163e25,5.99784956399487e20,1.21821812195970e4,4.04617886397905e4,3.33333332926123e-1,5.98109617914666e33,3.33333332926123e-1,6.85664712581487e-1,3.33344317588561e-1,9.90454351123288e-1,5.84516496261339e-8,9.54559042506303e-3,9.99999970768345e-1,1.00000000000000e0,3.33333333129728e-1,7.17923613740047e-2,-1.83160322899691e28,1.00000000000000e0,5.98089908467375e33,3.33344317588570e-1,3.33333332926123e-1,3.33333332926123e-1,0.00000000000000e0,5.98089908467386e33,3.66320645799381e28,0.00000000000000e0,3.00000000000000e1,1.21385365919371e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.28942746389122e1,1.14062492385132e-10,8.76712387196868e9,6.74609478408114e-19,1.00000000000000e0,1.00000000000000e0,7.41169547133047e17,0.00000000000000e0,0.00000000000000e0,1.79094940330428e-16,5.44088563304165e35,3.31831507164923e28,5.24370111008960e33,1.74790036774938e33,-6.85664712581487e-1,1.46585916538893e25,5.61596173450129e20,1.21821812195970e4,3.91524877943760e4,3.33333332898433e-1,5.24370111008960e33,3.33333332898433e-1,6.85664712581487e-1,3.33344684912178e-1,9.90454349186868e-1,6.04063348571061e-8,9.54559040679710e-3,9.99999969790605e-1,1.00000000000000e0,3.33333333115883e-1,7.17923613769866e-2,-1.65949960914248e28,1.00000000000000e0,5.24352253646982e33,3.33344684912152e-1,3.33333332898433e-1,3.33333332898433e-1,0.00000000000000e0,5.24352253646965e33,3.31899921828495e28,0.00000000000000e0,3.00000000000000e1,1.17457463383128e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.28613805661552e1,1.17876863479359e-10,8.48342898144073e9,7.20483214541640e-19,1.00000000000000e0,1.00000000000000e0,6.93978696372570e17,0.00000000000000e0,0.00000000000000e0,-2.04280152263807e-16,4.77009183235321e35,3.00649493643986e28,4.59721771870186e33,1.53240590409866e33,-6.85664712581487e-1,1.32811323310700e25,5.25838900525979e20,1.21821812195970e4,3.78855545446965e4,3.33333332868859e-1,4.59721771870186e33,3.33333332868859e-1,6.85664712581487e-1,3.33345064519380e-1,9.90454347185679e-1,6.24263868337220e-8,9.54559038793391e-3,9.99999968780157e-1,1.00000000000000e0,3.33333333101096e-1,7.17923613801713e-2,-1.50356776145886e28,1.00000000000000e0,4.59705592554105e33,3.33345064519436e-1,3.33333332868859e-1,3.33333332868859e-1,0.00000000000000e0,4.59705592554100e33,3.00713552291771e28,0.00000000000000e0,3.00000000000000e1,1.13656663634090e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.28284864933981e1,1.21818791201012e-10,8.20891415863825e9,7.69476384526712e-19,1.00000000000000e0,1.00000000000000e0,6.49792524393599e17,0.00000000000000e0,0.00000000000000e0,1.16503516316855e-16,4.18199859796765e35,2.72397635778021e28,4.03043772127749e33,1.34347923842650e33,-6.85664712581487e-1,1.20331120587967e25,4.92358321459972e20,1.21821812195970e4,3.66596179199971e4,3.33333332837275e-1,4.03043772127749e33,3.33333332837275e-1,6.85664712581487e-1,3.33345456820938e-1,9.90454345117554e-1,6.45139914889511e-8,9.54559036845441e-3,9.99999967735901e-1,1.00000000000000e0,3.33333333085304e-1,7.17923613835726e-2,-1.36228807880496e28,1.00000000000000e0,4.03029113172562e33,3.33345456820936e-1,3.33333332837275e-1,3.33333332837275e-1,0.00000000000000e0,4.03029113172575e33,2.72457615760991e28,0.00000000000000e0,3.00000000000000e1,1.09978853759991e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.27955924206411e1,1.25892541179417e-10,7.94328234624283e9,8.21801111207306e-19,1.00000000000000e0,1.00000000000000e0,6.08419720921626e17,0.00000000000000e0,0.00000000000000e0,-1.32886814140567e-16,3.66640997449639e35,2.46800588546216e28,3.53353467665135e33,1.17784489034508e33,-6.85664712581487e-1,1.09023675248550e25,4.61009477352900e20,1.21821812195970e4,3.54733513126920e4,3.33333332803543e-1,3.53353467665135e33,3.33333332803543e-1,6.85664712581487e-1,3.33345862241356e-1,9.90454342980253e-1,6.66714078556527e-8,9.54559034833898e-3,9.99999966656711e-1,1.00000000000000e0,3.33333333068438e-1,7.17923613872052e-2,-1.23428374778093e28,1.00000000000000e0,3.53340186203429e33,3.33345862241413e-1,3.33333332803543e-1,3.33333332803543e-1,0.00000000000000e0,3.53340186203444e33,2.46856749556187e28,0.00000000000000e0,3.00000000000000e1,1.06420053938076e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.27626983478840e1,1.30102521691083e-10,7.68624609939773e9,8.77683941872571e-19,1.00000000000000e0,1.00000000000000e0,5.69681156558644e17,0.00000000000000e0,0.00000000000000e0,1.51574011921908e-16,3.21438704154976e35,2.23608880939019e28,3.09789362213065e33,1.03263120562404e33,-6.85664712581487e-1,9.87787839639699e24,4.31656638953345e20,1.21821812195970e4,3.43254710428188e4,3.33333332767517e-1,3.09789362213065e33,3.33333332767517e-1,6.85664712581487e-1,3.33346281219334e-1,9.90454340771462e-1,6.89009705111057e-8,9.54559032756739e-3,9.99999965541413e-1,1.00000000000000e0,3.33333333050425e-1,7.17923613910848e-2,-1.11830733066511e28,1.00000000000000e0,3.09777328802599e33,3.33346281219313e-1,3.33333332767517e-1,3.33333332767517e-1,0.00000000000000e0,3.09777328802596e33,2.23661466133023e28,0.00000000000000e0,3.00000000000000e1,1.02976413128457e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.27298042751269e1,1.34453288429976e-10,7.43752727465905e9,9.37366829126292e-19,1.00000000000000e0,1.00000000000000e0,5.33409107217132e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,2.81809293689323e35,2.02596484592409e28,2.71596171320667e33,9.05320569427656e32,-6.85664712581487e-1,8.94965991483625e24,4.04172718998723e20,1.21821812195970e4,3.32147349689466e4,3.33333332729041e-1,2.71596171320667e33,3.33333332729041e-1,6.85664712581487e-1,3.33346714208244e-1,9.90454338488789e-1,7.12050921032956e-8,9.54559030611884e-3,9.99999964388801e-1,1.00000000000000e0,3.33333333031187e-1,7.17923613952282e-2,-1.01322860822739e28,1.00000000000000e0,2.71585268682785e33,3.33346714208212e-1,3.33333332729041e-1,3.33333332729041e-1,0.00000000000000e0,2.71585268682774e33,2.02645721645478e28,0.00000000000000e0,3.00000000000000e1,9.96442049068398e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
