# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=power a_start=1e-10 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=4.64558024014177645e-2 potential=power m0=1.10256335382369471e4 lam=2.17736704888495211e2 nu=5.00000000000000000e-1
# spec: Power { m_today: 40607.27073199006, nu: 0.5, omega_dm: 0.55 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.30258509299405e1,1.00000000000000e-10,9.99999999900000e9,5.19684343405766e-19,1.00000000000000e0,1.00000000000000e0,9.62122500599568e17,0.00000000000000e0,0.00000000000000e0,2.12563015922449e-16,9.20960546728884e35,4.92431913638404e28,4.71911018788935e33,1.57303672752432e33,-2.39060881729880e12,1.35443724753089e25,4.82185040791568e20,1.10256335382419e4,4.21343610235983e4,3.33333332957811e-1,4.71911018788935e33,3.33333332957811e-1,2.39060881729880e12,3.33372186617789e-1,9.94901952155074e-1,5.31967926229234e-8,5.09799464813356e-3,9.99999973398732e-1,1.00000000000000e0,3.33333333145572e-1,3.81706010525001e-2,-2.46242538796989e28,1.00000000000000e0,4.71856018788968e33,3.33372186617804e-1,3.33333332957811e-1,3.33333332957811e-1,2.30005854665302e30,4.71856018788935e33,4.92485077593978e28,4.95786602442064e-9,2.71518704396846e1,1.14402671157164e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609589e15
-2.29929568571834e1,1.03344106388055e-10,9.67641053609455e9,5.55023103497820e-19,1.00000000000000e0,1.00000000000000e0,9.00863400579495e17,0.00000000000000e0,0.00000000000000e0,2.42454673418785e-16,8.07417519528914e35,4.46158373429992e28,4.13730235889995e33,1.37910078464068e33,-2.31325123452071e12,1.22716156799519e25,4.51483937572560e20,1.10256335382421e4,4.07709374982486e4,3.33333332932275e-1,4.13730235889995e33,3.33333332932275e-1,2.31325123452071e12,3.33373486056488e-1,9.94901950384991e-1,5.49757498654571e-8,5.09799463925872e-3,9.99999972509058e-1,1.00000000000000e0,3.33333333132804e-1,3.81706010539621e-2,-2.23104076197217e28,1.00000000000000e0,4.13680404207999e33,3.33373486056406e-1,3.33333332932275e-1,3.33333332932275e-1,2.08392338644840e30,4.13680404207971e33,4.46208152394433e28,5.12366234179584e-9,2.71518704396850e1,1.10700721265694e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609570e15
-2.29600627844263e1,1.06800043251458e-10,9.36329208723942e9,5.92764914521478e-19,1.00000000000000e0,1.00000000000000e0,8.43504715898498e17,0.00000000000000e0,0.00000000000000e0,1.38274921448610e-16,7.07872941091505e35,4.04233130852407e28,3.62722422818849e33,1.20907474117585e33,-2.23839686159510e12,1.11184590995978e25,4.22737597886050e20,1.10256335382422e4,3.94516329215269e4,3.33333332905003e-1,3.62722422818849e33,3.33333332905003e-1,2.23839686159510e12,3.33374828959561e-1,9.94901948555709e-1,5.68141973241277e-8,5.09799463009382e-3,9.99999971589626e-1,1.00000000000000e0,3.33333333119168e-1,3.81706010555236e-2,-2.02139870175389e28,1.00000000000000e0,3.62677273790974e33,3.33374828959615e-1,3.33333332905003e-1,3.33333332905003e-1,1.88809832127315e30,3.62677273790971e33,4.04279740350778e28,5.29500306470595e-9,2.71518704396854e1,1.07118562571933e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609551e15
-2.29271687116693e1,1.10371550320276e-10,9.06030582145339e9,6.33073184991695e-19,1.00000000000000e0,1.00000000000000e0,7.89798104026874e17,0.00000000000000e0,0.00000000000000e0,-1.57719821448176e-16,6.20600976087193e35,3.66247578909065e28,3.18003241249513e33,1.06001080271032e33,-2.16596469728842e12,1.00736639716796e25,3.95821560391367e20,1.10256335382424e4,3.81750196507443e4,3.33333332875876e-1,3.18003241249513e33,3.33333332875876e-1,2.16596469728842e12,3.33376216781166e-1,9.94901946665246e-1,5.87141244146009e-8,5.09799462062960e-3,9.99999970639440e-1,1.00000000000000e0,3.33333333104605e-1,3.81706010571913e-2,-1.83145610371889e28,1.00000000000000e0,3.17962334849488e33,3.33376216781194e-1,3.33333332875876e-1,3.33333332875876e-1,1.71067482333085e30,3.17962334849497e33,3.66291220743779e28,5.47207360400002e-9,2.71518704396859e1,1.03652318758947e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609531e15
-2.28942746389122e1,1.14062492385132e-10,8.76712387196868e9,6.76122435253014e-19,1.00000000000000e0,1.00000000000000e0,7.39511034600219e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,5.44088563304165e35,3.31831507164923e28,2.78797380817009e33,9.29324601361260e32,-2.09587636148160e12,9.12704763360472e24,3.70619288299860e20,1.10256335382426e4,3.69397162402246e4,3.33333332844769e-1,2.78797380817009e33,3.33333332844769e-1,2.09587636148160e12,3.33377651024137e-1,9.94901944711556e-1,6.06775870806880e-8,5.09799461085653e-3,9.99999969657470e-1,1.00000000000000e0,3.33333333089051e-1,3.81706010589724e-2,-1.65936185144737e28,1.00000000000000e0,2.78760318367600e33,3.33377651024128e-1,3.33333332844769e-1,3.33333332844769e-1,1.54992370807031e30,2.78760318367585e33,3.31872370289473e28,5.65506557086616e-9,2.71518704396863e1,1.00298238943336e6,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609509e15
-2.28613805661552e1,1.17876863479359e-10,8.48342898144073e9,7.22099053105158e-19,1.00000000000000e0,1.00000000000000e0,6.92425782646396e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.77009183235321e35,3.00649493643986e28,2.44425117320377e33,8.14750389792544e32,-2.02805601035370e12,8.26938428165586e24,3.47021664812426e20,1.10256335382428e4,3.57443859464186e4,3.33333332811547e-1,2.44425117320377e33,3.33333332811547e-1,2.02805601035370e12,3.33379133241610e-1,9.94901942692525e-1,6.27067100191158e-8,5.09799460076483e-3,9.99999968642655e-1,1.00000000000000e0,3.33333333072440e-1,3.81706010608746e-2,-1.50343877490523e28,1.00000000000000e0,2.44391537607747e33,3.33379133241574e-1,3.33333332811547e-1,3.33333332811547e-1,1.40427828140539e30,2.44391537607745e33,3.00687754981047e28,5.84417698417762e-9,2.71518704396868e1,9.70526936163319e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609488e15
-2.28284864933981e1,1.21818791201012e-10,8.20891415863825e9,7.71202100809905e-19,1.00000000000000e0,1.00000000000000e0,6.48338485914460e17,0.00000000000000e0,0.00000000000000e0,1.17026670681425e-16,4.18199859796765e35,2.72397635778021e28,2.14290528132668e33,7.14301759248053e32,-1.96243025430984e12,7.49231505551906e24,3.24926520682878e20,1.10256335382430e4,3.45877352813892e4,3.33333332776065e-1,2.14290528132668e33,3.33333332776065e-1,1.96243025430984e12,3.33380665038712e-1,9.94901940605966e-1,6.48036889786942e-8,5.09799459034439e-3,9.99999967593894e-1,1.00000000000000e0,3.33333333054699e-1,3.81706010629061e-2,-1.36216730492730e28,1.00000000000000e0,2.14260103886076e33,3.33380665038664e-1,3.33333332776065e-1,3.33333332776065e-1,1.27231907058055e30,2.14260103886081e33,2.72433460985460e28,6.03961248477310e-9,2.71518704396873e1,9.39121707162480e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609466e15
-2.27955924206411e1,1.25892541179417e-10,7.94328234624283e9,8.23644176942322e-19,1.00000000000000e0,1.00000000000000e0,6.07058262224268e17,0.00000000000000e0,0.00000000000000e0,2.66967074090523e-16,3.66640997449639e35,2.46800588546216e28,1.87871160504978e33,6.26237200565121e32,-1.89892807856512e12,6.78826657211748e24,3.04238191861777e20,1.10256335382432e4,3.34685126131065e4,3.33333332738170e-1,1.87871160504978e33,3.33333332738170e-1,1.89892807856512e12,3.33382248074304e-1,9.94901938449622e-1,6.69707931363744e-8,5.09799457958480e-3,9.99999966510052e-1,1.00000000000000e0,3.33333333035752e-1,3.81706010650758e-2,-1.23417066367167e28,1.00000000000000e0,1.87843595207131e33,3.33382248074208e-1,3.33333332738170e-1,3.33333332738170e-1,1.15275998986824e30,1.87843595207129e33,2.46834132734334e28,6.24158355690241e-9,2.71518704396878e1,9.08732718280124e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609443e15
-2.27626983478840e1,1.30102521691083e-10,7.68624609939773e9,8.79652336872470e-19,1.00000000000000e0,1.00000000000000e0,5.68406383015066e17,0.00000000000000e0,0.00000000000000e0,1.52254648936625e-16,3.21438704154976e35,2.23608880939019e28,1.64708973640550e33,5.49029911088221e32,-1.83748076629820e12,6.15037711477213e24,2.84867105305394e20,1.10256335382434e4,3.23855068110339e4,3.33333332697699e-1,1.64708973640550e33,3.33333332697699e-1,1.83748076629820e12,3.33383884062777e-1,9.94901936221157e-1,6.92103675527564e-8,5.09799456847537e-3,9.99999965389955e-1,1.00000000000000e0,3.33333333015516e-1,3.81706010673930e-2,-1.11820144671060e28,1.00000000000000e0,1.64683998637694e33,3.33383884062769e-1,3.33333332697699e-1,3.33333332697699e-1,1.04443580626748e30,1.64683998637690e33,2.23640289342121e28,6.45030875707813e-9,2.71518704396883e1,8.79327085056834e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609418e15
-2.27298042751269e1,1.34453288429976e-10,7.43752727465905e9,9.39469075834857e-19,1.00000000000000e0,1.00000000000000e0,5.32215499514962e17,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,2.81809293689323e35,2.02596484592409e28,1.44402397498987e33,4.81341324016337e32,-1.77802182429170e12,5.57242975832541e24,2.66729391156566e20,1.10256335382436e4,3.13375459355429e4,3.33333332654476e-1,1.44402397498987e33,3.33333332654476e-1,1.77802182429170e12,3.33385574775916e-1,9.94901933918159e-1,7.15248357097194e-8,5.09799455700507e-3,9.99999964232391e-1,1.00000000000000e0,3.33333332993904e-1,3.81706010698678e-2,-1.01312946598809e28,1.00000000000000e0,1.44379769382611e33,3.33385574775951e-1,3.33333332654476e-1,3.33333332654476e-1,9.46290783043635e29,1.44379769382604e33,2.02625893197617e28,6.66601395057971e-9,2.71518704396888e1,8.50872987139658e5,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,6.54067237609394e15
