# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable8d direction=forward spec=lambda-mass a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=-6.92399563738728396e0 lnC_i=-6.92399563738728574e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=1.69044493009759371e-2 potential=lambda-mass v0=6.68488096841442569e0 m0=4.06072707319900568e5
# spec: LambdaMass { m0: 406072.70731990057, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.04340434114528e-29,9.83890805207480e-4,9.83890805207478e-4,9.91393840705736e27,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,9.82773455798676e55,5.25482894170534e46,8.82910651106311e51,2.94303550029121e51,-6.68488096841443e0,6.96393109196299e41,2.50927636039667e37,4.06072707319901e5,4.16291196040879e4,3.33333332948640e-1,8.82910651106311e51,3.33333332948640e-1,6.68488096841443e0,3.33344009577966e-1,9.99910168860648e-1,5.34645788755489e-10,8.98306047062617e-5,1.00000000026738e0,1.06711786871798e12,3.33333333140987e-1,6.69226676804210e-4,0.00000000000000e0,1.00000000000000e0,9.82861747388349e55,3.33333333511583e-1,3.33333332948640e-1,3.33333332948640e-1,0.00000000000000e0,8.82882372482790e51,5.25584789035042e46,0.00000000000000e0,1.00000000000000e3,4.16291196040879e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.32995801376785e-29,9.83890805207606e-4,9.83890805207604e-4,9.38093693617873e27,6.93174131336715e16,6.93174131336715e16,5.26291565764748e-14,8.79940724839091e55,4.83680504902633e46,7.90527088154551e51,2.63509029063461e51,-6.68488096841443e0,6.40994739131263e41,2.37437053953977e37,4.06072707319901e5,4.04946105231557e4,3.33333332926783e-1,7.90527088154551e51,3.33333332926783e-1,6.68488096841443e0,3.33344308685587e-1,9.99910168875169e-1,5.49624584573305e-10,8.98306047105114e-5,1.00000000027492e0,1.06711786871744e12,3.33333333130058e-1,6.69226676826151e-4,0.00000000000000e0,1.00000000002950e0,8.80019778004798e55,3.33333333516613e-1,3.33333332926783e-1,3.33333332926783e-1,0.00000000000000e0,7.90501059107642e51,4.83776921609950e46,0.00000000000000e0,1.00000000000000e3,4.04946105231557e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.63279295232692e-29,9.83890805207911e-4,9.83890805207910e-4,8.87659113737289e27,1.31230731270728e17,1.31230731270728e17,4.91979479258412e-14,7.87867920792126e55,4.45203513602437e46,7.07810100969754e51,2.35936700019141e51,-6.68488096841443e0,5.90003333128677e41,2.24671763856101e37,4.06072707319901e5,3.93910199643293e4,3.33333332903684e-1,7.07810100969754e51,3.33333332903684e-1,6.68488096841443e0,3.33344616173027e-1,9.99910168889348e-1,5.65023030800359e-10,8.98306047148972e-5,1.00000000028262e0,1.06711786871611e12,3.33333333118509e-1,6.69226676849334e-4,0.00000000000000e0,1.00000000005909e0,7.87938702200132e55,3.33333333521746e-1,3.33333332903684e-1,3.33333332903684e-1,0.00000000000000e0,7.07786142544673e51,4.45294746673844e46,0.00000000000000e0,1.00000000000000e3,3.93910199643293e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,5.95283421780028e-29,9.83890805208413e-4,9.83890805208411e-4,8.39936040036595e27,1.86380786191718e17,1.86380786191718e17,5.04198804375984e-14,7.05429176182640e55,4.09787383437533e46,6.33748225130331e51,2.11249408089017e51,-6.68488096841443e0,5.43068315310127e41,2.12592771989936e37,4.06072707319901e5,3.83175053120442e4,3.33333332879272e-1,6.33748225130331e51,3.33333332879272e-1,6.68488096841443e0,3.33344932275052e-1,9.99910168903137e-1,5.80852884487600e-10,8.98306047194262e-5,1.00000000029054e0,1.06711786871394e12,3.33333333106303e-1,6.69226676873847e-4,0.00000000000000e0,1.00000000008871e0,7.05492551351696e55,3.33333333527025e-1,3.33333332879272e-1,3.33333332879272e-1,0.00000000000000e0,6.33726172608225e51,4.09873711560012e46,0.00000000000000e0,1.00000000000000e3,3.83175053120442e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.29105943082613e-29,9.83890805209117e-4,9.83890805209115e-4,7.94778694246581e27,2.35356117061403e17,2.35356117061403e17,5.52778073318701e-14,6.31616428942797e55,3.77188621593848e46,5.67435831031619e51,1.89145276738250e51,-6.68488096841443e0,4.99866998258487e41,2.01163181014406e37,4.06072707319901e5,3.72732469143501e4,3.33333332853474e-1,5.67435831031619e51,3.33333332853474e-1,6.68488096841443e0,3.33345257233007e-1,9.99910168916545e-1,5.97126232075039e-10,8.98306047241074e-5,1.00000000029868e0,1.06711786871088e12,3.33333333093403e-1,6.69226676899747e-4,0.00000000000000e0,1.00000000011840e0,6.31673172827709e55,3.33333333532455e-1,3.33333332853474e-1,3.33333332853474e-1,0.00000000000000e0,5.67415532797091e51,3.77270308471376e46,0.00000000000000e0,1.00000000000000e3,3.72732469143501e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.64850175801227e-29,9.83890805210024e-4,9.83890805210022e-4,7.52049135551607e27,2.78696141877423e17,2.78696141877423e17,4.99292833793149e-14,5.65527095815562e55,3.47183105214950e46,5.08062049834975e51,1.69354016354008e51,-6.68488096841443e0,4.60102364478876e41,1.90348077294241e37,4.06072707319901e5,3.62574474570875e4,3.33333332826209e-1,5.08062049834975e51,3.33333332826209e-1,6.68488096841443e0,3.33345591294999e-1,9.99910168929599e-1,6.13855498620001e-10,8.98306047289535e-5,1.00000000030705e0,1.06711786870695e12,3.33333333079771e-1,6.69226676927113e-4,0.00000000000000e0,1.00000000014818e0,5.65577902283390e55,3.33333333538030e-1,3.33333332826209e-1,3.33333332826209e-1,0.00000000000000e0,5.08043366333696e51,3.47260400374030e46,0.00000000000000e0,1.00000000000000e3,3.62574474570875e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.02625306791992e-29,9.83890805211133e-4,9.83890805211132e-4,7.11616839225828e27,3.16897043188743e17,3.16897043188743e17,5.73410607664136e-14,5.06353035554553e55,3.19564540513589e46,4.54900858152746e51,1.51633619140450e51,-6.68488096841443e0,4.23501024345292e41,1.80114424250298e37,4.06072707319901e5,3.52693313551210e4,3.33333332797396e-1,4.54900858152746e51,3.33333332797396e-1,6.68488096841443e0,3.33345934716084e-1,9.99910168942283e-1,6.31053457283916e-10,8.98306047339765e-5,1.00000000031566e0,1.06711786870214e12,3.33333333065365e-1,6.69226676956045e-4,0.00000000000000e0,1.00000000017807e0,5.06398525869283e55,3.33333333543771e-1,3.33333332797396e-1,3.33333332797396e-1,0.00000000000000e0,4.54883660931995e51,3.19637680065472e46,0.00000000000000e0,1.00000000000000e3,3.52693313551210e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.42546726636216e-29,9.83890805212446e-4,9.83890805212444e-4,6.73358297923194e27,3.50414036305748e17,3.50414036305748e17,4.70709606695202e-14,4.53370666962215e55,2.94143044461670e46,4.07302200224675e51,1.35767399844201e51,-6.68488096841443e0,3.89811336493574e41,1.70430961443713e37,4.06072707319901e5,3.43081441601639e4,3.33333332766945e-1,4.07302200224675e51,3.33333332766945e-1,6.68488096841443e0,3.33346287758464e-1,9.99910168954640e-1,6.48733239084946e-10,8.98306047391888e-5,1.00000000032449e0,1.06711786869644e12,3.33333333050139e-1,6.69226676986605e-4,0.00000000000000e0,1.00000000020811e0,4.53411397381595e55,3.33333333549660e-1,3.33333332766945e-1,3.33333332766945e-1,0.00000000000000e0,4.07286371050200e51,2.94212251823594e46,0.00000000000000e0,1.00000000000000e3,3.43081441601639e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,7.84736382120645e-29,9.83890805213964e-4,9.83890805213962e-4,6.37156644403150e27,3.79664841911611e17,3.79664841911611e17,4.23793291308871e-14,4.05932120929181e55,2.70743839307245e46,3.64684039027353e51,1.21561346124162e51,-6.68488096841443e0,3.58801677737828e41,1.61268109085549e37,4.06072707319901e5,3.33731519847393e4,3.33333332734764e-1,3.64684039027353e51,3.33333332734764e-1,6.68488096841443e0,3.33346650691687e-1,9.99910168966654e-1,6.66908342923712e-10,8.98306047446044e-5,1.00000000033358e0,1.06711786868986e12,3.33333333034049e-1,6.69226677018910e-4,0.00000000000000e0,1.00000000023831e0,4.05968589506702e55,3.33333333555719e-1,3.33333332734764e-1,3.33333332734764e-1,0.00000000000000e0,3.64669469070486e51,2.70809325884906e46,0.00000000000000e0,1.00000000000000e3,3.33731519847393e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.29323148744694e-29,9.83890805215687e-4,9.83890805215685e-4,6.02901294539755e27,4.05032300559019e17,4.05032300559019e17,5.39224350069519e-14,3.63457318282252e55,2.49206050943415e46,3.26525239117772e51,1.08841746166038e51,-6.68488096841443e0,3.30258850615786e41,1.52597877680285e37,4.06072707319901e5,3.24636409418418e4,3.33333332700755e-1,3.26525239117772e51,3.33333332700755e-1,6.68488096841443e0,3.33347023792853e-1,9.99910168978326e-1,6.85592645890104e-10,8.98306047502365e-5,1.00000000034294e0,1.06711786868238e12,3.33333333017044e-1,6.69226677053057e-4,0.00000000000000e0,1.00000000026867e0,3.63489970957371e55,3.33333333561957e-1,3.33333332700755e-1,3.33333332700755e-1,0.00000000000000e0,3.26511828207213e51,2.49268016776735e46,0.00000000000000e0,1.00000000000000e3,3.24636409418418e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
