# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=lambda-mass a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=3.64195319899048714e-2 potential=lambda-mass v0=6.85664712581486535e-1 m0=4.06072707319900583e4
# spec: LambdaMass { m0: 40607.27073199006, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.20510632984440e-23,1.00000000000000e0,1.00000000000000e0,9.60595170041313e21,0.00000000000000e0,0.00000000000000e0,1.43102603839243e-16,9.20960546728879e43,4.92431913638403e34,1.78253348538849e41,5.94177828461352e40,-6.85664712581487e-1,6.52592491992255e30,1.09144730388962e25,4.06072707319901e4,8.96872193905262e5,3.33333333332505e-1,1.78253348538849e41,3.33333333332505e-1,6.85664712581487e-1,3.33333828882604e-1,9.98068222872551e-1,5.33660911617203e-10,1.93177659378741e-3,9.99999999733167e-1,1.00000000000000e0,3.33333333332919e-1,1.44180516717111e-2,-2.46218172854010e34,1.00000000000000e0,1.78253083538870e41,3.33333828882463e-1,3.33333333332505e-1,3.33333333332505e-1,0.00000000000000e0,1.78253083538849e41,4.92436345708019e34,0.00000000000000e0,1.00000000000000e2,8.96872193905261e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.50084750669441e-23,1.00000000000000e0,1.00000000000000e0,9.08950846928376e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,8.24595624002324e43,4.53258744026058e34,1.59601767622927e41,5.32005892075025e40,-6.85664712581487e-1,6.00678479783603e30,1.03276799861188e25,4.06072707319901e4,8.72429936704098e5,3.33333333332457e-1,1.59601767622927e41,3.33333333332457e-1,6.85664712581487e-1,3.33333842766058e-1,9.98068222857629e-1,5.48612114807310e-10,1.93177659375866e-3,9.99999999725692e-1,1.00000000000000e0,3.33333333332895e-1,1.44180516717121e-2,-2.26631468907515e34,1.00000000000000e0,1.59601523703807e41,3.33333842766183e-1,3.33333333332457e-1,3.33333333332457e-1,0.00000000000000e0,1.59601523703790e41,4.53262937815030e34,0.00000000000000e0,1.00000000000000e2,8.72429936704098e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.81339196058411e-23,1.00000000000000e0,1.00000000000000e0,8.60083069225154e21,0.00000000000000e0,0.00000000000000e0,-1.78503828868898e-16,7.38313867558069e43,4.17201816832173e34,1.42901799249015e41,4.76339330828726e40,-6.85664712581487e-1,5.52894249478168e30,9.77243459354970e24,4.06072707319901e4,8.48653798868827e5,3.33333333332408e-1,1.42901799249015e41,3.33333333332408e-1,6.85664712581487e-1,3.33333857038474e-1,9.98068222842289e-1,5.63982195362883e-10,1.93177659372912e-3,9.99999999718006e-1,1.00000000000000e0,3.33333333332871e-1,1.44180516717132e-2,-2.08602892575573e34,1.00000000000000e0,1.42901574733732e41,3.33333857038425e-1,3.33333333332408e-1,3.33333333332408e-1,0.00000000000000e0,1.42901574733750e41,4.17205785151145e34,0.00000000000000e0,1.00000000000000e2,8.48653798868826e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,6.14369441185335e-23,1.00000000000000e0,1.00000000000000e0,8.13842561968816e21,0.00000000000000e0,0.00000000000000e0,1.99364366048634e-16,6.61060222928141e43,3.84013233637814e34,1.27949235981219e41,4.26497453269477e40,-6.85664712581487e-1,5.08911275156968e30,9.24704076942359e24,4.06072707319901e4,8.25525626797425e5,3.33333333332355e-1,1.27949235981219e41,3.33333333332355e-1,6.85664712581487e-1,3.33333871710750e-1,9.98068222826518e-1,5.79782888677028e-10,1.93177659369874e-3,9.99999999710105e-1,1.00000000000000e0,3.33333333332844e-1,1.44180516717143e-2,-1.92008494304347e34,1.00000000000000e0,1.27949029326226e41,3.33333871710665e-1,3.33333333332355e-1,3.33333333332355e-1,0.00000000000000e0,1.27949029326239e41,3.84016988608694e34,0.00000000000000e0,1.00000000000000e2,8.25525626797425e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.49276382568870e-23,1.00000000000000e0,1.00000000000000e0,7.70088075642290e21,0.00000000000000e0,0.00000000000000e0,2.22662733353174e-16,5.91890031516214e43,3.53464816449478e34,1.14561237676582e41,3.81870792254090e40,-6.85664712581487e-1,4.68427165278590e30,8.74989360868341e24,4.06072707319901e4,8.03027761623933e5,3.33333333332299e-1,1.14561237676582e41,3.33333333332299e-1,6.85664712581487e-1,3.33333886794090e-1,9.98068222810306e-1,5.96026258925155e-10,1.93177659366753e-3,9.99999999701983e-1,1.00000000000000e0,3.33333333332816e-1,1.44180516717155e-2,-1.76734184771232e34,1.00000000000000e0,1.14561047461091e41,3.33333886793929e-1,3.33333333332299e-1,3.33333333332299e-1,0.00000000000000e0,1.14561047461095e41,3.53468369542464e34,0.00000000000000e0,1.00000000000000e2,8.03027761623933e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.86166649415842e-23,1.00000000000000e0,1.00000000000000e0,7.28685954703493e21,0.00000000000000e0,0.00000000000000e0,1.24341911764184e-16,5.29957479299661e43,3.25346538930736e34,1.02574095713374e41,3.41913652376794e40,-6.85664712581487e-1,4.31163583678233e30,8.27947449052364e24,4.06072707319901e4,7.81143025735513e5,3.33333333332241e-1,1.02574095713374e41,3.33333333332241e-1,6.85664712581487e-1,3.33333902300008e-1,9.98068222793640e-1,6.12724708276174e-10,1.93177659363544e-3,9.99999999693635e-1,1.00000000000000e0,3.33333333332787e-1,1.44180516717168e-2,-1.62674950499679e34,1.00000000000000e0,1.02573920629616e41,3.33333902300087e-1,3.33333333332241e-1,3.33333333332241e-1,0.00000000000000e0,1.02573920629611e41,3.25349900999358e34,0.00000000000000e0,1.00000000000000e2,7.81143025735513e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.25152929339030e-23,1.00000000000000e0,1.00000000000000e0,6.89509729311673e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.74505254204393e43,2.99465082430169e34,9.18412311598751e40,3.06137437198523e40,-6.85664712581487e-1,3.96864335952191e30,7.83434643950390e24,4.06072707319901e4,7.59854709656958e5,3.33333333332179e-1,9.18412311598751e40,3.33333333332179e-1,6.85664712581487e-1,3.33333918240344e-1,9.98068222776507e-1,6.29890986361879e-10,1.93177659360246e-3,9.99999999685051e-1,1.00000000000000e0,3.33333333332756e-1,1.44180516717181e-2,-1.49734131872219e34,1.00000000000000e0,9.18410700041327e40,3.33333918240226e-1,3.33333333332179e-1,3.33333333332179e-1,0.00000000000000e0,9.18410700040998e40,2.99468263744438e34,0.00000000000000e0,1.00000000000000e2,7.59854709656958e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.66354312580670e-23,1.00000000000000e0,1.00000000000000e0,6.52439729003733e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.24855285682770e43,2.75642506877882e34,8.22314024052565e40,2.74104674683185e40,-6.85664712581487e-1,3.65293608071303e30,7.41314973606277e24,4.06072707319901e4,7.39146559292659e5,3.33333333332113e-1,8.22314024052565e40,3.33333333332113e-1,6.85664712581487e-1,3.33333934627270e-1,9.98068222758893e-1,6.47538200011550e-10,1.93177659356856e-3,9.99999999676227e-1,1.00000000000000e0,3.33333333332723e-1,1.44180516717196e-2,-1.37822758577833e34,1.00000000000000e0,8.22312540694966e40,3.33333934627287e-1,3.33333333332113e-1,3.33333333332113e-1,0.00000000000000e0,8.22312540694921e40,2.75645517155665e34,0.00000000000000e0,1.00000000000000e2,7.39146559292659e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,8.09896655793954e-23,1.00000000000000e0,1.00000000000000e0,6.17362717140358e21,0.00000000000000e0,0.00000000000000e0,-1.73227780256325e-16,3.80400453257857e43,2.53715027412714e34,7.36271003354041e40,2.45423667783731e40,-6.85664712581487e-1,3.36234345113400e30,7.01459776302197e24,4.06072707319901e4,7.19002763516229e5,3.33333333332044e-1,7.36271003354041e40,3.33333333332044e-1,6.85664712581487e-1,3.33333951473296e-1,9.98068222740787e-1,6.65679823259273e-10,1.93177659353371e-3,9.99999999667156e-1,1.00000000000000e0,3.33333333332689e-1,1.44180516717210e-2,-1.26858937924709e34,1.00000000000000e0,7.36269637998095e40,3.33333951473289e-1,3.33333333332044e-1,3.33333333332044e-1,0.00000000000000e0,7.36269637998132e40,2.53717875849419e34,0.00000000000000e0,1.00000000000000e2,7.19002763516229e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.55912966493606e-23,1.00000000000000e0,1.00000000000000e0,5.84171545005412e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.40597162646179e43,2.33531888329378e34,6.59231114299123e40,2.19743704765476e40,-6.85664712581487e-1,3.09486758968336e30,6.63747307539513e24,4.06072707319901e4,6.99407942098377e5,3.33333333331970e-1,6.59231114299123e40,3.33333333331970e-1,6.85664712581487e-1,3.33333968791285e-1,9.98068222722173e-1,6.84329707631726e-10,1.93177659349789e-3,9.99999999657831e-1,1.00000000000000e0,3.33333333332652e-1,1.44180516717226e-2,-1.16767291813020e34,1.00000000000000e0,6.59229857557713e40,3.33333968791419e-1,3.33333333331970e-1,3.33333333331970e-1,0.00000000000000e0,6.59229857557862e40,2.33534583626039e34,0.00000000000000e0,1.00000000000000e2,6.99407942098377e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
