# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable8d direction=forward spec=mass a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=-6.06515428506497845e0 lnC_i=-6.06515428506497578e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=5.02251144939441674e-1 potential=mass m0=4.06072707319900587e2
# spec: Mass { m0: 406.0727073199006 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,3.33481765762762e-29,2.32239967530267e-3,2.32239967530267e-3,1.49933235136970e28,0.00000000000000e0,0.00000000000000e0,1.29170199903157e-16,3.16587072785709e54,1.69277151598701e45,2.21633879256828e56,7.38779597522761e55,-0.00000000000000e0,5.88374644809890e44,7.13556018767697e35,4.06072707319901e2,1.23685028785688e9,3.33333333333333e-1,2.21633879256828e56,3.33333333333333e-1,0.00000000000000e0,3.33333333692669e-1,1.40830705018530e-2,7.53013077678952e-12,9.85916929490617e-1,1.00000000000376e0,3.43757475724863e10,3.33333333333333e-1,5.21498276032339e2,0.00000000000000e0,1.00000000000000e0,2.24799749986286e56,3.33333333335843e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,2.21633879017905e56,1.69277180574264e45,0.00000000000000e0,1.00000000000000e0,1.23685028785688e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,3.52429369061578e-29,2.32239967530268e-3,2.32239967530268e-3,1.41872398810380e28,1.47696762634499e15,1.47696762634499e15,4.61649436737074e-15,2.83460910200799e54,1.55811081696617e45,1.98443166338633e56,6.61477221128777e55,-0.00000000000000e0,5.41569189845678e44,6.75193221674211e35,4.06072707319901e2,1.20314268374052e9,3.33333333333333e-1,1.98443166338633e56,3.33333333333333e-1,0.00000000000000e0,3.33333333702736e-1,1.40830705018557e-2,7.74109716556489e-12,9.85916929490815e-1,1.00000000000388e0,3.43757475724858e10,3.33333333333333e-1,5.21498276032346e2,0.00000000000000e0,1.00000000000041e0,2.01277775442034e56,3.33333333335917e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.98443166118717e56,1.55811109114371e45,0.00000000000000e0,1.00000000000000e0,1.20314268374052e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,3.72453527985400e-29,2.32239967530269e-3,2.32239967530270e-3,1.34244935926476e28,2.79607494460583e15,2.79607494460583e15,9.50636189555322e-15,2.53800911404412e54,1.43416243422048e45,1.77679019103706e56,5.92263397012355e55,-0.00000000000000e0,4.98487128868157e44,6.38892917450417e35,4.06072707319901e2,1.17035370541616e9,3.33333333333333e-1,1.77679019103706e56,3.33333333333333e-1,0.00000000000000e0,3.33333333713086e-1,1.40830705018586e-2,7.95797405158295e-12,9.85916929491007e-1,1.00000000000399e0,3.43757475724850e10,3.33333333333333e-1,5.21498276032341e2,0.00000000000000e0,1.00000000000082e0,1.80217028218962e56,3.33333333335992e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.77679018901284e56,1.43416269365746e45,0.00000000000000e0,1.00000000000000e0,1.17035370541616e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,3.93615409743377e-29,2.32239967530271e-3,2.32239967530271e-3,1.27027547098787e28,3.97099820540868e15,3.97099820540868e15,1.07972605639804e-14,2.27244393535877e54,1.32007419840268e45,1.59087533282866e56,5.30291777609553e55,-0.00000000000000e0,4.58832264291146e44,6.04544220624972e35,4.06072707319901e2,1.13845831778065e9,3.33333333333333e-1,1.59087533282866e56,3.33333333333333e-1,0.00000000000000e0,3.33333333723725e-1,1.40830705018613e-2,8.18092702509640e-12,9.85916929491197e-1,1.00000000000410e0,3.43757475724839e10,3.33333333333333e-1,5.21498276032339e2,0.00000000000000e0,1.00000000000124e0,1.61359977219279e56,3.33333333336068e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.59087533096547e56,1.32007444389159e45,0.00000000000000e0,1.00000000000000e0,1.13845831778065e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,4.15979656913119e-29,2.32239967530273e-3,2.32239967530274e-3,1.20198185582001e28,5.01432248346512e15,5.01432248346512e15,1.18580791089459e-14,2.03466623140697e54,1.21506173060211e45,1.42441371939670e56,4.74804573132232e55,-0.00000000000000e0,4.22331961173304e44,5.72042207244243e35,4.06072707319901e2,1.10743216800692e9,3.33333333333333e-1,1.42441371939670e56,3.33333333333333e-1,0.00000000000000e0,3.33333333734662e-1,1.40830705018638e-2,8.41012631558408e-12,9.85916929491383e-1,1.00000000000422e0,3.43757475724824e10,3.33333333333333e-1,5.21498276032346e2,0.00000000000000e0,1.00000000000166e0,1.44476038171993e56,3.33333333336144e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.42441371768172e56,1.21506196289284e45,0.00000000000000e0,1.00000000000000e0,1.10743216800692e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,4.39614584902483e-29,2.32239967530276e-3,2.32239967530277e-3,1.13735989926419e28,5.93742061091979e15,5.93742061091979e15,8.19323093612134e-15,1.82176845325532e54,1.11840304958632e45,1.27536985591320e56,4.25123285304399e55,-0.00000000000000e0,3.88735272799628e44,5.41287594364191e35,4.06072707319901e2,1.07725156695004e9,3.33333333333333e-1,1.27536985591320e56,3.33333333333333e-1,0.00000000000000e0,3.33333333745906e-1,1.40830705018665e-2,8.64574692172429e-12,9.85916929491568e-1,1.00000000000433e0,3.43757475724807e10,3.33333333333333e-1,5.21498276032343e2,0.00000000000000e0,1.00000000000208e0,1.29358754045371e56,3.33333333336221e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.27536985433465e56,1.11840326938844e45,0.00000000000000e0,1.00000000000000e0,1.07725156695004e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,4.64592390630654e-29,2.32239967530280e-3,2.32239967530281e-3,1.07621220253090e28,6.75100030115742e15,6.75100030115742e15,1.51676293162921e-14,1.63114728403449e54,1.02943360803910e45,1.14192123202865e56,3.80640410676217e55,-0.00000000000000e0,3.57811215373743e44,5.12186436773653e35,4.06072707319901e2,1.04789347106004e9,3.33333333333333e-1,1.14192123202865e56,3.33333333333333e-1,0.00000000000000e0,3.33333333757465e-1,1.40830705018691e-2,8.88796874501096e-12,9.85916929491737e-1,1.00000000000446e0,3.43757475724783e10,3.33333333333333e-1,5.21498276032335e2,0.00000000000000e0,1.00000000000249e0,1.15823270487593e56,3.33333333336306e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.14192123057568e56,1.02943381602403e45,0.00000000000000e0,1.00000000000000e0,1.04789347106004e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,4.90989373065921e-29,2.32239967530285e-3,2.32239967530285e-3,1.01835197954994e28,7.46478832921081e15,7.46478832921081e15,1.06401053569344e-14,1.46047180554631e54,9.47541723667844e44,1.02243603619137e56,3.40812012063791e55,-0.00000000000000e0,3.29347179959222e44,4.84649840022729e35,4.06072707319901e2,1.01933546478766e9,3.33333333333333e-1,1.02243603619137e56,3.33333333333333e-1,0.00000000000000e0,3.33333333769347e-1,1.40830705018716e-2,9.13697672711154e-12,9.85916929491913e-1,1.00000000000458e0,3.43757475724758e10,3.33333333333333e-1,5.21498276032335e2,0.00000000000000e0,1.00000000000292e0,1.03704075425286e56,3.33333333336386e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,1.02243603485398e56,9.47541920470916e44,0.00000000000000e0,1.00000000000000e0,1.01933546478766e9,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,5.18886166293924e-29,2.32239967530290e-3,2.32239967530290e-3,9.63602486400446e27,8.08782385446105e15,8.08782385446105e15,1.51671530880341e-14,1.30765499576465e54,8.72164373768245e44,9.15453201833856e55,3.05151067277952e55,-0.00000000000000e0,3.03147470751552e44,4.58593688879450e35,4.06072707319901e2,9.91555743469596e8,3.33333333333333e-1,9.15453201833856e55,3.33333333333333e-1,0.00000000000000e0,3.33333333781563e-1,1.40830705018740e-2,9.39296099107450e-12,9.85916929492075e-1,1.00000000000471e0,3.43757475724726e10,3.33333333333333e-1,5.21498276032332e2,0.00000000000000e0,1.00000000000334e0,9.28529751796741e55,3.33333333336474e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,9.15453200602857e55,8.72164559990626e44,0.00000000000000e0,1.00000000000000e0,9.91555743469596e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,5.48367985828195e-29,2.32239967530295e-3,2.32239967530296e-3,9.11796481416455e27,8.62835542809047e15,8.62835542809047e15,1.23991149059988e-14,1.17082820870243e54,8.02783324333276e44,8.19664541431512e55,2.73221513810504e55,-0.00000000000000e0,2.79031959631295e44,4.33938390385515e35,4.06072707319901e2,9.64533096680153e8,3.33333333333333e-1,8.19664541431512e55,3.33333333333333e-1,0.00000000000000e0,3.33333333794120e-1,1.40830705018762e-2,9.65611698649245e-12,9.85916929492241e-1,1.00000000000484e0,3.43757475724693e10,3.33333333333333e-1,5.21498276032341e2,0.00000000000000e0,1.00000000000377e0,8.31372823523087e55,3.33333333336560e-1,3.33333333333333e-1,3.33333333333333e-1,0.00000000000000e0,8.19664540298440e55,8.02783500543813e44,0.00000000000000e0,1.00000000000000e0,9.64533096680153e8,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
