# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=mass a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=2.05392632838449704e-2 potential=mass m0=8.12145414639801136e5
# spec: Mass { m0: 812145.4146398011 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.20963119547828e-23,1.00000000000000e0,1.00000000000000e0,9.59760837646198e21,0.00000000000000e0,0.00000000000000e0,1.43351513837203e-16,9.20960546728879e43,4.92431913638403e34,1.80318258019970e40,6.01060858187050e39,-0.00000000000000e0,1.17055972421283e30,6.94278575687613e25,8.12145414639801e5,2.52901302077220e4,3.33333332291000e-1,1.80318258019970e40,3.33333332291000e-1,0.00000000000000e0,3.33350907047307e-1,9.99804244109441e-1,5.34589151445537e-10,1.95755355969511e-4,9.99999999732399e-1,1.00000000000000e0,3.33333332812167e-1,1.45850722176938e-3,-2.46497884400065e34,1.00000000000000e0,1.80308751373104e40,3.33350907043120e-1,3.33333332291000e-1,3.33333332291000e-1,0.00000000000000e0,1.80308751372844e40,4.92995768800131e34,0.00000000000000e0,2.00000000000000e3,5.05802604154440e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.50562946392312e-23,1.00000000000000e0,1.00000000000000e0,9.08161370611200e21,0.00000000000000e0,0.00000000000000e0,-1.60104037316079e-16,8.24595624002324e43,4.53258744026058e34,1.61450614830703e40,5.38168714323875e39,-0.00000000000000e0,1.07744119686321e30,6.56952188082791e25,8.12145414639801e5,2.46009039485195e4,3.33333332231777e-1,1.61450614830703e40,3.33333332231777e-1,0.00000000000000e0,3.33351399394379e-1,9.99804244094450e-1,5.49566360479370e-10,1.95755355983966e-4,9.99999999724893e-1,1.00000000000000e0,3.33333332782555e-1,1.45850722189895e-3,-2.26896142366624e34,1.00000000000000e0,1.61441864441641e40,3.33351399394196e-1,3.33333332231777e-1,3.33333332231777e-1,0.00000000000000e0,1.61441864441427e40,4.53792284733247e34,0.00000000000000e0,2.00000000000000e3,4.92018078970390e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.81844561671169e-23,1.00000000000000e0,1.00000000000000e0,8.59336037395837e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,7.38313867558069e43,4.17201816832173e34,1.44557191909303e40,4.81857304681489e39,-0.00000000000000e0,9.91730288241972e29,6.21632573033182e25,8.12145414639801e5,2.39304610183262e4,3.33333332169190e-1,1.44557191909303e40,3.33333332169190e-1,0.00000000000000e0,3.33351905535004e-1,9.99804244079037e-1,5.64963175466137e-10,1.95755355999326e-4,9.99999999717176e-1,1.00000000000000e0,3.33333332751261e-1,1.45850722203587e-3,-2.08853336437976e34,1.00000000000000e0,1.44549137617164e40,3.33351905533986e-1,3.33333332169190e-1,3.33333332169190e-1,0.00000000000000e0,1.44549137617241e40,4.17706672875952e34,0.00000000000000e0,2.00000000000000e3,4.78609220366524e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,6.14903520413440e-23,1.00000000000000e0,1.00000000000000e0,8.13135692691207e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,6.61060222928141e43,3.84013233637814e34,1.29431416255222e40,4.31438052591693e39,-0.00000000000000e0,9.12837719106968e29,5.88211840749716e25,8.12145414639801e5,2.32782895192797e4,3.33333332103046e-1,1.29431416255222e40,3.33333332103046e-1,0.00000000000000e0,3.33352425855615e-1,9.99804244063193e-1,5.80791352211268e-10,1.95755356015646e-4,9.99999999709243e-1,1.00000000000000e0,3.33333332718190e-1,1.45850722218058e-3,-1.92245473593558e34,1.00000000000000e0,1.29424002685322e40,3.33352425855213e-1,3.33333332103046e-1,3.33333332103046e-1,0.00000000000000e0,1.29424002685543e40,3.84490947187116e34,0.00000000000000e0,2.00000000000000e3,4.65565790385593e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.49840806848425e-23,1.00000000000000e0,1.00000000000000e0,7.69419209663601e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,5.91890031516214e43,3.53464816449478e34,1.15888329682259e40,3.86294430767429e39,-0.00000000000000e0,8.40221087632148e29,5.56587901904655e25,8.12145414639801e5,2.26438915041557e4,3.33333332033144e-1,1.15888329682259e40,3.33333332033144e-1,0.00000000000000e0,3.33352960753472e-1,9.99804244046904e-1,5.97062975874374e-10,1.95755356032982e-4,9.99999999701087e-1,1.00000000000000e0,3.33333332683239e-1,1.45850722233351e-3,-1.76958423380927e34,1.00000000000000e0,1.15881505865115e40,3.33352960754298e-1,3.33333332033144e-1,3.33333332033144e-1,0.00000000000000e0,1.15881505865223e40,3.53916846761853e34,0.00000000000000e0,2.00000000000000e3,4.52877830083114e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.86763142877085e-23,1.00000000000000e0,1.00000000000000e0,7.28053048858499e21,0.00000000000000e0,0.00000000000000e0,-1.24558189764507e-16,5.29957479299661e43,3.25346538930736e34,1.03762327147389e40,3.45874422398869e39,-0.00000000000000e0,7.73381140288999e29,5.26664155782316e25,8.12145414639801e5,2.20267825961743e4,3.33333331959271e-1,1.03762327147389e40,3.33333331959271e-1,0.00000000000000e0,3.33353510636962e-1,9.99804244030158e-1,6.13790470196466e-10,1.95755356051395e-4,9.99999999692701e-1,1.00000000000000e0,3.33333332646302e-1,1.45850722249513e-3,-1.62887133404955e34,1.00000000000000e0,1.03756046167969e40,3.33353510636792e-1,3.33333331959271e-1,3.33333331959271e-1,0.00000000000000e0,1.03756046167920e40,3.25774266809910e34,0.00000000000000e0,2.00000000000000e3,4.40535651923486e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.25783314072987e-23,1.00000000000000e0,1.00000000000000e0,6.88910850281506e21,0.00000000000000e0,0.00000000000000e0,-1.39114464355660e-16,4.74505254204393e43,2.99465082430169e34,9.29051317300812e39,3.09683771084497e39,-0.00000000000000e0,7.11858339380986e29,4.98349195195692e25,8.12145414639801e5,2.14264916191673e4,3.33333331881200e-1,9.29051317300812e39,3.33333331881200e-1,0.00000000000000e0,3.33354075925916e-1,9.99804244012942e-1,6.30986606985810e-10,1.95755356070948e-4,9.99999999684080e-1,1.00000000000000e0,3.33333332607266e-1,1.45850722266593e-3,-1.49934907221968e34,1.00000000000000e0,9.28993504055327e39,3.33354075925681e-1,3.33333331881200e-1,3.33333331881200e-1,0.00000000000000e0,9.28993504052192e39,2.99869814443937e34,0.00000000000000e0,2.00000000000000e3,4.28529832383346e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.67020514205039e-23,1.00000000000000e0,1.00000000000000e0,6.51873047410240e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.24855285682770e43,2.75642506877882e34,8.31839815001538e39,2.77279937057271e39,-0.00000000000000e0,6.55229703632156e29,4.71556527267636e25,8.12145414639801e5,2.08425602378254e4,3.33333331798693e-1,8.31839815001538e39,3.33333331798693e-1,0.00000000000000e0,3.33354657051924e-1,9.99804243995244e-1,6.48664515869459e-10,1.95755356091710e-4,9.99999999675217e-1,1.00000000000000e0,3.33333332566013e-1,1.45850722284643e-3,-1.38012739674623e34,1.00000000000000e0,8.31786600821982e39,3.33354657052353e-1,3.33333331798693e-1,3.33333331798693e-1,0.00000000000000e0,8.31786600821604e39,2.76025479349246e34,0.00000000000000e0,2.00000000000000e3,4.16851204756509e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,8.10600709335235e-23,1.00000000000000e0,1.00000000000000e0,6.16826501957945e21,0.00000000000000e0,0.00000000000000e0,1.73529089423758e-16,3.80400453257857e43,2.53715027412714e34,7.44800061031080e39,2.48266685802417e39,-0.00000000000000e0,6.03105900108173e29,4.46204309223586e25,8.12145414639801e5,2.02745426077488e4,3.33333331711499e-1,7.44800061031080e39,3.33333331711499e-1,0.00000000000000e0,3.33355254458666e-1,9.99804243977048e-1,6.66837694317983e-10,1.95755356113750e-4,9.99999999666105e-1,1.00000000000000e0,3.33333332522416e-1,1.45850722303719e-3,-1.27038705098221e34,1.00000000000000e0,7.44751080062196e39,3.33355254457876e-1,3.33333331711499e-1,3.33333331711499e-1,0.00000000000000e0,7.44751080061948e39,2.54077410196443e34,0.00000000000000e0,2.00000000000000e3,4.05490852154977e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.56657022603434e-23,1.00000000000000e0,1.00000000000000e0,5.83664158273337e21,0.00000000000000e0,0.00000000000000e0,-1.93808262394596e-16,3.40597162646179e43,2.33531888329378e34,6.66867732118589e39,2.22289242896529e39,-0.00000000000000e0,5.55128567476377e29,4.22215098388870e25,8.12145414639801e5,1.97220050350354e4,3.33333331619350e-1,6.66867732118589e39,3.33333331619350e-1,0.00000000000000e0,3.33355868602255e-1,9.99804243958343e-1,6.85520017951146e-10,1.95755356137146e-4,9.99999999656737e-1,1.00000000000000e0,3.33333332476342e-1,1.45850722323879e-3,-1.16937394192763e34,1.00000000000000e0,6.66822647605728e39,3.33355868601200e-1,3.33333331619350e-1,3.33333331619350e-1,0.00000000000000e0,6.66822647606528e39,2.33874788385526e34,0.00000000000000e0,2.00000000000000e3,3.94440100700709e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,-0.00000000000000e0
