# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=power a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=3.64195319899048714e-2 potential=power m0=8.15176575726442024e3 lam=1.50232160004324395e1 nu=2.35999999999999988e-1
# spec: Power { m_today: 40607.27073199006, nu: 0.236, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.20510632984441e-23,1.00000000000000e0,1.00000000000000e0,9.60595170041312e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,9.20960546728879e43,4.92431913638403e34,1.78253348538636e41,5.94177828462061e40,-6.37161940916922e6,6.52592491992255e30,2.19104180051275e24,8.15176575726442e3,4.46768627489691e6,3.33333333333300e-1,1.78253348538636e41,3.33333333333300e-1,6.37161940916922e6,3.33333828883400e-1,9.98068222872554e-1,5.33660911617204e-10,1.93177659378511e-3,9.99999999733169e-1,1.00000000000000e0,3.33333333333317e-1,1.44180516716939e-2,-2.46216046123499e34,1.00000000000000e0,1.78253083538632e41,3.33333828883204e-1,3.33333333333300e-1,3.33333333333300e-1,2.88889810366278e28,1.78253083538636e41,4.92432092246999e34,1.37259104797833e-18,2.00746457723457e1,8.96872193905261e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.50084750669442e-23,1.00000000000000e0,1.00000000000000e0,9.08950846928375e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,8.24595624002324e43,4.53258744026058e34,1.59601767622726e41,5.32005892075696e40,-6.28906128098003e6,6.00678479783603e30,2.07324517375089e24,8.15176575726442e3,4.34592942061241e6,3.33333333333298e-1,1.59601767622726e41,3.33333333333298e-1,6.28906128098003e6,3.33333842766898e-1,9.98068222857632e-1,5.48612114807312e-10,1.93177659375623e-3,9.99999999725694e-1,1.00000000000000e0,3.33333333333316e-1,1.44180516716939e-2,-2.26629456516074e34,1.00000000000000e0,1.59601523703599e41,3.33333842766928e-1,3.33333333333298e-1,3.33333333333298e-1,2.69816325669129e28,1.59601523703589e41,4.53258913032148e34,1.43178286977728e-18,2.00746457723457e1,8.72429936704098e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.81339196058411e-23,1.00000000000000e0,1.00000000000000e0,8.60083069225153e21,0.00000000000000e0,0.00000000000000e0,-1.78503828868898e-16,7.38313867558069e43,4.17201816832173e34,1.42901799248824e41,4.76339330829361e40,-6.20757287213415e6,5.52894249478168e30,1.96178162802529e24,8.15176575726442e3,4.22749077863137e6,3.33333333333296e-1,1.42901799248824e41,3.33333333333296e-1,6.20757287213415e6,3.33333857039362e-1,9.98068222842291e-1,5.63982195362885e-10,1.93177659372655e-3,9.99999999718009e-1,1.00000000000000e0,3.33333333333315e-1,1.44180516716940e-2,-2.08600988376008e34,1.00000000000000e0,1.42901574733554e41,3.33333857039256e-1,3.33333333333296e-1,3.33333333333296e-1,2.52002137096157e28,1.42901574733560e41,4.17201976752016e34,1.49352728855915e-18,2.00746457723457e1,8.48653798868826e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,6.14369441185336e-23,1.00000000000000e0,1.00000000000000e0,8.13842561968815e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,6.61060222928141e43,3.84013233637814e34,1.27949235981038e41,4.26497453270077e40,-6.12714032210081e6,5.08911275156968e30,1.85631067892212e24,8.15176575726442e3,4.11227991845638e6,3.33333333333294e-1,1.27949235981038e41,3.33333333333294e-1,6.12714032210081e6,3.33333871711689e-1,9.98068222826521e-1,5.79782888677030e-10,1.93177659369603e-3,9.99999999710109e-1,1.00000000000000e0,3.33333333333314e-1,1.44180516716940e-2,-1.92006692479956e34,1.00000000000000e0,1.27949029326038e41,3.33333871711697e-1,3.33333333333294e-1,3.33333333333294e-1,2.35364101647869e28,1.27949029326059e41,3.84013384959912e34,1.55793438289834e-18,2.00746457723457e1,8.25525626797425e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.49276382568871e-23,1.00000000000000e0,1.00000000000000e0,7.70088075642288e21,0.00000000000000e0,0.00000000000000e0,-1.11331366676587e-16,5.91890031516214e43,3.53464816449478e34,1.14561237676412e41,3.81870792254658e40,-6.04774994994248e6,4.68427165278590e30,1.75651014743618e24,8.15176575726442e3,4.00020887407220e6,3.33333333333292e-1,1.14561237676412e41,3.33333333333292e-1,6.04774994994248e6,3.33333886795082e-1,9.98068222810309e-1,5.96026258925157e-10,1.93177659366466e-3,9.99999999701987e-1,1.00000000000000e0,3.33333333333313e-1,1.44180516716941e-2,-1.76732479818035e34,1.00000000000000e0,1.14561047460912e41,3.33333886795082e-1,3.33333333333292e-1,3.33333333333292e-1,2.19824565707485e28,1.14561047460925e41,3.53464959636070e34,1.62511897841411e-18,2.00746457723457e1,8.03027761623933e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.86166649415843e-23,1.00000000000000e0,1.00000000000000e0,7.28685954703492e21,0.00000000000000e0,0.00000000000000e0,1.24341911764184e-16,5.29957479299661e43,3.25346538930736e34,1.02574095713213e41,3.41913652377332e40,-5.96938825198780e6,4.31163583678233e30,1.66207517582014e24,8.15176575726442e3,3.89119207678172e6,3.33333333333289e-1,1.02574095713213e41,3.33333333333289e-1,5.96938825198780e6,3.33333902301056e-1,9.98068222793642e-1,6.12724708276176e-10,1.93177659363241e-3,9.99999999693637e-1,1.00000000000000e0,3.33333333333311e-1,1.44180516716941e-2,-1.62673337209606e34,1.00000000000000e0,1.02573920629468e41,3.33333902300859e-1,3.33333333333289e-1,3.33333333333289e-1,2.05311002613271e28,1.02573920629449e41,3.25346674419211e34,1.69520085248292e-18,2.00746457723457e1,7.81143025735513e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.25152929339031e-23,1.00000000000000e0,1.00000000000000e0,6.89509729311672e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.74505254204393e43,2.99465082430169e34,9.18412311597225e40,3.06137437199032e40,-5.89204189953468e6,3.96864335952191e30,1.57271729634451e24,8.15176575726442e3,3.78514628987234e6,3.33333333333287e-1,9.18412311597225e40,3.33333333333287e-1,5.89204189953468e6,3.33333918241452e-1,9.98068222776510e-1,6.29890986361881e-10,1.93177659359925e-3,9.99999999685055e-1,1.00000000000000e0,3.33333333333310e-1,1.44180516716942e-2,-1.49732605317200e34,1.00000000000000e0,9.18410700039842e40,3.33333918241520e-1,3.33333333333287e-1,3.33333333333287e-1,1.91755674159583e28,9.18410700039471e40,2.99465210634399e34,1.76830494777877e-18,2.00746457723457e1,7.59854709656958e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.66354312580671e-23,1.00000000000000e0,1.00000000000000e0,6.52439729003732e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,4.24855285682770e43,2.75642506877882e34,8.22314024051120e40,2.74104674683666e40,-5.81569773658328e6,3.65293608071303e30,1.48816355012384e24,8.15176575726442e3,3.68199054506300e6,3.33333333333284e-1,8.22314024051120e40,3.33333333333284e-1,5.81569773658328e6,3.33333934628441e-1,9.98068222758897e-1,6.47538200011552e-10,1.93177659356517e-3,9.99999999676231e-1,1.00000000000000e0,3.33333333333309e-1,1.44180516716942e-2,-1.37821314094744e34,1.00000000000000e0,8.22312540693629e40,3.33333934628492e-1,3.33333333333284e-1,3.33333333333284e-1,1.79095314446769e28,8.22312540693477e40,2.75642628189489e34,1.84456159502219e-18,2.00746457723457e1,7.39146559292659e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,8.09896655793955e-23,1.00000000000000e0,1.00000000000000e0,6.17362717140357e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.80400453257857e43,2.53715027412714e34,7.36271003352674e40,2.45423667784186e40,-5.74034277759819e6,3.36234345113400e30,1.40815565331713e24,8.15176575726442e3,3.58164608068307e6,3.33333333333281e-1,7.36271003352674e40,3.33333333333281e-1,5.74034277759819e6,3.33333951474534e-1,9.98068222740790e-1,6.65679823259276e-10,1.93177659353013e-3,9.99999999667160e-1,1.00000000000000e0,3.33333333333307e-1,1.44180516716943e-2,-1.26857571101132e34,1.00000000000000e0,7.36269637996807e40,3.33333951474455e-1,3.33333333333281e-1,3.33333333333281e-1,1.67270834604359e28,7.36269637996766e40,2.53715142202265e34,1.92410674533526e-18,2.00746457723457e1,7.19002763516229e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.55912966493608e-23,1.00000000000000e0,1.00000000000000e0,5.84171545005411e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.40597162646179e43,2.33531888329378e34,6.59231114297830e40,2.19743704765907e40,-5.66596420529976e6,3.09486758968336e30,1.33244920815590e24,8.15176575726442e3,3.48403628153610e6,3.33333333333278e-1,6.59231114297830e40,3.33333333333278e-1,5.66596420529976e6,3.33333968792593e-1,9.98068222722176e-1,6.84329707631729e-10,1.93177659349411e-3,9.99999999657835e-1,1.00000000000000e0,3.33333333333306e-1,1.44180516716943e-2,-1.16765998473758e34,1.00000000000000e0,6.59229857556475e40,3.33333968792621e-1,3.33333333333278e-1,3.33333333333278e-1,1.56227047009441e28,6.59229857556569e40,2.33531996947516e34,2.00708221261656e-18,2.00746457723457e1,6.99407942098377e7,1.00000000000000e0,1.00000000000000e0,0.00000000000000e0,1.05882691801106e16
