# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable4d direction=forward spec=quadratic a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=0.00000000000000000e0 lnC_i=0.00000000000000000e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 kf0=5.44035545088792719e-2 potential=quadratic v0=6.19414712582279314e-1 m0=1.82732718293955259e4 lam=-2.80010451450713396e8
# spec: Quadratic { m_today: 12182.181219597018, gq: -0.5, omega_dm: 0.265 }
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,5.18521461133079e-23,1.00000000000000e0,1.00000000000000e0,9.64280241954488e21,0.00000000000000e0,0.00000000000000e0,-1.42010938322652e-16,9.20960546728879e43,4.92431913638403e34,8.87583780249552e41,2.95861260083184e41,-1.21566471257514e0,2.17530830662836e31,6.52592491984605e-5,1.08807109017108e-25,5.00000000002990e35,3.33333333333333e-1,8.87583780249552e41,3.33333333333333e-1,1.21566471257514e0,3.33333432854485e-1,9.90454408498222e-1,5.29589852117688e-10,9.54559097218838e-3,9.99999999735206e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-2.46215956819202e34,1.00000000000000e0,8.87583515249545e41,3.33333432854498e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720378189e-7,8.87583515249552e41,4.92431913638403e34,2.17614218034215e-25,2.67949820452696e-28,1.33974910227149e8,1.00000000000000e0,1.00000000000000e0,1.98481348483479e-30,2.78939803336095e14
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,5.47982559028092e-23,1.00000000000000e0,1.00000000000000e0,9.12437798914902e21,0.00000000000000e0,0.00000000000000e0,1.58606797793050e-16,8.24595624002324e43,4.53258744026058e34,7.94711243308759e41,2.64903747769586e41,-1.21566471257514e0,2.00226159926718e31,6.52592491984605e-5,1.14989257936199e-25,4.60224785879336e35,3.33333333333333e-1,7.94711243308759e41,3.33333333333333e-1,1.21566471257514e0,3.33333435642700e-1,9.90454408483526e-1,5.44426999291291e-10,9.54559097204675e-3,9.99999999727786e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-2.26629372013029e34,1.00000000000000e0,7.94710999389650e41,3.33333435642682e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720379205e-7,7.94710999389622e41,4.53258744026058e34,2.29978515872398e-25,2.83174061845066e-28,1.30323721979228e8,1.00000000000000e0,1.00000000000000e0,2.09758564329679e-30,2.78939803336095e14
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,5.79117563124117e-23,1.00000000000000e0,1.00000000000000e0,8.63382552774677e21,0.00000000000000e0,0.00000000000000e0,-1.77142103300517e-16,7.38313867558069e43,4.17201816832173e34,7.11556446044779e41,2.37185482014926e41,-1.21566471257514e0,1.84298083158331e31,6.52592491984605e-5,1.21522661158460e-25,4.23613707072833e35,3.33333333333333e-1,7.11556446044779e41,3.33333333333333e-1,1.21566471257514e0,3.33333438509030e-1,9.90454408468419e-1,5.59679828403005e-10,9.54559097190115e-3,9.99999999720160e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-2.08600908416086e34,1.00000000000000e0,7.11556221529511e41,3.33333438509001e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720380249e-7,7.11556221529515e41,4.17201816832173e34,2.43045322316920e-25,2.99263306713016e-28,1.26772038747575e8,1.00000000000000e0,1.00000000000000e0,-6.63624781421521e-17,2.78939803336095e14
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,6.12021580601365e-23,1.00000000000000e0,1.00000000000000e0,8.16964655916666e21,0.00000000000000e0,0.00000000000000e0,1.97843504807794e-16,6.61060222928141e43,3.84013233637814e34,6.37102570488183e41,2.12367523496061e41,-1.21566471257514e0,1.69637091718015e31,6.52592491984605e-5,1.28427276078500e-25,3.89915055263961e35,3.33333333333333e-1,6.37102570488183e41,3.33333333333333e-1,1.21566471257514e0,3.33333441455665e-1,9.90454408452889e-1,5.75359985321893e-10,9.54559097175148e-3,9.99999999712320e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.92006616818907e34,1.00000000000000e0,6.37102363833181e41,3.33333441455659e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720381323e-7,6.37102363833204e41,3.84013233637814e34,2.56854552156999e-25,3.16266702399494e-28,1.23317148744249e8,1.00000000000000e0,1.00000000000000e0,2.34271631407032e-30,2.78939803336095e14
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,6.46795122394577e-23,1.00000000000000e0,1.00000000000000e0,7.73042316956996e21,0.00000000000000e0,0.00000000000000e0,2.20964139328361e-16,5.91890031516214e43,3.53464816449478e34,5.70439193656192e41,1.90146397885397e41,-1.21566471257514e0,1.56142388425300e31,6.52592491984605e-5,1.35724194020375e-25,3.58897145637825e35,3.33333333333333e-1,5.70439193656192e41,3.33333333333333e-1,1.21566471257514e0,3.33333444484854e-1,9.90454408436923e-1,5.91479442191185e-10,9.54559097159760e-3,9.99999999704260e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.76732408224739e34,1.00000000000000e0,5.70439003440695e41,3.33333444484822e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720382427e-7,5.70439003440705e41,3.53464816449478e34,2.71448388040751e-25,3.34236188677051e-28,1.19956414085059e8,1.00000000000000e0,1.00000000000000e0,2.47582361983001e-30,2.78939803336095e14
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,6.83544410218777e-23,1.00000000000000e0,1.00000000000000e0,7.31481367619087e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,5.29957479299661e43,3.25346538930736e34,5.10751154888281e41,1.70250384962760e41,-1.21566471257514e0,1.43721194558586e31,6.52592491984605e-5,1.43435704664644e-25,3.30346724005774e35,3.33333333333333e-1,5.10751154888281e41,3.33333333333333e-1,1.21566471257514e0,3.33333447598909e-1,9.90454408420510e-1,6.08050506569214e-10,9.54559097143942e-3,9.99999999695975e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.62673269465368e34,1.00000000000000e0,5.10750979804519e41,3.33333447598886e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720383561e-7,5.10750979804517e41,3.25346538930736e34,2.86871409329287e-25,3.53226656406746e-28,1.16687268775482e8,1.00000000000000e0,1.00000000000000e0,2.61649375116108e-30,2.78939803336095e14
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,7.22381701042272e-23,1.00000000000000e0,1.00000000000000e0,6.92154852893747e21,0.00000000000000e0,0.00000000000000e0,1.37813512313907e-16,4.74505254204393e43,2.99465082430169e34,4.57308588050727e41,1.52436196016909e41,-1.21566471257514e0,1.32288111983304e31,6.52592491984605e-5,1.51585364135995e-25,3.04067500641177e35,3.33333333333333e-1,4.57308588050727e41,3.33333333333333e-1,1.21566471257514e0,3.33333450800208e-1,9.90454408403637e-1,6.25085830826558e-10,9.54559097127681e-3,9.99999999687457e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.49732541215085e34,1.00000000000000e0,4.57308426894985e41,3.33333450800213e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720384728e-7,4.57308426894952e41,2.99465082430169e34,3.03170728271990e-25,3.73296115211647e-28,1.13507216751466e8,1.00000000000000e0,1.00000000000000e0,-6.63624781421515e-17,2.78939803336095e14
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,7.63425629994680e-23,1.00000000000000e0,1.00000000000000e0,6.54942643233475e21,0.00000000000000e0,0.00000000000000e0,1.53918846948260e-16,4.24855285682770e43,2.75642506877882e34,4.09457996723859e41,1.36485998907953e41,-1.21566471257514e0,1.21764536023068e31,6.52592491984605e-5,1.60198066959447e-25,2.79878800749230e35,3.33333333333333e-1,4.09457996723859e41,3.33333333333333e-1,1.21566471257514e0,3.33333454091196e-1,9.90454408386292e-1,6.42598421806381e-10,9.54559097110964e-3,9.99999999678701e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.37821253438941e34,1.00000000000000e0,4.09457848388110e41,3.33333454091197e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720385927e-7,4.09457848388094e41,2.75642506877882e34,3.20396133918894e-25,3.94505870677106e-28,1.10413829973639e8,1.00000000000000e0,1.00000000000000e0,2.92226570871930e-30,2.78939803336095e14
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,8.06801572758205e-23,1.00000000000000e0,1.00000000000000e0,6.19731067596230e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.80400453257857e43,2.53715027412714e34,3.66614263239062e41,1.22204754413021e41,-1.21566471257514e0,1.12078115037157e31,6.52592491984605e-5,1.69300122104926e-25,2.57614322292419e35,3.33333333333333e-1,3.66614263239062e41,3.33333333333333e-1,1.21566471257514e0,3.33333457474386e-1,9.90454408368461e-1,6.60601650755413e-10,9.54559097093779e-3,9.99999999669699e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.26857513706357e34,1.00000000000000e0,3.66614126703468e41,3.33333457474396e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720387159e-7,3.66614126703471e41,2.53715027412714e34,3.38600244209852e-25,4.16920711619146e-28,1.07404746573439e8,1.00000000000000e0,1.00000000000000e0,3.08830156754923e-30,2.78939803336095e14
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,8.52642028549016e-23,1.00000000000000e0,1.00000000000000e0,5.86412566217874e21,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,3.40597162646179e43,2.33531888329378e34,3.28253493852178e41,1.09417831284059e41,-1.21566471257514e0,1.03162252988853e31,6.52592491984605e-5,1.78919333352497e-25,2.37120992631540e35,3.33333333333333e-1,3.28253493852178e41,3.33333333333333e-1,1.21566471257514e0,3.33333460952360e-1,9.90454408350130e-1,6.79109263533254e-10,9.54559097076112e-3,9.99999999660445e-1,1.00000000000000e0,3.33333333333333e-1,7.17923613301528e-2,-1.16765944164689e34,1.00000000000000e0,3.28253368178045e41,3.33333460952355e-1,3.33333333333333e-1,3.33333333333333e-1,1.36940720388427e-7,3.28253368178052e41,2.33531888329378e34,3.57838666704994e-25,4.40609107992933e-28,1.04477669049782e8,1.00000000000000e0,1.00000000000000e0,3.26377117031802e-30,2.78939803336095e14
