# fable_fermion 0.1.0, sundials_rs 7.8.0 (pure Rust), CVODE BDF
# params: model=fable8d direction=forward spec=none a_start=1e-12 omega_r0=9.20960546728882807e-5 omega_b0=4.92431913638404772e-2 freeze=0 branch=Lowest lnB_i=-5.07466307968316777e0 lnC_i=-5.07466307968316688e0 e_c_ev=2.46261317732986325e-3 omega_nu1=1.23632063885990449e-5 rtol=1e-10 atol=1e-12 potential=none
# spec: NoFable
# units: hbar = c = 1, H0 = 1 (t in 1/H0), densities per 7-volume in rho_c0 = 3 H0^2 M_pl^2, masses and kF in E_c = rho_c0^(1/4) (m_eff_eV, kF_eV in eV)
# v = B^3 C/(B^3 C)(A=1) (B = C = 1 today in every run); G_ratio = 1/v = G_4(t)/G_4(today); kappa_4,0 = kappa_8/V_h,0; a sigma^2 coupling lam_8 = lam_4 V_h,0
# n_f = n/v and sigma = sigma_KS/v per 7-volume; kF_over_m = kF/|m_eff| (inf when m_eff = 0)
# constraint_residual = (S - kappa rho)/(3 H_A^2) = (S - 3 rho_hat)/(3 H_A^2), S = 3H_A^2 + 3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C
# Omega_X = rho_X/H_A^2; Omega_sum = rho_hat/H_A^2 = 1 + (3H_B^2 + 9H_A H_B + 3H_A H_C + 3H_B H_C)/(3H_A^2) (1 in fable4d)
# rho_qp = eps/v (quasiparticles), w_qp = w_DM_intrinsic = P/eps; rho_U = W - sigma W' (condensate, an 8D vacuum energy: P_hid_f = -rho_U); the DM/DE split is a convention
# w_DM_eff = w_DM - sigma_KS (dm/dN)/(3 eps_KS) (eps' + 3 H_A (eps + P) = sigma m'); Q = sigma8 dm_eff/dt (energy exchange condensate -> quasiparticles per 7-volume; = n dm/dt in the non-relativistic limit)
# rho_dust0 = m_eff(A=1) n_f(A=1) (rest-mass dust today); rho_DE_eff = rho_f - rho_dust0 A^-3 v(1)/v, w_DE_eff = P_obs_f/rho_DE_eff
# rho_DE_inf = H_A^2 - Omega_r0 A^-4 - Omega_b0 A^-3 - rho_dust0 A^-3 (observer-inferred), w_DE_inf = -1 - (1/3) d ln rho_DE_inf/d ln A
# F_hidden = rho - 3 P_obs + 2 P_hid (all sources; dH_B/dt + H_B Theta = F/2); P_stab = -F_hidden/2 = the zero-energy stabilizing hidden stress of fable4d, a LAGRANGE MULTIPLIER (not a derived stress) that violates the null energy condition along x0 when dust is present (rho + P_C = -rho_dust/2); 0 in unstabilized fable8d
# vac_over_rhoc = DeltaE_vac(m_eff; M = m_eff(A=1))/v: the renormalized one-loop Dirac-sea energy (relativistic Hartree, Chin 1977) that the no-sea functional drops; reported, not included in the dynamics
# cs2_adiabatic = (dP_obs_f/dN)/(drho_f/dN) along the solution (analytic, with the differentiated gap equation); N_eff_extra = rho_f / rho_nu(1 species), rho_nu1 = Omega_nu1_0 A^-4/v
# q_dec = -1 - (dH_A/dt)/H_A^2; gap_roots = number of gap roots found (1 where uniqueness is proven); branch = sign of m_eff; gap_residual = (m - W'(sigma8))/max(|m|, S_W'(sigma8)), S_W' = sum of the magnitudes of the terms of W' + |sigma8 W''| (the round-off scale of W'); dm_dN = d m_eff/dN
# g_*(T) is not followed: rho_r = Omega_r0 A^-4/v at all times (misstates rho_r A^4 by up to a factor ~0.39 at the earliest times)
# t: t(a_start) = 1/(2 H_A(a_start)) (radiation-era age), then integrated
N,a,z,t,B,C,H_A,H_B,H_C,constraint_residual,rho_r,rho_b,rho_f,P_obs_f,P_hid_f,n_f,sigma,m_eff,kF_over_m,w_f,rho_qp,w_qp,rho_U,w_DE_eff,Omega_r,Omega_b,Omega_f,q_dec,G_ratio,cs2_adiabatic,N_eff_extra,P_stab,Omega_sum,rho_DE_inf,w_DE_inf,w_DM_intrinsic,w_DM_eff,Q,rho_DE_eff,F_hidden,dm_dN,m_eff_eV,kF_eV,gap_roots,branch,gap_residual,vac_over_rhoc
-2.76310211159285e1,1.00000000000000e-12,9.99999999998999e11,2.03729136901116e-27,6.25319291248917e-3,6.25319291248918e-3,2.45423903328411e26,0.00000000000000e0,0.00000000000000e0,1.17696755109710e-16,6.02328922927469e52,3.22061553245070e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999465306e-1,5.34693820624728e-10,0.00000000000000e0,1.00000000026735e0,6.54022504076696e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000000000e0,6.02328922328570e52,3.33333333511565e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,3.22061553245070e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.76033900948126e1,1.02801629812648e-12,9.72747223775963e11,2.15304519014186e-27,6.25319291249068e-3,6.25319291249068e-3,2.32229217615013e26,1.71668286129784e15,1.71668286129784e15,2.76704734251690e-13,5.39304094860169e52,2.96441418762296e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999479618e-1,5.49673962117598e-10,0.00000000000000e0,1.00000000027512e0,6.54022504076064e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000002929e0,5.39304094316217e52,3.33333333516743e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,2.96441418762296e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.75757590736967e1,1.05681750921366e-12,9.46237161364793e11,2.27537585507183e-27,6.25319291249306e-3,6.25319291249307e-3,2.19743915660519e26,3.24978530237304e15,3.24978530237304e15,4.06965613846927e-13,4.82873884453681e52,2.72859376949244e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999493675e-1,5.65073791720584e-10,0.00000000000000e0,1.00000000028294e0,6.54022504075070e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000005875e0,4.82873883959858e52,3.33333333521963e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,2.72859376949244e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.75481280525808e1,1.08642562361707e-12,9.20449571752170e11,2.40465704368445e-27,6.25319291249650e-3,6.25319291249650e-3,2.07929858980356e26,4.61531400164959e15,4.61531400164959e15,4.83055723326100e-13,4.32348262342931e52,2.51153296661217e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999507398e-1,5.80905067540870e-10,0.00000000000000e0,1.00000000029094e0,6.54022504073629e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000008830e0,4.32348261894847e52,3.33333333527290e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,2.51153296661217e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.75204970314648e1,1.11686324778056e-12,8.95364765548592e11,2.54128366742325e-27,6.25319291250114e-3,6.25319291250114e-3,1.96750959523152e26,5.82795917546691e15,5.82795917546691e15,5.02148234415407e-13,3.87109400547307e52,2.31173944355528e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999520802e-1,5.97179877104275e-10,0.00000000000000e0,1.00000000029909e0,6.54022504071691e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000011798e0,3.87109400140919e52,3.33333333532728e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,2.31173944355528e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.74928660103489e1,1.14815362149688e-12,8.70963589955080e11,2.68567307561625e-27,6.25319291250694e-3,6.25319291250695e-3,1.86173069433622e26,6.90086307165681e15,6.90086307165681e15,4.89653243497553e-13,3.46604117661801e52,2.12783958081749e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999533867e-1,6.13910646584376e-10,0.00000000000000e0,1.00000000030744e0,6.54022504069261e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000014778e0,3.46604117293407e52,3.33333333538297e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,2.12783958081749e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.74652349892330e1,1.18032063565173e-12,8.47227414139595e11,2.83826633034090e-27,6.25319291251400e-3,6.25319291251400e-3,1.76163876742109e26,7.84647117631148e15,7.84647117631148e15,4.72519803641196e-13,3.10337114547378e52,1.95856903091403e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999546580e-1,6.31110150290120e-10,0.00000000000000e0,1.00000000031603e0,6.54022504066310e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000017769e0,3.10337114213585e52,3.33333333544018e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,1.95856903091403e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.74376039681170e1,1.21338885046498e-12,8.24138115012003e11,2.99952955372319e-27,6.25319291252235e-3,6.25319291252235e-3,1.66692806662172e26,8.67609190824555e15,8.67609190824555e15,4.41250342954327e-13,2.77864917806572e52,1.80276402574424e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999558961e-1,6.48791520419320e-10,0.00000000000000e0,1.00000000032484e0,6.54022504062818e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000020775e0,2.77864917504266e52,3.33333333549892e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,1.80276402574424e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.74099729470011e1,1.24738351424294e-12,8.01678063386678e11,3.16995535178737e-27,6.25319291253200e-3,6.25319291253201e-3,1.57730928194674e26,9.40040207951320e15,9.40040207951320e15,4.48791939012570e-13,2.48790456984796e52,1.65935337545806e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999570974e-1,6.66968257085343e-10,0.00000000000000e0,1.00000000033393e0,6.54022504058777e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000023794e0,2.48790456711133e52,3.33333333555956e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,1.65935337545806e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
-2.73823419258852e1,1.28233058265602e-12,7.79830110522257e11,3.35006431920497e-27,6.25319291254296e-3,6.25319291254296e-3,1.49250865753123e26,1.00285029063510e16,1.00285029063510e16,4.15948992970576e-13,2.22758209187609e52,1.52735110381685e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,NaN,NaN,0.00000000000000e0,NaN,0.00000000000000e0,NaN,9.99999999582699e-1,6.85654238624776e-10,0.00000000000000e0,1.00000000034324e0,6.54022504054195e8,NaN,0.00000000000000e0,0.00000000000000e0,1.00000000026835e0,2.22758208939969e52,3.33333333562162e-1,NaN,NaN,0.00000000000000e0,0.00000000000000e0,1.52735110381685e43,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0,0.00000000000000e0
