name,label,model,m_today_eV,kF0_eV,a_start,a_nr,Neff_BBN,Neff_rec,Neff_rec_rad,q0,t0_Gyr,Omega_f0,w_f_today,w_f_min,w0_f,wa_f,w0_DE_inf,wa_DE_inf,DE_fit_from_a,DE_poles,DE_crossings,cs2_min,cs2_negative_ranges,m_ratio_min_matter,vac_ratio_late,P_stab_today,G_ai_over_G1,dG_since_BBN,Gdot_today_per_yr,HB_over_HA_today,constraint_max,gap_residual_max,xcheck_worst
nb06_mass_m1_4d,mass 1 eV (EdS),fable4d,1,0.00063727132,1e-12,0.00063727132,36.752073,79.957094,17.665615,0.50004616,9.6705788,0.95066471,8.1222926e-08,8.1222926e-08,-7.6938159e-08,1.0018181e-06,nan,nan,0.3,,,1.3537152e-07,none,1,0,-0.49995384,1,0,0,0,3.8249686e-16,0,6.2221772e-10
nb06_mass_m30_4d,mass 30 eV (EdS),fable4d,30,0.00020509291,1e-12,6.8364302e-06,0.3942638,70.485534,0.0023525773,0.50004605,9.6706615,0.95066471,9.3473557e-12,9.3473557e-12,-8.8543086e-12,1.1529222e-10,nan,nan,0.3,,,1.5578926e-11,none,1,0,-0.49995395,1,0,0,0,4.3028839e-16,0,1.4501264e-09
nb06_mass_m100_4d,mass 100 eV (EdS),fable4d,100,0.00013729595,1e-12,1.3729595e-06,0.079179955,70.484405,9.4887471e-05,0.50004605,9.6706615,0.95066471,3.7700356e-13,3.7700356e-13,-3.5711767e-13,4.6500398e-12,nan,nan,0.3,,,6.2833926e-13,none,1,0,-0.49995395,1,0,0,0,3.8827692e-16,0,1.1048626e-09
nb06_mass_m1000_4d,mass 1000 eV (EdS),fable4d,1000,6.3727135e-05,1e-12,6.3727135e-08,0.0036752333,70.484357,2.0442902e-07,0.50004605,9.6706615,0.95066471,8.1222954e-16,8.1222954e-16,-7.6938669e-16,1.0018207e-14,nan,nan,0.3,,,1.3537159e-15,none,1,0,-0.49995395,1,0,0,0,3.5918083e-16,0,7.2497286e-10
nb06_mass_m2000_4d,mass 2000 eV (EdS),fable4d,2000,5.058026e-05,1e-12,2.529013e-08,0.0014585713,70.484357,3.2195554e-08,0.50004605,9.6706615,0.95066471,1.2791814e-16,1.2791814e-16,-1.2117081e-16,1.5777688e-15,nan,nan,0.3,,,2.131969e-16,none,1,0,-0.49995395,1,0,0,0,3.9862415e-16,0,1.7051066e-09
nb06_lm_m30_4d,lambda-mass 30 eV,fable4d,30,0.00013397491,1e-12,4.4658303e-06,0.071792361,19.647818,0.00027984208,-0.52845102,13.800021,0.95066471,-0.72124767,-0.72124767,-0.75727814,1.0099725,-1,1.3250962e-09,0.3,,,6.6478802e-12,none,1,0,-0.84278631,1,0,0,0,4.2905026e-16,0,1.0735788e-09
nb06_lm_m100_4d,lambda-mass 100 eV,fable4d,100,8.9687219e-05,1e-12,8.9687219e-07,0.014418052,19.647684,1.1286863e-05,-0.52845102,13.800021,0.95066471,-0.72124767,-0.72124767,-0.75727814,1.0099725,-1,5.3442877e-11,0.3,,,2.6812658e-13,none,1,0,-0.84278631,1,0,0,0,3.9244393e-16,0,9.7760222e-10
nb06_lm_m1000_4d,lambda-mass 1000 eV,fable4d,1000,4.162912e-05,1e-12,4.162912e-08,0.00066923753,19.647679,2.4316817e-08,-0.52845102,13.800021,0.95066471,-0.72124767,-0.72124767,-0.75727814,1.0099725,-1,1.158874e-13,0.3,,,5.776612e-16,none,1,0,-0.84278631,1,0,0,0,4.2099442e-16,0,8.3951179e-10
nb06_lm_m2000_4d,lambda-mass 2000 eV,fable4d,2000,3.3041054e-05,1e-12,1.6520527e-08,0.00026561013,19.647679,3.8296587e-09,-0.52845102,13.800021,0.95066471,-0.72124767,-0.72124767,-0.75727814,1.0099725,-1,1.7234009e-14,0.3,,,9.0975938e-17,none,1,0,-0.84278631,1,0,0,0,3.8700003e-16,0,9.3815777e-10
nb06_fable4d_mass30eV,lambda-mass 30 eV (reference),fable4d,30,0.00013397491,1e-10,4.4658303e-06,0.071792361,19.649291,0.00027986265,-0.52845102,13.800021,0.95066471,-0.72124767,-0.72124767,-0.75686163,1.0092139,-1,1.310825e-09,0.3,,,6.6478802e-12,none,1,0,-0.84278631,1,0,0,0,4.2484896e-16,0,1.1552967e-09
nb06_power_0.236_m30_4d,"power nu=0.236, 30 eV",fable4d,30,0.00013397491,1e-12,2.2246123e-05,0.071792361,3.9449061,0.0013937255,-0.52845102,16.840789,0.95066471,-0.72124767,-0.72124767,-0.78256297,0.44463002,-0.082216325,-7.9855157,0.55935872,3.429e-06 0.5327,4.56e-06 1,-0.61062971,"[0.00409, 1]",0.20074656,1.3140638e+13,-0.84278631,1,0,0,0,4.4261063e-16,2.0696599e-16,2.8402556e-09
nb06_power_0.236_m100_4d,"power nu=0.236, 100 eV",fable4d,100,8.9687219e-05,1e-12,4.4676863e-06,0.014418052,3.9442372,5.6223985e-05,-0.52845102,16.840789,0.95066471,-0.72124767,-0.72124767,-0.78256297,0.44463002,-0.082216325,-7.9855157,0.55935872,6.886e-07 0.5327,9.159e-07 1,-0.61062971,"[0.00194, 1]",0.20074656,1.622301e+15,-0.84278631,1,0,0,0,3.9296046e-16,2.1887259e-16,1.2362054e-09
nb06_power_0.5_m30_4d,"power nu=0.5, 30 eV",fable4d,30,0.00013397491,1e-12,0.6694001,0.071792361,0.071792425,0.071792361,-0.52845102,20.783901,0.95066471,-0.72124767,-0.99999255,-0.80426876,-0.35846585,-0.24899592,-10.190509,0.65006372,3.351e-06 0.6191,4.467e-06 1,-26.980228,"[0.608, 1]",7.9097434e-12,2.2292513e+14,-0.84278631,1,0,0,0,4.1195748e-16,1.1179137e-16,1.8540691e-09
nb06_power_0.5_m100_4d,"power nu=0.5, 100 eV",fable4d,100,8.9687219e-05,1e-12,0.66939855,0.014418052,0.014418116,0.014418052,-0.52845102,20.784342,0.95066471,-0.72124767,-0.9999985,-0.80424844,-0.35856657,-0.24897911,-10.190674,0.65006445,6.731e-07 0.6191,8.97e-07 1,-27.041232,"[0.608, 1]",1.5885129e-12,2.7524607e+16,-0.84278631,1,0,0,0,3.4825128e-16,1.1137632e-16,6.531673e-10
nb06_expdamp_m30_4d,"expdamp xt=1/2.21, 30 eV",fable4d,30,0.00013397491,1e-12,0.71194228,0.071792361,0.071792423,0.071792361,-0.52845102,20.915512,0.95066471,-0.72124767,-0.99999399,-0.82949606,-0.31676069,-0.12774231,-11.778422,0.65627701,3.351e-06 0.625,4.467e-06 1,-21.755049,"[0.643, 1]",6.5796567e-12,2.3273531e+14,-0.84278631,1,0,0,0,4.1195748e-16,1.211979e-16,1.8312298e-09
nb06_expdamp_m100_4d,"expdamp xt=1/2.21, 100 eV",fable4d,100,8.9687219e-05,1e-12,0.71194106,0.014418052,0.014418114,0.014418052,-0.52845102,20.915956,0.95066471,-0.72124767,-0.99999879,-0.82947522,-0.31686397,-0.12772043,-11.778641,0.65627778,6.731e-07 0.625,8.97e-07 1,-21.755054,"[0.643, 1]",1.3213917e-12,2.8734804e+16,-0.84278631,1,0,0,0,3.7224386e-16,1.2238526e-16,3.0907654e-10
nb06_quadratic_m30_4d,"quadratic gq=-0.5, 30 eV",fable4d,30,0.00013397491,1e-12,0.64334453,0.071792361,0.071792431,0.071792361,-0.52845102,20.401646,0.95066471,-0.72124767,-0.99999197,-0.72961899,-0.48331851,-0.18020793,-9.3209725,0.63209511,3.351e-06 0.602,4.467e-06 1,-47.115121,"[0.592, 1]",8.9316607e-12,2.0310722e+14,-0.84278631,1,0,0,0,4.1195748e-16,1.3065425e-16,9.508202e-10
nb06_quadratic_m100_4d,"quadratic gq=-0.5, 100 eV",fable4d,100,8.9687219e-05,1e-12,0.64334385,0.014418052,0.014418121,0.014418052,-0.52845102,20.40208,0.95066471,-0.72124767,-0.99999839,-0.7295996,-0.48341226,-0.18019306,-9.3211037,0.63209582,6.731e-07 0.602,8.97e-07 1,-47.115205,"[0.592, 1]",1.7937444e-12,2.5076474e+16,-0.84278631,1,0,0,0,4.0594254e-16,1.3927679e-16,9.1837205e-10
nb06_fable4d_power,"power nu=0.5, 100 eV, Omega_qp0=0.55",fable4d,100,0.00011440267,1e-10,4.213436e-06,0.038170601,11.074594,0.00014037765,-0.10095102,13.372878,0.95066471,-0.42145744,-0.42145744,-0.44756657,0.26378792,-0.32650796,-9.6822445,0.66152991,8.958e-07 0.63,1.19e-06 1,-0.36424065,"[0.001, 1]",0.27154174,2.3504914e+14,-0.70028631,1,0,0,0,3.9443805e-16,1.8426193e-16,7.5983386e-10
nb06_power_0.236_m1_4d,"power nu=0.236, 1 eV (Delta N_eff)",fable4d,1,0.00041629119,1e-12,0.0020737102,6.6922663,7.833133,5.7684274,-0.52845101,16.840135,0.95066471,-0.72124766,-0.72124766,-0.78256441,0.44463701,-0.082220293,-7.9854869,0.55935858,0.0003196 0.5327,0.000425 1,-0.61062955,"[0.0344, 1]",0.20074654,16222970,-0.84278629,1,0,0,0,3.7248457e-16,2.0550728e-16,1.7383054e-09
nb06_power_0.5_m1_4d,"power nu=0.5, 1 eV (Delta N_eff)",fable4d,1,0.00041629119,1e-12,0.66957872,6.6922663,6.6922664,6.6922663,-0.52845101,20.734572,0.95066471,-0.72124766,-0.99930654,-0.80660172,-0.34690264,-0.25092098,-10.171647,0.64997934,0.0003123 0.619,0.0004165 1,-21.695941,"[0.608, 1]",7.373222e-10,2.7203175e+08,-0.84278629,1,0,0,0,4.2100656e-16,1.3879003e-16,1.8382638e-09
nb06_expdamp_m1_4d,"expdamp xt=1/2.21, 1 eV (Delta N_eff)",fable4d,1,0.00041629119,1e-12,0.71208304,6.6922663,6.6922664,6.6922663,-0.52845101,20.86578,0.95066471,-0.72124766,-0.99944,-0.83188313,-0.30491257,-0.1302617,-11.753164,0.65618851,0.0003123 0.6249,0.0004165 1,-21.705792,"[0.643, 1]",6.1333565e-10,2.8501872e+08,-0.84278629,1,0,0,0,4.2100656e-16,1.4604203e-16,5.4561455e-10
nb06_quadratic_m1_4d,"quadratic gq=-0.5, 1 eV (Delta N_eff)",fable4d,1,0.00041629119,1e-12,0.64342354,6.6922663,6.6922664,6.6922663,-0.52845101,20.353165,0.95066471,-0.72124766,-0.99925229,-0.73183748,-0.47256179,-0.18193476,-9.3056887,0.63201274,0.0003123 0.6019,0.0004165 1,-46.377889,"[0.592, 1]",8.3258233e-10,2.4902741e+08,-0.84278629,1,0,0,0,4.2100656e-16,1.8607673e-16,1.0028747e-09
nb06_mass_m1_8d,"mass 1 eV, fable8d",fable8d,1,0.0012368503,1e-12,0.0012368503,521.49828,740.1963,375.84004,2.4999508,4.1450289,6.950336,3.0595942e-07,3.0595942e-07,-2.8981405e-07,3.7737347e-06,0.39447825,-8.1041715,0.64611947,0.6154,0.76,3.9337835e-07,none,1,0,0,3.4375747e+10,-1,2.7571187e-10,0.99995891,1.155512e-08,0,3.3426748e-09
nb06_mass_m100_8d,"mass 100 eV, fable8d",fable8d,100,0.00026647179,1e-12,2.6647179e-06,1.123542,515.31691,0.0026132171,2.499954,4.1450201,6.95037,1.4201443e-12,1.4201443e-12,-1.3452356e-12,1.7516354e-11,0.39447885,-8.1041625,0.64611946,0.6154,0.76,1.8259084e-12,none,1,0,0,1.8516033e+17,-1,2.7571304e-10,0.99996316,2.1175773e-08,0,7.0899815e-09
nb06_lm_m30_8d,"lambda-mass 30 eV, fable8d",fable8d,30,0.00013397491,1e-12,4.4658303e-06,0.071792361,19.647818,0.00027984208,-0.84248654,9.4718075,6.949881,-0.96186985,-0.96186985,-1.1031206,1.7150885,-1.7156292,5.4589401,0.3,,0.7603,5.1284285e-12,none,1,0,0,1.0460572e+12,-1,2.7569619e-10,0.99990203,2.474046e-08,0,1.0755952e-08
