family,key,value,m_today_eV,m0_over_m_today,omega_qp0,U_today,a_nr,m_ratio_min_matter,w0_DE,wa_DE,fit_from_a,poles,crossings,phantom_late,crosses_late,w0_f,wa_f,w_f_min,cs2_min,vac_ratio_late,gap_residual_max,xcheck_worst,conservation,criterion
"power, nu",nu,0.05,1000,0.86382032,0.265,0.68566471,4.8191874e-08,0.86382032,-0.42880949,-3.1999516,0.36747594,6.37e-08 0.35,8.27e-08,True,False,-0.76972864,0.9651277,-0.72124767,-0.1293707,2.060614e+15,0,1.1166619e-09,6.7713062e-12,0.3338547
"power, nu",nu,0.1,1000,0.71250955,0.265,0.68566471,5.8426051e-08,0.71250956,-0.47486068,-3.8488588,0.44831274,4.55e-08 0.427,5.94e-08,True,False,-0.78373388,0.90425351,-0.72124767,-0.2587414,8.651179e+16,1.859736e-16,1.6223689e-11,6.7821752e-12,0.27537516
"power, nu",nu,0.15,1000,0.54339753,0.265,0.68566471,7.660896e-08,0.54339754,-0.05426582,-7.117596,0.49973197,3.78e-08 0.476,4.98e-08,True,False,-0.79316943,0.80523325,-0.72124767,-0.3881121,8.9144401e+17,1.9117551e-16,1.743915e-10,6.9878323e-12,0.21001569
"power, nu",nu,0.2,1000,0.3531465,0.265,0.68566471,1.178806e-07,0.35314654,-0.62353031,-4.2247878,0.53794691,3.36e-08 0.512,4.45e-08,True,False,-0.79235341,0.63767758,-0.72124767,-0.5174828,5.3149993e+18,1.246447e-16,3.7025849e-10,6.8000337e-12,0.13648627
"power, nu",nu,0.25,1000,0.13752866,0.265,0.68566471,3.0269413e-07,0.13752882,-0.20941821,-7.8516098,0.56742569,3.16e-08 0.54,4.21e-08,True,False,-0.76592675,0.32626158,-0.72124767,-0.6468535,2.4506634e+19,2.522055e-16,2.6791106e-09,7.3343256e-12,0.053152941
"power, nu",nu,0.3,1000,-0.10889172,0.265,0.68566471,0.30687344,7.6410836e-13,-0.48771219,-6.4264468,0.59296093,3.13e-08 0.565,4.16e-08,True,False,-0.65956842,-0.37753064,-0.99999905,-1200.4929,1.0702019e+20,1.6306816e-16,1.2388774e-09,3.4477579e-08,-0.042085155
"power, nu",nu,0.35,1000,-0.39322293,0.265,0.68566471,0.48202659,1.9431606e-13,-0.074327571,-10.488171,0.61389064,3.13e-08 0.585,4.16e-08,True,False,-0.69191269,-0.50316543,-0.99999979,-12.664805,1.9705397e+20,1.2183633e-16,1.53902e-10,1.7880204e-09,-0.15197526
"power, nu",nu,0.4,1000,-0.72494267,0.265,0.68566471,0.57275687,1.176949e-13,-0.54680066,-7.0633605,0.63187276,3.13e-08 0.602,4.16e-08,True,False,-0.73909301,-0.45640428,-0.99999988,-83.838232,2.4035403e+20,9.5300908e-17,6.7831851e-10,1.1423482e-07,-0.28018039
"power, nu",nu,0.45,1000,-1.1169751,0.265,0.68566471,0.6259551,8.8749235e-14,-0.36070547,-9.3947214,0.6428928,3.13e-08 0.612,4.16e-08,True,False,-0.77233608,-0.40958169,-0.99999991,-8.1947928,2.5928854e+20,1.1530711e-16,4.4255936e-09,4.3377008e-08,-0.43169554
"power, nu",nu,0.5,1000,-1.587414,0.265,0.68566471,0.66658559,7.3732235e-14,-0.2239482,-11.245479,0.65014292,3.13e-08 0.619,4.16e-08 1,True,True,-0.79750174,-0.37070433,-0.99999993,-7.1832546,2.7401498e+20,1.3888825e-16,1.9381022e-09,2.439815e-08,-0.61351373
"power, nu",nu,0.55,1000,-2.1623949,0.265,0.68566471,0.69831148,6.4588149e-14,-0.11180361,-12.802968,0.65578578,3.13e-08 0.625,4.16e-08,True,False,-0.81766059,-0.3378865,-0.99999994,-63.654883,2.7991063e+20,6.6381677e-17,8.9579455e-12,3.4256064e-09,-0.83573595
