quantity,full_resolution,this_notebook,resolution_here,relative_difference
same: E/A,937.227736033,937.229040161,reduced,1.39147477993e-06
same: sum omega,936.054008687,936.055304978,reduced,1.38484640387e-06
same: E_int,1.1737273454,1.17373518313,reduced,6.6776411243e-06
same: mu,11.6958993131,11.6959035767,reduced,3.64540365178e-07
same: E/N,9.37227736,9.37229040161,reduced,1.39150945672e-06
same: k_lo,5.45898483,5.45901989973,reduced,6.42422275781e-06
same: kF,11.80021359,11.8002210933,reduced,6.35861797366e-07
same: band bottom,5.5498212,5.54985569774,reduced,6.21600863215e-06
same: sigma_max,23.8456155,23.8423670313,reduced,0.000136229184072
same: Walecka slope,-48.305804,-48.3041417944,reduced,3.44100591057e-05
same: gap at k = 34,2.08513398,2.0851339678,reduced,5.84957101824e-09
same: gap at k = 40,2.78024477,2.78024474656,reduced,8.43257569154e-09
same: gap at k = 60,5.02368345,5.02368346764,reduced,3.51162049797e-09
same: gap at k = 80,7.18485799,7.18485802457,reduced,4.81082208141e-09
Delta-SCF x = 0.01: per promoted fermion,20.75132861,20.7513619747,reduced,1.60783227995e-06
Delta-SCF x = 0.05: per promoted fermion,20.91880997,20.9188005398,reduced,4.50801819707e-07
Delta-SCF x = 0.1: per promoted fermion,21.12505588,21.125031077,reduced,1.17410487208e-06
Delta-SCF x = 0.2: per promoted fermion,21.52966762,21.5296030059,reduced,3.00116767426e-06
opposite lam = -0.01: E/A,0.033268937058,0.0332689370578,full,5.62721187037e-12
opposite lam = -0.01: mu,0.8871343842,0.887134384162,full,4.30327090661e-11
opposite lam = -0.01: E/N,0.66537874,0.665378741156,full,1.73774076071e-09
opposite lam = -10: E/A,0.033267529405,0.0332675294054,full,1.15675592357e-11
opposite lam = -10: mu,0.8870591549,0.887059154877,full,2.61555857496e-11
opposite lam = -10: E/N,0.66535059,0.665350588108,full,2.84406965817e-09
