K,edge_abs_omega,abs_omega_over_K,R_continuum
0.02,0.0196164534381,0.980822671904,1.00019998
0.05,0.0490411176974,0.980822353947,1.00124921973
0.1,0.0980821218077,0.980821218077,1.00498756211
0.2,0.196163334994,0.98081667497,1.01980390272
0.5,0.490392448531,0.980784897062,1.11803398875
1,0.980671747807,0.980671747807,1.41421356237
2,1.9604488392,0.9802244196,2.2360679775
3,2.93849067696,0.979496892319,3.16227766017
5,4.88652807834,0.977305615667,5.09901951359
10,9.69024420305,0.969024420305,10.0498756211
20,18.9960128533,0.949800642665,20.0249843945
40,36.7654665041,0.919136662602,40.0124980475
80,70.5132944533,0.881416180666,80.0062497559
100,86.8505339359,0.868505339359,100.004999875
