lam,z,sigma,m,n
-0.01,0,0,1,0
-0.01,1.08240864579e-14,-3.02640908964e-23,1,3.63366368277e-08
-0.01,1.19503415584e-14,-9.17342026195e-23,1,3.81802933725e-08
-0.01,1.31937844287e-14,-1.6805403007e-22,1,4.01174937824e-08
-0.01,1.45666085525e-14,-2.47670615615e-22,1,4.21529843074e-08
-0.01,1.60822761558e-14,-3.43416255184e-22,1,4.42917520136e-08
-0.01,1.77556502201e-14,-4.61745969684e-22,1,4.65390370022e-08
-0.01,1.96031402324e-14,-6.00544940655e-22,1,4.89003452478e-08
-0.01,2.16428631003e-14,-7.73329847016e-22,1,5.13814620882e-08
-0.01,2.38948208107e-14,-9.61995776276e-22,1,5.39884663993e-08
-0.01,2.63810965734e-14,-1.19350018901e-21,1,5.67277454881e-08
-0.01,2.91260713746e-14,-1.47124419862e-21,1,5.96060107424e-08
-0.01,3.21566630621e-14,-1.79775294117e-21,1,6.26303140739e-08
-0.01,3.55025903078e-14,-2.17665599981e-21,1,6.58080651958e-08
-0.01,3.91966640359e-14,-2.60680077806e-21,1,6.91470497769e-08
-0.01,4.32751091745e-14,-3.09665026287e-21,1,7.26554485172e-08
-0.01,4.77779198849e-14,-3.67632128168e-21,1,7.63418571909e-08
-0.01,5.2749251754e-14,-4.34777496112e-21,1,8.02153077064e-08
-0.01,5.82378547939e-14,-5.14837755578e-21,1,8.42852902352e-08
-0.01,6.42975514953e-14,-6.07023259633e-21,1,8.85617764634e-08
-0.01,7.09877646236e-14,-7.14451097389e-21,1,9.30552440225e-08
-0.01,7.83740999316e-14,-8.37018929297e-21,1,9.77767021608e-08
-0.01,8.65289895049e-14,-9.81710914143e-21,1,1.02737718716e-07
-0.01,9.55324020471e-14,-1.14691651881e-20,1,1.07950448458e-07
-0.01,1.05472627071e-13,-1.33925017458e-20,1,1.13427662867e-07
-0.01,1.16447140686e-13,-1.56698826783e-20,1,1.19182781427e-07
-0.01,1.28563561471e-13,-1.82963105458e-20,1,1.25229904501e-07
-0.01,1.41940705807e-13,-2.13488423758e-20,1,1.31583847881e-07
-0.01,1.56709753015e-13,-2.49326346244e-20,1,1.38260179086e-07
-0.01,1.73015531736e-13,-2.90777753878e-20,1,1.45275255502e-07
-0.01,1.91017940146e-13,-3.38932207098e-20,1,1.52646264462e-07
-0.01,2.10893513962e-13,-3.94237416189e-20,1,1.6039126535e-07
-0.01,2.32837157584e-13,-4.58326756798e-20,1,1.68529233855e-07
-0.01,2.57064055377e-13,-5.32351692378e-20,1,1.77080108457e-07
-0.01,2.83811781815e-13,-6.17793430354e-20,1,1.8606483928e-07
-0.01,3.13342631195e-13,-7.17285623057e-20,1,1.9550543942e-07
-0.01,3.45946189746e-13,-8.32357094223e-20,1,2.05425038876e-07
-0.01,3.81942175386e-13,-9.66618842382e-20,1,2.15847941226e-07
-0.01,4.21683572944e-13,-1.12152506531e-19,1,2.26799683166e-07
-0.01,4.65560095612e-13,-1.30069631443e-19,1,2.38307097081e-07
-0.01,5.14002006559e-13,-1.50921143584e-19,1,2.50398376779e-07
-0.01,5.67484338192e-13,-1.75088978772e-19,1,2.63103146578e-07
-0.01,6.26531550429e-13,-2.03154792371e-19,1,2.76452533877e-07
-0.01,6.91722673675e-13,-2.35635648838e-19,1,2.90479245424e-07
-0.01,7.63696986925e-13,-2.73336237126e-19,1,3.05217647453e-07
-0.01,8.4316028668e-13,-3.17010990032e-19,1,3.20703849877e-07
-0.01,9.30891808145e-13,-3.67575728695e-19,1,3.36975794762e-07
-0.01,1.02775186659e-12,-4.26273128688e-19,1,3.54073349287e-07
-0.01,1.1346902938e-12,-4.94220855483e-19,1,3.72038403424e-07
-0.01,1.25275575234e-12,-5.72999524745e-19,1,3.90914972563e-07
-0.01,1.38310601897e-12,-6.64268849829e-19,1,4.10749305361e-07
-0.01,1.52701933807e-12,-7.69943184478e-19,1,4.31589997049e-07
-0.01,1.68590695642e-12,-8.92441146283e-19,1,4.53488108492e-07
-0.01,1.86132696217e-12,-1.03449035809e-18,1,4.76497291294e-07
-0.01,2.05499956382e-12,-1.19895250057e-18,1,5.00673919247e-07
-0.01,2.26882395901e-12,-1.38957493692e-18,1,5.26077226448e-07
-0.01,2.50489695842e-12,-1.61036739531e-18,1,5.52769452429e-07
-0.01,2.76553354763e-12,-1.86634255522e-18,1,5.80815994643e-07
-0.01,3.05328958836e-12,-2.16281012515e-18,1,6.10285568695e-07
-0.01,3.37098688186e-12,-2.50651677509e-18,1,6.41250376699e-07
-0.01,3.7217408401e-12,-2.90452663162e-18,1,6.73786284175e-07
-0.01,4.10899103625e-12,-3.36564021045e-18,1,7.07973005925e-07
-0.01,4.53653493389e-12,-3.90008528047e-18,1,7.43894301339e-07
-0.01,5.00856512579e-12,-4.5191617574e-18,1,7.8163817961e-07
-0.01,5.52971044749e-12,-5.23647960965e-18,1,8.21297115363e-07
-0.01,6.10508136864e-12,-6.06745566467e-18,1,8.62968275219e-07
-0.01,6.74032010747e-12,-7.03011925551e-18,1,9.06753755861e-07
-0.01,7.44165595966e-12,-8.14523842142e-18,1,9.5276083418e-07
-0.01,8.21596638423e-12,-9.43727183757e-18,1,1.0011022301e-06
-0.01,9.07084444548e-12,-1.09339353402e-17,1,1.05189638277e-06
-0.01,1.00146732723e-11,-1.26681498658e-17,1,1.10526774071e-06
-0.01,1.1056708265e-11,-1.46768599736e-17,1,1.16134706674e-06
-0.01,1.22071678559e-11,-1.70036393231e-17,1,1.22027175837e-06
-0.01,1.34773337136e-11,-1.96989173707e-17,1,1.28218618442e-06
-0.01,1.48796613738e-11,-2.28212549412e-17,1,1.34724203869e-06
-0.01,1.64279023807e-11,-2.64380618128e-17,1,1.41559871169e-06
-0.01,1.81372391381e-11,-3.06273940783e-17,1,1.48742368111e-06
-0.01,2.00244337912e-11,-3.54802741782e-17,1,1.56289292217e-06
-0.01,2.21079926005e-11,-4.11009197839e-17,1,1.64219133875e-06
-0.01,2.4408347418e-11,-4.7611425357e-17,1,1.72551321642e-06
