state,z,sigma,m,n
ground state,0,0,1,0
ground state,1.08240864579e-14,1.20590969626e-17,1,5.98759831762e-05
ground state,1.19503415584e-14,1.40296356096e-17,1,6.29139844304e-05
ground state,1.31937844287e-14,1.63167362506e-17,1,6.61061284834e-05
ground state,1.45666085525e-14,1.89821511357e-17,1,6.94602362674e-05
ground state,1.60822761558e-14,2.20740084758e-17,1,7.29845255351e-05
ground state,1.77556502201e-14,2.56212676838e-17,1,7.66876309934e-05
ground state,1.96031402324e-14,2.96949976024e-17,1,8.05786254587e-05
ground state,2.16428631003e-14,3.43843885336e-17,1,8.46670420863e-05
ground state,2.38948208107e-14,3.98290469171e-17,1,8.89628977267e-05
ground state,2.63810965734e-14,4.61222852647e-17,1,9.34767174677e-05
ground state,2.91260713746e-14,5.34323542532e-17,1,9.82195604216e-05
ground state,3.21566630621e-14,6.19073179854e-17,1,0.00010320304682
ground state,3.55025903078e-14,7.17519058134e-17,1,0.000108439386485
ground state,3.91966640359e-14,8.31567270556e-17,1,0.000113941408743
ground state,4.32751091745e-14,9.63408446515e-17,1,0.000119722593858
ground state,4.77779198849e-14,1.11588796434e-16,1,0.000125797106058
ground state,5.2749251754e-14,1.29317899707e-16,1,0.00013217982824
ground state,5.82378547939e-14,1.49876729436e-16,1,0.000138886398432
ground state,6.42975514953e-14,1.73737766405e-16,1,0.000145933248108
ground state,7.09877646236e-14,2.01333714492e-16,1,0.000153337642445
ground state,7.83740999316e-14,2.33326786977e-16,1,0.000161117722627
ground state,8.65289895049e-14,2.70401656123e-16,1,0.000169292550287
ground state,9.55324020471e-14,3.13332719968e-16,1,0.000177882154212
ground state,1.05472627071e-13,3.63098150564e-16,1,0.000186907579415
ground state,1.16447140686e-13,4.20742926027e-16,1,0.000196390938695
ground state,1.28563561471e-13,4.87579762024e-16,1,0.000206355466815
ground state,1.41940705807e-13,5.64985767842e-16,1,0.000216825577429
ground state,1.56709753015e-13,6.54708380161e-16,1,0.000227826922898
ground state,1.73015531736e-13,7.58645355312e-16,1,0.000239386457135
ground state,1.91017940146e-13,8.79091075536e-16,1,0.00025153250165
ground state,2.10893513962e-13,1.01866042968e-15,1,0.000264294814934
ground state,2.32837157584e-13,1.18041290719e-15,1,0.000277704665373
ground state,2.57064055377e-13,1.36787411471e-15,1,0.000291794907854
ground state,2.83811781815e-13,1.58513933371e-15,1,0.000306600064262
ground state,3.13342631195e-13,1.83679034096e-15,1,0.000322156408064
ground state,3.45946189746e-13,2.1284482344e-15,1,0.000338502053177
ground state,3.81942175386e-13,2.46650499286e-15,1,0.00035567704735
ground state,4.21683572944e-13,2.85817319999e-15,1,0.000373723470283
ground state,4.65560095612e-13,3.31202100406e-15,1,0.000392685536728
ground state,5.14002006559e-13,3.83787113984e-15,1,0.000412609704814
ground state,5.67484338192e-13,4.44718103656e-15,1,0.000433544789873
ground state,6.26531550429e-13,5.15335004344e-15,1,0.000455542084039
ground state,6.91722673675e-13,5.97173509017e-15,1,0.00047865548192
ground state,7.63696986925e-13,6.91997258265e-15,1,0.00050294161264
ground state,8.4316028668e-13,8.0187797839e-15,1,0.000528459978585
ground state,9.30891808145e-13,9.29191831278e-15,1,0.000555273101187
ground state,1.02775186659e-12,1.07671013262e-14,1,0.000583446674101
ground state,1.1346902938e-12,1.24765522373e-14,1,0.000613049724167
ground state,1.25275575234e-12,1.44572010523e-14,1,0.000644154780521
ground state,1.38310601897e-12,1.67523288834e-14,1,0.0006768380523
ground state,1.52701933807e-12,1.94114368711e-14,1,0.000711179615356
ground state,1.68590695642e-12,2.24927237275e-14,1,0.000747263608451
ground state,1.86132696217e-12,2.60628134512e-14,1,0.000785178439395
ground state,2.05499956382e-12,3.01992586168e-14,1,0.000825017001655
ground state,2.26882395901e-12,3.49918619183e-14,1,0.00086687690195
ground state,2.50489695842e-12,4.0544772336e-14,1,0.000910860699388
ground state,2.76553354763e-12,4.69787355186e-14,1,0.000957076156745
ground state,3.05328958836e-12,5.44332577183e-14,1,0.00100563650449
ground state,3.37098688186e-12,6.30698798548e-14,1,0.0010566607182
ground state,3.7217408401e-12,7.30758473824e-14,1,0.00111027381008
ground state,4.10899103625e-12,8.46688351933e-14,1,0.00116660713521
ground state,4.53653493389e-12,9.80998381693e-14,1,0.0012257987134
ground state,5.00856512579e-12,1.13660453675e-13,1,0.00128799356735
ground state,5.52971044749e-12,1.31688102829e-13,1,0.00135334407795
ground state,6.10508136864e-12,1.52573262434e-13,1,0.00142201035761
ground state,6.74032010747e-12,1.76768753172e-13,1,0.0014941606426
ground state,7.44165595966e-12,2.04799141468e-13,1,0.00156997170516
ground state,8.21596638423e-12,2.3727149657e-13,1,0.00164962928665
ground state,9.07084444548e-12,2.74889233726e-13,1,0.00173332855263
ground state,1.00146732723e-11,3.18467956334e-13,1,0.00182127457101
ground state,1.1056708265e-11,3.68950861458e-13,1,0.00191368281447
ground state,1.22071678559e-11,4.27430303582e-13,1,0.00201077968841
ground state,1.34773337136e-11,4.95173678883e-13,1,0.00211280308563
ground state,1.48796613738e-11,5.7364619249e-13,1,0.00222000296918
ground state,1.64279023807e-11,6.64546372808e-13,1,0.00233264198481
ground state,1.81372391381e-11,7.69840881466e-13,1,0.00245099610443
ground state,2.00244337912e-11,8.91807436605e-13,1,0.00257535530229
ground state,2.21079926005e-11,1.03308358551e-12,1,0.00270602426543
ground state,2.4408347418e-11,1.19672400294e-12,1,0.00284332314013
ground state,2.69480560467e-11,1.38626544555e-12,1,0.00298758831637
ground state,2.97520234475e-11,1.60580609289e-12,1,0.00313917325194
ground state,3.28477459631e-11,1.8600886429e-12,1,0.00329844933845
ground state,3.62655809532e-11,2.15460711144e-12,1,0.00346580681126
ground state,4.00390444857e-11,2.49572301585e-12,1,0.0036416557056
ground state,4.42051400031e-11,2.89080044801e-12,1,0.00382642686113
ground state,4.88047211863e-11,3.34837095185e-12,1,0.00402057297759
ground state,5.38828925755e-11,3.87831177376e-12,1,0.00422456972385
ground state,5.94894518755e-11,4.49205666696e-12,1,0.00443891690343
ground state,6.56793782829e-11,5.20284770464e-12,1,0.00466413967896
ground state,7.25133716251e-11,6.02601643129e-12,1,0.0049007898589
ground state,8.00584475968e-11,6.97931428802e-12,1,0.00514944724949
ground state,8.83885949303e-11,8.08329125274e-12,1,0.00541072107533
ground state,9.75855009468e-11,9.36174249836e-12,1,0.00568525147196
ground state,1.077393526e-10,1.08422182613e-11,1,0.0059737110543
ground state,1.18949720871e-10,1.25566112171e-11,1,0.00627680656453
ground state,1.31326537184e-10,1.45418460318e-11,1,0.00659528060369
