kind,index_or_zc,residual_or_Omega,zc_or_mu
iteration,1,0.543510986104,2.07439960192
iteration,2,0.391334832201,2.03957835936
iteration,3,0.146114113308,2.09399092537
iteration,4,0.129682244055,2.15778357021
iteration,5,0.105661691949,2.44493302561
iteration,6,0.0557548949426,2.42060131081
iteration,7,0.0589194308036,2.54161949144
iteration,8,0.0514512585623,2.56580685401
iteration,9,0.0411982689242,2.66414546355
iteration,10,0.150945976443,3.2196765432
iteration,11,0.178590438055,2.1152893698
iteration,12,0.0408210498704,2.62952175592
rigid shift,0.6,0.0321045700725,0.985509153323
rigid shift,1.5,0.0297877089218,0.898753904386
rigid shift,3,0.0288172865073,0.869417073032
rigid shift,6,0.0287202365829,0.866566401749
