K,theta,omega,irrep
3,-1.5707963268,0.999999999999,-i
3,-1.4398966329,1.70943739328,-i
3,-1.308996939,2.31248770575,-i
3,-1.1780972451,2.77274186113,-i
3,-1.0471975512,3.06216740554,-i
3,-0.916297857297,3.16226988283,-i
3,-0.654498469498,-3.16226988283,+i
3,-0.523598775598,-3.06216740554,+i
3,-0.392699081699,-2.77274186113,+i
3,-0.261799387799,-2.31248770574,+i
3,-0.1308996939,-1.70943739327,+i
3,0,-1,+i
3,0.1308996939,-0.227136790527,+i
3,0.261799387799,0.561956938641,+i
3,0.392699081699,1.31848918968,+i
3,0.523598775598,1.994844314,+i
3,0.654498469498,-3.13942128777,-i
3,0.654498469498,2.54729994434,+i
3,0.785398163397,-2.93849067696,-i
3,0.785398163397,2.93849067696,+i
3,0.916297857297,-2.54729994434,-i
3,0.916297857297,3.13942128778,+i
3,1.0471975512,-1.994844314,-i
3,1.1780972451,-1.31848918968,-i
3,1.308996939,-0.561956938656,-i
3,1.4398966329,0.227136790516,-i
80,-1.5707963268,-80.00428754,-i
80,-1.5707963268,-78.5108949723,-i
80,-1.5707963268,0.999999999987,-i
80,-1.5707963268,78.5108949723,-i
80,-1.5707963268,80.00428754,-i
80,-1.5707963268,-79.9400982389,+i
80,-1.5707963268,-77.5913273116,+i
80,-1.5707963268,77.5913273116,+i
80,-1.5707963268,79.9400982389,+i
80,-1.4398966329,-80.0022577906,-i
80,-1.4398966329,-78.4405054445,-i
80,-1.4398966329,17.1972727892,-i
80,-1.4398966329,78.5935094198,-i
80,-1.4398966329,80.0057873094,-i
80,-1.4398966329,-79.919814514,+i
80,-1.4398966329,-77.3963870915,+i
80,-1.4398966329,77.7362942231,+i
80,-1.4398966329,79.9542145931,+i
80,-1.308996939,-79.9998713506,-i
80,-1.308996939,-78.3767880602,-i
80,-1.308996939,32.4592796615,-i
80,-1.308996939,78.6914892346,-i
80,-1.308996939,-79.8879380176,+i
80,-1.308996939,-77.1072887,+i
80,-1.308996939,77.8477463732,+i
80,-1.308996939,79.9643524534,+i
80,-1.1780972451,-79.9972026288,-i
80,-1.1780972451,-78.3172330344,-i
80,-1.1780972451,45.9841618035,-i
80,-1.1780972451,78.8115834011,-i
80,-1.1780972451,-79.8342524739,+i
80,-1.1780972451,-76.6375320794,+i
80,-1.1780972451,77.9381014201,+i
80,-1.1780972451,79.9720256092,+i
80,-1.0471975512,-79.9942557873,-i
80,-1.0471975512,-78.2598153346,-i
80,-1.0471975512,57.1205176793,-i
80,-1.0471975512,78.9624400776,-i
80,-1.0471975512,-79.7401237564,+i
80,-1.0471975512,-75.7936006793,+i
80,-1.0471975512,78.0147427091,+i
80,-1.0471975512,79.9780961986,+i
80,-0.916297857297,-79.9909868949,-i
80,-0.916297857297,-78.2027431377,-i
80,-0.916297857297,65.4631866446,-i
80,-0.916297857297,79.1513663153,-i
80,-0.916297857297,-79.5837800679,+i
80,-0.916297857297,-74.1548183113,+i
80,-0.916297857297,78.0823818393,+i
80,-0.916297857297,79.9830820656,+i
80,-0.785398163397,-79.987308552,-i
80,-0.785398163397,-78.1442493324,-i
80,-0.785398163397,70.9853072299,-i
80,-0.785398163397,79.3714957791,-i
80,-0.785398163397,-79.3714957791,+i
80,-0.785398163397,-70.9853072299,+i
80,-0.785398163397,78.1442493324,+i
80,-0.785398163397,79.987308552,+i
80,-0.654498469498,-79.9830820656,-i
80,-0.654498469498,-78.0823818393,-i
80,-0.654498469498,74.1548183113,-i
80,-0.654498469498,79.5837800679,-i
80,-0.654498469498,-79.1513663153,+i
80,-0.654498469498,-65.4631866446,+i
80,-0.654498469498,78.2027431377,+i
80,-0.654498469498,79.9909868949,+i
80,-0.523598775598,-79.9780961986,-i
80,-0.523598775598,-78.0147427091,-i
80,-0.523598775598,75.7936006793,-i
80,-0.523598775598,79.7401237564,-i
80,-0.523598775598,-78.9624400776,+i
80,-0.523598775598,-57.1205176792,+i
80,-0.523598775598,78.2598153346,+i
80,-0.523598775598,79.9942557873,+i
80,-0.392699081699,-79.9720256092,-i
80,-0.392699081699,-77.9381014201,-i
80,-0.392699081699,76.6375320794,-i
80,-0.392699081699,79.8342524739,-i
80,-0.392699081699,-78.8115834011,+i
80,-0.392699081699,-45.984161803,+i
80,-0.392699081699,78.3172330344,+i
80,-0.392699081699,79.9972026288,+i
80,-0.261799387799,-79.9643524534,-i
80,-0.261799387799,-77.8477463732,-i
80,-0.261799387799,77.1072887,-i
80,-0.261799387799,79.8879380176,-i
80,-0.261799387799,-78.6914892346,+i
80,-0.261799387799,-32.4592796614,+i
80,-0.261799387799,78.3767880602,+i
80,-0.261799387799,79.9998713506,+i
80,-0.1308996939,-79.9542145931,-i
80,-0.1308996939,-77.7362942231,-i
80,-0.1308996939,77.3963870915,-i
80,-0.1308996939,79.919814514,-i
80,-0.1308996939,-80.0057873094,+i
80,-0.1308996939,-78.5935094198,+i
80,-0.1308996939,-17.1972727886,+i
80,-0.1308996939,78.4405054445,+i
80,-0.1308996939,80.0022577906,+i
80,0,-79.9400982389,-i
80,0,-77.5913273116,-i
80,0,77.5913273116,-i
80,0,79.9400982389,-i
80,0,-80.00428754,+i
80,0,-78.5108949723,+i
80,0,-1,+i
80,0,78.5108949723,+i
80,0,80.00428754,+i
80,0.1308996939,-79.919187048,-i
80,0.1308996939,-77.3903378468,-i
80,0.1308996939,77.7331298931,-i
80,0.1308996939,79.9539251907,-i
80,0.1308996939,-80.0022019373,+i
80,0.1308996939,-78.438808375,+i
80,0.1308996939,15.2561609819,+i
80,0.1308996939,78.5912935298,+i
80,0.1308996939,80.0057607088,+i
80,0.261799387799,-79.8859568954,-i
80,0.261799387799,-77.0890775888,-i
80,0.261799387799,77.8428999108,-i
80,0.261799387799,79.9639375953,-i
80,0.261799387799,-79.9997487645,+i
80,0.261799387799,-78.3737736776,+i
80,0.261799387799,30.6895558245,+i
80,0.261799387799,78.6863417175,+i
80,0.392699081699,-79.829378047,-i
80,0.392699081699,-76.5931483411,-i
80,0.392699081699,77.9323993683,-i
80,0.392699081699,79.9715691892,-i
80,0.392699081699,-79.9970109583,+i
80,0.392699081699,-78.3131887638,+i
80,0.392699081699,44.4822777455,+i
80,0.392699081699,78.8025545353,+i
80,0.523598775598,-79.7296718014,-i
80,0.523598775598,-75.6898416069,-i
80,0.523598775598,78.0086851828,-i
80,0.523598775598,79.9776435892,-i
80,0.523598775598,-79.9939969389,+i
80,0.523598775598,-78.2549704614,+i
80,0.523598775598,55.9551024681,+i
80,0.523598775598,78.9484862613,+i
80,0.654498469498,-79.5658685789,-i
80,0.654498469498,-73.920745493,-i
80,0.654498469498,78.0762994094,-i
80,0.654498469498,79.9826592327,-i
80,0.654498469498,-79.9906653804,+i
80,0.654498469498,-78.1972946647,+i
80,0.654498469498,64.6606668595,+i
80,0.654498469498,79.1321893689,+i
80,0.785398163397,-79.3497679829,-i
80,0.785398163397,-70.5132944533,-i
80,0.785398163397,78.1383840794,-i
80,0.785398163397,79.9869312765,-i
80,0.785398163397,-79.9869312765,+i
80,0.785398163397,-78.1383840794,+i
80,0.785398163397,70.5132944533,+i
80,0.785398163397,79.3497679829,+i
80,0.916297857297,-79.1321893689,-i
80,0.916297857297,-64.6606668595,-i
80,0.916297857297,78.1972946647,-i
80,0.916297857297,79.9906653804,-i
80,0.916297857297,-79.9826592327,+i
80,0.916297857297,-78.0762994094,+i
80,0.916297857297,73.920745493,+i
80,0.916297857297,79.5658685789,+i
80,1.0471975512,-78.9484862613,-i
80,1.0471975512,-55.9551024681,-i
80,1.0471975512,78.2549704614,-i
80,1.0471975512,79.9939969389,-i
80,1.0471975512,-79.9776435892,+i
80,1.0471975512,-78.0086851828,+i
80,1.0471975512,75.6898416069,+i
80,1.0471975512,79.7296718014,+i
80,1.1780972451,-78.8025545353,-i
80,1.1780972451,-44.4822777456,-i
80,1.1780972451,78.3131887639,-i
80,1.1780972451,79.9970109583,-i
80,1.1780972451,-79.9715691892,+i
80,1.1780972451,-77.9323993683,+i
80,1.1780972451,76.5931483411,+i
80,1.1780972451,79.829378047,+i
80,1.308996939,-78.6863417175,-i
80,1.308996939,-30.6895558246,-i
80,1.308996939,78.3737736776,-i
80,1.308996939,79.9997487645,-i
80,1.308996939,-79.9639375953,+i
80,1.308996939,-77.8428999108,+i
80,1.308996939,77.0890775888,+i
80,1.308996939,79.8859568954,+i
80,1.4398966329,-80.0057607088,-i
80,1.4398966329,-78.5912935298,-i
80,1.4398966329,-15.2561609824,-i
80,1.4398966329,78.438808375,-i
80,1.4398966329,80.0022019373,-i
80,1.4398966329,-79.9539251907,+i
80,1.4398966329,-77.7331298931,+i
80,1.4398966329,77.3903378468,+i
80,1.4398966329,79.919187048,+i
